date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2026-06-08,27.55,27.7,,,945884,,,,,,0.0,,,3.9,,,
2026-06-09,28.17,26.97,-2.64,1.7,1133245,,,,,,-2.64,0.0,,4.58,,,
2026-06-10,26.77,26.68,-1.08,-0.74,617160,,,,,,-3.68,0.0,,4.7,,,
2026-06-11,27.36,28.61,7.23,2.55,748559,,,,,,3.29,17.5,,4.56,,,
2026-06-12,28.6,29.21,2.1,-0.03,963488,,,,,,5.45,22.1,,4.45,,,
2026-06-15,30.43,30.52,4.48,4.18,1018456,,10.18,,,,10.18,31.1,,4.31,,,
2026-06-16,30.26,28.61,-6.26,-0.85,4020487,,6.08,,,,3.29,26.3,,4.75,,,
2026-06-17,29.31,28.88,0.94,2.45,575930,,8.25,,,,4.26,28.0,,4.68,,,
2026-06-18,30.08,30.15,4.4,4.16,1018336,,5.38,,,,8.84,35.5,,4.51,,,
2026-06-22,30.72,31.08,3.08,1.89,1411357,,6.4,,,,12.2,40.3,,4.28,,,
2026-06-23,28.8,28.77,-7.43,-7.34,4075680,,-5.73,,,,3.86,33.6,,4.95,,,
2026-06-24,28.87,28.68,-0.31,0.35,953147,,0.24,,,,3.54,33.3,,4.86,,,
2026-06-25,30.07,29.82,3.97,4.83,1049783,,3.25,,,,7.65,39.1,,4.76,,,
2026-06-26,28.79,28.52,-4.36,-3.45,831990,,-5.41,,,,2.96,35.3,,5.09,,,
2026-06-29,28.75,30.3,6.24,0.81,850410,,-2.51,,,,9.39,43.4,,5.03,,,
2026-06-30,30.33,31.98,5.54,0.1,3510511,,11.16,,,,15.45,49.8,,4.81,,,
2026-07-01,30.54,29.46,-7.88,-4.5,4435419,,2.72,,,,6.35,42.1,,5.5,,,
