date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,5.96,6.09,,,988382,,,,,,0.0,,,3.78,,,
2005-02-28,6.06,5.82,-4.43,-0.49,1720101,,,,,,-4.43,0.0,,4.09,,,
2005-03-01,5.89,6.12,5.15,1.2,1408462,,,,,,0.49,7.9,,3.98,,,
2005-03-02,6.03,6.06,-0.98,-1.47,1436016,,,,,,-0.49,7.7,,3.93,,,
2005-03-03,6.08,6.06,0.0,0.33,824857,,,,,,-0.49,7.7,,3.82,,,
2005-03-04,6.11,6.04,-0.33,0.83,645657,,-0.82,,,,-0.82,7.7,,3.72,,,
2005-03-07,6.01,6.17,2.15,-0.5,1148859,,6.01,,,,1.31,11.7,,3.64,,,
2005-03-08,6.2,6.06,-1.78,0.49,780452,,-0.98,,,,-0.49,11.2,,3.64,,,
2005-03-09,6.0,6.12,0.99,-0.99,1895163,,0.99,,,,0.49,13.1,,3.66,,,
2005-03-10,6.14,6.1,-0.33,0.33,1175203,,0.66,,,,0.16,13.0,,3.6,,,
2005-03-11,6.13,6.06,-0.66,0.49,1317839,,0.33,,,,-0.49,12.8,,3.65,,,
2005-03-14,6.03,6.16,1.65,-0.5,1530825,,-0.16,,,,1.15,16.5,,3.49,,,
2005-03-15,6.19,6.2,0.65,0.49,1978497,,2.31,,,,1.81,18.0,,3.36,,,
2005-03-16,6.2,6.15,-0.81,0.0,1673599,,0.49,,,,0.99,17.6,,3.38,,,
2005-03-17,6.12,6.22,1.14,-0.49,1311858,,1.97,,,,2.13,20.4,,3.28,,,
2005-03-18,6.19,6.09,-2.09,-0.48,2780393,,0.5,,,,0.0,19.1,,3.52,,,
2005-03-21,6.1,6.01,-1.31,0.16,703280,,-2.44,,,,-1.31,18.3,,3.48,,,
2005-03-22,6.0,5.95,-1.0,-0.17,1127693,,-4.03,,,,-2.3,17.7,,3.49,,,
2005-03-23,5.91,5.9,-0.84,-0.67,2253896,,-4.07,,,,-3.12,17.2,,3.44,,,
2005-03-24,5.9,5.82,-1.36,0.0,1035171,0.75,-6.43,,,,-4.43,16.4,,3.47,,,-6.43
2005-03-28,5.86,5.73,-1.55,0.69,1672055,1.18,-5.91,,,,-5.91,15.6,,3.51,,,-7.88
2005-03-29,5.68,5.54,-3.32,-0.87,1139861,0.82,-7.82,-9.03,,,-9.03,13.9,2.01,3.69,,,-10.93
2005-03-30,5.51,5.8,4.69,-0.54,1822052,1.29,-2.52,-0.34,,,-4.76,25.6,2.09,3.64,,,-6.75
2005-03-31,5.76,5.89,1.55,-0.69,4987910,3.14,-0.17,-3.76,,,-3.28,29.2,1.77,3.74,,,-5.31
2005-04-01,5.9,5.91,0.34,0.17,2485247,1.49,1.55,-2.48,,,-2.96,30.0,1.76,3.66,,,-4.98
2005-04-04,5.85,5.82,-1.52,-1.02,1511089,0.88,1.57,-3.96,,,-4.43,28.4,1.79,3.62,,,-6.43
2005-04-05,5.83,5.59,-3.95,0.17,1903104,1.08,0.9,-7.45,,,-8.21,24.8,1.97,3.95,,,-10.13
2005-04-06,5.56,5.62,0.54,-0.54,1944664,1.07,-3.1,-8.91,,,-7.72,26.1,1.89,3.9,,,-9.65
2005-04-07,5.65,5.56,-1.07,0.53,3792241,1.99,-5.6,-8.25,,,-8.7,25.2,1.87,3.89,,,-10.61
2005-04-08,5.56,5.26,-5.4,0.0,6707426,3.07,-11.0,-14.05,,,-13.63,21.1,2.14,4.38,,,-15.43
2005-04-11,5.25,5.23,-0.57,-0.19,1771478,0.8,-10.14,-14.26,,,-14.12,20.7,2.14,4.26,,,-15.92
2005-04-12,5.17,5.32,1.72,-1.15,3582742,1.55,-4.83,-12.21,,,-12.64,24.9,2.2,4.22,,,-14.47
2005-04-13,5.14,5.16,-3.01,-3.38,3598705,1.51,-8.19,-16.23,,,-15.27,22.6,2.2,4.35,,,-17.04
2005-04-14,5.14,5.0,-3.1,-0.39,1740499,0.73,-10.07,-19.35,,,-17.9,20.6,2.23,4.46,,,-19.61
2005-04-15,4.56,4.44,-11.2,-8.8,10084053,3.56,-15.59,-27.8,,,-27.09,15.4,3.15,6.0,,,-28.62
2005-04-18,4.45,4.51,1.58,0.23,6162267,2.05,-13.77,-27.49,,,-25.94,18.2,3.17,5.7,,,-27.49
2005-04-19,4.55,4.63,2.66,0.89,2460854,0.8,-12.97,-23.97,,,-23.97,22.9,3.29,5.41,,,-25.56
2005-04-20,4.82,4.65,0.43,4.1,3767055,1.17,-9.88,-22.63,,,-23.65,23.6,3.31,5.34,,,-25.24
2005-04-21,4.68,4.77,2.58,0.65,1723559,0.54,-4.6,-19.83,,,-21.67,28.4,3.41,5.09,,,-23.31
2005-04-22,4.72,4.63,-2.94,-1.05,2960367,0.9,4.28,-21.53,,,-23.97,26.3,3.43,5.2,,,-25.56
2005-04-25,4.65,4.63,0.0,0.43,1400436,0.43,2.66,-20.45,,,-23.97,26.3,3.44,5.08,,,-25.56
2005-04-26,4.6,4.57,-1.3,-0.65,1527205,0.46,-1.3,-20.24,,,-24.96,25.4,3.44,5.11,,,-26.53
2005-04-27,4.56,4.53,-0.88,-0.22,1054027,0.32,-2.58,-18.23,,,-25.62,24.8,3.4,5.08,,,-27.17
2005-04-28,4.57,4.4,-2.87,0.88,2397868,0.77,-7.76,-24.14,,,-27.75,22.9,3.17,5.17,,,-29.26
2005-04-29,4.4,4.45,1.14,0.0,1673300,0.54,-3.89,-24.45,,,-26.93,25.3,3.15,5.02,,,-28.46
2005-05-02,4.45,4.43,-0.45,0.0,1462041,0.47,-4.32,-25.04,,,-27.26,24.9,3.14,4.87,,,-28.78
