date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,17.6,17.37,,,189437,,,,,,0.0,,,3.01,,,
2005-02-28,17.13,17.35,-0.14,-1.39,156282,,,,,,-0.14,0.0,,3.01,,,
2005-03-01,17.61,17.67,1.88,1.51,122851,,,,,,1.74,51.2,,2.9,,,
2005-03-02,17.59,17.26,-2.35,-0.46,178231,,,,,,-0.66,30.0,,2.93,,,
2005-03-03,17.56,17.27,0.11,1.78,47696,,,,,,-0.55,31.4,,2.88,,,
2005-03-04,17.47,17.92,3.74,1.11,96548,,3.17,,,,3.17,60.3,,3.03,,,
2005-03-07,17.82,18.21,1.64,-0.59,77541,,5.0,,,,4.86,67.1,,3.07,,,
2005-03-08,18.08,17.61,-3.31,-0.72,97963,,-0.34,,,,1.39,48.7,,3.22,,,
2005-03-09,17.6,17.4,-1.22,-0.04,61815,,0.83,,,,0.16,44.1,,3.13,,,
2005-03-10,17.38,17.38,-0.11,-0.11,68217,,0.6,,,,0.05,43.7,,3.03,,,
2005-03-11,17.45,17.58,1.15,0.38,40952,,-1.91,,,,1.2,48.9,,2.93,,,
2005-03-14,17.27,17.49,-0.53,-1.75,71212,,-4.0,,,,0.66,46.7,,2.87,,,
2005-03-15,17.61,17.2,-1.63,0.72,71726,,-2.33,,,,-0.97,40.8,,2.92,,,
2005-03-16,17.14,17.16,-0.26,-0.36,68374,,-1.39,,,,-1.23,39.9,,2.85,,,
2005-03-17,17.4,17.32,0.96,1.43,78865,,-0.33,,,,-0.28,44.6,,2.79,,,
2005-03-18,17.54,17.26,-0.38,1.26,191211,,-1.83,,,,-0.66,43.1,,2.79,,,
2005-03-21,17.41,17.36,0.61,0.92,126462,,-0.72,,,,-0.06,46.1,,2.66,,,
2005-03-22,17.36,17.41,0.31,0.0,84634,,1.24,,,,0.25,47.6,,2.66,,,
2005-03-23,17.26,17.3,-0.67,-0.91,78407,,0.82,,,,-0.42,44.7,,2.59,,,
2005-03-24,17.45,17.26,-0.21,0.88,54853,0.56,-0.35,,,,-0.63,43.8,,2.49,,,-5.24
2005-03-28,17.37,17.37,0.66,0.63,41505,0.46,0.69,,,,0.02,47.4,,2.37,,,-4.61
2005-03-29,17.23,17.23,-0.84,-0.84,100779,1.15,-0.76,-0.82,,,-0.82,43.5,1.51,2.34,,,-5.42
2005-03-30,17.38,17.3,0.4,0.9,125395,1.42,-0.67,-0.29,,,-0.42,45.7,1.51,2.22,,,-5.04
2005-03-31,17.24,16.69,-3.52,-0.34,130813,1.53,-3.52,-5.57,,,-3.93,33.2,1.63,2.48,,,-8.38
2005-04-01,16.59,16.81,0.74,-0.58,70170,0.81,-2.61,-2.58,,,-3.22,37.0,1.57,2.41,,,-7.71
2005-04-04,16.81,16.75,-0.36,0.0,85503,0.99,-3.59,-3.03,,,-3.56,35.9,1.57,2.3,,,-8.03
2005-04-05,16.96,16.82,0.43,1.25,93234,1.07,-2.35,-6.12,,,-3.15,38.2,1.31,2.24,,,-7.63
2005-04-06,16.7,17.0,1.07,-0.76,75518,0.88,-1.69,-6.65,,,-2.11,43.7,1.27,2.34,,,-6.65
2005-04-07,16.96,16.96,-0.25,-0.28,64136,0.74,1.64,-3.7,,,-2.36,42.7,1.07,2.31,,,-6.88
2005-04-08,17.02,16.81,-0.89,0.33,58640,0.68,0.0,-3.38,,,-3.22,39.4,1.06,2.25,,,-7.71
2005-04-11,17.1,16.71,-0.6,1.72,76400,0.87,-0.24,-3.84,,,-3.8,37.4,1.06,2.31,,,-8.26
2005-04-12,16.65,16.72,0.06,-0.34,113457,1.27,-0.62,-4.88,,,-3.74,37.7,1.02,2.38,,,-8.2
2005-04-13,16.63,16.61,-0.64,-0.57,48205,0.55,-2.3,-4.99,,,-4.36,35.4,1.02,2.29,,,-8.79
2005-04-14,16.48,15.73,-5.33,-0.81,124916,1.37,-7.27,-8.57,,,-9.46,23.0,1.49,2.68,,,-13.65
2005-04-15,15.73,15.57,-0.99,0.03,128468,1.37,-7.37,-9.24,,,-10.35,21.6,1.49,2.78,,,-14.51
2005-04-18,15.65,16.27,4.47,0.47,158103,1.72,-2.65,-6.09,,,-6.35,39.6,1.82,2.83,,,-10.69
2005-04-19,16.39,16.45,1.1,0.74,102307,1.13,-1.64,-4.7,,,-5.32,43.2,1.84,2.72,,,-9.71
2005-04-20,16.41,16.01,-2.63,-0.21,110388,1.2,-3.61,-7.76,,,-7.82,37.4,1.9,2.79,,,-12.09
2005-04-21,16.36,16.7,4.3,2.16,61872,0.68,6.18,-4.1,,,-3.86,49.2,2.16,2.78,,,-8.31
2005-04-22,16.28,16.17,-3.16,-2.5,136746,1.43,3.86,-6.5,,,-6.89,42.6,2.25,2.95,,,-11.21
2005-04-25,16.38,16.42,1.55,1.29,75977,0.78,0.96,-4.85,,,-5.45,46.2,2.29,2.81,,,-9.83
2005-04-26,16.51,15.65,-4.71,0.52,118479,1.21,-4.84,-9.92,,,-9.9,38.1,2.48,3.23,,,-14.08
2005-04-27,15.69,15.7,0.34,0.26,69369,0.73,-1.93,-8.85,,,-9.59,38.9,2.48,3.2,,,-13.78
2005-04-28,15.58,15.45,-1.61,-0.78,115373,1.22,-7.48,-10.67,,,-11.05,36.5,2.49,3.17,,,-15.17
2005-04-29,15.62,15.73,1.82,1.11,81377,0.86,-2.73,-5.73,,,-9.43,40.9,2.44,3.12,,,-13.63
2005-05-02,15.81,15.77,0.25,0.5,84994,0.9,-3.98,-6.19,,,-9.21,41.5,2.43,3.02,,,-13.42
2005-05-03,15.81,15.88,0.67,0.25,76113,0.81,1.45,-5.22,,,-8.6,43.2,2.44,3.04,,,-12.83
2005-05-04,15.95,16.47,3.76,0.49,121907,1.27,4.91,-2.08,,,-5.16,51.7,2.59,2.99,,,-9.55
2005-05-05,16.52,16.43,-0.26,0.27,104304,1.06,6.35,-3.37,,,-5.4,51.1,2.57,2.88,,,-9.79
2005-05-06,16.58,16.35,-0.47,0.91,96097,0.96,3.96,-3.58,,,-5.85,50.0,2.57,2.84,-2.81,,-10.21
2005-05-09,16.35,16.81,2.79,0.0,103105,1.02,6.6,0.0,,,-3.22,56.0,2.65,2.83,-0.03,,-7.71
2005-05-10,16.53,16.52,-1.71,-1.66,123881,1.21,4.07,-1.12,,,-4.88,51.8,2.67,2.82,-1.64,,-9.28
2005-05-11,16.61,16.26,-1.6,0.52,100067,0.96,-1.31,-2.76,,,-6.4,48.2,2.69,2.85,-3.05,,-10.74
2005-05-12,16.34,16.56,1.82,0.5,125833,1.2,0.75,-0.35,,,-4.69,52.2,2.72,2.77,-1.2,,-9.11
2005-05-13,16.56,16.75,1.18,0.0,144725,1.37,2.43,6.51,,,-3.56,54.7,2.44,2.7,0.03,,-8.03
2005-05-16,16.76,16.71,-0.27,0.03,88161,0.86,-0.63,7.28,,,-3.83,54.0,2.42,2.68,-0.1,,-8.29
2005-05-17,16.57,16.7,-0.05,-0.8,34082,0.35,1.05,2.64,,,-3.88,53.8,2.23,2.62,0.03,,-8.33
2005-05-18,16.72,17.27,3.46,0.17,104430,1.06,6.25,5.04,,,-0.55,61.2,2.34,2.65,3.54,,-5.16
2005-05-19,17.03,17.3,0.13,-1.41,31883,0.33,4.48,8.02,,,-0.42,61.5,2.25,2.66,3.68,,-5.04
2005-05-20,17.38,17.47,1.01,0.5,57712,0.62,4.3,4.62,,,0.58,63.5,2.07,2.62,4.72,,-4.08
2005-05-23,17.19,17.59,0.66,-1.6,53896,0.59,5.28,8.75,,,1.25,64.8,1.92,2.62,5.41,,-3.44
2005-05-24,17.38,17.54,-0.24,-1.16,101103,1.11,5.08,6.82,,,1.0,63.9,1.9,2.62,5.14,,-3.68
