date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2021-03-09,110.14,115.07,,,28173,,,,,,0.0,,,5.31,,,
2021-03-10,116.62,113.43,-1.43,1.34,47972,,,,,,-1.43,0.0,,5.22,,,
2021-03-11,116.62,117.56,3.64,2.81,27673,,,,,,2.17,16.2,,4.93,,,
2021-03-12,116.36,117.22,-0.29,-1.02,24070,,,,,,1.87,16.0,,4.67,,,
2021-03-15,118.01,119.13,1.63,0.67,29433,,,,,,3.53,22.6,,4.41,,,
2021-03-16,119.13,118.82,-0.26,0.0,22792,,3.25,,,,3.25,22.3,,4.22,,,
2021-03-17,118.13,117.06,-1.48,-0.58,32419,,3.2,,,,1.73,20.6,,4.15,,,
2021-03-18,114.18,113.67,-2.89,-2.46,18066,,-3.31,,,,-1.21,17.8,,4.22,,,
2021-03-19,112.13,111.68,-1.75,-1.36,11735,,-4.73,,,,-2.95,16.3,,4.13,,,
2021-03-22,112.43,111.89,0.19,0.67,13867,,-6.07,,,,-2.76,17.1,,3.89,,,
2021-03-23,111.1,117.76,5.24,-0.71,45995,,-0.89,,,,2.34,34.8,,3.84,,,
2021-03-24,110.31,111.08,-5.68,-6.32,43480,,-5.11,,,,-3.47,27.6,,4.27,,,
2021-03-25,112.18,114.23,2.84,0.99,40868,,0.49,,,,-0.73,34.5,,4.06,,,
2021-03-26,114.24,117.09,2.5,0.01,41145,,4.84,,,,1.75,40.0,,3.87,,,
2021-03-29,117.66,117.26,0.15,0.49,34454,,4.8,,,,1.9,40.4,,3.64,,,
2021-03-30,115.42,116.7,-0.48,-1.57,45766,,-0.9,,,,1.42,39.6,,3.52,,,
2021-03-31,114.87,115.45,-1.07,-1.57,26884,,3.94,,,,0.33,37.9,,3.42,,,
2021-04-01,118.7,119.43,3.45,2.81,66716,,4.55,,,,3.79,45.9,,3.33,,,
2021-04-05,120.24,121.91,2.07,0.68,13682,,4.12,,,,5.94,50.3,,3.19,,,
2021-04-06,120.03,120.39,-1.24,-1.54,31694,0.98,2.67,,,,4.62,47.7,,3.11,,,-1.24
2021-04-07,121.08,120.71,0.27,0.58,25477,0.79,3.43,,,,4.9,48.3,,2.95,,,-0.98
2021-04-08,121.98,121.94,1.02,1.05,21769,0.7,5.62,5.97,,,5.97,50.6,2.49,2.84,,,0.0
2021-04-09,123.02,122.28,0.27,0.88,22628,0.74,2.38,7.8,,,6.26,51.3,2.46,2.72,,,0.0
2021-04-12,121.95,121.74,-0.44,-0.26,23739,0.78,-0.14,3.55,,,5.79,50.2,2.35,2.61,,,-0.44
2021-04-13,121.58,121.33,-0.34,-0.13,41604,1.33,0.78,3.5,,,5.44,49.3,2.35,2.49,,,-0.78
2021-04-14,120.64,120.73,-0.49,-0.56,20276,0.65,0.02,1.35,,,4.92,47.9,2.33,2.39,,,-1.26
2021-04-15,120.87,122.03,1.08,0.11,13926,0.46,0.07,2.71,,,6.05,51.0,2.34,2.3,,,-0.2
2021-04-16,123.33,124.47,2.0,1.07,11585,0.39,1.8,6.34,,,8.17,56.3,2.34,2.25,,,0.0
2021-04-19,125.81,125.62,0.92,1.07,33821,1.09,3.19,10.51,,,9.17,58.5,2.22,2.16,,,0.0
2021-04-20,124.48,124.06,-1.24,-0.9,13486,0.44,2.26,11.09,,,7.82,54.4,2.2,2.14,,,-1.24
2021-04-21,122.6,123.85,-0.17,-1.18,11394,0.39,2.58,10.68,,,7.63,53.9,2.2,2.09,,,-1.41
2021-04-22,123.9,123.18,-0.54,0.04,12258,0.44,0.94,4.6,,,7.04,52.1,1.93,2.03,,,-1.94
2021-04-23,123.72,123.99,0.66,0.44,8983,0.34,-0.39,11.62,,,7.75,54.1,1.37,1.93,,,-1.3
2021-04-26,123.32,123.8,-0.15,-0.54,27974,1.1,-1.45,8.38,,,7.59,53.5,1.27,1.87,,,-1.45
2021-04-27,122.11,122.79,-0.81,-1.37,37952,1.48,-1.02,4.88,,,6.71,50.5,1.2,1.85,,,-2.25
2021-04-28,122.23,122.75,-0.03,-0.46,34740,1.39,-0.88,4.68,,,6.68,50.4,1.2,1.77,,,-2.28
2021-04-29,123.03,123.4,0.53,0.22,27297,1.09,0.18,5.74,,,7.24,52.4,1.19,1.7,,,-1.77
2021-04-30,121.83,121.58,-1.47,-1.28,74441,2.93,-1.94,5.31,,,5.66,46.7,1.22,1.73,,,-3.21
2021-05-03,122.33,123.99,1.98,0.62,12210,0.48,0.15,3.81,,,7.75,53.8,1.05,1.72,,,-1.3
2021-05-04,121.13,121.93,-1.66,-2.3,34913,1.37,-0.7,0.02,,,5.96,47.9,1.03,1.81,,,-2.93
2021-05-05,124.0,124.7,2.27,1.69,10133,0.41,1.58,3.58,,,8.37,55.1,1.1,1.82,,,-0.73
2021-05-06,124.76,125.91,0.97,0.05,18286,0.74,2.03,4.31,,,9.42,57.8,1.12,1.78,,,0.0
2021-05-07,125.99,127.45,1.22,0.06,15240,0.63,4.82,4.51,,,10.75,61.0,1.12,1.73,,,0.0
2021-05-10,128.2,127.73,0.22,0.59,38382,1.54,3.02,4.46,,,11.0,61.6,1.12,1.7,,,0.0
2021-05-11,124.0,123.77,-3.1,-2.92,31845,1.3,1.51,1.67,,,7.56,50.3,1.33,1.87,,,-3.1
2021-05-12,125.61,123.76,-0.01,1.49,27473,1.11,-0.75,2.01,,,7.55,50.3,1.33,1.91,,,-3.11
2021-05-13,124.08,124.51,0.61,0.26,42953,1.64,-1.11,3.13,,,8.21,52.2,1.33,1.89,,,-2.52
2021-05-14,125.11,125.93,1.14,0.48,13237,0.5,-1.19,3.2,,,9.44,55.7,1.33,1.84,,,-1.41
2021-05-17,124.97,125.25,-0.54,-0.76,18058,0.71,-1.94,0.62,,,8.84,53.6,1.27,1.79,,,-1.94
2021-05-18,126.43,125.97,0.58,0.94,17349,0.67,1.78,0.28,,,9.47,55.5,1.26,1.75,4.31,,-1.38
2021-05-19,128.7,128.67,2.14,2.16,49178,1.78,3.96,3.71,,,11.82,61.7,1.3,1.79,6.31,,0.0
2021-05-20,129.75,131.43,2.14,0.84,36133,1.25,5.55,6.12,,,14.21,66.7,1.37,1.82,8.26,,0.0
2021-05-21,132.24,132.19,0.58,0.62,30882,1.03,4.97,7.32,,,14.87,68.0,1.36,1.75,8.63,,0.0
2021-05-24,132.28,132.57,0.29,0.07,13448,0.46,5.85,6.92,,,15.21,68.6,1.35,1.67,8.67,,0.0
2021-05-25,132.29,131.89,-0.51,-0.21,22579,0.79,4.7,6.54,,,14.62,66.1,1.36,1.62,7.89,,-0.51
2021-05-26,131.43,130.7,-0.9,-0.35,11580,0.42,1.58,6.44,,,13.58,61.8,1.37,1.61,6.71,,-1.41
2021-05-27,131.48,131.51,0.62,0.6,31077,1.13,0.07,7.13,,,14.29,63.5,1.37,1.55,7.12,,-0.8
2021-05-28,131.46,130.69,-0.62,-0.04,20117,0.81,-1.13,5.91,,,13.57,60.5,1.38,1.52,6.16,,-1.42
2021-06-01,131.61,131.25,0.43,0.7,25020,0.99,-1.0,7.95,,,14.06,61.8,1.32,1.46,6.27,,-1.0
2021-06-02,131.07,131.82,0.43,-0.13,21406,0.87,-0.06,6.31,,,14.55,63.2,1.27,1.44,6.39,,-0.57
2021-06-03,132.78,133.3,1.13,0.73,43669,1.65,1.99,9.32,,,15.84,66.5,1.2,1.4,7.32,,0.0
2021-06-04,133.51,134.63,1.0,0.15,14505,0.55,2.37,7.96,,,17.0,69.2,1.13,1.37,7.98,,0.0
2021-06-07,134.61,134.35,-0.21,-0.01,14179,0.54,2.8,6.7,,,16.75,68.0,1.13,1.34,7.4,,-0.21
2021-06-08,134.9,134.91,0.41,0.41,28648,1.12,2.79,5.85,17.24,,17.24,69.2,1.11,1.34,7.54,,0.0
2021-06-09,132.07,132.42,-1.84,-2.1,39931,1.53,0.46,3.67,16.74,,15.08,58.7,1.2,1.46,5.31,,-1.84
