date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2021-10-28,33.5,35.0,,,18628313,,,,,,0.0,,,11.29,,,
2021-10-29,35.0,35.57,1.63,0.0,2741984,,,,,,1.63,,,10.79,,,
2021-11-01,35.57,36.95,3.88,0.0,1949357,,,,,,5.57,,,10.21,,,
2021-11-02,37.14,35.43,-4.11,0.51,1837204,,,,,,1.23,84.3,,10.49,,,
2021-11-03,35.16,35.81,1.07,-0.76,3567756,,,,,,2.31,84.9,,9.99,,,
2021-11-04,36.23,34.5,-3.66,1.17,953421,,-1.43,,,,-1.43,73.8,,10.15,,,
2021-11-05,34.8,34.34,-0.46,0.87,762903,,-3.46,,,,-1.89,72.6,,9.86,,,
2021-11-08,35.88,36.06,5.01,4.48,1593957,,-2.41,,,,3.03,77.1,,9.38,,,
2021-11-09,36.2,36.44,1.05,0.39,561580,,2.85,,,,4.11,77.9,,8.99,,,
2021-11-10,36.69,34.16,-6.26,0.69,1159546,,-4.61,,,,-2.4,62.7,,9.58,,,
2021-11-11,34.61,37.24,9.02,1.32,872361,,7.94,,,,6.4,71.0,,8.79,,,
2021-11-12,37.24,37.52,0.75,0.0,526833,,9.26,,,,7.2,71.6,,8.54,,,
2021-11-15,38.13,37.61,0.24,1.63,523976,,4.3,,,,7.46,71.8,,8.29,,,
2021-11-16,37.6,36.51,-2.92,-0.03,528364,,0.19,,,,4.31,65.5,,8.26,,,
2021-11-17,36.83,35.82,-1.89,0.88,531891,,4.86,,,,2.34,61.9,,8.24,,,
2021-11-18,35.82,35.0,-2.29,0.0,644264,,-6.02,,,,0.0,57.7,,8.36,,,
2021-11-19,35.0,35.8,2.29,0.0,579548,,-4.58,,,,2.29,60.5,,7.93,,,
2021-11-22,37.71,36.46,1.84,5.34,1546062,,-3.06,,,,4.17,62.7,,7.83,,,
2021-11-23,36.46,36.53,0.19,0.0,2139600,,0.05,,,,4.37,62.9,,7.62,,,
2021-11-24,37.17,35.97,-1.53,1.75,598137,0.28,0.42,,,,2.77,59.7,,7.55,,,-4.36
2021-11-26,35.05,34.37,-4.45,-2.56,431211,0.36,-1.8,,,,-1.8,51.6,,7.78,,,-8.61
2021-11-29,35.0,34.08,-0.84,1.83,677810,0.62,-4.8,-2.63,,,-2.63,50.3,3.5,7.71,,,-9.39
2021-11-30,35.63,31.69,-7.01,4.55,1430956,1.33,-13.08,-10.91,,,-9.46,40.9,3.79,8.64,,,-15.74
