date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,22.89,23.47,,,291360,,,,,,0.0,,,3.58,,,
2005-02-28,23.21,22.97,-2.13,-1.11,358711,,,,,,-2.13,0.0,,3.74,,,
2005-03-01,22.95,23.13,0.7,-0.09,283045,,,,,,-1.45,2.4,,3.74,,,
2005-03-02,23.22,22.83,-1.3,0.39,407774,,,,,,-2.73,2.3,,3.65,,,
2005-03-03,23.0,22.73,-0.44,0.74,440653,,,,,,-3.15,2.3,,3.64,,,
2005-03-04,22.79,22.82,0.4,0.26,443218,,-2.77,,,,-2.77,3.8,,3.56,,,
2005-03-07,22.99,23.66,3.68,0.74,270399,,3.0,,,,0.81,16.8,,3.49,,,
2005-03-08,23.84,24.03,1.56,0.76,392823,,3.89,,,,2.39,21.8,,3.35,,,
2005-03-09,23.85,23.7,-1.37,-0.75,191241,,3.81,,,,0.98,20.6,,3.37,,,
2005-03-10,23.63,24.02,1.35,-0.3,259307,,5.68,,,,2.34,24.9,,3.42,,,
2005-03-11,24.26,23.68,-1.42,1.0,256611,,3.77,,,,0.89,23.5,,3.51,,,
2005-03-14,23.4,23.44,-1.01,-1.18,217081,,-0.93,,,,-0.13,22.5,,3.47,,,
2005-03-15,23.64,23.08,-1.54,0.85,178948,,-3.95,,,,-1.66,21.0,,3.48,,,
2005-03-16,22.9,22.11,-4.2,-0.78,947624,,-6.71,,,,-5.79,17.7,,3.87,,,
2005-03-17,22.2,22.36,1.13,0.41,204531,,-6.91,,,,-4.73,21.2,,3.73,,,
2005-03-18,22.47,21.92,-1.97,0.49,388997,,-7.43,,,,-6.6,19.6,,3.79,,,
2005-03-21,21.91,21.69,-1.05,-0.05,361285,,-7.47,,,,-7.58,18.8,,3.71,,,
2005-03-22,21.7,21.81,0.55,0.05,347381,,-5.5,,,,-7.07,20.6,,3.56,,,
2005-03-23,21.67,22.31,2.29,-0.64,260329,,0.9,,,,-4.94,27.7,,3.55,,,
2005-03-24,22.58,22.11,-0.9,1.21,301027,0.89,-1.12,,,,-5.79,26.7,,3.5,,,-7.99
2005-03-28,22.12,22.55,1.99,0.05,278798,0.82,2.87,,,,-3.92,32.6,,3.35,,,-6.16
2005-03-29,22.32,22.25,-1.33,-1.02,241813,0.72,2.58,-5.2,,,-5.2,30.7,1.83,3.34,,,-7.41
2005-03-30,22.47,23.05,3.6,0.99,196315,0.6,5.69,0.35,,,-1.79,40.3,1.96,3.24,,,-4.08
2005-03-31,23.07,22.64,-1.78,0.09,279229,0.86,1.48,-2.12,,,-3.54,37.5,1.99,3.28,,,-5.78
2005-04-01,22.43,23.3,2.92,-0.93,401986,1.25,5.38,2.06,,,-0.72,44.3,2.07,3.28,,,-3.04
2005-04-04,23.13,23.05,-1.07,-0.73,329688,1.05,2.22,1.41,,,-1.79,42.4,2.08,3.19,,,-4.08
2005-04-05,23.28,22.99,-0.26,1.0,198590,0.64,3.33,0.74,,,-2.05,41.9,2.08,3.15,,,-4.33
2005-04-06,23.13,23.45,2.0,0.61,253762,0.83,1.74,-0.89,,,-0.09,46.7,1.97,3.18,,,-2.41
2005-04-07,23.44,23.75,1.28,-0.04,189380,0.62,4.9,-1.17,,,1.19,49.7,1.96,3.03,,,-1.17
2005-04-08,23.78,23.22,-2.23,0.13,124977,0.42,-0.34,-2.03,,,-1.07,45.0,1.99,3.12,,,-3.37
2005-04-11,23.24,23.17,-0.22,0.09,130394,0.45,0.52,-3.54,,,-1.28,44.5,1.97,3.05,,,-3.58
2005-04-12,23.11,22.97,-0.86,-0.26,183237,0.63,-0.09,-3.0,,,-2.13,42.8,1.95,3.05,,,-4.41
2005-04-13,22.91,22.59,-1.65,-0.26,397376,1.32,-3.67,-3.63,,,-3.75,39.6,1.97,3.13,,,-5.99
2005-04-14,22.36,21.25,-5.93,-1.02,455889,1.65,-10.53,-7.93,,,-9.46,30.9,2.33,3.63,,,-11.57
2005-04-15,21.25,20.64,-2.87,0.0,290110,1.03,-11.11,-6.65,,,-12.06,27.8,2.23,3.78,,,-14.11
2005-04-18,20.59,20.83,0.92,-0.24,371994,1.33,-10.1,-6.84,,,-11.25,30.1,2.23,3.72,,,-13.32
2005-04-19,20.83,22.17,6.43,0.0,474590,1.66,-3.48,1.14,,,-5.54,43.7,2.63,3.72,,,-7.74
2005-04-20,22.34,22.31,0.63,0.77,485200,1.66,-1.24,2.86,,,-4.94,44.9,2.62,3.74,,,-7.16
