date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2026-06-01,24.29,24.77,,,1450941,,,,,,0.0,,,5.03,,,
2026-06-02,25.79,27.44,10.78,4.12,3568086,,,,,,10.78,,,4.91,,,
2026-06-03,27.76,26.85,-2.15,1.17,4566892,,,,,,8.4,98.3,,4.99,,,
2026-06-04,25.51,26.53,-1.19,-4.99,2498334,,,,,,7.11,97.4,,5.31,,,
2026-06-05,25.46,23.7,-10.67,-4.03,2012704,,,,,,-4.32,89.2,,6.42,,,
2026-06-08,24.62,24.38,2.87,3.88,1149507,,-1.57,,,,-1.57,89.4,,6.19,,,
2026-06-09,24.91,22.72,-6.81,2.17,1793942,,-17.2,,,,-8.28,84.6,,7.2,,,
2026-06-10,22.9,22.82,0.44,0.79,1011099,,-15.01,,,,-7.87,84.7,,7.08,,,
2026-06-11,23.01,23.83,4.43,0.83,841098,,-10.18,,,,-3.79,85.3,,6.61,,,
2026-06-12,24.02,24.41,2.43,0.8,751271,,3.0,,,,-1.45,85.6,,6.34,,,
2026-06-15,25.49,25.54,4.63,4.42,994789,,4.76,,,,3.11,86.2,,6.04,,,
2026-06-16,25.68,23.79,-6.85,0.55,829512,,4.71,,,,-3.96,80.3,,6.6,,,
2026-06-17,24.14,23.52,-1.13,1.47,634847,,3.07,,,,-5.05,79.4,,6.44,,,
2026-06-18,24.36,23.65,0.55,3.55,920110,,-0.76,,,,-4.52,79.6,,6.26,,,
2026-06-22,23.91,24.84,5.03,1.1,2178354,,1.76,,,,0.28,80.7,,6.04,,,
2026-06-23,23.39,23.18,-6.68,-5.84,1261347,,-9.24,,,,-6.42,74.6,,6.58,,,
2026-06-24,23.3,22.96,-0.95,0.52,687703,,-3.49,,,,-7.31,73.9,,6.53,,,
2026-06-25,23.86,23.34,1.66,3.92,756533,,-0.77,,,,-5.77,74.4,,6.47,,,
2026-06-26,22.74,22.36,-4.2,-2.57,677448,,-5.45,,,,-9.73,70.6,,6.76,,,
2026-06-29,22.5,22.93,2.55,0.63,421281,0.29,-7.69,,,,-7.43,71.5,,6.55,,,-16.44
2026-06-30,23.0,23.48,2.4,0.31,366844,0.26,1.29,,,,-5.21,72.4,,6.17,,,-14.43
2026-07-01,23.01,22.74,-3.15,-2.0,495797,0.4,-0.96,-8.2,,,-8.2,69.3,4.99,6.26,,,-17.13
