date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2006-11-16,20.0,20.0,,,0,,,,,,0.0,,,0.0,,,
2006-11-17,24.5,24.74,23.7,22.5,18359706,,,,,,23.7,,,1.5,,,
2006-11-20,24.69,25.0,1.05,-0.2,1688963,,,,,,25.0,,,1.77,,,
2006-11-21,25.0,24.6,-1.6,0.0,1179813,,,,,,23.0,99.3,,1.92,,,
2006-11-22,24.57,26.88,9.27,-0.12,1260752,,,,,,34.4,99.3,,2.27,,,
2006-11-24,27.0,27.75,3.24,0.45,350251,,38.75,,,,38.75,99.3,,2.32,,,
2006-11-27,28.39,28.35,2.16,2.31,910473,,14.59,,,,41.75,99.4,,2.3,,,
2006-11-28,28.53,28.17,-0.63,0.63,587427,,12.68,,,,40.85,99.0,,2.44,,,
2006-11-29,28.5,28.27,0.35,1.17,414635,,14.92,,,,41.35,99.0,,2.49,,,
2006-11-30,28.8,28.3,0.11,1.87,245668,,5.28,,,,41.5,99.0,,2.52,,,
2006-12-01,28.3,27.89,-1.45,0.0,257298,,0.5,,,,39.45,97.9,,2.56,,,
2006-12-04,28.0,27.88,-0.04,0.39,482991,,-1.66,,,,39.4,97.9,,2.59,,,
2006-12-05,27.62,27.08,-2.87,-0.93,782351,,-3.87,,,,35.4,95.5,,2.87,,,
2006-12-06,26.8,27.2,0.44,-1.03,138236,,-3.78,,,,36.0,95.5,,2.88,,,
2006-12-07,27.7,27.32,0.44,1.84,155032,,-3.46,,,,36.6,95.5,,2.8,,,
2006-12-08,27.5,27.53,0.77,0.66,55222,,-1.29,,,,37.65,95.6,,2.68,,,
2006-12-11,27.32,27.95,1.53,-0.76,232649,,0.25,,,,39.75,95.7,,2.73,,,
2006-12-12,28.2,27.2,-2.68,0.89,371691,,0.44,,,,36.0,92.7,,2.94,,,
2006-12-13,27.3,27.64,1.62,0.37,547779,,1.62,,,,38.2,92.9,,3.1,,,
2006-12-14,27.62,27.93,1.05,-0.07,837635,0.58,2.23,,,,39.65,93.0,,3.18,,,-1.48
2006-12-15,28.36,29.05,4.01,1.54,2069209,1.34,5.52,,,,45.25,93.3,,3.21,,,0.0
2006-12-18,29.32,28.59,-1.58,0.93,738847,1.11,2.29,42.95,,,42.95,91.2,5.65,3.4,,,-1.58
