date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2015-05-15,8.63,8.92,,,19510922,,,,,,0.0,,,6.72,,,
2015-05-18,8.87,8.87,-0.63,-0.63,2720038,,,,,,-0.63,0.0,,6.45,,,
2015-05-19,8.86,9.11,2.73,-0.11,1242628,,,,,,2.08,24.8,,6.04,,,
2015-05-20,9.09,8.92,-2.04,-0.27,1138765,,,,,,0.0,20.6,,5.98,,,
2015-05-21,8.9,8.9,-0.32,-0.32,353869,,,,,,-0.32,20.0,,5.69,,,
2015-05-22,8.86,8.9,0.0,-0.36,211801,,-0.32,,,,-0.32,20.0,,5.34,,,
2015-05-26,8.92,8.91,0.15,0.22,561790,,0.46,,,,-0.18,21.2,,5.17,,,
2015-05-27,8.92,8.9,-0.07,0.18,341258,,-2.29,,,,-0.25,21.0,,4.97,,,
2015-05-28,8.9,8.9,-0.07,-0.07,134713,,-0.32,,,,-0.32,20.8,,4.7,,,
2015-05-29,8.87,9.11,2.41,-0.31,197337,,2.41,,,,2.08,38.6,,4.5,,,
2015-06-01,9.1,9.25,1.5,-0.11,950328,,3.95,,,,3.61,46.7,,4.25,,,
2015-06-02,9.25,9.17,-0.88,0.05,662648,,2.88,,,,2.7,43.1,,4.09,,,
2015-06-03,9.17,9.15,-0.12,0.0,637448,,2.83,,,,2.57,42.5,,3.87,,,
2015-06-04,9.14,9.12,-0.34,-0.16,306389,,2.55,,,,2.22,41.1,,3.65,,,
2015-06-05,9.04,9.18,0.59,-0.87,467189,,0.73,,,,2.83,44.6,,3.49,,,
2015-06-08,9.17,9.21,0.35,-0.12,282840,,-0.41,,,,3.19,46.6,,3.29,,,
2015-06-09,9.25,9.52,3.34,0.41,1991983,,3.84,,,,6.64,61.1,,3.27,,,
2015-06-10,9.51,9.87,3.71,-0.06,1375884,,7.83,,,,10.6,70.9,,3.28,,,
2015-06-11,9.82,9.91,0.4,-0.53,493360,,8.63,,,,11.05,71.8,,3.28,,,
2015-06-12,9.98,9.78,-1.28,0.66,284133,0.17,6.61,,,,9.62,65.1,,3.32,,,-1.28
2015-06-15,9.73,9.85,0.65,-0.53,265585,0.36,6.93,,,,10.33,66.8,,3.19,,,-0.64
2015-06-16,9.76,9.89,0.48,-0.9,242775,0.4,3.96,10.86,,,10.86,68.0,1.48,3.18,,,-0.16
2015-06-17,9.79,9.7,-1.92,-1.07,315667,0.56,-1.68,9.43,,,8.74,58.7,1.55,3.27,,,-2.08
2015-06-18,9.59,10.03,3.4,-1.22,1105381,1.98,1.25,10.14,,,12.44,67.1,1.61,3.34,,,0.0
2015-06-19,9.97,9.98,-0.54,-0.66,445120,0.79,2.02,11.83,,,11.83,64.8,1.52,3.28,,,-0.54
2015-06-22,9.98,9.87,-1.14,-0.05,108313,0.19,0.2,10.92,,,10.56,60.1,1.55,3.28,,,-1.67
2015-06-23,9.88,10.24,3.78,0.17,341212,0.62,3.49,15.1,,,14.73,68.2,1.7,3.2,,,0.0
2015-06-24,10.19,10.0,-2.31,-0.49,384845,0.7,3.07,12.27,,,12.08,59.9,1.82,3.37,,,-2.31
2015-06-25,9.95,9.76,-2.38,-0.54,227011,0.41,-2.69,9.68,,,9.41,52.8,1.93,3.52,,,-4.64
2015-06-26,9.98,9.98,2.16,2.16,180458,0.33,-0.05,12.14,,,11.78,57.6,1.96,3.43,,,-2.57
2015-06-29,9.9,9.83,-1.49,-0.71,550650,1.03,-0.4,7.86,,,10.11,53.5,1.96,3.37,,,-4.03
2015-06-30,9.88,9.78,-0.5,0.52,66160,0.13,-4.51,5.74,,,9.56,52.2,1.95,3.31,,,-4.51
2015-07-01,9.82,9.93,1.58,0.39,165995,0.35,-0.7,8.36,,,11.29,55.9,1.95,3.19,,,-3.0
2015-07-02,9.94,9.7,-2.37,0.1,2057930,3.63,-0.69,5.93,,,8.66,49.6,2.04,3.39,,,-5.3
2015-07-06,9.54,9.91,2.2,-1.62,127046,0.23,-0.66,8.63,,,11.05,54.6,2.08,3.38,,,-3.21
2015-07-07,9.97,9.78,-1.28,0.58,1178826,1.98,-0.44,6.61,,,9.62,51.3,2.11,3.48,,,-4.45
2015-07-08,9.73,9.6,-1.92,-0.59,176004,0.35,-1.86,4.2,,,7.52,46.9,2.17,3.49,,,-6.29
2015-07-09,9.64,9.63,0.31,0.46,141699,0.32,-3.09,1.14,,,7.85,47.7,2.05,3.45,,,-6.0
2015-07-10,9.66,9.57,-0.58,0.32,310470,0.72,-1.32,-3.05,,,7.22,46.3,1.87,3.4,,,-6.55
2015-07-13,9.57,9.7,1.42,0.0,173966,0.41,-2.08,-2.08,,,8.74,50.0,1.9,3.29,,,-5.22
2015-07-14,9.66,9.7,-0.04,-0.43,151924,0.36,-0.84,-0.84,,,8.7,49.9,1.88,3.25,,,-5.26
2015-07-15,9.66,9.7,0.04,-0.46,133681,0.32,1.14,-1.44,,,8.74,50.0,1.87,3.23,,,-5.22
2015-07-16,9.7,9.57,-1.4,0.0,527281,1.23,-0.58,-3.29,,,7.22,46.0,1.89,3.26,,,-6.55
2015-07-17,9.56,9.6,0.28,-0.15,192327,0.5,0.28,-1.12,,,7.52,46.9,1.85,3.14,,,-6.29
2015-07-20,9.56,9.61,0.13,-0.37,170814,0.46,-1.0,-4.25,,,7.66,47.4,1.67,3.03,,,-6.17
2015-07-21,9.61,9.63,0.18,0.0,77711,0.21,-0.78,-3.56,,,7.85,48.0,1.67,2.89,,,-6.0
2015-07-22,9.61,9.65,0.28,-0.13,46185,0.13,-0.55,-2.18,,,8.15,49.0,1.66,2.77,,,-5.74
2015-07-23,9.66,9.7,0.55,0.05,70101,0.21,1.42,-5.22,,,8.74,51.1,1.42,2.62,,,-5.22
2015-07-24,9.65,9.58,-1.33,-0.55,152270,0.46,-0.21,-4.26,,,7.3,46.2,1.36,2.6,,,-6.48
2015-07-27,9.57,9.45,-1.37,-0.07,156903,0.47,-1.7,-3.27,,,5.83,41.8,1.29,2.65,-0.89,,-7.76
2015-07-28,9.45,9.12,-3.49,0.07,596458,1.79,-5.3,-8.63,,,2.14,33.2,1.37,3.23,-4.39,,-10.98
2015-07-29,9.13,9.68,6.18,0.17,172294,0.51,0.27,-1.51,,,8.44,51.5,1.97,3.62,1.34,,-5.48
2015-07-30,9.68,9.61,-0.68,0.0,64728,0.19,-0.95,-1.69,,,7.71,49.8,1.97,3.6,0.55,,-6.12
2015-07-31,9.63,9.47,-1.47,0.19,307686,1.25,-1.09,-4.64,,,6.13,46.2,1.95,3.67,-1.04,,-7.5
2015-08-03,9.44,9.4,-0.77,-0.38,149911,0.61,-0.49,-3.08,,,5.31,44.5,1.9,3.62,-1.91,,-8.21
