date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2016-07-06,28.58,28.99,,,11046383,,,,,,0.0,,,4.84,,,
2016-07-07,28.91,28.98,-0.02,-0.27,9037477,,,,,,-0.02,0.0,,4.59,,,
2016-07-08,29.12,30.48,5.15,0.46,6989563,,,,,,5.13,95.7,,4.49,,,
2016-07-11,29.88,31.04,1.83,-1.97,9756466,,,,,,7.06,96.9,,4.41,,,
2016-07-12,30.96,30.7,-1.07,-0.23,9146354,,,,,,5.92,82.2,,4.26,,,
2016-07-13,30.7,30.73,0.1,0.0,8012778,,6.02,,,,6.02,82.5,,4.13,,,
2016-07-14,30.56,31.31,1.87,-0.58,5734608,,8.02,,,,8.0,86.5,,4.01,,,
2016-07-15,31.44,31.1,-0.65,0.41,6077559,,2.06,,,,7.29,79.5,,3.93,,,
2016-07-18,30.82,31.14,0.12,-0.9,2565449,,0.34,,,,7.42,79.8,,3.8,,,
2016-07-19,30.99,31.3,0.5,-0.49,3219499,,1.93,,,,7.96,81.2,,3.66,,,
2016-07-20,31.47,30.56,-2.34,0.57,5520640,,-0.56,,,,5.43,60.8,,3.75,,,
2016-07-21,30.6,30.5,-0.2,0.12,5002499,,-2.58,,,,5.22,59.5,,3.58,,,
2016-07-22,30.36,29.99,-1.67,-0.48,4036473,,-3.57,,,,3.46,49.7,,3.53,,,
2016-07-25,29.88,29.73,-0.86,-0.37,5015205,,-4.51,,,,2.57,45.6,,3.54,,,
2016-07-26,29.48,29.92,0.62,-0.84,2588305,,-4.4,,,,3.21,48.9,,3.43,,,
2016-07-27,29.8,29.7,-0.74,-0.41,2682498,,-2.82,,,,2.45,45.4,,3.32,,,
2016-07-28,29.59,29.54,-0.55,-0.37,4814634,,-3.16,,,,1.89,42.9,,3.21,,,
2016-07-29,29.42,29.27,-0.9,-0.39,7385818,,-2.41,,,,0.97,39.2,,3.13,,,
2016-08-01,29.21,29.02,-0.86,-0.21,4910052,,-2.4,,,,0.11,36.1,,3.07,,,
2016-08-02,28.84,28.84,-0.62,-0.62,5381645,0.91,-3.61,,,,-0.51,34.0,,2.99,,,-7.88
2016-08-03,28.84,29.92,3.74,0.0,7757846,1.34,0.74,,,,3.21,52.1,,2.99,,,-4.43
2016-08-04,30.11,30.37,1.51,0.63,5018449,0.9,2.83,4.77,,,4.77,57.4,1.77,2.85,,,-2.99
2016-08-05,30.51,30.71,1.11,0.47,4391023,0.81,4.92,5.95,,,5.94,60.9,1.78,2.75,,,-1.91
2016-08-08,30.74,30.38,-1.06,0.1,3486072,0.68,4.7,-0.3,,,4.82,56.1,1.41,2.71,,,-2.95
2016-08-09,29.58,30.64,0.83,-2.64,1775450,0.37,6.23,-1.29,,,5.68,58.8,1.36,2.8,,,-2.15
2016-08-10,30.64,30.63,-0.02,0.02,1944957,0.44,2.37,-0.24,,,5.66,58.7,1.34,2.7,,,-2.17
2016-08-11,30.8,31.9,4.16,0.56,3282191,0.76,5.04,3.81,,,10.06,69.6,1.62,2.71,,,0.0
2016-08-12,31.57,32.0,0.3,-1.04,2121165,0.51,4.2,2.21,,,10.39,70.2,1.57,2.66,,,0.0
2016-08-15,32.15,32.58,1.81,0.46,2401399,0.58,7.22,4.75,,,12.39,73.8,1.6,2.56,,,0.0
2016-08-16,32.53,32.51,-0.21,-0.15,1650886,0.41,6.13,4.41,,,12.16,72.7,1.61,2.48,,,-0.21
2016-08-17,32.59,32.43,-0.26,0.22,1700305,0.44,5.87,3.62,,,11.86,71.3,1.61,2.36,,,-0.47
2016-08-18,32.31,32.27,-0.47,-0.36,1440693,0.39,1.16,5.6,,,11.33,68.6,1.51,2.28,,,-0.94
2016-08-19,32.15,31.52,-2.33,-0.39,1970148,0.55,-1.49,3.35,,,8.74,57.5,1.61,2.37,,,-3.24
2016-08-22,31.52,31.12,-1.27,0.0,1781653,0.52,-4.48,3.76,,,7.36,52.6,1.59,2.36,,,-4.48
2016-08-23,31.18,31.51,1.25,0.2,4140491,1.18,-3.08,5.97,,,8.7,56.4,1.59,2.3,,,-3.28
2016-08-24,31.16,31.23,-0.89,-1.1,1139573,0.33,-3.7,4.38,,,7.73,53.1,1.61,2.32,,,-4.15
2016-08-25,31.11,31.38,0.49,-0.37,2277967,0.69,-2.76,5.67,,,8.26,54.7,1.59,2.27,,,-3.68
2016-08-26,31.39,31.53,0.48,0.04,1542200,0.51,0.04,6.76,,,8.78,56.2,1.58,2.21,,,-3.21
2016-08-29,31.48,31.86,1.04,-0.17,1718667,0.6,2.38,8.86,,,9.91,59.5,1.56,2.2,,,-2.2
2016-08-30,31.73,31.98,0.38,-0.42,1566143,0.59,1.5,10.21,,,10.33,60.7,1.54,2.21,,,-1.83
2016-08-31,31.9,32.02,0.12,-0.26,2720004,1.13,2.53,11.03,,,10.46,61.1,1.52,2.16,,,-1.72
2016-09-01,32.2,32.0,-0.08,0.55,1578065,0.71,1.95,6.94,,,10.37,60.7,1.33,2.14,,,-1.79
2016-09-02,32.23,32.45,1.43,0.74,1383035,0.66,2.91,6.85,,,11.95,65.3,1.32,2.07,,,-0.39
2016-09-06,32.52,32.06,-1.22,0.22,2128153,1.06,0.61,4.39,,,10.58,58.8,1.35,2.12,,,-1.6
2016-09-07,31.87,32.18,0.4,-0.57,2867388,1.39,0.63,5.92,,,11.02,60.2,1.32,2.11,,,-1.21
2016-09-08,32.03,31.81,-1.15,-0.49,1805766,0.88,-0.64,3.85,,,9.75,54.5,1.35,2.07,,,-2.35
2016-09-09,31.47,30.73,-3.4,-1.07,3537691,1.71,-3.95,0.33,,,6.01,42.0,1.56,2.24,,,-5.67
2016-09-12,30.41,31.13,1.31,-1.05,3046261,1.44,-4.07,-2.42,,,7.4,46.9,1.28,2.28,,,-4.44
2016-09-13,30.92,30.42,-2.29,-0.69,2643544,1.24,-5.1,-4.94,,,4.94,40.4,1.36,2.37,,,-6.63
2016-09-14,30.43,30.41,-0.04,0.02,1895372,0.88,-5.52,-6.66,,,4.9,40.3,1.28,2.32,-1.69,,-6.66
2016-09-15,30.38,30.7,0.95,-0.08,2331192,1.07,-3.51,-5.59,,,5.89,43.9,1.31,2.29,-0.87,,-5.78
2016-09-16,30.46,30.56,-0.46,-0.76,3868578,1.68,-0.57,-5.77,,,5.41,42.5,1.31,2.29,-1.42,,-6.21
2016-09-19,30.65,30.87,1.03,0.3,1594902,0.7,-0.84,-4.35,,,6.49,46.5,1.34,2.27,-0.43,,-5.25
2016-09-20,30.87,30.55,-1.04,0.0,1760763,0.77,0.42,-3.09,,,5.38,43.2,1.27,2.25,-1.44,,-6.23
2016-09-21,30.68,30.99,1.45,0.44,1399551,0.65,1.92,-0.41,,,6.91,48.6,1.28,2.17,-0.03,,-4.87
2016-09-22,31.22,31.39,1.29,0.72,2706216,1.22,2.27,-0.37,,,8.3,53.0,1.29,2.13,1.23,,-3.64
2016-09-23,31.19,30.93,-1.47,-0.65,1327740,0.61,1.23,-0.95,,,6.7,48.0,1.31,2.15,-0.24,,-5.06
2016-09-26,30.8,31.14,0.67,-0.43,1753898,0.8,0.87,-0.77,,,7.42,50.2,1.32,2.14,0.43,,-4.42
2016-09-27,31.07,31.38,0.76,-0.23,1967946,0.9,2.71,-0.5,,,8.23,52.8,1.32,2.08,1.17,,-3.7
2016-09-28,31.45,31.44,0.21,0.25,1489727,0.68,1.45,-1.32,,,8.47,53.5,1.3,1.98,1.38,,-3.49
2016-09-29,31.06,30.82,-1.97,-1.22,2367964,1.09,-1.82,-3.63,,,6.33,46.4,1.36,2.03,-0.64,,-5.39
2016-09-30,31.08,30.94,0.39,0.83,3197804,1.42,0.04,-3.36,,,6.75,47.9,1.37,2.02,-0.27,,-5.02
2016-10-03,30.77,31.24,0.96,-0.57,2239522,0.98,0.33,-2.36,,,7.77,51.4,1.39,2.0,0.61,,-4.11
2016-10-04,31.16,30.89,-1.13,-0.25,1994862,0.87,-1.55,-4.82,6.55,,6.55,47.3,1.36,2.0,-0.61,,-5.19
2016-10-05,31.02,30.97,0.26,0.42,1454920,0.66,-1.51,-3.4,6.85,,6.83,48.3,1.34,1.95,-0.42,,-4.95
2016-10-06,30.9,30.82,-0.47,-0.22,1251739,0.57,0.0,-4.23,1.13,,6.33,46.6,1.34,1.89,-0.96,,-5.39
2016-10-07,30.7,30.35,-1.52,-0.39,1746279,0.83,-1.91,-4.59,-2.2,,4.71,41.4,1.35,1.92,-2.52,,-6.83
2016-10-10,30.54,30.37,0.04,0.61,1679727,0.83,-2.81,-1.19,-1.1,,4.75,41.6,1.14,1.84,-2.55,,-6.8
2016-10-11,30.35,29.92,-1.46,-0.06,2283552,1.13,-3.12,-3.89,-2.64,,3.22,37.1,1.14,1.9,-4.02,,-8.15
2016-10-12,30.03,29.78,-0.47,0.37,2659829,1.3,-3.83,-2.1,-4.88,,2.73,35.8,1.03,1.88,-4.53,,-8.59
2016-10-13,29.56,29.68,-0.35,-0.73,1983502,0.97,-3.71,-2.4,-4.58,,2.38,34.8,1.03,2.0,-4.85,,-8.91
2016-10-14,29.83,30.07,1.32,0.52,1429489,0.75,-0.93,-2.04,-3.43,,3.73,41.4,1.06,1.99,-3.57,,-7.7
2016-10-17,30.13,29.82,-0.81,0.2,1836603,0.95,-1.78,-2.39,-4.7,,2.88,38.7,1.06,1.97,-4.3,,-8.45
2016-10-18,30.19,29.84,0.06,1.21,1886006,0.98,-0.27,-3.33,-2.35,,2.95,39.1,1.03,2.02,-4.21,,-8.4
2016-10-19,29.95,30.03,0.62,0.37,1237790,0.64,0.83,-1.71,-1.55,,3.58,42.2,1.03,2.05,-3.58,,-7.83
2016-10-20,29.87,29.61,-1.4,-0.51,2334572,1.22,-0.24,-4.47,-1.29,,2.13,37.4,1.0,2.07,-4.87,,-9.13
2016-10-21,29.32,29.59,-0.06,-0.98,2805423,1.42,-1.61,-5.75,-0.5,,2.06,37.2,0.94,2.04,-4.79,,-9.18
2016-10-24,29.71,29.52,-0.24,0.41,2088376,1.05,-1.04,-4.58,-1.35,,1.82,36.4,0.9,2.03,-4.87,,-9.4
2016-10-25,29.49,29.13,-1.3,-0.1,2099267,1.05,-2.39,-6.45,-1.91,,0.49,32.3,0.91,2.01,-5.9,,-10.58
2016-10-26,29.06,29.04,-0.31,-0.25,2581656,1.25,-3.29,-7.44,-1.68,,0.18,31.4,0.87,1.96,-5.99,,-10.86
2016-10-27,28.99,28.87,-0.58,-0.17,5171892,2.35,-2.48,-8.18,-1.36,,-0.4,29.8,0.86,1.98,-6.32,,-11.38
2016-10-28,30.54,30.53,5.73,5.77,6526530,2.76,3.17,-0.96,5.19,,5.3,54.8,1.54,2.33,-0.84,,-6.31
2016-10-31,30.53,31.04,1.67,0.0,2568914,1.08,5.15,0.3,7.61,,7.06,59.6,1.58,2.31,0.85,,-4.74
2016-11-01,30.97,30.7,-1.09,-0.22,2911705,1.2,5.37,-1.75,2.59,,5.89,55.4,1.58,2.32,-0.22,,-5.78
2016-11-02,30.67,30.59,-0.34,-0.08,1447161,0.6,5.34,-0.97,0.72,,5.52,54.1,1.56,2.29,-0.51,,-6.11
2016-11-03,30.57,30.99,1.32,-0.06,1882457,0.77,7.35,0.08,0.92,,6.91,58.1,1.59,2.27,0.82,,-4.87
2016-11-04,31.02,31.07,0.26,0.08,2579573,1.03,1.79,0.81,2.26,,7.19,58.9,1.59,2.26,1.1,,-4.62
2016-11-07,31.35,31.49,1.33,0.89,2314141,0.91,1.45,3.73,2.78,,8.61,62.6,1.57,2.21,2.45,,-3.36
2016-11-08,31.54,32.01,1.66,0.17,1914081,0.76,4.27,5.41,4.5,,10.42,66.8,1.6,2.21,4.13,,-1.75
2016-11-09,31.61,32.5,1.54,-1.25,2753357,1.09,6.25,8.62,1.87,,12.12,70.2,1.57,2.29,5.71,,-0.24
2016-11-10,32.8,32.95,1.38,0.91,2949686,1.15,6.32,10.64,2.97,,13.67,72.9,1.57,2.35,7.1,,0.0
2016-11-11,32.88,32.46,-1.47,-0.21,2322946,0.89,4.48,9.39,-0.35,,11.99,65.9,1.62,2.41,5.49,,-1.47
2016-11-14,32.71,32.72,0.78,0.74,4320067,1.58,3.91,8.81,0.63,,12.87,67.6,1.61,2.31,6.29,,-0.71
2016-11-15,32.79,32.9,0.56,0.23,2801981,1.01,2.79,10.31,1.46,,13.5,68.9,1.59,2.23,6.83,,-0.15
2016-11-16,32.7,33.1,0.59,-0.61,2522493,0.89,1.83,10.9,2.55,,14.17,70.2,1.58,2.16,7.4,,0.0
2016-11-17,33.06,33.13,0.11,-0.11,1534807,0.55,0.55,10.34,5.11,,14.29,70.4,1.59,2.1,7.42,,0.0
2016-11-18,33.12,33.21,0.24,-0.04,1898011,0.69,2.3,12.18,6.72,,14.57,71.0,1.53,2.03,7.51,,0.0
2016-11-21,32.98,33.33,0.36,-0.7,2288577,0.83,1.88,12.66,5.78,,14.99,71.9,1.52,2.03,7.75,,0.0
2016-11-22,33.32,33.7,1.12,-0.04,2182230,0.79,2.44,14.19,7.93,,16.27,74.5,1.51,2.02,8.72,,0.0
2016-11-23,33.85,33.97,0.77,0.44,1729858,0.63,2.63,16.59,8.23,,17.17,76.1,1.45,1.94,9.31,,0.0
2016-11-25,34.14,34.07,0.31,0.5,803779,0.32,2.83,17.32,8.04,,17.53,76.8,1.43,1.89,9.41,,0.0
2016-11-28,34.14,33.84,-0.68,0.19,1724790,0.76,1.89,17.21,6.2,,16.73,72.1,1.43,1.88,8.44,,-0.68
2016-11-29,33.7,33.65,-0.56,-0.42,1770879,0.79,0.94,10.23,5.21,,16.07,68.4,0.91,1.86,7.63,,-1.24
2016-11-30,33.88,33.47,-0.52,0.68,7716951,3.12,-0.68,7.86,4.54,,15.47,65.1,0.89,1.91,6.88,,-1.75
2016-12-01,33.56,32.99,-1.46,0.27,5452360,2.04,-2.88,7.46,3.1,,13.79,56.8,0.92,1.96,5.19,,-3.18
2016-12-02,33.05,33.16,0.54,0.18,4181643,1.5,-2.66,8.41,2.19,,14.4,58.9,0.91,1.94,5.63,,-2.66
