date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2012-03-26,4.88,5.14,,,109757,,,,,,0.0,,,12.45,,,
2012-03-27,5.12,4.57,-11.09,-0.39,202200,,,,,,-11.09,0.0,,14.25,,,
2012-03-28,4.69,4.2,-8.1,2.63,64650,,,,,,-18.29,0.0,,15.24,,,
2012-03-29,4.2,4.34,3.33,0.0,141359,,,,,,-15.56,1.9,,14.76,,,
2012-03-30,4.31,4.04,-6.91,-0.69,39200,,,,,,-21.4,1.8,,15.59,,,
2012-04-02,4.04,4.14,2.48,0.0,26795,,-19.46,,,,-19.46,3.3,,14.61,,,
2012-04-03,4.2,4.02,-2.9,1.45,45571,,-12.04,,,,-21.79,3.2,,14.81,,,
2012-04-04,4.02,3.99,-0.75,0.0,45246,,-5.0,,,,-22.37,3.2,,14.23,,,
2012-04-05,3.9,4.0,0.25,-2.26,46405,,-7.83,,,,-22.18,3.4,,13.46,,,
2012-04-09,3.9,3.99,-0.25,-2.5,20047,,-1.24,,,,-22.37,3.4,,12.71,,,
2012-04-10,3.93,3.75,-6.02,-1.5,53597,,-9.42,,,,-27.04,3.2,,13.19,,,
2012-04-11,3.81,3.6,-4.0,1.6,44563,,-10.45,,,,-29.96,3.1,,14.11,,,
2012-04-12,3.55,3.25,-9.72,-1.39,143867,,-18.55,,,,-36.77,2.9,,15.59,,,
2012-04-13,3.2,3.0,-7.69,-1.54,147197,,-25.0,,,,-41.63,2.7,,17.51,,,
2012-04-16,2.96,2.81,-6.33,-1.33,50964,,-29.57,,,,-45.33,2.6,,18.15,,,
2012-04-17,2.78,2.89,2.85,-1.07,46023,,-22.93,,,,-43.77,4.4,,16.98,,,
2012-04-18,2.81,2.93,1.38,-2.77,22624,,-18.61,,,,-43.0,5.4,,15.89,,,
2012-04-19,3.0,3.08,5.12,2.39,112352,,-5.23,,,,-40.08,9.0,,14.53,,,
2012-04-20,3.18,2.95,-4.22,3.25,45872,,-1.67,,,,-42.61,8.7,,14.76,,,
2012-04-23,2.95,2.82,-4.41,0.0,23247,0.32,0.36,,,,-45.14,8.4,,14.72,,,-45.14
2012-04-24,2.9,3.04,7.8,2.84,44487,0.65,5.19,,,,-40.86,14.0,,13.22,,,-40.86
2012-04-25,3.11,3.14,3.29,2.3,86553,1.38,7.17,-38.91,,,-38.91,16.5,5.26,12.41,,,-38.91
2012-04-26,3.24,3.29,4.78,3.18,19345,0.32,6.82,-28.01,,,-35.99,20.2,5.05,11.49,,,-35.99
2012-04-27,3.31,3.17,-3.65,0.61,18400,0.34,7.46,-24.52,,,-38.33,19.5,4.85,11.89,,,-38.33
2012-04-30,3.1,3.11,-1.89,-2.21,5716,0.11,10.28,-28.34,,,-39.49,19.1,4.74,11.55,,,-39.49
2012-05-01,3.11,3.11,0.0,0.0,21893,0.42,2.3,-23.02,,,-39.49,19.1,4.58,10.84,,,-39.49
2012-05-02,3.1,3.0,-3.54,-0.32,27099,0.53,-4.46,-27.54,,,-41.63,18.3,4.53,10.7,,,-41.63
2012-05-03,2.93,2.87,-4.33,-2.33,26249,0.52,-12.77,-28.61,,,-44.16,17.4,4.56,10.76,,,-44.16
2012-05-04,2.9,2.95,2.79,1.05,11334,0.23,-6.94,-26.07,,,-42.61,20.0,4.65,10.28,,,-42.61
2012-05-07,2.95,2.99,1.36,0.0,13551,0.28,-3.86,-25.25,,,-41.83,21.3,4.68,9.56,,,-41.83
2012-05-08,2.91,2.97,-0.67,-2.68,13681,0.3,-4.5,-25.56,,,-42.22,21.2,4.68,9.13,,,-42.22
2012-05-09,2.95,2.97,0.0,-0.67,20899,0.46,-1.0,-20.8,,,-42.22,21.2,4.55,8.72,,,-42.22
2012-05-10,2.98,2.98,0.34,0.34,4760,0.12,3.83,-17.22,,,-42.02,21.6,4.51,8.28,,,-42.02
2012-05-11,2.92,2.93,-1.68,-2.01,21716,0.68,-0.68,-9.85,,,-43.0,21.0,4.03,8.04,,,-43.0
2012-05-14,2.87,2.54,-13.31,-2.05,39209,1.25,-15.05,-15.33,,,-50.58,17.1,4.67,9.71,,,-50.58
2012-05-15,2.62,2.31,-9.06,3.15,61845,1.93,-22.22,-17.79,,,-55.06,15.4,4.87,11.34,,,-55.06
2012-05-16,2.21,2.15,-6.93,-4.33,33602,1.03,-27.61,-25.61,,,-58.17,14.2,4.97,12.01,,,-58.17
2012-05-17,2.17,2.02,-6.05,0.93,72314,2.36,-32.21,-31.06,,,-60.7,13.4,5.03,12.82,,,-60.7
2012-05-18,2.03,2.04,0.99,0.5,39746,1.31,-30.38,-33.77,,,-60.31,14.2,4.83,11.96,,,-60.31
2012-05-21,2.27,1.96,-3.92,11.27,57681,1.8,-22.83,-33.56,,,-61.87,13.7,4.83,12.69,,,-61.87
2012-05-22,2.0,2.08,6.12,2.04,175501,4.55,-9.96,-26.24,,,-59.53,19.0,5.08,11.69,,,-59.53
2012-05-23,2.1,2.34,12.5,0.96,162648,3.84,8.84,-23.03,,,-54.47,29.1,5.58,11.02,,,-54.47
2012-05-24,2.45,2.41,2.99,4.7,67937,1.52,19.31,-23.25,,,-53.11,31.6,5.57,10.38,,,-53.11
2012-05-25,2.49,2.38,-1.24,3.32,52287,1.12,16.67,-27.66,,,-53.7,31.1,5.41,10.09,,,-53.7
2012-05-29,2.48,2.4,0.84,4.2,53013,1.09,22.45,-24.29,,,-53.31,31.8,5.4,9.8,,,-53.31
2012-05-30,2.3,2.3,-4.17,-4.17,34879,0.7,10.58,-26.05,,,-55.25,30.0,5.44,9.81,,,-55.25
2012-05-31,2.3,2.34,1.74,0.0,26296,0.53,0.0,-24.76,,,-54.47,31.7,5.47,9.35,,,-54.47
2012-06-01,2.25,2.32,-0.85,-3.85,23800,0.48,-3.73,-22.67,,,-54.86,31.3,5.45,9.03,,,-54.86
2012-06-04,2.27,2.19,-5.6,-2.16,37296,0.74,-7.98,-23.69,,,-57.39,28.7,5.49,9.44,,,-57.39
2012-06-05,2.2,2.17,-0.91,0.46,9419,0.19,-9.58,-26.44,,,-57.78,28.3,5.42,9.01,-28.61,,-57.78
2012-06-06,2.23,2.28,5.07,2.76,8682,0.17,-0.87,-23.75,,,-55.64,33.6,5.57,8.31,-23.55,,-55.64
2012-06-07,2.21,2.26,-0.88,-3.07,18754,0.37,-3.42,-23.91,,,-56.03,33.1,5.57,8.0,-23.03,,-56.03
2012-06-08,2.2,2.14,-5.31,-2.65,20374,0.4,-7.76,-27.95,,,-58.37,30.4,5.63,8.35,-26.08,,-58.37
2012-06-11,2.1,2.1,-1.87,-1.87,47352,0.91,-4.11,-29.53,,,-59.14,29.5,5.62,8.1,-26.32,,-59.14
2012-06-12,2.05,2.08,-0.95,-2.38,19842,0.39,-4.15,-29.01,,,-59.53,29.0,5.62,7.84,-26.0,,-59.53
2012-06-13,2.02,2.0,-3.85,-2.88,50691,1.0,-12.28,-21.26,,,-61.09,27.2,4.97,7.93,-27.75,,-61.09
2012-06-14,2.0,2.0,0.0,0.0,19434,0.39,-11.5,-13.42,,,-61.09,27.2,4.61,7.54,-26.68,,-61.09
2012-06-15,1.97,1.98,-1.0,-1.5,56055,1.14,-7.48,-7.91,,,-61.48,26.7,4.38,7.36,-26.33,,-61.48
2012-06-18,1.96,2.02,2.02,-1.01,35765,0.73,-3.81,0.0,,,-60.7,29.4,4.2,7.23,-23.72,,-60.7
