date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2000-01-03,18.97,17.85,-7.0,-1.19,2523568,1.16,-4.6,-4.64,-19.57,-29.31,0.0,42.4,2.58,3.75,-5.85,-20.43,-33.92
2000-01-04,18.56,18.6,4.19,3.93,3472400,1.53,0.73,-1.82,-16.96,-26.88,4.19,50.2,2.74,3.73,-1.74,-17.03,-31.15
2000-01-05,18.92,19.88,6.86,1.72,4553858,1.95,6.21,7.13,-10.38,-21.86,11.34,60.0,3.08,3.93,5.03,-11.27,-26.43
2000-01-06,19.88,19.95,0.34,0.0,3796624,1.57,4.52,8.43,-9.59,-21.76,11.71,60.5,3.07,3.84,5.38,-10.93,-26.18
2000-01-07,20.11,20.46,2.6,0.81,2979381,1.22,6.6,11.42,-8.09,-19.72,14.62,63.8,3.1,3.83,8.01,-8.56,-24.26
2000-01-10,20.6,20.29,-0.85,0.68,3194567,1.26,13.65,10.4,-9.15,-19.03,13.65,61.9,3.11,3.84,7.03,-9.28,-24.9
2000-01-11,20.2,20.02,-1.35,-0.46,1046333,0.43,7.61,8.49,-11.82,-18.96,12.11,58.9,3.14,3.76,5.66,-10.46,-25.91
2000-01-12,19.88,19.37,-3.22,-0.69,3544744,1.4,-2.54,4.55,-7.7,-21.13,8.51,52.6,3.24,3.88,2.35,-13.26,-28.3
2000-01-13,19.73,19.37,0.0,1.86,1615895,0.64,-2.87,7.32,1.76,-21.32,8.51,52.6,3.18,3.91,2.42,-13.2,-28.3
2000-01-14,19.55,19.51,0.71,0.91,1664644,0.66,-4.66,7.65,-1.19,-20.69,9.28,53.8,3.18,3.91,3.17,-12.51,-27.79
2000-01-18,18.87,18.94,-2.93,-3.29,2419250,0.96,-6.66,4.33,-0.16,-21.36,6.07,48.2,3.26,4.0,0.28,-14.99,-29.9
2000-01-19,18.73,18.55,-2.06,-1.11,1767654,0.71,-7.34,4.03,-3.23,-22.54,3.89,44.8,3.27,4.03,-1.67,-16.63,-31.35
2000-01-20,18.46,18.03,-2.8,-0.49,2394615,0.97,-6.94,1.11,-5.19,-25.48,0.98,40.6,3.33,4.15,-4.25,-18.86,-33.27
2000-01-21,18.14,18.05,0.09,0.61,2280862,0.95,-6.85,5.63,-12.11,-27.31,1.07,40.8,3.19,3.92,-3.98,-18.68,-33.21
2000-01-24,18.14,16.98,-5.91,0.52,2203800,0.96,-12.97,-4.9,-16.12,-30.87,-4.9,33.5,3.31,4.52,-9.41,-23.37,-37.16
2000-01-25,16.98,17.21,1.35,0.0,3210818,1.37,-9.14,-7.98,-14.42,-28.33,-3.62,36.1,3.13,4.45,-7.97,-22.22,-36.31
2000-01-26,17.29,17.15,-0.32,0.49,3720094,1.5,-7.53,-8.35,-13.91,-29.71,-3.93,35.7,3.13,4.47,-8.1,-22.33,-36.51
2000-01-27,17.89,17.18,0.18,4.28,2759207,1.07,-4.69,-6.95,-11.75,-28.98,-3.76,36.1,3.13,4.47,-7.8,-22.07,-36.4
2000-01-28,17.27,17.27,0.53,0.53,3007162,1.13,-4.27,-7.7,-12.69,-27.92,-3.25,37.4,3.11,4.33,-7.17,-21.51,-36.06
2000-01-31,17.22,17.22,-0.3,-0.3,1059961,0.4,1.44,-9.75,-16.67,-29.41,-3.53,36.9,3.07,4.23,-7.22,-21.6,-36.25
2000-02-01,17.27,17.66,2.51,0.3,1485628,0.57,2.61,-8.03,-12.49,-27.3,-1.11,42.9,3.13,4.13,-4.68,-19.5,-34.65
2000-02-02,17.95,17.36,-1.69,1.69,1991757,0.79,1.2,-2.78,-13.28,-27.15,-2.78,40.1,2.76,4.22,-6.03,-20.73,-35.75
2000-02-03,17.63,16.91,-2.6,1.59,2320176,0.96,-1.61,-9.11,-14.38,-28.36,-5.31,36.2,2.62,4.4,-8.28,-22.67,-37.42
2000-02-04,17.05,16.65,-1.53,0.83,2946088,1.24,-3.63,-16.25,-17.65,-29.82,-6.76,34.2,2.03,4.43,-9.49,-23.7,-38.38
2000-02-07,16.84,16.27,-2.29,1.16,7058290,2.73,-5.55,-18.44,-17.2,-32.03,-8.89,31.4,2.03,4.83,-11.33,-25.3,-39.79
2000-02-08,16.13,15.71,-3.42,-0.85,5430082,2.01,-11.01,-23.22,-20.26,-33.57,-12.0,27.8,1.93,4.96,-14.09,-27.69,-41.85
2000-02-09,15.53,15.26,-2.89,-1.13,4342859,1.52,-12.1,-24.8,-23.16,-33.06,-14.54,25.3,1.96,5.1,-16.26,-29.62,-43.53
2000-02-10,15.28,15.42,1.05,0.15,1582077,0.57,-8.81,-22.97,-20.97,-32.8,-13.64,27.8,2.03,4.94,-15.07,-28.73,-42.93
2000-02-11,15.4,15.15,-1.76,-0.12,2036574,0.73,-9.01,-21.81,-22.36,-32.34,-15.16,26.2,1.98,4.8,-16.26,-29.81,-43.94
2000-02-14,15.35,15.19,0.3,1.36,1497942,0.54,-6.61,-21.58,-19.02,-31.98,-14.91,26.9,1.99,4.63,-15.68,-29.43,-43.77
2000-02-15,15.19,15.1,-0.62,0.0,3053554,1.09,-3.9,-22.61,-18.72,-32.4,-15.43,26.3,1.95,4.52,-15.84,-29.7,-44.12
2000-02-16,15.35,15.19,0.62,1.69,1703959,0.61,-0.43,-19.78,-18.75,-32.18,-14.91,28.1,1.95,4.35,-15.0,-29.09,-43.77
2000-02-17,15.22,15.76,3.76,0.15,2638115,0.94,2.24,-15.02,-18.93,-28.19,-11.71,37.7,2.19,4.22,-11.55,-26.25,-41.66
2000-02-18,15.8,15.31,-2.89,0.24,2489755,0.88,1.06,-15.1,-22.09,-30.2,-14.27,33.8,2.2,4.35,-13.81,-28.19,-43.34
2000-02-22,15.35,15.71,2.64,0.3,1321022,0.47,3.42,-12.94,-21.51,-30.3,-12.0,39.7,2.31,4.21,-11.26,-26.11,-41.85
2000-02-23,15.8,15.76,0.33,0.57,1465703,0.54,4.4,-7.16,-16.23,-29.85,-11.71,40.4,1.98,4.05,-10.7,-25.67,-41.66
2000-02-24,15.71,15.44,-2.03,-0.33,3455099,1.29,1.65,-10.26,-16.87,-31.23,-13.51,37.4,1.97,4.1,-12.21,-26.98,-42.84
2000-02-25,15.42,15.7,1.63,-0.16,1299527,0.5,-0.43,-8.5,-16.14,-30.44,-12.09,41.1,2.02,3.96,-10.54,-25.6,-41.91
2000-02-28,15.78,15.74,0.26,0.53,963769,0.38,2.8,-8.42,-15.2,-29.62,-11.87,41.8,2.03,3.84,-10.06,-25.22,-41.76
2000-02-29,15.71,15.8,0.42,-0.15,1517342,0.6,0.57,-8.53,-15.05,-30.11,-11.5,42.8,2.02,3.75,-9.44,-24.72,-41.51
2000-03-01,15.8,15.49,-1.96,0.0,1972094,0.77,-1.72,-10.06,-17.43,-31.41,-13.23,39.3,2.05,3.73,-10.98,-26.02,-42.66
2000-03-02,15.44,15.03,-2.96,-0.31,2263560,0.88,-2.66,-14.86,-18.6,-34.17,-15.8,34.7,2.0,3.84,-13.34,-28.07,-44.36
2000-03-03,15.03,14.21,-5.47,0.0,5214104,1.92,-9.46,-18.13,-24.1,-38.21,-20.41,28.4,2.24,4.21,-17.8,-31.84,-47.4
2000-03-06,14.25,13.82,-2.76,0.29,3633334,1.32,-12.18,-18.27,-27.06,-39.31,-22.6,26.0,2.25,4.4,-19.7,-33.57,-48.85
2000-03-07,13.53,13.53,-2.11,-2.11,2330922,0.93,-14.4,-18.75,-27.1,-41.22,-24.24,24.3,2.26,4.48,-20.92,-34.81,-49.93
2000-03-08,13.75,13.7,1.3,1.67,5872775,2.32,-11.55,-15.77,-25.51,-39.51,-23.25,27.3,2.29,4.61,-19.42,-33.8,-49.28
2000-03-09,13.54,14.55,6.2,-1.16,2982520,1.21,-3.2,-7.38,-20.77,-36.08,-18.5,39.9,2.67,4.64,-14.03,-29.55,-46.14
2000-03-10,14.58,14.37,-1.26,0.16,3008471,1.19,1.11,-5.83,-21.82,-36.77,-19.52,38.3,2.61,4.86,-14.67,-30.29,-46.82
2000-03-13,14.07,14.27,-0.66,-2.07,1996213,0.79,3.3,-7.42,-22.64,-38.05,-20.05,37.5,2.6,4.74,-14.75,-30.6,-47.17
2000-03-14,14.35,14.67,2.75,0.52,2983568,1.14,8.43,-3.17,-20.85,-36.62,-17.85,42.9,2.66,4.52,-11.92,-28.54,-45.71
2000-03-15,15.03,15.85,8.06,2.49,3398482,1.29,15.66,4.32,-12.2,-31.28,-11.23,55.3,3.2,4.68,-4.59,-22.63,-41.34
2000-03-16,16.35,16.49,4.04,3.18,3765433,1.38,13.32,9.21,-9.02,-28.24,-7.64,60.3,3.3,4.51,-0.48,-19.35,-38.97
2000-03-17,16.49,16.72,1.39,0.0,3428368,1.24,16.36,10.05,-7.9,-24.62,-6.36,62.0,3.31,4.38,1.29,-18.09,-38.12
2000-03-20,16.68,16.84,0.73,-0.24,2380198,0.86,17.98,6.84,-5.55,-24.31,-5.68,62.9,3.22,4.19,2.41,-17.34,-37.67
2000-03-21,16.82,16.99,0.9,-0.14,2366566,0.84,15.86,11.01,-4.7,-23.45,-4.82,64.0,3.14,4.03,3.77,-16.45,-37.1
2000-03-22,16.86,16.79,-1.22,-0.8,2230275,0.78,5.91,6.84,-1.74,-23.45,-5.98,61.3,3.12,3.98,2.95,-17.31,-37.87
2000-03-23,16.77,16.98,1.15,-0.09,1086433,0.4,2.97,7.71,-4.9,-24.6,-4.9,62.8,3.13,3.95,4.52,-16.22,-37.16
2000-03-24,16.98,17.63,3.86,0.0,1996213,0.72,5.48,14.19,-5.69,-21.28,-1.23,67.7,3.16,3.96,8.79,-12.86,-34.73
2000-03-27,17.54,17.48,-0.9,-0.53,1397296,0.5,3.77,11.35,-6.62,-20.06,-2.12,65.5,3.17,3.83,8.07,-13.52,-35.31
2000-03-28,17.18,17.22,-1.45,-1.68,996794,0.36,1.36,9.46,-6.74,-22.27,-3.53,62.0,3.2,3.83,6.81,-14.65,-36.25
2000-03-29,17.32,17.21,-0.09,0.56,858402,0.32,2.51,8.9,-8.06,-22.48,-3.62,61.8,3.2,3.72,6.94,-14.61,-36.31
2000-03-30,17.29,17.66,2.61,0.49,1385500,0.52,3.99,13.98,-7.48,-21.03,-1.11,65.5,3.19,3.64,9.85,-12.25,-34.65
2000-03-31,17.7,18.18,2.98,0.26,2844915,1.12,3.11,20.96,-5.29,-19.66,1.84,69.3,3.11,3.75,13.1,-9.51,-32.7
2000-04-03,18.27,18.59,2.26,0.51,1783117,0.73,6.39,30.84,4.14,-16.24,4.14,72.0,2.75,3.71,15.58,-7.35,-31.18
2000-04-04,18.53,18.98,2.1,-0.35,3847476,1.52,10.22,37.39,2.06,-15.25,6.33,74.2,2.59,3.87,17.71,-5.28,-29.73
2000-04-05,18.87,18.69,-1.55,-0.61,2411913,1.02,8.62,38.18,-5.97,-15.73,4.69,69.7,2.55,3.84,15.68,-6.62,-30.82
2000-04-06,18.69,18.78,0.47,0.0,1503713,0.66,6.36,37.04,-5.85,-14.88,5.18,70.3,2.56,3.79,15.99,-6.06,-30.49
2000-04-07,18.73,18.64,-0.73,-0.26,1572119,0.71,2.52,28.1,-8.91,-16.28,4.41,68.1,2.37,3.71,14.94,-6.6,-31.0
2000-04-10,18.55,18.64,0.0,-0.5,1242657,0.57,0.26,29.73,-8.13,-16.53,4.41,68.1,2.32,3.6,14.74,-6.45,-31.0
2000-04-11,18.0,18.8,0.86,-3.44,2422923,1.13,-0.96,31.72,-6.07,-17.17,5.31,69.4,2.28,3.64,15.51,-5.49,-30.41
2000-04-12,18.78,19.21,2.19,-0.13,2620553,1.24,2.8,31.0,-0.82,-8.46,7.61,72.5,2.27,3.58,17.81,-3.3,-28.88
2000-04-13,19.21,19.37,0.83,0.0,2237610,1.1,3.16,22.23,0.0,1.76,8.51,73.6,1.66,3.63,18.49,-2.36,-28.3
2000-04-14,19.24,18.87,-2.6,-0.69,2155046,1.1,1.22,14.43,-3.29,-4.44,5.68,64.6,1.68,3.74,15.13,-4.75,-30.16
2000-04-17,18.37,18.53,-1.8,-2.66,2070912,1.06,-0.6,10.83,-2.16,-2.31,3.78,59.4,1.75,3.9,12.81,-6.31,-31.42
2000-04-18,17.82,18.46,-0.38,-3.85,1590730,0.83,-1.83,9.6,-0.49,-3.7,3.38,58.4,1.76,4.13,12.07,-6.51,-31.68
2000-04-19,18.53,19.11,3.51,0.39,1787049,0.95,-0.56,12.43,5.97,0.47,7.01,64.6,1.88,4.14,15.53,-3.07,-29.28
2000-04-20,19.84,19.68,3.01,3.84,5261287,2.51,1.59,17.24,9.06,-4.15,10.23,69.0,1.9,4.41,18.37,-0.01,-27.16
2000-04-24,19.58,21.3,8.25,-0.51,4897741,2.18,12.91,25.47,25.47,5.25,19.32,77.6,2.51,4.38,27.23,8.35,-21.15
2000-04-25,21.3,21.78,2.25,0.0,4942301,2.04,17.56,23.53,26.59,8.34,22.01,79.4,2.44,4.34,29.07,10.9,-19.37
2000-04-26,21.76,20.89,-4.1,-0.11,5376611,2.04,13.18,19.54,21.8,4.85,17.01,68.3,2.66,4.64,22.95,6.47,-22.68
2000-04-27,20.28,21.82,4.44,-2.94,5085668,1.78,14.19,26.68,26.97,12.05,22.2,72.6,2.71,4.63,27.4,11.27,-19.25
2000-04-28,21.59,21.49,-1.51,-1.06,2668775,0.92,9.18,24.87,24.39,8.61,20.35,69.0,2.76,4.6,24.56,9.68,-20.47
