date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2000-01-03,245.15,240.63,-3.02,-1.2,4563264,1.2,-5.9,11.43,27.87,33.2,0.0,53.7,1.77,2.4,7.1,26.05,-5.9
2000-01-04,236.07,230.94,-4.03,-1.89,4573935,1.16,-8.38,5.73,19.98,26.42,-4.03,43.9,2.03,2.62,2.48,20.82,-9.69
2000-01-05,230.31,230.31,-0.27,-0.27,5643199,1.4,-8.25,4.68,18.78,21.82,-4.29,43.4,2.03,2.67,1.94,20.32,-9.94
2000-01-06,229.44,233.64,1.45,-0.38,4109084,1.02,-5.98,4.1,17.82,24.57,-2.9,47.2,2.01,2.65,3.12,21.86,-8.63
2000-01-07,237.27,242.75,3.9,1.55,4164539,1.03,-2.16,7.18,24.24,29.29,0.88,55.8,2.16,2.66,6.75,26.38,-5.07
2000-01-10,244.8,242.39,-0.15,0.84,3148309,0.78,0.73,5.31,21.2,31.06,0.73,55.4,2.14,2.61,6.25,25.96,-5.21
2000-01-11,242.12,243.02,0.26,-0.11,3126909,0.78,5.23,2.83,23.13,31.15,0.99,56.0,2.07,2.51,6.25,26.06,-4.96
2000-01-12,242.12,243.67,0.27,-0.37,3792546,0.96,5.8,2.14,25.23,31.24,1.26,56.6,2.06,2.45,6.29,26.19,-4.71
2000-01-13,245.43,246.38,1.11,0.72,3091862,0.79,5.45,2.54,28.55,30.72,2.39,59.2,2.07,2.39,7.1,27.38,-3.65
2000-01-14,245.74,242.12,-1.73,-0.26,3821082,0.98,-0.26,4.65,25.73,27.06,0.62,53.8,1.92,2.5,4.93,24.97,-5.31
2000-01-18,239.99,237.27,-2.0,-0.88,3783121,1.1,-2.11,0.26,27.86,23.34,-1.4,48.4,1.92,2.58,2.59,22.28,-7.21
2000-01-19,234.85,238.47,0.51,-1.02,3070399,0.92,-1.87,-2.05,26.47,26.53,-0.89,49.7,1.81,2.61,2.87,22.73,-6.74
2000-01-20,239.11,233.98,-1.89,0.27,6359889,1.83,-3.98,-4.77,23.59,24.81,-2.76,45.0,1.84,2.82,0.76,20.25,-8.5
2000-01-21,237.27,230.94,-1.3,1.41,4963480,1.41,-6.27,-8.72,18.43,25.25,-4.03,42.0,1.7,2.86,-0.69,18.54,-9.69
2000-01-24,233.07,221.56,-4.06,0.92,5606665,1.52,-8.49,-12.46,12.15,19.99,-7.92,34.6,1.87,3.26,-4.78,13.62,-13.35
2000-01-25,221.25,222.18,0.28,-0.14,5249248,1.38,-6.36,-12.01,10.32,21.57,-7.66,35.4,1.88,3.19,-4.57,13.81,-13.11
2000-01-26,225.17,226.73,2.05,1.34,3278632,0.85,-4.93,-11.33,12.91,21.67,-5.78,41.2,1.93,3.09,-2.72,16.02,-11.33
2000-01-27,227.03,227.34,0.27,0.13,3978885,1.0,-2.84,-9.81,12.88,24.39,-5.52,41.9,1.92,3.1,-2.55,16.22,-11.1
2000-01-28,224.9,214.92,-5.46,-1.07,6171257,1.47,-6.93,-14.38,4.38,19.68,-10.68,32.7,2.21,3.47,-7.85,9.78,-15.95
