date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,10.55,10.81,,,927941,,,,,,0.0,,,2.6,,,
2005-02-28,10.81,10.82,0.13,0.0,1167704,,,,,,0.13,,,2.56,,,
2005-03-01,10.81,10.73,-0.81,-0.08,1247390,,,,,,-0.68,67.4,,2.52,,,
2005-03-02,10.77,10.86,1.24,0.37,505239,,,,,,0.55,78.8,,2.5,,,
2005-03-03,10.89,10.91,0.38,0.27,451652,,,,,,0.93,80.9,,2.38,,,
2005-03-04,10.92,11.1,1.78,0.1,593138,,2.73,,,,2.73,87.5,,2.3,,,
2005-03-07,11.13,11.1,0.02,0.23,591008,,2.61,,,,2.75,87.6,,2.26,,,
2005-03-08,11.15,11.03,-0.66,0.45,857189,,2.77,,,,2.07,76.1,,2.22,,,
2005-03-09,11.0,10.97,-0.49,-0.26,694261,,1.02,,,,1.57,69.0,,2.18,,,
2005-03-10,10.96,10.94,-0.28,-0.16,971184,,0.35,,,,1.29,65.2,,2.18,,,
2005-03-11,10.97,11.11,1.51,0.25,879343,,0.08,,,,2.81,73.5,,2.12,,,
2005-03-14,11.15,11.11,0.03,0.33,1031927,,0.09,,,,2.84,73.7,,2.02,,,
2005-03-15,11.15,11.31,1.81,0.38,945097,,2.58,,,,4.71,80.3,,2.01,,,
2005-03-16,11.31,11.13,-1.66,-0.07,1134489,,1.37,,,,2.97,64.1,,2.04,,,
2005-03-17,11.12,11.1,-0.21,-0.03,526677,,1.44,,,,2.75,62.4,,1.95,,,
2005-03-18,11.13,11.07,-0.26,0.25,1335632,,-0.32,,,,2.48,60.3,,1.91,,,
2005-03-21,11.05,11.09,0.13,-0.23,547752,,-0.21,,,,2.62,61.0,,1.85,,,
2005-03-22,11.06,11.2,1.02,-0.24,832536,,-0.99,,,,3.67,66.1,,1.89,,,
2005-03-23,11.21,11.17,-0.31,0.08,1402463,,0.37,,,,3.34,63.4,,1.83,,,
2005-03-24,11.17,11.1,-0.6,0.03,1219157,1.37,-0.02,,,,2.73,58.3,,1.79,,,-1.89
2005-03-28,11.12,11.1,0.02,0.21,1295625,1.42,0.26,,,,2.75,58.5,,1.73,,,-1.87
2005-03-29,11.1,11.16,0.53,0.0,1549316,1.66,0.65,3.29,,,3.29,61.5,0.89,1.69,,,-1.35
2005-03-30,11.3,11.39,2.02,1.27,1379240,1.47,1.65,5.24,,,5.38,70.6,0.98,1.73,,,0.0
2005-03-31,11.39,11.3,-0.78,0.0,1656861,1.67,1.17,5.26,,,4.55,64.2,0.98,1.78,,,-0.78
2005-04-01,11.29,11.27,-0.28,-0.03,1674734,1.59,1.49,3.68,,,4.26,62.0,0.96,1.79,,,-1.06
2005-04-04,11.27,11.19,-0.64,0.0,1465705,1.33,0.81,2.63,,,3.58,57.2,0.97,1.78,,,-1.7
2005-04-05,11.21,11.19,-0.03,0.13,1416397,1.24,0.26,0.8,,,3.56,57.0,0.9,1.76,,,-1.73
2005-04-06,11.19,11.17,-0.13,0.03,916504,0.8,-1.86,0.65,,,3.42,56.0,0.9,1.71,,,-1.86
2005-04-07,11.18,10.63,-4.83,0.03,3997284,3.05,-5.86,-3.57,,,-1.58,33.0,1.39,2.17,,,-6.6
2005-04-08,10.77,10.69,0.56,1.31,2287527,1.66,-5.07,-2.56,,,-1.03,36.1,1.39,2.15,,,-6.08
2005-04-11,10.66,10.64,-0.5,-0.3,1277757,0.92,-4.93,-2.78,,,-1.53,34.5,1.4,2.08,,,-6.55
2005-04-12,10.64,10.75,1.07,-0.03,1267754,0.9,-3.89,-3.19,,,-0.47,40.4,1.37,2.11,,,-5.55
2005-04-13,10.69,10.58,-1.63,-0.65,867560,0.62,-5.33,-4.8,,,-2.1,35.2,1.41,2.13,,,-7.09
2005-04-14,10.54,10.26,-3.02,-0.38,2816360,1.89,-3.53,-9.32,,,-5.05,28.0,1.46,2.33,,,-9.9
2005-04-15,10.19,10.01,-2.46,-0.7,1633992,1.06,-6.43,-10.06,,,-7.39,23.9,1.5,2.41,,,-12.11
2005-04-18,9.96,9.92,-0.86,-0.46,1719030,1.1,-6.77,-10.64,,,-8.19,22.7,1.5,2.38,,,-12.87
2005-04-19,9.99,10.23,3.08,0.71,2100296,1.28,-4.91,-7.65,,,-5.36,35.4,1.69,2.38,,,-10.19
2005-04-20,10.23,10.17,-0.52,0.0,1662942,0.99,-3.83,-8.25,,,-5.85,34.3,1.69,2.34,,,-10.65
2005-04-21,10.19,10.39,2.13,0.14,2032402,1.19,1.28,-7.24,,,-3.84,41.9,1.75,2.34,,,-8.75
2005-04-22,10.33,10.15,-2.27,-0.61,2090299,1.19,1.47,-9.07,,,-6.03,36.9,1.8,2.46,,,-10.82
2005-04-25,10.15,10.1,-0.54,0.0,2300739,1.27,1.8,-9.02,,,-6.53,35.8,1.8,2.4,,,-11.3
2005-04-26,10.1,9.81,-2.84,0.0,4199166,2.17,-4.05,-11.62,,,-9.19,30.8,1.87,2.58,,,-13.82
2005-04-27,9.8,9.66,-1.53,-0.12,2012029,1.02,-5.03,-13.42,,,-10.58,28.5,1.87,2.62,,,-15.14
2005-04-28,9.61,9.48,-1.9,-0.58,2136034,1.07,-8.77,-16.75,,,-12.28,26.0,1.78,2.65,,,-16.75
2005-04-29,9.52,9.45,-0.29,0.48,2437608,1.2,-6.92,-16.34,,,-12.53,25.6,1.78,2.63,,,-17.0
2005-05-02,9.41,9.46,0.1,-0.44,3018235,1.43,-6.32,-16.02,,,-12.44,26.0,1.79,2.59,,,-16.91
2005-05-03,9.46,9.57,1.12,0.03,2102799,0.98,-2.5,-14.52,,,-11.46,30.4,1.84,2.5,,,-15.98
2005-05-04,9.5,9.59,0.26,-0.67,2247507,1.02,-0.73,-14.28,,,-11.23,31.4,1.85,2.41,,,-15.76
2005-05-05,9.59,9.63,0.38,0.03,2554443,1.19,1.58,-13.84,,,-10.89,33.0,1.86,2.34,,,-15.44
2005-05-06,9.69,9.74,1.16,0.6,1609709,0.76,3.06,-8.41,,,-9.86,37.6,1.64,2.26,-8.35,,-14.46
2005-05-09,9.77,9.72,-0.19,0.31,1119815,0.53,2.75,-9.1,,,-10.04,37.1,1.62,2.18,-8.34,,-14.62
2005-05-10,9.66,9.74,0.19,-0.6,1521445,0.72,1.81,-8.46,,,-9.86,38.0,1.63,2.13,-7.98,,-14.46
2005-05-11,9.78,9.8,0.57,0.43,1289192,0.61,2.12,-8.92,,,-9.35,40.5,1.61,2.11,-7.29,,-13.97
2005-05-12,9.78,9.67,-1.33,-0.16,1734046,0.84,0.38,-8.64,,,-10.55,36.7,1.6,2.11,-8.31,,-15.11
2005-05-13,9.69,9.72,0.54,0.25,1725110,0.83,-0.22,-5.27,,,-10.06,39.2,1.49,2.04,-7.6,,-14.65
2005-05-16,9.74,9.79,0.72,0.22,904356,0.44,0.68,-2.19,,,-9.42,42.3,1.42,1.94,-6.71,,-14.04
2005-05-17,9.77,9.79,0.06,-0.13,1092322,0.55,0.55,-1.28,,,-9.36,42.6,1.41,1.84,-6.42,,-13.99
2005-05-18,9.8,9.79,0.0,0.02,2151038,1.07,-0.02,-4.23,,,-9.36,42.6,1.21,1.76,-6.2,,-13.99
2005-05-19,9.8,9.8,0.02,0.02,1420679,0.72,1.35,-3.72,,,-9.35,42.7,1.21,1.67,-5.96,,-13.97
