date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2019-04-10,61.03,61.31,,,26659,,,,,,0.0,,,0.52,,,
2019-04-11,61.39,60.07,-2.02,0.13,7899,,,,,,-2.02,0.0,,0.65,,,
2019-04-12,60.67,59.91,-0.27,1.0,4138,,,,,,-2.28,0.0,,0.7,,,
2019-04-15,60.23,59.47,-0.73,0.53,2379,,,,,,-3.0,0.0,,0.8,,,
2019-04-16,59.83,59.63,0.27,0.61,10105,,,,,,-2.74,1.1,,0.81,,,
2019-04-17,59.35,56.6,-5.08,-0.47,5471,,-7.68,,,,-7.68,0.9,,1.17,,,
2019-04-18,56.88,56.26,-0.6,0.49,2834,,-6.34,,,,-8.23,0.9,,1.27,,,
2019-04-22,56.56,56.52,0.46,0.53,1420,,-5.66,,,,-7.81,2.6,,1.28,,,
2019-04-23,56.56,57.98,2.58,0.07,871,,-2.51,,,,-5.43,11.9,,1.35,,,
2019-04-24,58.32,57.56,-0.72,0.59,1113,,-3.47,,,,-6.11,11.6,,1.37,,,
2019-04-25,57.36,57.87,0.53,-0.35,1575,,2.24,,,,-5.61,13.5,,1.35,,,
2019-04-26,57.64,57.9,0.05,-0.39,663,,2.9,,,,-5.57,13.7,,1.29,,,
2019-04-29,58.16,58.04,0.25,0.45,1499,,2.69,,,,-5.33,14.7,,1.27,,,
2019-04-30,58.25,57.2,-1.46,0.36,1111,,-1.36,,,,-6.71,13.7,,1.33,,,
2019-05-01,56.96,57.0,-0.34,-0.4,1782,,-0.97,,,,-7.03,13.5,,1.29,,,
2019-05-02,56.04,56.64,-0.63,-1.68,1198,,-2.12,,,,-7.61,13.0,,1.34,,,
2019-05-03,57.2,57.76,1.98,0.99,2321,,-0.23,,,,-5.79,21.6,,1.37,,,
2019-05-06,56.84,57.84,0.14,-1.59,577,,-0.34,,,,-5.66,22.2,,1.41,,,
2019-05-07,56.76,55.87,-3.41,-1.88,3621,,-2.32,,,,-8.88,18.5,,1.61,,,
2019-05-08,55.69,55.61,-0.46,-0.32,2462,0.62,-2.45,,,,-9.3,18.1,,1.57,,,-9.3
2019-05-09,55.09,55.69,0.14,-0.93,307,0.12,-1.69,,,,-9.17,18.7,,1.65,,,-9.17
2019-05-10,55.49,56.09,0.72,-0.36,1640,0.7,-2.9,-8.52,,,-8.52,21.9,1.64,1.68,,,-8.52
2019-05-13,54.73,53.69,-4.27,-2.42,2136,0.95,-7.18,-10.62,,,-12.43,17.5,1.82,1.97,,,-12.43
2019-05-14,54.41,54.49,1.49,1.34,542,0.25,-2.47,-9.05,,,-11.13,23.1,1.87,1.91,,,-11.13
2019-05-15,54.13,55.13,1.17,-0.66,489,0.29,-0.86,-7.3,,,-10.08,27.3,1.9,1.88,,,-10.08
