date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,7.09,7.15,,,22090,,,,,,0.0,,,1.55,,,
2005-02-28,7.1,7.09,-0.85,-0.71,11823,,,,,,-0.85,0.0,,1.56,,,
2005-03-01,7.1,7.07,-0.28,0.14,10890,,,,,,-1.13,0.0,,1.58,,,
2005-03-02,7.1,7.14,0.93,0.43,22402,,,,,,-0.21,8.0,,1.56,,,
2005-03-03,7.17,7.21,0.99,0.42,14313,,,,,,0.77,15.8,,1.53,,,
2005-03-04,7.23,7.41,2.85,0.27,23337,,3.65,,,,3.65,33.6,,1.58,,,
2005-03-07,7.42,7.33,-1.15,0.14,7778,,3.33,,,,2.46,30.7,,1.59,,,
2005-03-08,7.3,7.04,-3.91,-0.42,37964,,-0.42,,,,-1.55,23.4,,1.83,,,
2005-03-09,7.04,7.08,0.5,0.0,33918,,-0.85,,,,-1.06,25.7,,1.76,,,
2005-03-10,7.07,7.12,0.64,-0.07,29561,,-1.19,,,,-0.42,28.8,,1.78,,,
2005-03-11,7.15,7.33,2.89,0.43,20221,,-1.15,,,,2.46,40.6,,1.84,,,
2005-03-14,7.3,7.41,1.16,-0.42,9338,,1.16,,,,3.65,44.6,,1.8,,,
2005-03-15,7.45,7.35,-0.88,0.48,44498,,4.35,,,,2.73,42.2,,1.82,,,
2005-03-16,7.33,7.28,-0.96,-0.27,23022,,2.84,,,,1.75,39.8,,1.77,,,
2005-03-17,7.31,7.33,0.69,0.41,31113,,2.89,,,,2.46,42.4,,1.77,,,
2005-03-18,7.38,7.1,-3.15,0.68,126950,,-3.15,,,,-0.77,34.9,,2.02,,,
2005-03-21,7.1,7.15,0.78,0.07,29561,,-3.52,,,,0.0,37.7,,1.98,,,
2005-03-22,7.11,6.99,-2.25,-0.63,26139,,-4.85,,,,-2.25,33.2,,2.06,,,
2005-03-23,6.97,6.91,-1.22,-0.22,21159,,-5.1,,,,-3.44,31.1,,2.03,,,
2005-03-24,6.94,6.97,1.01,0.51,15556,0.55,-4.8,,,,-2.46,34.8,,2.0,,,-5.89
2005-03-28,6.89,7.07,1.37,-1.15,19602,0.7,-0.36,,,,-1.13,39.5,,2.01,,,-4.61
2005-03-29,7.02,6.99,-1.13,-0.71,33292,1.15,-2.25,-2.25,,,-2.25,37.1,1.75,1.97,,,-5.69
2005-03-30,6.99,6.91,-1.08,0.0,31424,1.05,-1.08,-2.48,,,-3.3,34.9,1.75,1.93,,,-6.7
2005-03-31,6.91,6.89,-0.29,0.0,64090,1.99,-0.15,-2.48,,,-3.58,34.3,1.75,1.92,,,-6.97
2005-04-01,6.93,6.78,-1.68,0.44,64408,1.86,-2.81,-5.0,,,-5.2,31.1,1.77,1.99,,,-8.54
2005-04-04,6.75,6.94,2.38,-0.44,23337,0.67,-1.84,-3.69,,,-2.95,39.6,1.84,2.04,,,-6.36
2005-04-05,6.86,6.82,-1.67,-1.16,19287,0.55,-2.37,-7.92,,,-4.57,36.2,1.73,2.06,,,-7.92
2005-04-06,6.89,7.06,3.38,1.03,23022,0.67,2.03,-3.7,,,-1.34,46.2,1.9,2.08,,,-4.81
