date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,22.53,22.79,,,164771,,,,,,0.0,,,2.47,,,
2005-02-28,22.71,22.06,-3.2,-0.37,205662,,,,,,-3.2,0.0,,2.7,,,
2005-03-01,22.19,22.27,0.93,0.57,169717,,,,,,-2.3,2.1,,2.67,,,
2005-03-02,22.45,22.01,-1.15,0.84,150290,,,,,,-3.43,2.1,,2.69,,,
2005-03-03,22.01,21.61,-1.84,0.0,220860,,,,,,-5.2,2.0,,2.72,,,
2005-03-04,21.64,22.77,5.38,0.16,338347,,-0.1,,,,-0.1,13.9,,2.84,,,
2005-03-07,22.47,22.57,-0.88,-1.3,211454,,2.29,,,,-0.99,13.6,,2.79,,,
2005-03-08,22.73,21.59,-4.33,0.74,399625,,-3.04,,,,-5.27,12.2,,3.18,,,
2005-03-09,21.7,21.27,-1.5,0.53,221942,,-3.38,,,,-6.69,11.8,,3.21,,,
2005-03-10,21.14,20.91,-1.68,-0.59,224234,,-3.22,,,,-8.26,11.3,,3.3,,,
2005-03-11,20.98,20.97,0.27,0.32,150779,,-7.91,,,,-8.01,11.9,,3.26,,,
2005-03-14,21.06,21.6,3.01,0.43,245588,,-4.29,,,,-5.24,18.7,,3.2,,,
2005-03-15,21.74,21.51,-0.39,0.65,219173,,-0.36,,,,-5.61,18.5,,3.19,,,
2005-03-16,21.54,21.58,0.32,0.12,169952,,1.48,,,,-5.31,19.2,,3.05,,,
2005-03-17,21.68,21.85,1.23,0.45,232202,,4.48,,,,-4.15,22.3,,2.95,,,
2005-03-18,21.97,21.83,-0.07,0.56,397454,,4.13,,,,-4.21,22.3,,2.86,,,
2005-03-21,21.78,21.8,-0.16,-0.25,115673,,0.92,,,,-4.37,22.1,,2.79,,,
2005-03-22,21.93,21.76,-0.16,0.6,168149,,1.15,,,,-4.53,22.0,,2.79,,,
2005-03-23,21.68,21.72,-0.18,-0.37,162000,,0.65,,,,-4.7,21.8,,2.76,,,
2005-03-24,21.8,22.13,1.88,0.38,248844,1.13,1.29,,,,-2.91,27.8,,2.71,,,-2.91
2005-03-28,22.15,22.34,0.96,0.12,270801,1.2,2.33,,,,-1.98,30.8,,2.6,,,-1.98
2005-03-29,22.3,21.49,-3.82,-0.19,209885,0.93,-1.41,-5.72,,,-5.72,26.1,2.21,2.81,,,-5.72
2005-03-30,21.64,21.83,1.6,0.71,142457,0.63,0.33,-1.04,,,-4.21,30.7,2.14,2.7,,,-4.21
2005-03-31,21.76,21.78,-0.25,-0.33,287082,1.24,0.26,-2.2,,,-4.45,30.3,2.13,2.63,,,-4.45
2005-04-01,21.81,21.46,-1.48,0.16,228703,0.98,-3.04,-2.52,,,-5.86,28.5,2.14,2.68,,,-5.86
2005-04-04,21.46,21.8,1.62,0.0,149691,0.67,-2.4,0.92,,,-4.33,33.3,2.13,2.66,,,-4.33
2005-04-05,21.85,21.8,0.0,0.2,109646,0.5,1.47,-4.23,,,-4.33,33.3,1.75,2.65,,,-4.33
2005-04-06,21.85,21.69,-0.53,0.23,96258,0.48,-0.66,-3.89,,,-4.84,32.4,1.74,2.59,,,-4.84
2005-04-07,21.61,21.87,0.85,-0.34,96378,0.49,0.43,1.31,,,-4.03,35.2,1.47,2.5,,,-4.03
2005-04-08,21.72,21.36,-2.33,-0.69,138957,0.72,-0.44,0.45,,,-6.27,31.4,1.53,2.6,,,-6.27
2005-04-11,21.45,21.36,0.0,0.4,181539,0.94,-2.03,2.17,,,-6.27,31.4,1.48,2.57,,,-6.27
2005-04-12,21.26,21.48,0.55,-0.48,228575,1.19,-1.49,2.45,,,-5.75,33.3,1.48,2.68,,,-5.75
2005-04-13,21.32,20.58,-4.16,-0.73,245830,1.27,-5.08,-4.69,,,-9.68,27.0,1.6,2.93,,,-9.68
2005-04-14,20.65,20.29,-1.45,0.32,163564,0.84,-7.25,-5.7,,,-10.99,25.3,1.63,2.95,,,-10.99
2005-04-15,20.29,19.82,-2.29,0.0,255478,1.31,-7.21,-8.15,,,-13.03,22.8,1.68,3.06,,,-13.03
2005-04-18,19.65,19.81,-0.08,-0.87,170685,0.93,-7.28,-9.33,,,-13.09,22.7,1.64,3.03,,,-13.09
2005-04-19,19.89,20.1,1.49,0.44,217242,1.15,-6.41,-7.92,,,-11.8,27.9,1.69,2.96,,,-11.8
2005-04-20,20.1,19.65,-2.26,0.0,221102,1.16,-4.55,-9.85,,,-13.79,25.1,1.74,3.03,,,-13.79
2005-04-21,19.98,20.31,3.38,1.69,150290,0.79,0.14,-6.65,,,-10.87,35.2,1.93,3.04,,,-10.87
2005-04-22,20.14,19.35,-4.74,-0.84,251979,1.32,-2.38,-10.91,,,-15.1,29.1,2.16,3.41,,,-15.1
2005-04-25,19.97,20.23,4.54,3.21,241002,1.27,2.13,-8.59,,,-11.24,39.4,2.37,3.54,,,-11.24
2005-04-26,20.25,20.11,-0.59,0.08,254631,1.33,0.03,-9.99,,,-11.77,38.6,2.35,3.62,,,-11.77
2005-04-27,19.98,20.0,-0.56,-0.64,229905,1.17,1.77,-6.93,,,-12.26,37.8,2.23,3.62,,,-12.26
2005-04-28,19.81,19.3,-3.49,-0.92,492863,2.39,-4.99,-11.6,,,-15.32,33.2,2.28,4.07,,,-15.32
2005-04-29,19.29,18.72,-2.99,-0.04,339191,1.6,-3.25,-14.03,,,-17.86,29.9,2.34,4.26,,,-17.86
2005-05-02,18.36,18.8,0.43,-1.92,391662,1.75,-7.05,-12.37,,,-17.5,31.0,2.35,4.15,,,-17.5
2005-05-03,18.74,18.65,-0.8,-0.33,317114,1.35,-7.25,-14.46,,,-18.16,30.1,2.29,4.03,,,-18.16
2005-05-04,18.68,18.93,1.47,0.14,197577,0.83,-5.36,-13.2,,,-16.96,33.8,2.34,3.82,,,-16.96
2005-05-05,18.85,19.25,1.72,-0.38,330631,1.32,-0.25,-11.24,,,-15.53,38.0,2.39,3.67,,,-15.53
2005-05-06,19.36,19.43,0.95,0.57,373932,1.42,3.8,-11.15,,,-14.74,40.2,2.4,3.49,-7.48,,-14.74
2005-05-09,19.36,19.81,1.93,-0.38,253309,0.95,5.35,-7.28,,,-13.09,44.7,2.42,3.4,-5.43,,-13.09
2005-05-10,19.61,19.39,-2.1,-1.01,274179,1.02,3.97,-9.22,,,-14.92,41.0,2.45,3.43,-7.18,,-14.92
2005-05-11,19.39,19.7,1.62,0.0,406137,1.47,4.12,-8.26,,,-13.54,44.7,2.48,3.31,-5.44,,-13.54
2005-05-12,19.66,18.92,-4.0,-0.25,385392,1.34,-1.73,-8.1,,,-17.0,38.2,2.47,3.55,-8.95,,-17.0
2005-05-13,19.07,18.73,-0.99,0.81,326287,1.12,-3.62,-7.67,,,-17.82,36.9,2.46,3.66,-9.61,,-17.82
2005-05-16,18.81,19.61,4.72,0.44,458729,1.5,-0.97,-1.05,,,-13.94,46.6,2.65,3.66,-5.05,,-13.94
2005-05-17,19.37,19.27,-1.77,-1.26,215190,0.7,-0.64,-2.73,,,-15.47,43.7,2.68,3.65,-6.43,,-15.47
2005-05-18,19.4,19.98,3.71,0.7,353064,1.13,1.4,-0.61,,,-12.33,50.5,2.79,3.63,-2.81,,-12.33
2005-05-19,19.98,19.83,-0.75,0.0,223151,0.71,4.83,0.92,,,-12.99,49.1,2.74,3.48,-3.41,,-12.99
2005-05-20,19.83,19.66,-0.83,0.0,131962,0.43,4.99,-3.19,,,-13.72,47.6,2.64,3.39,-4.1,,-13.72
2005-05-23,19.73,19.67,0.04,0.35,161392,0.53,0.3,1.66,,,-13.68,47.7,2.42,3.27,-3.94,,-13.68
2005-05-24,19.49,19.53,-0.71,-0.93,231474,0.76,1.38,-3.44,,,-14.3,46.3,2.2,3.16,-4.43,,-14.3
2005-05-25,19.37,19.16,-1.91,-0.85,191791,0.63,-4.11,-4.72,,,-15.93,42.8,2.23,3.17,-6.04,,-15.93
2005-05-26,19.18,19.41,1.31,0.12,126050,0.44,-2.12,-2.94,-14.84,,-14.84,45.8,2.26,3.08,-4.61,,-14.84
2005-05-27,19.35,19.46,0.23,-0.31,91430,0.34,-1.06,0.81,-11.81,,-14.64,46.3,2.12,2.99,-4.16,,-14.64
2005-05-31,19.37,19.44,-0.07,-0.42,160668,0.62,-1.17,3.85,-12.68,,-14.69,46.2,2.0,2.92,-3.99,,-14.69
2005-06-01,19.45,19.76,1.66,0.03,172008,0.68,1.19,5.12,-10.2,,-13.28,50.3,2.03,2.94,-2.21,,-13.28
2005-06-02,19.77,19.85,0.42,0.05,136063,0.54,3.59,6.41,-8.14,,-12.92,51.3,2.01,2.83,-1.61,,-12.92
2005-06-03,19.89,19.61,-1.2,0.24,138112,0.57,1.02,3.61,-13.88,,-13.97,48.2,2.02,2.88,-2.59,,-13.97
2005-06-06,19.6,19.79,0.93,-0.05,61762,0.27,1.72,2.8,-12.3,,-13.17,50.7,2.0,2.76,-1.46,,-13.17
2005-06-07,19.84,19.74,-0.25,0.25,112902,0.52,1.53,1.59,-8.56,,-13.38,50.0,1.99,2.75,-1.45,,-13.38
2005-06-08,19.77,19.83,0.45,0.17,161637,0.76,0.33,0.12,-6.75,,-12.99,51.3,1.95,2.7,-0.84,,-12.99
2005-06-09,19.87,20.83,5.06,0.2,285872,1.39,4.97,7.43,-0.36,,-8.59,62.9,2.17,2.74,4.27,,-8.59
2005-06-10,21.02,21.41,2.75,0.88,275019,1.37,9.17,8.63,2.1,,-6.08,67.7,2.22,2.69,7.19,,-6.08
