date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,4.41,4.48,,,97910,,,,,,0.0,,,1.66,,,
2005-02-28,4.48,4.48,0.11,0.0,206927,,,,,,0.11,,,1.78,,,
2005-03-01,4.47,4.41,-1.66,-0.33,188761,,,,,,-1.55,46.2,,1.88,,,
2005-03-02,4.4,4.41,0.11,-0.22,105486,,,,,,-1.44,48.1,,1.87,,,
2005-03-03,4.41,4.4,-0.33,0.0,150402,,,,,,-1.77,43.0,,1.83,,,
2005-03-04,4.41,4.46,1.46,0.22,98413,,-0.33,,,,-0.33,62.0,,1.82,,,
2005-03-07,4.45,4.37,-2.11,-0.33,85293,,-2.55,,,,-2.44,40.6,,1.88,,,
2005-03-08,4.36,4.34,-0.56,-0.23,120116,,-1.46,,,,-2.99,37.0,,1.83,,,
2005-03-09,4.34,4.31,-0.79,-0.11,113049,,-2.35,,,,-3.76,32.7,,1.83,,,
2005-03-10,4.3,4.27,-0.98,-0.23,74192,,-2.98,,,,-4.7,28.3,,1.88,,,
2005-03-11,4.28,4.29,0.52,0.29,77725,,-3.88,,,,-4.2,33.4,,1.81,,,
2005-03-14,4.28,4.3,0.35,-0.23,112550,,-1.46,,,,-3.87,36.6,,1.8,,,
2005-03-15,4.31,4.25,-1.21,0.11,83274,,-2.11,,,,-5.03,31.0,,1.84,,,
2005-03-16,4.25,4.27,0.47,-0.18,83781,,-0.86,,,,-4.59,35.1,,1.8,,,
2005-03-17,4.28,4.28,0.29,0.17,58040,,0.41,,,,-4.31,37.6,,1.73,,,
2005-03-18,4.31,4.16,-2.89,0.58,367917,,-3.0,,,,-7.08,26.6,,1.91,,,
2005-03-21,4.14,4.16,0.0,-0.48,85794,,-3.34,,,,-7.08,26.6,,1.87,,,
2005-03-22,4.17,4.15,-0.18,0.24,92361,,-2.33,,,,-7.24,26.0,,1.87,,,
2005-03-23,4.15,4.1,-1.31,-0.18,86300,,-4.06,,,,-8.46,22.5,,1.85,,,
2005-03-24,4.09,4.12,0.42,-0.18,102966,0.86,-3.93,,,,-8.08,25.9,,1.85,,,-8.18
2005-03-28,4.1,4.07,-1.14,-0.36,52488,0.45,-2.2,,,,-9.13,22.9,,1.82,,,-9.23
2005-03-29,4.07,4.01,-1.52,0.06,197330,1.69,-3.69,-10.51,,,-10.51,19.7,1.04,1.91,,,-10.61
2005-03-30,4.02,4.07,1.61,0.19,158979,1.38,-1.97,-9.17,,,-9.07,30.6,1.14,1.89,,,-9.17
2005-03-31,4.08,3.98,-2.19,0.24,203890,1.7,-2.84,-9.66,,,-11.06,25.5,1.17,2.04,,,-11.16
2005-04-01,3.99,3.88,-2.49,0.25,134255,1.12,-5.65,-12.0,,,-13.27,21.2,1.24,2.2,,,-13.37
2005-04-04,3.88,3.88,-0.06,0.0,182695,1.48,-4.62,-11.77,,,-13.33,21.1,1.24,2.24,,,-13.42
2005-04-05,3.89,3.99,2.74,0.32,139293,1.1,-0.49,-10.65,,,-10.95,34.7,1.37,2.22,,,-11.05
2005-04-06,4.0,4.01,0.62,0.37,136268,1.07,-1.46,-8.16,,,-10.4,37.4,1.35,2.21,,,-10.49
2005-04-07,4.01,4.07,1.35,0.0,71671,0.57,2.11,-6.38,,,-9.18,43.0,1.4,2.19,,,-9.28
2005-04-08,4.07,3.96,-2.55,0.13,343190,2.48,2.04,-8.05,,,-11.5,36.3,1.48,2.33,,,-11.6
2005-04-11,3.97,3.89,-1.88,0.19,103459,0.74,0.19,-8.88,,,-13.16,32.5,1.51,2.36,,,-13.26
2005-04-12,3.89,3.94,1.4,0.06,89842,0.65,-1.12,-8.08,,,-11.95,37.7,1.55,2.39,,,-12.04
2005-04-13,3.95,3.83,-2.83,0.25,109014,0.78,-4.51,-10.99,,,-14.44,32.2,1.63,2.54,,,-14.53
2005-04-14,3.84,3.73,-2.65,0.19,124155,0.87,-8.28,-12.29,,,-16.71,28.2,1.69,2.64,,,-16.8
2005-04-15,3.73,3.7,-0.8,0.0,200363,1.34,-6.63,-13.39,,,-17.37,27.1,1.67,2.59,,,-17.46
2005-04-18,3.7,3.72,0.61,-0.13,90339,0.67,-4.26,-13.12,,,-16.87,29.3,1.68,2.5,,,-16.96
2005-04-19,3.73,3.76,1.06,0.32,88324,0.65,-4.59,-9.58,,,-15.98,33.1,1.64,2.38,,,-16.08
2005-04-20,3.77,3.78,0.47,0.33,229634,1.61,-1.35,-9.16,,,-15.59,34.8,1.65,2.29,,,-15.68
2005-04-21,3.79,3.84,1.7,0.39,231153,1.55,3.06,-7.45,,,-14.16,40.6,1.71,2.32,,,-14.25
2005-04-22,3.84,3.77,-1.8,0.0,109014,0.73,2.01,-7.91,,,-15.71,36.8,1.73,2.37,,,-15.8
2005-04-25,3.78,3.79,0.52,0.26,117084,0.77,1.93,-7.82,,,-15.26,38.6,1.73,2.28,,,-15.36
2005-04-26,3.78,3.73,-1.57,-0.26,137784,0.92,-0.73,-8.22,,,-16.6,35.3,1.74,2.32,,,-16.69
2005-04-27,3.73,3.74,0.14,-0.26,105486,0.72,-1.06,-6.68,,,-16.48,35.8,1.73,2.25,,,-16.58
2005-04-28,3.73,3.73,-0.14,-0.14,112047,0.78,-2.84,-8.28,,,-16.6,35.5,1.67,2.16,,,-16.69
2005-04-29,3.74,3.76,0.67,0.2,91349,0.65,-0.4,-5.6,,,-16.04,38.2,1.63,2.11,,,-16.13
2005-05-02,3.77,3.79,0.86,0.4,88826,0.65,-0.06,-2.36,,,-15.32,41.6,1.57,2.03,,,-15.41
2005-05-03,3.79,3.78,-0.39,0.0,104974,0.78,1.14,-2.68,,,-15.65,40.5,1.57,1.99,,,-15.74
2005-05-04,3.76,3.83,1.37,-0.33,72672,0.55,2.39,-3.98,,,-14.49,45.8,1.47,1.98,,,-14.59
2005-05-05,3.82,3.81,-0.51,-0.26,91853,0.7,2.0,-5.06,,,-14.93,44.2,1.46,1.99,,,-15.02
2005-05-06,3.82,3.75,-1.57,0.26,103965,0.87,-0.27,-7.8,,,-16.26,39.6,1.44,2.02,-7.03,,-16.36
2005-05-09,3.75,3.81,1.72,0.14,65108,0.55,0.59,-3.75,,,-14.82,46.2,1.42,1.97,-5.11,,-14.91
2005-05-10,3.8,3.73,-2.21,-0.26,194810,1.58,-1.25,-4.08,,,-16.71,40.1,1.44,2.1,-6.86,,-16.8
2005-05-11,3.73,3.75,0.53,-0.13,140813,1.13,-2.07,-4.9,,,-16.26,42.0,1.4,2.06,-6.06,,-16.36
2005-05-12,3.75,3.71,-0.99,0.14,139293,1.11,-2.54,-3.1,,,-17.09,39.4,1.28,2.08,-6.66,,-17.18
2005-05-13,3.72,3.63,-2.2,0.2,92361,0.77,-3.16,-2.65,,,-18.91,34.4,1.24,2.21,-8.36,,-19.0
2005-05-16,3.64,3.78,4.23,0.13,75200,0.63,-0.78,2.28,,,-15.49,47.8,1.55,2.26,-4.15,,-15.58
2005-05-17,3.74,3.82,1.05,-1.06,66109,0.56,2.53,2.73,,,-14.6,50.6,1.56,2.24,-2.88,,-14.69
2005-05-18,3.84,4.03,5.3,0.51,246287,2.06,7.4,7.04,,,-10.07,61.9,1.92,2.36,2.43,,-10.17
2005-05-19,4.03,4.04,0.25,0.0,116081,1.02,8.73,6.8,,,-9.85,62.3,1.92,2.27,2.83,,-9.95
2005-05-20,4.05,4.02,-0.48,0.25,95379,0.85,10.64,4.51,,,-10.29,60.8,1.9,2.2,2.46,,-10.38
2005-05-23,4.01,4.06,0.99,-0.19,74192,0.67,7.2,7.48,,,-9.4,62.8,1.85,2.14,3.59,,-9.5
2005-05-24,4.04,4.05,-0.13,-0.5,57537,0.54,5.95,6.78,,,-9.52,62.4,1.85,2.06,3.6,,-9.61
2005-05-25,4.04,3.95,-2.44,-0.24,79234,0.75,-1.84,5.84,,,-11.72,54.4,1.9,2.14,1.22,,-11.82
2005-05-26,3.96,4.04,2.25,0.25,39877,0.39,0.13,8.08,-9.74,,-9.74,59.4,1.95,2.1,3.62,,-9.83
2005-05-27,4.04,4.09,1.23,0.0,110021,1.07,1.85,9.56,-8.73,,-8.63,61.9,1.96,2.02,5.0,,-8.73
2005-05-31,4.11,4.18,2.18,0.48,170581,1.6,3.05,11.2,-5.17,,-6.64,66.0,1.99,2.02,7.28,,-6.74
2005-06-01,4.22,4.28,2.37,0.95,425962,3.47,5.63,12.86,-3.03,,-4.43,69.9,2.03,2.09,9.75,,-4.53
2005-06-02,4.28,4.3,0.41,0.0,141316,1.12,8.71,13.77,-2.31,,-4.03,70.5,2.02,2.0,10.12,,-4.14
2005-06-03,4.28,4.24,-1.33,-0.41,102454,0.81,4.9,10.73,-5.0,,-5.31,65.6,2.06,1.98,8.57,,-5.42
2005-06-06,4.24,4.28,0.88,0.0,147374,1.14,4.54,12.28,-2.09,,-4.48,67.2,2.04,1.91,9.44,,-4.59
2005-06-07,4.29,4.34,1.45,0.29,428994,2.91,3.79,15.72,-0.11,,-3.1,69.7,1.99,1.91,10.87,,-3.2
2005-06-08,4.33,4.32,-0.45,-0.23,70152,0.5,0.93,13.25,0.23,,-3.53,68.0,1.99,1.82,10.19,,-3.64
2005-06-09,4.32,4.35,0.62,0.0,85293,0.62,1.15,16.54,1.85,,-2.93,69.1,1.88,1.75,10.73,,-3.04
2005-06-10,4.35,4.35,0.0,0.17,57537,0.43,2.51,15.92,1.33,,-2.93,69.1,1.89,1.65,10.52,,-3.04
2005-06-13,4.36,4.38,0.86,0.28,174114,1.26,2.49,18.08,1.84,,-2.1,70.8,1.85,1.58,11.18,,-2.21
2005-06-14,4.39,4.4,0.4,0.12,294738,1.98,1.43,21.21,3.5,,-1.71,71.6,1.72,1.51,11.33,,-1.82
2005-06-15,4.4,4.38,-0.51,0.0,700009,3.87,1.37,15.7,2.49,,-2.21,69.0,1.57,1.49,10.55,,-2.32
2005-06-16,4.38,4.41,0.68,0.0,58546,0.34,1.43,15.28,2.89,,-1.55,70.5,1.57,1.42,11.08,,-1.66
2005-06-17,4.41,4.4,-0.22,0.0,840814,4.05,1.2,9.23,5.71,,-1.77,69.3,1.17,1.44,10.64,,-1.88
2005-06-20,4.4,4.39,-0.22,0.0,48451,0.24,0.12,8.72,5.48,,-1.99,68.1,1.18,1.39,10.16,,-2.1
2005-06-21,4.37,4.39,0.11,-0.46,201877,0.95,-0.17,9.37,5.78,,-1.88,68.4,1.16,1.35,10.0,,-1.99
2005-06-22,4.4,4.43,0.73,0.11,275564,1.24,1.08,9.1,7.98,,-1.16,70.4,1.16,1.33,10.54,,-1.27
2005-06-23,4.43,4.41,-0.34,0.0,368423,1.55,0.06,8.87,7.16,,-1.49,68.2,1.16,1.35,9.85,,-1.6
2005-06-24,4.42,4.47,1.29,0.28,859486,3.09,1.57,13.03,9.8,,-0.22,71.8,0.98,1.42,10.86,,-0.33
2005-06-27,4.45,4.51,0.89,-0.44,150402,0.54,2.7,11.52,12.48,,0.66,74.0,0.9,1.43,11.4,,0.0
2005-06-28,4.5,4.67,3.52,-0.22,180679,0.64,6.2,14.04,14.6,,4.2,80.5,1.11,1.54,14.78,,0.0
2005-06-29,4.68,4.65,-0.37,0.21,237204,0.87,5.04,11.2,16.73,,3.82,78.2,1.07,1.57,13.86,,-0.37
2005-06-30,4.66,4.64,-0.21,0.16,226606,0.82,5.17,8.4,19.46,,3.6,76.9,0.99,1.56,13.14,,-0.58
2005-07-01,4.66,4.7,1.33,0.37,84790,0.31,5.21,9.39,21.12,,4.98,79.3,1.01,1.53,14.17,,0.0
2005-07-05,4.7,4.78,1.58,0.0,410824,1.43,5.94,12.62,19.75,,6.64,81.8,0.96,1.52,15.42,,0.0
2005-07-06,4.77,4.71,-1.45,-0.05,119103,0.44,0.85,10.02,17.28,,5.09,73.0,1.05,1.53,13.24,,-1.45
2005-07-07,4.7,4.72,0.21,-0.21,172604,0.62,1.44,8.68,15.96,,5.31,73.4,1.03,1.56,12.95,,-1.25
2005-07-08,4.71,4.76,0.84,-0.21,191280,0.68,2.51,10.09,20.0,,6.19,75.2,1.01,1.58,13.34,,-0.42
2005-07-11,4.76,4.79,0.63,0.0,198851,0.69,1.79,10.09,23.06,,6.86,76.4,1.01,1.54,13.49,,0.0
2005-07-12,4.77,4.77,-0.31,-0.42,126678,0.44,-0.1,9.75,20.98,,6.53,74.4,1.02,1.51,12.59,,-0.31
2005-07-13,4.76,4.72,-1.04,-0.31,93871,0.34,0.31,7.68,23.2,,5.42,68.0,1.06,1.51,10.93,,-1.35
2005-07-14,4.73,4.68,-0.94,0.11,136268,0.55,-0.84,6.25,25.37,,4.43,62.8,1.1,1.51,9.43,,-2.28
2005-07-15,4.68,4.66,-0.27,0.0,73181,0.29,-1.93,6.5,26.04,,4.15,61.3,1.09,1.49,8.71,,-2.54
2005-07-18,4.67,4.68,0.32,0.06,119610,0.56,-2.23,6.12,25.68,,4.48,62.4,1.09,1.48,8.62,,-2.23
2005-07-19,4.7,4.75,1.43,0.37,62583,0.29,-0.52,7.89,26.14,,5.98,67.0,1.11,1.46,9.67,,-0.83
2005-07-20,4.74,4.88,2.75,-0.21,137784,0.65,3.3,11.1,29.01,,8.9,73.6,1.22,1.54,12.14,,0.0
2005-07-21,4.87,4.73,-2.99,-0.15,208437,1.0,1.16,7.66,23.06,,5.64,59.3,1.44,1.7,8.29,,-2.99
2005-07-22,4.72,4.92,3.93,-0.21,217525,1.09,5.42,11.08,30.25,,9.79,67.9,1.63,1.8,11.95,,0.0
2005-07-25,4.92,4.83,-1.67,0.0,126177,0.77,3.33,9.6,27.41,,7.96,61.7,1.69,1.85,9.52,,-1.67
2005-07-26,4.84,4.88,0.92,0.19,154437,0.94,2.81,9.2,30.64,,8.95,63.6,1.69,1.81,9.9,,-0.77
2005-07-27,4.88,4.87,-0.1,0.0,92361,0.58,-0.05,8.12,30.32,,8.84,63.2,1.69,1.76,9.25,,-0.87
2005-07-28,4.88,4.95,1.49,0.21,103965,0.68,4.57,6.01,32.45,,10.47,66.4,1.55,1.72,10.33,,0.0
2005-07-29,4.95,4.91,-0.66,0.14,117084,0.79,-0.05,5.7,30.7,,9.74,63.8,1.56,1.74,9.17,,-0.66
2005-08-01,4.9,4.95,0.81,-0.31,144345,0.96,2.46,6.78,30.63,,10.62,65.6,1.56,1.74,9.6,,0.0
2005-08-02,4.96,5.03,1.45,0.2,282628,1.96,3.01,6.91,33.05,,12.23,68.7,1.56,1.71,10.7,,0.0
2005-08-03,5.0,4.92,-2.12,-0.45,167053,1.14,0.93,3.01,28.47,,9.85,60.1,1.62,1.77,7.95,,-2.12
2005-08-04,4.91,4.85,-1.32,-0.21,124662,0.87,-1.87,3.15,27.42,,8.4,55.5,1.62,1.81,6.14,,-3.42
2005-08-05,4.85,4.85,-0.11,-0.11,134255,0.95,-1.33,2.82,29.31,,8.28,55.2,1.62,1.77,5.62,,-3.52
2005-08-08,4.85,4.83,-0.29,0.11,107497,0.79,-2.4,1.66,26.75,,7.96,54.1,1.61,1.75,4.94,,-3.8
2005-08-09,4.85,4.82,-0.36,0.4,108513,0.8,-4.15,0.67,29.15,,7.58,52.8,1.61,1.73,4.24,,-4.15
2005-08-10,4.83,4.8,-0.31,0.36,281110,1.94,-2.37,0.67,28.08,,7.25,51.7,1.61,1.87,3.64,,-4.44
2005-08-11,4.8,4.83,0.56,-0.05,71671,0.51,-0.5,2.31,30.08,,7.85,53.7,1.59,1.8,3.98,,-3.9
2005-08-12,4.83,4.75,-1.74,0.1,109014,0.76,-2.13,1.49,30.69,,5.98,47.2,1.63,1.89,1.97,,-5.57
2005-08-15,4.75,4.79,0.84,0.0,109519,0.77,-1.02,2.61,26.44,,6.86,50.3,1.63,1.85,2.59,,-4.78
2005-08-16,4.78,4.65,-2.75,-0.21,127179,0.87,-3.39,-0.53,21.69,,3.93,41.7,1.75,1.97,-0.39,,-7.4
2005-08-17,4.65,4.67,0.32,-0.16,121626,0.84,-2.78,-1.62,15.94,,4.26,42.9,1.72,1.94,-0.21,,-7.1
2005-08-18,4.65,4.62,-1.12,-0.48,89842,0.64,-4.41,-5.33,14.36,,3.1,39.8,1.61,1.91,-1.45,,-8.14
2005-08-19,4.62,4.6,-0.32,0.06,112550,0.84,-3.03,-2.73,14.54,,2.76,39.0,1.48,1.83,-1.88,,-8.44
2005-08-22,4.61,4.62,0.44,0.11,116586,0.87,-3.42,-6.0,13.92,,3.21,40.8,1.16,1.77,-1.57,,-8.04
2005-08-23,4.62,4.59,-0.59,0.0,103459,0.79,-1.28,-4.97,13.38,,2.6,39.1,1.12,1.74,-2.24,,-8.59
2005-08-24,4.59,4.65,1.14,-0.16,63085,0.49,-0.48,-4.76,17.54,,3.76,44.0,1.14,1.75,-1.23,,-7.55
2005-08-25,4.66,4.66,0.32,0.21,61070,0.48,0.97,-4.36,15.32,4.1,4.1,45.3,1.14,1.69,-1.03,,-7.25
2005-08-26,4.65,4.62,-0.96,-0.32,132229,1.03,0.33,-6.67,12.83,2.98,3.1,42.1,1.08,1.67,-2.07,,-8.14
2005-08-29,4.61,4.73,2.47,-0.21,151912,1.18,2.36,-3.73,13.15,7.3,5.64,51.6,1.24,1.76,0.21,,-5.87
2005-08-30,4.74,4.66,-1.46,0.1,97910,0.82,1.46,-5.9,8.91,5.62,4.1,46.6,1.25,1.86,-1.37,,-7.25
2005-08-31,4.66,4.77,2.23,0.0,137784,1.17,2.56,-5.18,10.89,8.34,6.42,53.9,1.31,1.93,0.67,,-5.18
2005-09-01,4.77,4.77,0.15,0.0,154437,1.29,2.39,-2.98,12.56,6.94,6.58,54.3,1.24,1.88,0.68,,-5.03
2005-09-02,4.77,4.73,-0.88,-0.15,47943,0.42,2.47,-2.54,10.6,8.28,5.64,51.1,1.22,1.85,-0.35,,-5.87
2005-09-06,4.72,4.78,0.94,-0.31,94380,0.82,0.94,-1.52,10.05,9.93,6.64,54.2,1.25,1.79,0.46,,-4.98
2005-09-07,4.77,4.85,1.54,-0.21,85794,0.76,4.02,0.3,12.25,12.51,8.28,58.9,1.29,1.8,1.87,,-3.52
2005-09-08,4.84,4.79,-1.31,-0.2,107497,1.03,0.42,-0.66,10.09,12.13,6.86,53.8,1.32,1.81,0.48,,-4.78
2005-09-09,4.79,4.91,2.59,0.2,194311,1.75,2.86,2.22,12.94,14.44,9.63,60.9,1.44,1.88,2.97,,-2.32
2005-09-12,4.92,5.02,2.22,0.3,229634,1.96,6.08,3.9,14.47,16.57,12.06,65.8,1.51,1.9,5.09,,-0.15
2005-09-13,5.03,4.98,-0.84,0.2,201877,1.66,4.2,4.85,13.06,17.01,11.12,62.5,1.46,1.9,4.08,,-0.99
2005-09-14,4.99,4.86,-2.35,0.19,158474,1.29,0.21,1.54,10.97,13.73,8.51,54.4,1.56,2.0,1.61,,-3.31
2005-09-15,4.89,4.89,0.62,0.71,124662,1.01,2.17,5.06,10.9,14.1,9.18,56.0,1.42,1.95,2.15,,-2.72
2005-09-16,4.9,4.99,1.97,0.3,541029,3.71,1.56,6.79,13.34,19.82,11.33,60.7,1.47,1.94,4.05,,-0.8
2005-09-19,4.97,4.87,-2.34,-0.23,115573,0.79,-2.97,5.46,10.93,17.01,8.73,53.2,1.55,2.01,1.57,,-3.12
2005-09-20,4.87,4.68,-3.96,0.1,176135,1.18,-6.02,1.62,6.43,12.58,4.43,43.7,1.8,2.25,-2.41,,-6.96
2005-09-21,4.67,4.54,-2.86,-0.21,202892,1.32,-6.52,-1.71,2.63,10.82,1.44,38.5,1.91,2.36,-5.11,,-9.62
2005-09-22,4.51,4.59,1.08,-0.77,221560,1.37,-6.08,-0.06,4.09,11.55,2.54,41.3,1.92,2.4,-4.03,,-8.64
2005-09-23,4.59,4.56,-0.75,-0.1,264963,1.54,-8.59,-1.92,2.0,11.99,1.77,39.9,1.91,2.32,-4.7,,-9.32
2005-09-26,4.58,4.54,-0.27,0.44,274048,1.53,-6.65,-2.5,0.83,13.41,1.5,39.4,1.91,2.27,-4.91,,-9.57
2005-09-27,4.54,4.56,0.38,0.0,138788,0.78,-2.43,-1.17,-2.22,12.05,1.89,40.6,1.9,2.25,-4.5,,-9.22
2005-09-28,4.57,4.48,-1.85,0.1,112550,0.63,-1.42,-5.34,-3.68,12.43,0.0,37.0,1.85,2.28,-6.16,,-10.9
2005-09-29,4.49,4.55,1.66,0.22,123147,0.69,-0.85,-2.34,-1.87,17.22,1.66,41.9,1.87,2.2,-4.47,,-9.42
2005-09-30,4.54,4.6,0.97,-0.22,246795,1.35,0.87,-3.54,-2.22,18.44,2.65,44.6,1.81,2.13,-3.49,,-8.53
2005-10-03,4.6,4.58,-0.43,0.0,258902,1.34,0.71,-4.1,-4.15,14.79,2.22,43.6,1.81,2.09,-3.76,,-8.92
2005-10-04,4.59,4.56,-0.43,0.21,218531,1.09,-0.11,-3.66,-3.16,13.58,1.77,42.6,1.81,2.15,-4.07,,-9.32
2005-10-05,4.55,4.33,-4.89,-0.22,370446,1.73,-3.2,-9.23,-8.08,6.58,-3.2,33.2,2.06,2.46,-8.55,,-13.75
2005-10-06,4.33,4.35,0.34,-0.12,912482,3.59,-4.47,-10.31,-8.54,9.74,-2.88,34.2,2.02,2.46,-8.04,,-13.46
2005-10-07,4.36,4.39,0.97,0.23,154940,0.61,-4.47,-8.23,-8.23,12.93,-1.93,37.2,2.03,2.36,-6.92,,-12.62
2005-10-10,4.39,4.37,-0.57,0.05,75707,0.31,-4.61,-11.06,-8.47,10.73,-2.49,36.2,1.92,2.28,-7.24,,-13.12
2005-10-11,4.38,4.33,-0.78,0.29,136268,0.56,-4.94,-13.67,-8.23,13.06,-3.26,34.7,1.81,2.22,-7.72,,-13.8
2005-10-12,4.33,4.25,-1.89,-0.06,202892,0.83,-1.95,-14.59,-9.11,13.94,-5.09,31.5,1.83,2.28,-9.17,,-15.44
2005-10-13,4.23,4.24,-0.35,-0.4,108004,0.44,-2.62,-12.84,-9.19,14.46,-5.42,30.9,1.79,2.27,-9.22,,-15.73
2005-10-14,4.25,4.27,0.93,0.35,138788,0.62,-2.66,-12.57,-8.63,14.83,-4.54,34.3,1.8,2.25,-8.15,,-14.94
2005-10-17,4.27,4.34,1.51,0.0,155951,0.69,-0.62,-12.96,-8.56,15.34,-3.1,39.5,1.77,2.23,-6.55,,-13.66
2005-10-18,4.35,4.3,-0.85,0.23,139795,0.63,-0.69,-11.64,-11.77,13.82,-3.92,37.7,1.73,2.21,-7.14,,-14.39
2005-10-19,4.29,4.42,2.81,-0.17,166556,0.75,4.08,-5.4,-6.49,15.07,-1.22,46.4,1.7,2.26,-4.36,,-11.98
