date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2000-01-03,40.5,39.83,-1.72,-0.05,2930559,0.58,4.28,-6.67,-5.14,-9.87,0.0,45.9,3.26,3.62,-2.31,-5.21,-16.24
2000-01-04,39.61,39.11,-1.8,-0.56,3724990,0.73,-0.24,-11.26,-7.99,-9.34,-1.8,43.1,3.17,3.75,-4.12,-6.99,-17.74
2000-01-05,39.16,38.58,-1.37,0.11,4151023,0.83,-3.23,-10.97,-9.25,-13.56,-3.14,41.0,3.17,3.74,-5.42,-8.34,-18.87
2000-01-06,38.98,39.34,1.98,1.05,3331197,0.67,-1.31,-9.2,-6.68,-13.53,-1.22,45.0,3.21,3.62,-3.6,-6.61,-17.26
2000-01-07,39.87,41.44,5.34,1.35,5500931,1.09,2.26,-1.77,-3.31,-9.87,4.05,54.1,3.4,3.6,1.31,-1.73,-12.85
2000-01-10,41.76,41.66,0.54,0.77,2046981,0.41,4.61,1.18,-2.99,-8.86,4.61,55.0,3.36,3.52,1.68,-1.3,-12.38
2000-01-11,42.12,41.36,-0.73,1.08,3684117,0.74,5.74,1.3,-6.47,-8.93,3.84,53.5,3.36,3.47,0.84,-2.09,-13.02
2000-01-12,41.71,41.76,0.97,0.85,2854391,0.58,8.25,0.44,-1.26,-9.77,4.85,55.2,3.34,3.29,1.72,-1.22,-12.18
2000-01-13,42.12,42.07,0.75,0.85,2153693,0.44,6.94,0.04,2.99,-9.62,5.63,56.5,3.33,3.1,2.4,-0.56,-11.52
2000-01-14,42.16,42.07,0.0,0.21,3555780,0.72,1.52,-1.48,1.15,-11.03,5.63,56.5,3.32,3.03,2.26,-0.66,-11.52
2000-01-18,41.98,41.44,-1.5,-0.22,4442011,0.91,-0.54,-4.47,0.58,-10.64,4.05,52.9,3.31,3.19,0.62,-2.22,-12.85
2000-01-19,41.44,38.13,-7.99,0.0,15917618,3.14,-7.81,-14.86,-4.51,-15.23,-4.27,38.7,3.63,4.08,-7.4,-10.05,-19.81
2000-01-20,38.26,37.14,-2.59,0.36,7244376,1.58,-11.06,-6.61,-4.79,-18.22,-6.74,35.6,2.77,4.25,-9.72,-12.4,-21.89
2000-01-21,37.23,36.02,-3.02,0.24,7065961,1.57,-14.39,-9.54,-7.35,-20.52,-9.56,32.5,2.83,4.51,-12.31,-15.03,-24.25
2000-01-24,36.12,33.56,-6.84,0.27,9687533,2.07,-20.24,-11.63,-11.5,-25.32,-15.75,26.8,3.02,5.16,-18.08,-20.82,-29.43
2000-01-25,32.48,33.42,-0.41,-3.2,7036521,1.51,-19.36,-13.59,-14.22,-24.97,-16.09,26.6,2.97,5.26,-18.11,-21.11,-29.72
2000-01-26,33.7,33.47,0.15,0.82,6654718,1.38,-12.22,-12.36,-12.22,-26.22,-15.96,26.9,2.98,5.23,-17.7,-20.96,-29.61
2000-01-27,33.11,32.48,-2.96,-1.07,6543814,1.29,-12.55,-17.15,-11.47,-28.48,-18.45,24.7,2.92,5.55,-19.74,-23.25,-31.69
2000-01-28,31.68,31.72,-2.34,-2.47,4380354,0.84,-11.94,-20.43,-16.91,-29.81,-20.36,23.2,2.88,5.56,-21.19,-25.0,-33.29
2000-01-31,31.72,33.73,6.35,0.0,4732724,0.88,0.53,-15.38,-14.28,-25.35,-15.3,34.6,3.3,5.28,-15.81,-20.19,-29.05
2000-02-01,33.73,33.38,-1.06,0.0,3976508,0.73,-0.12,-17.64,-16.31,-25.79,-16.19,33.7,3.25,5.14,-16.28,-20.98,-29.8
2000-02-02,33.73,33.87,1.48,1.07,3625397,0.67,1.2,-14.95,-16.26,-23.73,-14.95,36.3,3.29,4.92,-14.66,-19.75,-28.76
2000-02-03,33.87,33.38,-1.46,0.0,3410848,0.63,2.76,-14.66,-15.0,-25.42,-16.19,34.8,3.28,4.97,-15.5,-20.88,-29.8
2000-02-04,33.38,33.29,-0.27,0.0,5094438,0.93,4.95,-13.7,-15.23,-25.62,-16.42,34.6,3.28,4.85,-15.36,-21.04,-29.99
2000-02-07,33.02,31.58,-5.13,-0.82,3705887,0.69,-6.38,-19.72,-18.02,-30.11,-20.71,29.7,3.36,5.2,-19.31,-25.02,-33.58
2000-02-08,32.3,31.76,0.57,2.28,6273332,1.12,-4.84,-23.36,-18.48,-28.69,-20.25,30.8,3.06,5.12,-18.46,-24.53,-33.2
2000-02-09,31.27,30.74,-3.22,-1.55,5170610,0.91,-9.25,-26.22,-21.72,-29.6,-22.82,28.1,3.06,5.36,-20.66,-26.89,-35.35
2000-02-10,30.38,30.38,-1.16,-1.16,4419554,0.77,-8.98,-26.54,-22.72,-30.63,-23.72,27.2,3.06,5.38,-21.1,-27.67,-36.11
2000-02-11,29.84,29.66,-2.36,-1.79,4519707,0.77,-10.89,-28.97,-27.69,-31.65,-25.52,25.5,3.01,5.49,-22.44,-29.28,-37.62
2000-02-14,30.38,29.93,0.89,2.42,4529061,0.76,-5.24,-28.87,-26.1,-32.34,-24.86,27.3,3.02,5.51,-21.23,-28.55,-37.06
2000-02-15,30.11,32.53,8.71,0.6,4756719,0.8,2.43,-22.68,-23.23,-26.09,-18.32,42.5,3.75,5.32,-13.85,-22.25,-31.58
