date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2015-12-28,85.16,85.67,,,335128,,,,,,0.0,,,1.81,,,
2015-12-29,86.12,86.84,1.37,0.53,329658,,,,,,1.37,,,1.83,,,
2015-12-30,86.31,87.09,0.28,-0.61,291464,,,,,,1.66,,,1.84,,,
2015-12-31,86.38,85.18,-2.19,-0.81,239240,,,,,,-0.57,88.3,,1.92,,,
2016-01-04,84.38,85.99,0.94,-0.94,509031,,,,,,0.0,88.9,,2.02,,,
2016-01-05,86.12,84.57,-1.65,0.16,440965,,-1.28,,,,-1.65,81.2,,2.09,,,
2016-01-06,83.48,83.25,-1.56,-1.29,355251,,-4.14,,,,-3.18,74.6,,2.12,,,
2016-01-07,80.95,80.1,-3.79,-2.77,723363,,-8.02,,,,-6.85,61.8,,2.41,,,
2016-01-08,80.52,80.02,-0.09,0.53,455515,,-6.06,,,,-6.93,61.6,,2.45,,,
2016-01-11,79.93,77.55,-3.09,-0.12,663359,,-9.81,,,,-9.81,53.3,,2.6,,,
2016-01-12,78.29,77.8,0.32,0.95,576640,,-8.0,,,,-9.52,54.0,,2.57,,,
2016-01-13,78.19,75.06,-3.53,0.5,463354,,-9.84,,,,-12.71,46.1,,2.85,,,
2016-01-14,75.53,76.46,1.87,0.64,441919,,-4.54,,,,-11.08,50.1,,2.79,,,
2016-01-15,74.85,75.1,-1.78,-2.1,420481,,-6.16,,,,-12.66,46.5,,2.93,,,
2016-01-19,75.81,74.61,-0.65,0.95,254405,,-3.79,,,,-13.23,45.2,,2.92,,,
2016-01-20,73.41,73.15,-1.96,-1.61,487999,,-5.98,,,,-14.93,41.6,,3.05,,,
2016-01-21,73.42,73.56,0.57,0.37,412321,,-1.99,,,,-14.45,43.0,,3.01,,,
2016-01-22,74.86,74.57,1.38,1.77,500734,,-2.46,,,,-13.27,46.4,,3.04,,,
2016-01-25,74.16,73.13,-1.93,-0.55,295101,,-2.61,,,,-14.95,42.5,,3.04,,,
2016-01-26,73.46,73.99,1.18,0.45,553301,1.26,-0.83,,,,-13.95,45.4,,3.01,,,-15.03
2016-01-27,73.85,72.75,-1.68,-0.2,595808,1.32,-0.54,,,,-15.39,42.1,,3.04,,,-16.46
2016-01-28,70.12,74.53,2.44,-3.63,657365,1.41,1.32,-13.0,,,-13.32,48.0,1.84,3.22,,,-14.42
2016-01-29,74.13,76.25,2.3,-0.54,868215,1.75,2.24,-12.2,,,-11.33,52.9,1.9,3.19,,,-12.45
2016-02-01,75.51,75.97,-0.37,-0.96,412225,0.82,3.87,-12.77,,,-11.65,52.1,1.89,3.14,,,-12.77
2016-02-02,75.25,74.16,-2.37,-0.94,358407,0.72,0.23,-12.94,,,-13.75,46.7,1.9,3.17,,,-14.84
2016-02-03,74.9,75.67,2.04,1.0,341594,0.69,4.01,-11.99,,,-11.99,51.2,1.96,3.15,,,-13.11
2016-02-04,75.63,77.46,2.37,-0.05,672846,1.33,3.94,-8.4,,,-9.91,56.0,2.04,3.08,,,-11.05
2016-02-05,77.32,76.04,-1.84,-0.18,368433,0.75,-0.27,-8.66,,,-11.56,51.7,2.05,3.18,,,-12.68
2016-02-08,75.25,75.77,-0.35,-1.04,427672,0.88,-0.25,-5.4,,,-11.88,50.9,1.9,3.11,,,-12.99
2016-02-09,74.9,75.85,0.1,-1.16,372840,0.79,2.27,-5.22,,,-11.79,51.1,1.9,3.09,,,-12.9
2016-02-10,76.34,75.71,-0.18,0.64,286409,0.62,0.05,-2.37,,,-11.95,50.7,1.79,2.98,,,-13.06
2016-02-11,74.3,75.34,-0.49,-1.86,236109,0.53,-2.74,-3.16,,,-12.38,49.4,1.78,3.08,,,-13.48
2016-02-12,75.9,75.83,0.65,0.74,397579,0.89,-0.28,1.03,,,-11.81,51.1,1.61,3.05,,,-12.92
2016-02-16,77.03,77.9,2.73,1.58,421142,0.94,2.81,1.88,,,-9.4,57.9,1.67,2.99,,,-10.55
2016-02-17,78.49,78.45,0.71,0.75,385947,0.85,3.43,4.47,,,-8.76,59.5,1.62,2.92,,,-9.91
