date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2016-11-01,17.24,14.66,,,23101016,,,,,,0.0,,,20.56,,,
2016-11-02,14.62,13.9,-5.17,-0.31,21121968,,,,,,-5.17,0.0,,20.67,,,
2016-11-03,13.74,13.56,-2.51,-1.18,10907948,,,,,,-7.54,0.0,,19.94,,,
2016-11-04,13.64,13.7,1.07,0.61,12198940,,,,,,-6.56,1.5,,18.44,,,
2016-11-07,13.87,13.44,-1.91,1.25,11941589,,,,,,-8.34,1.5,,17.76,,,
2016-11-08,13.53,13.57,0.94,0.64,8389768,,-7.48,,,,-7.48,2.9,,16.47,,,
2016-11-09,13.2,13.66,0.67,-2.66,9620760,,-1.79,,,,-6.86,4.0,,15.58,,,
2016-11-10,13.67,14.38,5.26,0.12,15953607,,6.04,,,,-1.96,12.3,,14.13,,,
2016-11-11,14.36,14.69,2.21,-0.11,6875175,,7.24,,,,0.2,15.8,,13.07,,,
2016-11-14,14.75,14.87,1.23,0.42,6794586,,10.67,,,,1.44,17.8,,12.1,,,
2016-11-15,14.93,15.51,4.29,0.37,6234041,,14.34,,,,5.79,24.6,,11.09,,,
2016-11-16,15.39,15.28,-1.51,-0.79,5327205,,11.87,,,,4.19,23.8,,10.62,,,
2016-11-17,15.23,15.19,-0.56,-0.31,5400909,,5.68,,,,3.61,23.5,,10.01,,,
2016-11-18,15.16,15.51,2.1,-0.19,6235413,,5.57,,,,5.79,27.2,,9.3,,,
2016-11-21,15.5,15.72,1.35,-0.09,4635826,,5.7,,,,7.22,29.5,,8.65,,,
2016-11-22,15.63,15.5,-1.42,-0.55,6171447,,-0.09,,,,5.69,28.4,,8.32,,,
2016-11-23,15.44,15.8,1.96,-0.4,4707704,,3.42,,,,7.76,32.0,,7.82,,,
2016-11-25,15.83,15.99,1.21,0.2,3305414,,5.27,,,,9.07,34.2,,7.31,,,
2016-11-28,15.89,15.7,-1.84,-0.62,5814454,,1.2,,,,7.06,32.5,,7.13,,,
2016-11-29,15.61,15.33,-2.37,-0.54,7548752,0.83,-2.51,,,,4.52,30.3,,7.02,,,-4.17
2016-11-30,15.26,15.02,-1.99,-0.41,8226230,0.98,-3.08,,,,2.44,28.7,,6.87,,,-6.08
2016-12-01,15.07,15.19,1.14,0.31,10052457,1.29,-3.85,3.61,,,3.61,31.0,2.46,6.52,,,-5.01
2016-12-02,15.11,15.34,0.99,-0.56,3989370,0.53,-4.07,10.33,,,4.63,33.0,2.14,6.13,,,-4.07
2016-12-05,15.3,15.78,2.89,-0.26,5845352,0.82,0.55,16.44,,,7.65,38.7,2.08,5.77,,,-1.3
2016-12-06,15.5,15.83,0.3,-1.82,5641322,0.82,3.31,15.56,,,7.98,39.3,2.08,5.56,,,-1.0
2016-12-07,15.9,16.27,2.74,0.43,5774605,0.86,8.29,21.03,,,10.93,44.6,2.04,5.22,,,0.0
2016-12-08,16.37,16.29,0.15,0.63,4904004,0.76,7.23,20.08,,,11.1,44.9,2.04,4.96,,,0.0
2016-12-09,16.46,16.99,4.27,1.06,8122337,1.34,10.72,24.38,,,15.84,52.5,2.17,4.71,,,0.0
2016-12-12,16.93,16.81,-1.02,-0.34,6386648,1.05,6.51,16.95,,,14.66,50.6,1.99,4.65,,,-1.02
