date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,14.75,15.7,,,622600,,,,,,0.0,,,7.39,,,
2005-02-28,15.59,15.77,0.44,-0.74,386804,,,,,,0.44,,,7.07,,,
2005-03-01,15.76,15.67,-0.63,-0.06,351265,,,,,,-0.18,90.2,,6.8,,,
2005-03-02,15.69,15.75,0.5,0.13,485719,,,,,,0.32,91.0,,6.42,,,
2005-03-03,15.74,16.12,2.33,-0.06,1141853,,,,,,2.66,93.5,,6.08,,,
2005-03-04,16.15,16.27,0.9,0.17,537073,,3.59,,,,3.59,94.2,,5.75,,,
2005-03-07,16.27,16.48,1.32,0.06,316465,,4.49,,,,4.95,95.0,,5.38,,,
2005-03-08,16.46,16.68,1.23,-0.11,1307206,,6.44,,,,6.25,95.7,,5.1,,,
2005-03-09,16.67,16.55,-0.76,-0.06,627131,,5.1,,,,5.43,88.0,,4.87,,,
2005-03-10,16.53,16.36,-1.18,-0.18,365713,,1.49,,,,4.19,77.7,,4.69,,,
2005-03-11,16.36,16.13,-1.41,0.0,371617,,-0.84,,,,2.72,67.6,,4.63,,,
2005-03-14,16.13,16.12,-0.06,0.0,283144,,-2.18,,,,2.66,67.3,,4.45,,,
2005-03-15,16.12,16.12,0.0,0.0,268485,,-3.37,,,,2.66,67.3,,4.23,,,
2005-03-16,16.12,16.18,0.36,0.0,280508,,-2.28,,,,3.03,68.6,,4.03,,,
2005-03-17,16.15,16.05,-0.78,-0.18,129916,,-1.88,,,,2.23,62.9,,3.91,,,
2005-03-18,16.08,15.93,-0.75,0.17,210487,,-1.22,,,,1.46,57.9,,3.81,,,
2005-03-21,16.07,15.94,0.06,0.88,173052,,-1.11,,,,1.52,58.2,,3.81,,,
2005-03-22,15.97,15.93,-0.06,0.18,259310,,-1.17,,,,1.46,57.7,,3.73,,,
2005-03-23,15.94,15.37,-3.55,0.06,381955,,-5.02,,,,-2.15,39.6,,3.95,,,
2005-03-24,15.35,15.72,2.32,-0.13,221980,0.51,-2.05,,,,0.13,50.2,,3.85,,,-5.76
2005-03-28,15.64,15.22,-3.2,-0.49,372146,0.88,-4.47,,,,-3.08,39.7,,4.06,,,-8.78
2005-03-29,15.12,14.39,-5.47,-0.64,555425,1.29,-9.75,-8.38,,,-8.38,28.8,1.88,4.53,,,-13.76
2005-03-30,14.29,14.95,3.9,-0.67,452396,1.04,-6.17,-5.23,,,-4.8,40.6,2.09,4.42,,,-10.4
