date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2021-08-27,340.5,331.5,,,2114,,,,,,0.0,,,4.8,,,
2021-08-30,333.6,320.1,-3.44,0.63,1640,,,,,,-3.44,0.0,,4.95,,,
2021-08-31,318.0,319.8,-0.09,-0.66,653,,,,,,-3.53,0.0,,4.99,,,
2021-09-01,321.3,312.9,-2.16,0.47,1036,,,,,,-5.61,0.0,,5.2,,,
2021-09-02,315.9,304.8,-2.59,0.96,503,,,,,,-8.05,0.0,,5.31,,,
2021-09-03,301.76,302.1,-0.89,-1.0,395,,-8.87,,,,-8.87,0.0,,5.11,,,
2021-09-07,300.0,339.9,12.51,-0.7,2895,,6.19,,,,2.53,23.2,,5.19,,,
2021-09-08,335.7,307.8,-9.44,-1.24,906,,-3.75,,,,-7.15,19.1,,6.07,,,
2021-09-09,307.8,317.1,3.02,0.0,1139,,1.34,,,,-4.34,23.3,,6.12,,,
2021-09-10,315.3,308.4,-2.74,-0.57,521,,1.18,,,,-6.97,22.1,,6.23,,,
2021-09-13,311.4,283.5,-8.07,0.97,1802,,-6.16,,,,-14.48,19.2,,7.34,,,
2021-09-14,285.0,276.0,-2.65,0.53,1303,,-18.8,,,,-16.74,18.4,,7.4,,,
2021-09-15,270.3,270.3,-2.07,-2.07,459,,-12.18,,,,-18.46,17.8,,7.21,,,
2021-09-16,269.4,291.78,7.95,-0.33,279,,-7.98,,,,-11.98,27.4,,7.08,,,
2021-09-17,293.1,277.5,-4.89,0.45,815,,-10.02,,,,-16.29,25.3,,7.58,,,
2021-09-20,286.5,258.3,-6.92,3.24,672,,-8.89,,,,-22.08,22.8,,8.42,,,
2021-09-21,266.7,270.0,4.53,3.25,232,,-2.17,,,,-18.55,27.5,,7.99,,,
2021-09-22,270.0,282.6,4.67,0.0,469,,4.55,,,,-14.75,32.4,,7.5,,,
2021-09-23,292.2,301.5,6.69,3.4,1138,,3.33,,,,-9.05,39.0,,7.15,,,
2021-09-24,287.7,295.43,-2.01,-4.58,511,0.52,6.46,,,,-10.88,37.7,,7.11,,,-13.08
2021-09-27,294.0,287.1,-2.82,-0.48,348,0.39,11.15,,,,-13.39,36.0,,7.05,,,-15.53
2021-09-28,292.2,283.8,-1.15,1.78,353,0.43,5.11,-14.39,,,-14.39,35.3,5.43,6.85,,,-16.5
2021-09-29,277.2,276.0,-2.75,-2.33,1979,2.23,-2.34,-13.78,,,-16.74,33.6,5.42,6.93,,,-18.8
2021-09-30,273.6,264.0,-4.35,-0.87,1069,1.2,-12.44,-17.45,,,-20.36,31.2,5.48,7.37,,,-22.33
2021-10-01,264.0,260.85,-1.19,0.0,977,1.07,-11.7,-16.63,,,-21.31,30.6,5.47,7.38,,,-23.26
2021-10-04,244.2,225.3,-13.63,-6.38,1618,1.66,-21.53,-26.08,,,-32.04,24.6,6.15,9.12,,,-33.72
2021-10-05,234.4,223.5,-0.8,4.04,2146,2.29,-21.25,-26.02,,,-32.58,24.4,6.15,9.97,,,-34.25
2021-10-06,221.7,215.74,-3.47,-0.81,828,0.89,-21.83,-36.53,,,-34.92,23.2,5.29,10.11,,,-36.53
2021-10-07,217.8,220.5,2.21,0.95,327,0.37,-16.48,-28.36,,,-33.48,25.5,5.08,9.6,,,-35.13
2021-10-08,223.5,223.5,1.36,1.36,430,0.49,-14.32,-29.52,,,-32.58,27.0,5.02,9.21,,,-34.25
2021-10-11,222.0,202.5,-9.4,-0.67,803,0.96,-10.12,-34.34,,,-38.91,23.5,5.3,10.22,,,-40.42
2021-10-12,214.2,208.5,2.96,5.78,321,0.41,-6.71,-26.46,,,-37.1,26.4,5.2,9.72,,,-38.66
2021-10-13,208.2,189.3,-9.21,-0.14,908,1.12,-12.26,-31.41,,,-42.9,23.3,5.47,10.67,,,-44.31
2021-10-14,183.3,178.8,-5.55,-3.17,1622,1.85,-18.91,-33.85,,,-46.06,21.8,5.54,11.36,,,-47.4
2021-10-15,167.4,168.9,-5.54,-6.38,528,0.61,-24.43,-42.11,,,-49.05,20.5,5.12,11.73,,,-50.31
2021-10-18,176.1,176.4,4.44,4.26,1018,1.15,-12.89,-36.43,,,-46.79,24.3,5.29,10.87,,,-48.1
2021-10-19,176.4,181.2,2.72,0.0,4479,4.09,-13.09,-29.85,,,-45.34,26.7,5.26,10.36,,,-46.69
2021-10-20,195.0,191.55,5.71,7.62,9265,6.04,1.19,-29.06,,,-42.22,31.8,5.34,9.88,,,-43.65
2021-10-21,198.0,191.1,-0.23,3.37,2230,1.4,6.88,-32.38,,,-42.35,31.7,5.16,9.52,,,-43.78
2021-10-22,201.0,194.4,1.73,5.18,841,0.52,15.1,-35.52,,,-41.36,33.3,4.86,9.19,,,-42.81
2021-10-25,221.7,224.7,15.59,14.04,7215,3.7,27.38,-23.94,,,-32.22,46.5,6.19,8.39,,,-33.89
2021-10-26,243.0,243.0,8.14,8.14,5125,2.34,34.11,-15.36,,,-26.7,52.5,6.49,7.74,,,-28.51
2021-10-27,236.7,221.1,-9.01,-2.59,1976,0.9,15.43,-22.09,,,-33.3,45.8,6.75,8.63,,,-34.95
2021-10-28,224.7,217.5,-1.63,1.63,1149,0.52,13.81,-21.2,,,-34.39,44.8,6.74,8.52,,,-36.01
2021-10-29,220.2,218.4,0.41,1.24,206,0.1,12.35,-17.27,,,-34.12,45.2,6.69,8.15,,,-35.75
2021-11-01,234.6,236.4,8.24,7.42,3496,1.56,5.21,-9.37,,,-28.69,51.3,6.97,7.63,,,-30.45
2021-11-02,241.2,233.1,-1.4,2.03,2133,0.95,-4.07,3.46,,,-29.68,50.2,6.27,7.75,,,-31.42
2021-11-03,229.8,231.6,-0.64,-1.42,867,0.39,4.75,3.62,,,-30.14,49.7,6.27,7.53,,,-31.86
2021-11-04,230.4,224.7,-2.98,-0.52,1041,0.46,3.31,4.15,,,-32.22,47.2,6.25,7.5,,,-33.89
2021-11-05,224.7,226.2,0.67,0.0,631,0.28,3.57,2.59,,,-31.76,47.8,6.24,7.19,-10.32,,-33.45
2021-11-08,211.5,202.2,-10.61,-6.5,1699,0.73,-14.47,-9.53,,,-39.0,39.9,6.67,8.5,-19.0,,-40.51
2021-11-09,209.1,212.1,4.9,3.41,743,0.32,-9.01,4.74,,,-36.02,44.0,6.42,8.18,-14.29,,-37.6
2021-11-10,204.0,205.8,-2.97,-3.82,913,0.39,-11.14,-1.29,,,-37.92,42.1,6.43,8.38,-16.07,,-39.45
2021-11-11,195.0,190.2,-7.58,-5.25,1244,0.53,-15.35,0.48,,,-42.62,37.6,6.32,9.34,-21.64,,-44.04
2021-11-12,192.6,194.4,2.21,1.26,566,0.24,-14.06,8.72,,,-41.36,39.4,6.19,8.69,-19.18,,-42.81
2021-11-15,184.5,180.0,-7.41,-5.09,1213,0.52,-10.98,6.57,,,-45.7,35.5,6.3,9.28,-24.4,,-47.04
2021-11-16,180.0,170.7,-5.17,0.0,1842,0.83,-19.52,-3.23,,,-48.51,33.2,6.35,9.7,-27.27,,-49.78
2021-11-17,175.8,178.8,4.75,2.99,1811,0.98,-13.12,-1.32,,,-46.06,37.0,6.4,9.01,-22.97,,-47.4
2021-11-18,187.5,186.6,4.36,4.87,1994,1.09,-1.89,-2.58,,,-43.71,40.6,6.35,8.4,-18.7,,-45.1
2021-11-19,199.2,186.6,0.0,6.75,1266,0.68,-4.01,-2.35,,,-43.71,40.6,6.35,8.45,-17.83,,-45.1
