date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2008-06-25,40.29,40.68,,,2633,,,,,,0.0,,,1.36,,,
2008-06-26,46.25,39.37,-3.23,13.7,12577,,,,,,-3.23,0.0,,2.56,,,
2008-06-27,39.63,38.67,-1.77,0.67,9947,,,,,,-4.94,0.0,,2.61,,,
2008-06-30,39.14,38.74,0.18,1.22,22080,,,,,,-4.77,0.4,,2.53,,,
2008-07-01,38.72,37.62,-2.89,-0.06,19186,,,,,,-7.52,0.4,,2.74,,,
2008-07-02,37.41,36.63,-2.64,-0.57,8564,,-9.96,,,,-9.96,0.4,,2.81,,,
2008-07-03,42.38,36.62,-0.02,15.68,7682,,-6.97,,,,-9.97,0.4,,3.85,,,
2008-07-07,37.09,36.95,0.88,1.27,3266,,-4.46,,,,-9.18,2.6,,3.65,,,
2008-07-08,37.19,36.97,0.06,0.65,15698,,-4.57,,,,-9.12,2.8,,3.59,,,
2008-07-09,36.83,36.7,-0.73,-0.37,5200,,-2.45,,,,-9.78,2.7,,3.48,,,
2008-07-10,36.67,37.03,0.88,-0.09,1300,,1.08,,,,-8.98,5.3,,3.36,,,
2008-07-11,37.19,37.2,0.47,0.44,5387,,1.58,,,,-8.55,6.8,,3.22,,,
2008-07-14,37.75,37.96,2.03,1.48,28760,,2.73,,,,-6.7,12.9,,3.08,,,
2008-07-15,37.63,37.3,-1.72,-0.86,15641,,0.9,,,,-8.31,12.2,,3.19,,,
2008-07-16,37.3,38.16,2.3,0.0,5491,,3.98,,,,-6.19,18.9,,3.05,,,
2008-07-17,38.93,38.24,0.21,2.0,6004,,3.28,,,,-6.0,19.5,,2.98,,,
2008-07-18,38.08,37.92,-0.85,-0.43,6181,,1.92,,,,-6.8,18.9,,2.87,,,
2008-07-21,38.36,38.65,1.93,1.16,22264,,1.83,,,,-5.0,24.7,,2.75,,,
2008-07-22,38.91,37.93,-1.86,0.68,12293,,1.68,,,,-6.76,23.0,,3.02,,,
2008-07-23,38.25,37.9,-0.08,0.84,6391,0.59,-0.69,,,,-6.84,22.9,,2.89,,,-6.84
2008-07-24,37.41,36.21,-4.46,-1.29,8335,0.75,-5.31,,,,-11.0,19.2,,3.19,,,-11.0
2008-07-25,36.44,36.63,1.17,0.65,3441,0.32,-3.39,-9.96,,,-9.96,22.6,1.84,3.03,,,-9.96
2008-07-28,36.05,36.4,-0.63,-1.58,24231,2.13,-5.82,-7.54,,,-10.53,22.0,1.73,2.95,,,-10.53
2008-07-29,36.67,37.25,2.34,0.74,24782,2.15,-1.79,-3.67,,,-8.43,28.8,1.8,2.87,,,-8.43
2008-07-30,37.87,38.12,2.32,1.65,4569,0.42,0.57,-1.61,,,-6.3,35.0,1.88,2.77,,,-6.3
2008-07-31,38.13,37.73,-1.02,0.04,4020,0.38,4.2,0.28,,,-7.26,33.6,1.78,2.91,,,-7.26
2008-08-01,37.98,37.06,-1.77,0.66,5870,0.56,1.18,1.18,,,-8.89,31.3,1.72,2.93,,,-8.89
2008-08-04,37.35,36.32,-2.01,0.77,4316,0.41,-0.22,-0.84,,,-10.73,28.9,1.78,2.98,,,-10.73
2008-08-05,36.08,36.13,-0.51,-0.65,2010,0.2,-3.01,-2.21,,,-11.19,28.3,1.77,2.85,,,-11.19
2008-08-06,36.18,36.53,1.11,0.12,5091,0.52,-4.16,-1.18,,,-10.2,31.5,1.79,2.72,,,-10.2
2008-08-07,36.73,36.52,-0.05,0.55,7790,0.77,-3.22,-0.51,,,-10.24,31.4,1.78,2.6,,,-10.24
2008-08-08,36.15,35.88,-1.74,-1.01,6320,0.62,-3.19,-3.09,,,-11.8,29.0,1.81,2.61,,,-11.8
2008-08-11,35.93,35.34,-1.51,0.14,3114,0.35,-2.69,-5.0,,,-13.13,27.1,1.83,2.59,,,-13.13
2008-08-12,35.24,35.56,0.61,-0.28,3031,0.37,-1.59,-6.32,,,-12.6,29.1,1.77,2.52,,,-12.6
2008-08-13,35.55,35.74,0.5,-0.02,4837,0.59,-2.18,-4.2,,,-12.16,30.8,1.74,2.41,,,-12.16
2008-08-14,35.8,35.65,-0.24,0.18,1528,0.19,-2.37,-6.58,,,-12.37,30.5,1.65,2.28,,,-12.37
2008-08-15,36.05,36.59,2.65,1.13,5131,0.64,1.99,-4.3,,,-10.05,39.2,1.77,2.24,,,-10.05
2008-08-18,36.86,36.12,-1.29,0.74,3202,0.46,2.21,-4.73,,,-11.2,36.7,1.78,2.27,,,-11.2
2008-08-19,36.24,36.39,0.74,0.32,2228,0.34,2.35,-5.84,,,-10.55,39.1,1.72,2.14,,,-10.55
2008-08-20,36.55,37.36,2.66,0.42,6632,1.02,4.54,-1.51,,,-8.17,46.8,1.8,2.15,,,-8.17
2008-08-21,38.06,38.32,2.57,1.89,16330,2.36,7.48,1.1,,,-5.81,53.1,1.88,2.13,,,-5.81
2008-08-22,38.53,38.69,0.98,0.54,7753,1.09,5.74,6.87,,,-4.89,55.4,1.58,2.03,,,-4.89
2008-08-25,38.58,38.04,-1.69,-0.3,6021,0.97,5.3,3.84,,,-6.5,50.8,1.63,2.06,,,-6.5
2008-08-26,38.15,37.73,-0.81,0.3,5732,1.09,3.68,3.66,,,-7.26,48.8,1.63,2.02,,,-7.26
