date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2019-06-17,25.41,25.9,,,3468,,,,,,0.0,,,1.97,,,
2019-06-18,26.31,26.35,1.71,1.58,4169,,,,,,1.71,,,1.94,,,
2019-06-19,26.47,26.38,0.13,0.46,3522,,,,,,1.85,,,1.84,,,
2019-06-20,26.64,26.26,-0.46,1.0,11088,,,,,,1.38,97.8,,1.82,,,
2019-06-21,26.19,26.18,-0.28,-0.25,5115,,,,,,1.09,96.4,,1.79,,,
2019-06-24,26.34,25.67,-1.98,0.59,1391,,-0.91,,,,-0.91,87.0,,1.89,,,
2019-06-25,25.89,25.59,-0.31,0.87,2935,,-2.88,,,,-1.21,85.7,,1.84,,,
2019-06-26,25.37,25.37,-0.87,-0.87,26,,-3.85,,,,-2.07,81.8,,1.79,,,
2019-06-27,25.59,25.91,2.13,0.88,2470,,-1.34,,,,0.02,83.7,,1.77,,,
2019-06-28,26.19,26.56,2.54,1.11,325,,1.45,,,,2.56,85.7,,1.78,,,
2019-07-01,26.95,26.72,0.6,1.47,22339,,4.12,,,,3.17,86.2,,1.75,,,
2019-07-02,26.49,26.5,-0.84,-0.89,358,,3.57,,,,2.31,82.3,,1.7,,,
2019-07-03,26.82,26.92,1.59,1.2,366,,6.13,,,,3.93,83.8,,1.67,,,
2019-07-05,26.97,26.62,-1.13,0.2,687,,2.74,,,,2.76,78.7,,1.66,,,
2019-07-08,26.36,26.26,-1.35,-0.97,699,,-1.15,,,,1.37,73.1,,1.7,,,
2019-07-09,26.57,26.61,1.35,1.2,585,,-0.42,,,,2.74,75.0,,1.65,,,
2019-07-10,26.85,26.6,-0.06,0.88,458,,0.36,,,,2.68,74.7,,1.61,,,
2019-07-11,26.37,26.41,-0.7,-0.85,275,,-1.9,,,,1.96,71.6,,1.56,,,
2019-07-12,26.33,26.35,-0.22,-0.29,819,,-1.0,,,,1.73,70.6,,1.48,,,
2019-07-15,26.25,26.53,0.69,-0.37,5902,1.76,1.05,,,,2.43,71.9,,1.45,,,-1.45
2019-07-16,26.73,26.48,-0.19,0.75,1875,0.57,-0.49,,,,2.24,71.0,,1.42,,,-1.63
2019-07-17,26.7,26.71,0.86,0.83,20590,5.03,0.43,3.12,,,3.12,72.7,1.2,1.4,,,-0.79
2019-07-18,27.11,27.08,1.4,1.49,20638,4.17,2.55,2.8,,,4.56,75.3,1.18,1.38,,,0.0
2019-07-19,27.27,26.74,-1.26,0.69,5723,1.22,1.48,1.37,,,3.24,68.9,1.22,1.44,,,-1.26
2019-07-22,26.87,26.85,0.41,0.47,739,0.17,1.2,2.26,,,3.67,69.8,1.22,1.38,,,-0.85
2019-07-23,26.89,26.77,-0.29,0.13,5131,1.1,1.1,2.25,,,3.37,68.3,1.22,1.33,,,-1.14
2019-07-24,26.98,26.98,0.77,0.77,131,0.03,1.01,5.11,,,4.16,70.1,1.12,1.28,,,-0.38
2019-07-25,26.77,26.53,-1.65,-0.77,252,0.06,-2.03,3.69,,,2.44,61.8,1.19,1.33,,,-2.03
2019-07-26,26.77,27.04,1.91,0.88,559,0.13,1.11,6.6,,,4.39,66.6,1.22,1.34,,,-0.16
2019-07-29,26.92,26.99,-0.19,-0.45,1935,0.43,0.51,4.17,,,4.19,65.7,1.15,1.28,,,-0.35
2019-07-30,26.96,27.06,0.28,-0.08,672,0.2,1.08,1.88,,,4.48,66.4,1.02,1.24,,,-0.07
2019-07-31,27.22,27.03,-0.12,0.58,1242,0.36,0.19,1.14,,,4.35,65.8,1.02,1.23,,,-0.19
2019-08-01,27.03,26.91,-0.43,0.01,757,0.22,1.44,1.56,,,3.91,63.4,1.0,1.19,,,-0.62
2019-08-02,26.71,26.36,-2.05,-0.76,1282,0.36,-2.5,-2.07,,,1.78,53.6,1.04,1.31,,,-2.66
2019-08-05,25.81,25.61,-2.84,-2.11,2334,0.65,-5.09,-3.77,,,-1.11,43.7,1.19,1.52,,,-5.42
2019-08-06,25.64,26.0,1.52,0.09,605,0.17,-3.92,-0.97,,,0.39,48.9,1.21,1.49,,,-3.99
2019-08-07,26.17,26.24,0.9,0.66,416,0.12,-2.94,-1.42,,,1.29,51.9,1.19,1.44,,,-3.13
2019-08-08,26.46,26.73,1.89,0.85,478,0.13,-0.68,0.51,,,3.2,57.4,1.26,1.44,,,-1.29
2019-08-09,26.73,26.51,-0.82,-0.01,3063,0.82,0.57,0.39,,,2.36,54.4,1.26,1.46,,,-2.11
2019-08-12,26.27,25.93,-2.2,-0.91,1152,0.33,1.24,-1.59,,,0.11,47.4,1.35,1.55,,,-4.25
2019-08-13,26.28,26.22,1.14,1.35,2921,0.83,0.85,-1.16,,,1.24,50.8,1.37,1.52,,,-3.17
2019-08-14,26.01,25.83,-1.5,-0.83,1355,0.53,-1.54,-2.45,,,-0.27,46.4,1.41,1.54,,,-4.62
2019-08-15,25.73,25.74,-0.36,-0.38,532,0.34,-3.72,-3.63,,,-0.63,45.4,1.39,1.47,,,-4.96
2019-08-16,26.2,26.31,2.23,1.81,203,0.16,-0.75,-2.84,,,1.58,52.3,1.45,1.49,,,-2.84
2019-08-19,26.52,26.57,0.98,0.79,426,0.33,2.46,-0.64,,,2.57,55.0,1.44,1.44,,,-1.9
2019-08-20,26.11,26.11,-1.73,-1.73,74,0.07,-0.44,-2.77,,,0.8,49.5,1.48,1.49,,,-3.6
2019-08-21,26.27,26.27,0.63,0.63,69,0.07,1.7,-1.88,,,1.43,51.4,1.49,1.41,,,-2.99
2019-08-22,25.78,25.74,-2.02,-1.86,384,0.38,0.0,-4.59,,,-0.63,45.5,1.54,1.49,,,-4.96
2019-08-23,25.71,25.02,-2.81,-0.13,858,0.83,-4.92,-5.72,,,-3.42,39.0,1.61,1.63,,,-7.63
2019-08-26,25.28,25.23,0.86,1.07,150,0.16,-5.03,-6.68,,,-2.59,41.7,1.56,1.58,-4.23,,-6.83
2019-08-27,25.26,24.87,-1.44,0.09,1548,1.56,-4.75,-7.85,,,-3.99,38.6,1.57,1.67,-5.53,,-8.17
2019-08-28,24.83,25.12,1.0,-0.18,109,0.12,-4.39,-7.19,,,-3.03,41.8,1.6,1.62,-4.5,,-7.25
2019-08-29,25.36,25.36,0.98,0.98,134,0.15,-1.46,-6.16,,,-2.08,44.8,1.62,1.55,-3.49,,-6.35
2019-08-30,25.19,25.24,-0.49,-0.7,4934,4.54,0.89,-6.23,,,-2.56,43.6,1.62,1.5,-3.89,,-6.81
2019-09-03,24.98,24.86,-1.5,-1.03,846,0.83,-1.47,-5.7,,,-4.03,40.0,1.6,1.52,-5.24,,-8.21
2019-09-04,24.96,24.96,0.42,0.42,55,0.06,0.38,-2.54,,,-3.62,41.4,1.49,1.44,-4.79,,-7.82
2019-09-05,25.27,25.23,1.05,1.24,735,0.73,0.43,-2.99,,,-2.61,45.0,1.47,1.41,-3.76,,-6.85
2019-09-06,25.29,25.04,-0.75,0.27,3104,2.74,-1.29,-4.57,,,-3.34,43.0,1.45,1.39,-4.46,,-7.55
2019-09-09,25.22,24.77,-1.05,0.72,2308,2.11,-1.84,-7.32,,,-4.35,40.2,1.38,1.43,-5.38,,-8.52
2019-09-10,24.68,25.1,1.32,-0.39,4613,3.64,0.98,-5.32,,,-3.09,44.9,1.42,1.5,-4.02,,-7.31
2019-09-11,25.33,25.49,1.55,0.93,654,0.57,2.12,-1.69,,,-1.58,49.9,1.4,1.48,-2.44,,-5.87
2019-09-12,25.56,25.46,-0.13,0.26,1143,1.0,0.92,-2.92,,,-1.71,49.5,1.37,1.42,-2.49,,-6.0
2019-09-13,25.33,25.33,-0.49,-0.49,30,0.03,1.18,-1.93,,,-2.2,47.9,1.34,1.36,-2.85,,-6.46
2019-09-16,25.04,25.52,0.75,-1.16,408,0.36,3.02,-0.84,-1.46,,-1.46,50.6,1.35,1.39,-2.04,,-5.75
2019-09-17,25.57,25.57,0.17,0.17,108,0.1,1.86,-2.83,-2.95,,-1.29,51.2,1.25,1.3,-1.82,,-5.59
2019-09-18,25.54,25.48,-0.34,-0.11,2023,1.67,-0.05,-4.1,-3.41,,-1.63,49.8,1.22,1.28,-2.07,,-5.92
2019-09-19,25.42,25.42,-0.24,-0.24,37,0.03,-0.15,-2.64,-3.2,,-1.86,48.9,1.17,1.21,-2.21,,-6.14
2019-09-20,25.71,25.65,0.89,1.14,1347,1.07,1.24,-2.38,-2.06,,-0.99,52.5,1.18,1.19,-1.28,,-5.3
2019-09-23,25.74,25.36,-1.13,0.38,855,0.68,-0.66,-1.49,-1.21,,-2.11,47.8,1.12,1.23,-2.32,,-6.37
2019-09-24,25.26,24.91,-1.77,-0.4,124,0.1,-2.58,-0.43,-2.65,,-3.83,41.7,1.01,1.29,-3.93,,-8.03
2019-09-25,24.73,24.68,-0.93,-0.73,543,0.45,-3.15,-2.2,-2.72,,-4.73,38.9,1.01,1.28,-4.69,,-8.88
2019-09-26,24.38,24.1,-2.35,-1.22,519,0.42,-5.2,-3.11,-6.99,,-6.97,32.9,1.09,1.39,-6.74,,-11.02
2019-09-27,24.0,23.92,-0.73,-0.39,1211,0.95,-6.72,-4.76,-9.95,,-7.65,31.3,1.06,1.39,-7.19,,-11.67
2019-09-30,23.95,23.95,0.1,0.1,210,0.2,-5.56,-5.59,-10.39,,-7.55,31.8,1.03,1.3,-6.89,,-11.58
2019-10-01,23.88,23.35,-2.49,-0.29,2668,2.35,-6.26,-7.48,-11.89,,-9.85,26.8,1.14,1.42,-8.97,,-13.78
2019-10-02,23.25,23.23,-0.5,-0.44,550,0.47,-5.85,-6.54,-13.7,,-10.3,26.0,1.11,1.36,-9.17,,-14.21
2019-10-03,23.08,23.51,1.18,-0.64,359,0.32,-2.45,-5.84,-11.68,,-9.25,31.5,1.15,1.38,-7.85,,-13.2
2019-10-04,23.72,23.72,0.91,0.91,151,0.15,-0.84,-5.97,-9.66,,-8.42,35.6,1.14,1.33,-6.81,,-12.41
2019-10-07,23.79,23.7,-0.08,0.28,1294,1.37,-1.02,-5.33,-10.93,,-8.49,35.4,1.13,1.26,-6.63,,-12.48
2019-10-08,23.39,23.26,-1.85,-1.33,909,1.2,-0.36,-6.09,-12.52,,-10.18,31.0,1.18,1.33,-8.09,,-14.1
2019-10-09,23.38,23.19,-0.33,0.49,614,0.81,-0.2,-7.63,-12.2,,-10.48,30.3,1.12,1.3,-8.11,,-14.38
2019-10-10,23.11,23.27,0.35,-0.31,155,0.22,-1.02,-8.73,-11.7,,-10.17,32.1,1.04,1.25,-7.52,,-14.08
2019-10-11,23.67,23.51,1.04,1.71,1106,1.46,-0.89,-7.65,-11.39,,-9.24,37.1,1.09,1.27,-6.3,,-13.19
2019-10-14,23.64,23.53,0.08,0.57,1188,1.49,-0.73,-7.12,-11.15,,-9.16,37.5,1.09,1.22,-6.01,,-13.12
2019-10-15,23.91,23.95,1.81,1.64,806,0.97,2.96,-6.15,-10.31,,-7.52,45.8,1.17,1.24,-4.19,,-11.55
2019-10-16,23.98,24.0,0.17,0.12,1177,1.49,3.49,-6.15,-11.39,,-7.36,46.5,1.17,1.16,-3.86,,-11.39
2019-10-17,24.35,24.37,1.56,1.46,513,0.63,4.74,-4.35,-8.86,,-5.91,52.8,1.23,1.17,-2.22,,-10.01
2019-10-18,24.09,24.09,-1.14,-1.15,414,0.54,2.48,-5.22,-10.27,,-6.98,48.2,1.25,1.19,-3.13,,-11.04
2019-10-21,24.4,24.54,1.84,1.26,618,0.82,4.28,-4.33,-8.36,,-5.27,54.9,1.31,1.22,-1.19,,-9.4
2019-10-22,24.83,24.7,0.67,1.18,539,0.69,3.11,-2.59,-8.45,,-4.64,57.0,1.31,1.2,-0.43,,-8.8
2019-10-23,24.68,24.69,-0.06,-0.07,968,1.21,2.87,-0.89,-6.96,,-4.69,56.8,1.25,1.15,-0.36,,-8.85
2019-10-24,24.72,24.79,0.42,0.13,807,0.99,1.71,0.45,-8.32,,-4.3,58.3,1.24,1.1,0.13,,-8.47
2019-10-25,24.68,25.07,1.13,-0.44,3254,3.55,4.05,4.03,-7.11,,-3.22,62.0,1.13,1.12,1.32,,-7.43
2019-10-28,25.17,25.39,1.29,0.39,6715,5.41,3.48,6.14,-6.17,,-1.97,65.9,1.13,1.13,2.7,,-6.24
2019-10-29,25.62,25.43,0.14,0.89,1788,1.49,2.95,6.18,-5.93,,-1.83,66.3,1.13,1.11,2.94,,-6.11
2019-10-30,25.5,25.54,0.45,0.28,3407,2.54,3.47,9.39,-5.1,,-1.39,67.6,0.94,1.06,3.45,,-5.69
2019-10-31,25.3,25.35,-0.73,-0.93,1542,1.1,2.28,9.13,-3.82,,-2.11,63.2,0.95,1.06,2.77,,-6.38
2019-11-01,25.77,25.89,2.1,1.65,1007,0.7,3.27,10.13,1.07,,-0.05,69.3,1.01,1.11,4.92,,-4.41
2019-11-04,25.91,25.81,-0.31,0.08,12799,6.35,1.64,8.8,-0.75,,-0.36,67.5,1.01,1.16,4.53,,-4.7
2019-11-05,25.93,26.05,0.92,0.47,1165,0.57,2.43,9.88,-0.72,,0.55,70.0,1.01,1.15,5.42,,-3.83
2019-11-06,26.0,25.56,-1.87,-0.18,5069,2.25,0.07,9.86,-4.39,,-1.33,59.8,1.02,1.22,3.39,,-5.63
2019-11-07,25.8,25.59,0.11,0.95,731,0.32,0.92,10.35,-3.49,,-1.21,60.2,1.0,1.2,3.47,,-5.52
2019-11-08,25.41,26.2,2.39,-0.69,26870,7.53,1.2,12.6,1.04,,1.14,67.1,1.09,1.3,5.87,,-3.26
2019-11-11,26.18,25.91,-1.1,-0.06,7533,1.94,0.4,10.21,-1.2,,0.03,61.7,1.14,1.31,4.65,,-4.32
2019-11-12,25.97,26.0,0.36,0.22,3753,0.93,-0.16,10.52,0.67,,0.39,62.7,1.13,1.27,4.93,,-3.98
2019-11-13,26.01,26.15,0.56,0.02,7556,1.74,2.31,9.16,1.6,,0.96,64.4,1.09,1.27,5.42,,-3.44
2019-11-14,26.23,26.0,-0.59,0.31,7376,1.57,1.59,8.33,-1.2,,0.36,61.3,1.12,1.28,4.73,,-4.01
2019-11-15,26.18,26.27,1.05,0.7,1374,0.29,0.27,7.79,-1.13,,1.42,64.5,1.09,1.26,5.73,,-3.0
2019-11-18,26.36,26.43,0.62,0.35,784,0.17,2.01,9.71,1.24,,2.05,66.4,1.04,1.21,6.24,,-2.4
2019-11-19,26.88,27.02,2.21,1.68,3262,0.67,3.89,10.1,2.83,,4.3,71.9,1.07,1.26,8.42,,-0.25
