date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2006-05-15,23.0,23.0,,,5600,,,,,,0.0,,,21.74,,,
2006-05-16,25.0,24.94,8.43,8.7,1636,,,,,,8.43,,,19.19,,,
2006-05-17,27.0,23.0,-7.78,8.26,2487,,,,,,0.0,92.9,,20.56,,,
2006-05-18,22.23,22.25,-3.26,-3.35,25463,,,,,,-3.26,90.2,,20.31,,,
2006-05-19,21.84,21.16,-4.9,-1.84,15975,,,,,,-8.0,86.3,,20.39,,,
2006-05-22,20.52,19.61,-7.33,-3.02,15230,,-14.74,,,,-14.74,80.9,,21.11,,,
2006-05-23,19.01,20.5,4.54,-3.06,46767,,-17.8,,,,-10.87,81.6,,19.45,,,
2006-05-24,20.0,19.95,-2.68,-2.44,16253,,-13.26,,,,-13.26,79.7,,18.77,,,
2006-05-25,20.97,20.03,0.4,5.11,60491,,-9.98,,,,-12.91,79.7,,18.0,,,
2006-05-26,21.86,20.0,-0.15,9.14,4486,,-5.48,,,,-13.04,79.6,,17.41,,,
2006-05-30,20.0,19.6,-2.0,0.0,7591,,-0.05,,,,-14.78,77.9,,16.77,,,
2006-05-31,19.25,19.29,-1.58,-1.79,35843,,-5.9,,,,-16.13,76.6,,16.01,,,
2006-06-01,19.0,19.38,0.47,-1.5,44018,,-2.86,,,,-15.74,76.7,,15.16,,,
2006-06-02,19.86,20.98,8.26,2.48,57642,,4.74,,,,-8.78,78.9,,13.55,,,
2006-06-05,20.0,21.12,0.67,-4.67,67878,,5.6,,,,-8.17,79.1,,13.0,,,
2006-06-06,21.0,20.74,-1.8,-0.57,58474,,5.82,,,,-9.83,77.1,,12.64,,,
2006-06-07,21.0,19.91,-4.0,1.25,16497,,3.21,,,,-13.43,72.8,,12.9,,,
2006-06-08,20.37,20.23,1.61,2.31,12493,,4.39,,,,-12.04,73.4,,12.14,,,
2006-06-09,19.61,20.1,-0.64,-3.06,24614,,-4.19,,,,-12.61,72.7,,11.82,,,
2006-06-12,20.0,19.0,-5.47,-0.5,29675,1.08,-10.04,,,,-17.39,66.8,,12.66,,,-23.82
2006-06-13,19.63,18.75,-1.32,3.32,75677,2.44,-9.59,,,,-18.48,65.4,,12.5,,,-24.82
2006-06-14,19.9,19.1,1.87,6.13,6770,0.22,-4.07,-16.96,,,-16.96,66.4,4.29,11.82,,,-23.42
2006-06-15,18.7,19.37,1.41,-2.09,23879,0.74,-4.25,-22.33,,,-15.78,67.2,3.77,11.22,,,-22.33
2006-06-16,18.7,18.91,-2.37,-3.46,21479,0.67,-5.92,-17.78,,,-17.78,64.5,3.47,11.25,,,-24.18
2006-06-19,18.45,18.0,-4.81,-2.43,100281,2.76,-5.26,-19.1,,,-21.74,59.3,3.54,11.54,,,-27.83
2006-06-20,18.88,18.07,0.39,4.89,67065,1.72,-3.63,-14.6,,,-21.43,59.6,3.43,11.22,,,-27.55
2006-06-21,17.61,18.0,-0.39,-2.55,32160,0.84,-5.76,-8.21,,,-21.74,59.1,3.07,10.71,,,-27.83
2006-06-22,18.32,18.0,0.0,1.78,61242,1.52,-7.07,-12.2,,,-21.74,59.1,2.87,10.08,,,-27.83
2006-06-23,18.17,18.02,0.11,0.94,48534,1.22,-4.71,-9.67,,,-21.65,59.2,2.83,9.66,,,-27.75
2006-06-26,18.6,18.17,0.83,3.22,41110,0.99,0.94,-9.29,,,-21.0,60.0,2.84,9.29,,,-27.15
2006-06-27,18.26,17.92,-1.38,0.5,69785,1.56,-0.83,-10.4,,,-22.09,58.1,2.84,8.9,,,-28.15
2006-06-28,18.38,18.45,2.96,2.57,60417,1.31,2.5,-5.87,,,-19.78,60.9,2.91,8.25,,,-26.02
2006-06-29,18.53,18.26,-1.03,0.43,607177,8.19,1.44,-5.34,,,-20.61,59.4,2.9,8.28,,,-26.78
2006-06-30,18.35,17.47,-4.33,0.49,1323476,9.63,-3.05,-9.86,,,-24.04,53.2,3.03,8.54,,,-29.95
