date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2006-05-05,7.77,7.84,,,317673,,,,,,0.0,,,0.85,,,
2006-05-08,7.83,7.83,-0.08,-0.12,15226,,,,,,-0.08,0.0,,0.82,,,
2006-05-09,7.82,7.79,-0.46,-0.16,56421,,,,,,-0.54,0.0,,0.8,,,
2006-05-10,7.79,7.76,-0.41,-0.02,95115,,,,,,-0.95,0.0,,0.79,,,
2006-05-11,7.74,7.69,-0.91,-0.22,57049,,,,,,-1.85,0.0,,0.81,,,
2006-05-12,7.65,7.61,-1.09,-0.54,60870,,-2.92,,,,-2.92,0.0,,0.84,,,
2006-05-15,7.57,7.61,0.11,-0.52,77381,,-2.74,,,,-2.82,3.1,,0.82,,,
2006-05-16,7.63,7.65,0.41,0.14,32363,,-1.89,,,,-2.42,14.1,,0.8,,,
2006-05-17,7.62,7.55,-1.2,-0.36,89410,,-2.66,,,,-3.59,10.4,,0.85,,,
2006-05-18,7.55,7.52,-0.48,0.0,23451,,-2.24,,,,-4.05,9.3,,0.84,,,
2006-05-19,7.53,7.46,-0.71,0.13,19633,,-1.86,,,,-4.73,8.0,,0.85,,,
2006-05-22,7.44,7.44,-0.34,-0.28,30445,,-2.3,,,,-5.05,7.5,,0.89,,,
2006-05-23,7.42,7.37,-0.93,-0.21,22834,,-3.6,,,,-5.94,6.3,,0.9,,,
2006-05-24,7.37,7.35,-0.28,0.04,110980,,-2.71,,,,-6.2,6.0,,0.92,,,
2006-05-25,7.49,7.49,1.87,1.85,32363,,-0.42,,,,-4.45,30.6,,0.97,,,
2006-05-26,7.51,7.54,0.69,0.25,98269,,0.99,,,,-3.79,37.3,,0.96,,,
2006-05-30,7.51,7.44,-1.29,-0.33,34888,,0.02,,,,-5.03,31.2,,1.0,,,
2006-05-31,7.45,7.49,0.61,0.15,68499,,1.58,,,,-4.45,36.4,,0.98,,,
2006-06-01,7.51,7.57,1.12,0.38,49467,,3.01,,,,-3.38,44.8,,0.98,,,
