date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,4.25,4.3,,,689854,,,,,,0.0,,,2.56,,,
2005-02-28,4.22,4.14,-3.72,-1.86,803400,,,,,,-3.72,0.0,,2.9,,,
2005-03-01,4.21,4.12,-0.48,1.69,364616,,,,,,-4.19,0.0,,3.02,,,
2005-03-02,4.08,4.12,0.0,-0.97,229344,,,,,,-4.19,0.0,,3.13,,,
2005-03-03,4.1,4.14,0.49,-0.49,595384,,,,,,-3.72,1.1,,3.36,,,
2005-03-04,4.12,3.92,-5.31,-0.48,431344,,-8.84,,,,-8.84,1.0,,3.77,,,
2005-03-07,3.88,3.92,0.0,-1.02,563116,,-5.31,,,,-8.84,1.0,,4.05,,,
2005-03-08,3.96,3.9,-0.51,1.02,361054,,-5.34,,,,-9.3,1.0,,4.0,,,
2005-03-09,3.89,3.8,-2.56,-0.26,299904,,-7.77,,,,-11.63,0.9,,4.18,,,
2005-03-10,3.87,3.73,-1.84,1.84,411860,,-9.9,,,,-13.26,0.9,,4.38,,,
2005-03-11,3.69,3.38,-9.38,-1.07,1267830,,-13.78,,,,-21.4,0.7,,5.27,,,
2005-03-14,3.42,3.77,11.54,1.18,695254,,-3.83,,,,-12.33,19.1,,5.13,,,
2005-03-15,3.72,4.0,6.1,-1.33,755304,,2.56,,,,-6.98,27.7,,5.2,,,
2005-03-16,3.99,3.82,-4.5,-0.25,425952,,0.53,,,,-11.16,25.4,,5.39,,,
2005-03-17,3.87,3.79,-0.79,1.31,420186,,1.61,,,,-11.86,25.0,,5.37,,,
2005-03-18,3.83,3.77,-0.53,1.06,659838,,11.54,,,,-12.33,24.8,,5.35,,,
2005-03-21,3.81,3.71,-1.59,1.06,298780,,-1.59,,,,-13.72,24.0,,5.28,,,
2005-03-22,3.71,3.57,-3.77,0.0,403912,,-10.75,,,,-16.98,22.2,,5.48,,,
2005-03-23,3.5,3.48,-2.52,-1.96,409344,,-8.9,,,,-19.07,21.1,,5.44,,,
2005-03-24,3.6,3.65,4.89,3.45,560544,1.05,-3.69,,,,-15.12,28.3,,5.6,,,-15.12
2005-03-28,3.62,3.52,-3.56,-0.82,367394,0.71,-6.63,,,,-18.14,26.3,,5.82,,,-18.14
2005-03-29,3.54,3.49,-0.85,0.57,475556,0.95,-5.93,-18.84,,,-18.84,25.9,4.33,5.63,,,-18.84
2005-03-30,3.93,3.98,14.04,12.61,1444566,2.61,11.48,-3.86,,,-7.44,42.9,5.37,5.66,,,-7.44
2005-03-31,4.05,4.04,1.51,1.76,599952,1.05,16.09,-1.94,,,-6.05,44.6,5.38,5.41,,,-6.05
2005-04-01,4.08,4.04,0.0,0.99,753878,1.3,10.68,-1.94,,,-6.05,44.6,5.38,5.48,,,-6.05
2005-04-04,4.11,4.0,-0.99,1.73,692808,1.17,13.64,-3.38,,,-6.98,43.6,5.38,5.41,,,-6.98
2005-04-05,4.0,4.01,0.25,0.0,550714,0.93,14.9,2.3,,,-6.74,43.9,5.24,5.21,,,-6.74
2005-04-06,4.01,4.2,4.74,0.0,463402,0.78,5.53,7.14,,,-2.33,50.0,5.33,4.97,,,-2.33
2005-04-07,4.23,4.42,5.24,0.71,324868,0.54,9.41,13.33,,,2.79,56.0,5.43,4.76,,,0.0
2005-04-08,4.43,4.26,-3.62,0.23,308930,0.52,5.45,12.11,,,-0.93,51.2,5.46,5.02,,,-3.62
