date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2021-10-15,120.4,120.0,,,71121,,,,,,0.0,,,10.0,,,
2021-10-18,117.6,117.0,-2.5,-2.0,19740,,,,,,-2.5,0.0,,9.89,,,
2021-10-19,117.1,121.0,3.42,0.09,17198,,,,,,0.83,9.3,,9.49,,,
2021-10-20,121.1,122.2,0.99,0.08,9550,,,,,,1.83,11.9,,9.14,,,
2021-10-21,122.7,125.9,3.03,0.41,11503,,,,,,4.92,19.7,,9.04,,,
2021-10-22,124.8,120.4,-4.37,-0.87,10969,,0.33,,,,0.33,17.3,,9.47,,,
2021-10-25,121.4,119.9,-0.42,0.83,12382,,2.48,,,,-0.08,17.1,,9.59,,,
2021-10-26,117.5,124.4,3.75,-2.0,10585,,2.81,,,,3.67,25.7,,9.13,,,
2021-10-27,124.4,135.6,9.0,0.0,4886,,10.97,,,,13.0,41.9,,8.59,,,
2021-10-28,133.9,145.1,7.01,-1.25,11861,,15.25,,,,20.92,51.6,,8.34,,,
2021-10-29,145.4,178.9,23.29,0.21,13635,,48.59,,,,49.08,70.4,,7.81,,,
2021-11-01,183.4,189.4,5.87,2.52,25702,,57.96,,,,57.83,73.8,,8.7,,,
2021-11-02,184.6,199.1,5.12,-2.53,14344,,60.05,,,,65.92,76.5,,8.6,,,
2021-11-03,199.1,189.3,-4.92,0.0,9010,,39.6,,,,57.75,68.8,,9.39,,,
2021-11-04,186.3,189.9,0.32,-1.58,5492,,30.88,,,,58.25,69.0,,9.62,,,
2021-11-05,190.0,173.8,-8.48,0.05,6996,,-2.85,,,,44.83,58.0,,11.1,,,
2021-11-08,169.9,189.6,9.09,-2.24,4953,,0.11,,,,58.0,64.0,,10.25,,,
2021-11-09,202.9,198.0,4.43,7.01,5775,,-0.55,,,,65.0,66.8,,9.99,,,
2021-11-10,200.0,190.0,-4.04,1.01,4462,,0.37,,,,58.33,61.9,,10.55,,,
2021-11-11,189.9,200.3,5.42,-0.05,4035,0.29,5.48,,,,66.92,65.4,,10.03,,,0.0
2021-11-12,213.1,164.0,-18.12,6.39,9639,0.91,-5.64,,,,36.67,48.6,,13.91,,,-18.12
2021-11-15,156.2,174.3,6.28,-4.76,4756,0.48,-8.07,45.25,,,45.25,52.3,8.11,13.01,,,-12.98
2021-11-16,169.0,161.8,-7.17,-3.04,4126,0.45,-18.28,38.29,,,34.83,47.8,8.3,14.08,,,-19.22
2021-11-17,159.2,169.9,5.01,-1.61,8500,0.93,-10.58,40.41,,,41.58,50.7,8.32,14.1,,,-15.18
2021-11-18,165.6,160.0,-5.83,-2.53,5488,0.62,-20.12,30.93,,,33.33,47.2,8.49,14.91,,,-20.12
2021-11-19,161.0,159.8,-0.12,0.63,4737,0.55,-2.56,26.93,,,33.17,47.1,8.49,14.39,,,-20.22
