date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,39.0,39.4,,,3243,,,,,,0.0,,,3.55,,,
2005-02-28,39.5,38.5,-2.28,0.25,1922,,,,,,-2.28,0.0,,3.71,,,
2005-03-01,38.1,35.9,-6.75,-1.04,1165,,,,,,-8.88,0.0,,4.21,,,
2005-03-02,36.5,36.6,1.95,1.67,860,,,,,,-7.11,5.0,,4.11,,,
2005-03-03,37.1,36.3,-0.82,1.37,1662,,,,,,-7.87,4.9,,4.14,,,
2005-03-04,36.2,38.1,4.96,-0.28,1198,,-3.3,,,,-3.3,17.0,,4.08,,,
2005-03-07,37.0,36.5,-4.2,-2.89,1344,,-5.19,,,,-7.36,15.2,,4.32,,,
2005-03-08,35.4,36.3,-0.55,-3.01,140,,1.11,,,,-7.87,14.9,,4.25,,,
2005-03-09,36.9,37.9,4.41,1.65,440,,3.55,,,,-3.81,24.3,,4.1,,,
2005-03-10,38.0,38.1,0.53,0.26,250,,4.96,,,,-3.3,25.4,,3.83,,,
2005-03-11,36.4,37.9,-0.52,-4.46,910,,-0.52,,,,-3.81,25.1,,3.99,,,
2005-03-14,36.5,35.9,-5.28,-3.69,661,,-1.64,,,,-8.88,21.5,,4.31,,,
2005-03-15,36.2,36.6,1.95,0.84,1190,,0.83,,,,-7.11,25.5,,4.14,,,
2005-03-16,35.5,34.4,-6.01,-3.01,900,,-9.23,,,,-12.69,21.7,,4.61,,,
2005-03-17,34.4,33.9,-1.45,0.0,589,,-11.02,,,,-13.96,21.0,,4.59,,,
2005-03-18,32.1,32.8,-3.24,-5.31,2054,,-13.46,,,,-16.75,19.4,,4.84,,,
2005-03-21,32.0,30.6,-6.71,-2.44,3919,,-14.76,,,,-22.34,16.6,,5.36,,,
2005-03-22,30.1,30.5,-0.33,-1.63,1187,,-16.67,,,,-22.59,16.5,,5.27,,,
2005-03-23,30.7,32.0,4.92,0.66,644,,-6.98,,,,-18.78,24.9,,5.0,,,
2005-03-24,32.1,32.8,2.5,0.31,675,0.54,-3.24,,,,-16.75,28.9,,4.9,,,-16.75
2005-03-28,30.0,32.1,-2.13,-8.54,464,0.42,-2.13,,,,-18.53,27.5,,5.27,,,-18.53
2005-03-29,32.0,32.7,1.87,-0.31,191,0.19,6.86,-17.01,,,-17.01,30.6,3.66,5.03,,,-17.01
2005-03-30,33.0,33.0,0.92,0.92,824,0.82,8.2,-14.29,,,-16.24,32.2,3.66,4.71,,,-16.24
2005-03-31,31.2,32.2,-2.42,-5.45,947,0.94,0.63,-10.31,,,-18.27,30.2,3.42,4.88,,,-18.27
2005-04-01,34.2,33.4,3.73,6.21,738,0.77,1.83,-8.74,,,-15.23,36.5,3.5,4.8,,,-15.23
2005-04-04,33.0,32.1,-3.89,-1.2,1087,1.14,0.0,-11.57,,,-18.53,33.0,3.58,4.93,,,-18.53
2005-04-05,31.9,33.0,2.8,-0.62,1260,1.32,0.92,-13.39,,,-16.24,37.5,3.44,4.69,,,-16.24
2005-04-06,32.3,32.2,-2.42,-2.12,658,0.67,-2.42,-11.78,,,-18.27,35.2,3.37,4.64,,,-18.27
2005-04-07,31.9,32.6,1.24,-0.93,1100,1.09,1.24,-10.19,,,-17.26,37.2,3.4,4.67,,,-17.26
2005-04-08,32.1,32.2,-1.23,-1.53,200,0.2,-3.59,-15.04,,,-18.27,36.0,3.21,4.5,,,-18.27
2005-04-11,32.5,34.5,7.14,0.93,1633,1.56,7.48,-9.45,,,-12.44,46.7,3.64,4.38,,,-12.44
