date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,4.09,4.12,,,318047,,,,,,0.0,,,2.91,,,
2005-02-28,4.08,4.06,-1.46,-0.97,504720,,,,,,-1.46,0.0,,3.29,,,
2005-03-01,3.96,4.0,-1.48,-2.46,431215,,,,,,-2.91,0.0,,3.62,,,
2005-03-02,4.0,4.36,9.0,0.0,663354,,,,,,5.83,31.6,,4.03,,,
2005-03-03,4.31,4.47,2.52,-1.15,1346434,,,,,,8.5,38.0,,4.15,,,
2005-03-04,4.49,4.49,0.45,0.45,461633,,8.98,,,,8.98,39.1,,4.06,,,
2005-03-07,4.49,4.22,-6.01,0.0,477135,,3.94,,,,2.43,31.0,,4.5,,,
2005-03-08,4.39,4.2,-0.47,4.03,358819,,5.0,,,,1.94,30.5,,4.54,,,
2005-03-09,4.27,4.09,-2.62,1.67,343758,,-6.19,,,,-0.73,27.8,,4.73,,,
2005-03-10,4.13,3.98,-2.69,0.98,440398,,-10.96,,,,-3.4,25.4,,5.02,,,
2005-03-11,3.96,3.95,-0.75,-0.5,323339,,-12.03,,,,-4.13,24.7,,4.8,,,
2005-03-14,3.99,4.13,4.56,1.01,461902,,-2.13,,,,0.24,35.2,,4.66,,,
2005-03-15,4.21,4.09,-0.97,1.94,544812,,-2.62,,,,-0.73,34.0,,4.84,,,
2005-03-16,4.07,4.04,-1.22,-0.49,298714,,-1.22,,,,-1.94,32.6,,4.89,,,
2005-03-17,4.12,4.1,1.49,1.98,225741,,3.02,,,,-0.49,36.0,,4.73,,,
2005-03-18,4.16,4.04,-1.46,1.46,699752,,2.28,,,,-1.94,34.2,,4.8,,,
2005-03-21,4.05,4.17,3.22,0.25,1281425,,0.97,,,,1.21,41.3,,4.56,,,
2005-03-22,4.2,4.1,-1.68,0.72,286400,,0.24,,,,-0.49,38.8,,4.58,,,
2005-03-23,4.07,4.05,-1.22,-0.73,231794,,0.25,,,,-1.7,37.2,,4.48,,,
2005-03-24,4.16,4.05,0.0,2.72,265594,0.53,-1.22,,,,-1.7,37.2,,4.37,,,-9.8
2005-03-28,4.1,4.04,-0.25,1.23,230030,0.47,0.0,,,,-1.94,36.8,,4.41,,,-10.02
2005-03-29,4.07,3.86,-4.46,0.74,380354,0.78,-7.43,-6.31,,,-6.31,30.8,3.19,4.82,,,-14.03
2005-03-30,3.9,3.93,1.81,1.04,239780,0.5,-4.15,-3.2,,,-4.61,35.2,3.21,4.58,,,-12.47
2005-03-31,3.95,3.87,-1.53,0.51,355692,0.77,-4.44,-3.25,,,-6.07,33.3,3.21,4.67,,,-13.81
2005-04-01,3.85,3.7,-4.39,-0.52,330938,0.8,-8.64,-15.14,,,-10.19,28.5,2.58,5.04,,,-17.59
2005-04-04,3.7,3.59,-2.97,0.0,282116,0.7,-11.14,-19.69,,,-12.86,25.9,2.51,5.24,,,-20.04
2005-04-05,3.63,3.66,1.95,1.11,389651,0.98,-5.18,-18.49,,,-11.17,30.2,2.57,5.06,,,-18.49
2005-04-06,3.7,3.6,-1.64,1.09,359910,0.9,-8.4,-14.69,,,-12.62,28.7,2.3,5.18,,,-19.82
2005-04-07,3.6,3.63,0.83,0.0,178007,0.46,-6.2,-13.57,,,-11.89,30.6,2.33,4.96,,,-19.15
2005-04-08,3.61,3.59,-1.1,-0.55,246585,0.65,-2.97,-12.22,,,-12.86,29.5,2.29,5.18,,,-20.04
2005-04-11,3.63,3.55,-1.11,1.11,157326,0.42,-1.11,-10.8,,,-13.83,28.3,2.24,5.24,,,-20.94
2005-04-12,3.59,3.54,-0.28,1.13,370974,1.01,-3.28,-10.38,,,-14.08,28.0,2.24,5.41,,,-21.16
2005-04-13,3.51,3.32,-6.21,-0.85,421547,1.17,-7.78,-19.61,,,-19.42,22.5,2.26,5.89,,,-26.06
2005-04-14,3.35,3.25,-2.11,0.9,244707,0.68,-10.47,-20.54,,,-21.12,21.1,2.27,6.01,,,-27.62
2005-04-15,3.25,3.24,-0.31,0.0,244991,0.68,-9.75,-19.8,,,-21.36,20.9,2.28,5.88,,,-27.84
2005-04-18,3.29,2.97,-8.33,1.54,553261,1.57,-16.34,-27.56,,,-27.91,16.3,2.7,6.85,,,-33.85
2005-04-19,3.0,2.99,0.67,1.01,435079,1.4,-15.54,-25.99,,,-27.43,17.8,2.75,6.53,,,-33.41
2005-04-20,3.02,3.19,6.69,1.0,438796,1.38,-3.92,-23.5,,,-22.57,30.6,3.12,6.33,,,-28.95
2005-04-21,3.19,3.36,5.33,0.0,618156,1.83,3.38,-18.05,,,-18.45,39.2,3.42,6.35,,,-25.17
2005-04-22,3.38,3.13,-6.85,0.6,206865,0.62,-3.4,-22.72,,,-24.03,33.2,3.66,6.99,,,-30.29
2005-04-25,3.18,3.05,-2.56,1.6,292368,0.87,2.69,-24.69,,,-25.97,31.4,3.67,7.08,,,-32.07
2005-04-26,3.02,2.99,-1.97,-0.98,343891,1.02,0.0,-25.99,,,-27.43,30.1,3.66,7.02,,,-33.41
2005-04-27,3.0,3.09,3.34,0.33,322076,0.95,-3.13,-19.95,,,-25.0,35.0,3.73,6.84,,,-31.18
2005-04-28,3.13,2.9,-6.15,1.29,229896,0.69,-13.69,-26.21,,,-29.61,30.6,3.83,7.58,,,-35.41
2005-04-29,2.95,2.9,0.0,1.72,244595,0.74,-7.35,-25.06,,,-29.61,30.6,3.84,7.41,,,-35.41
2005-05-02,3.0,2.96,2.07,3.45,205693,0.63,-2.95,-20.0,,,-28.16,33.6,3.84,7.05,,,-34.08
2005-05-03,3.0,2.9,-2.03,1.35,262068,0.82,-3.01,-19.22,,,-29.61,32.1,3.82,7.13,,,-35.41
2005-05-04,2.9,2.84,-2.07,0.0,473649,1.46,-8.09,-22.4,,,-31.07,30.6,3.77,7.21,,,-36.75
2005-05-05,2.87,2.89,1.76,1.06,293367,0.89,-0.34,-19.72,,,-29.85,33.4,3.82,7.03,,,-35.63
2005-05-06,2.93,3.07,6.23,1.38,283969,0.85,5.86,-15.43,,,-25.49,42.4,4.12,6.61,-15.8,,-31.63
2005-05-09,3.05,3.12,1.63,-0.65,284441,0.84,5.41,-13.09,,,-24.27,44.6,4.15,6.38,-13.96,,-30.51
2005-05-10,3.17,2.98,-4.49,1.6,234756,0.71,2.76,-16.06,,,-27.67,39.9,4.23,6.75,-17.33,,-33.63
2005-05-11,3.0,2.92,-2.01,0.67,266190,0.82,2.82,-17.51,,,-29.13,38.1,4.24,6.67,-18.5,,-34.97
2005-05-12,2.9,2.94,0.68,-0.68,178090,0.56,1.73,-11.45,,,-28.64,39.1,4.07,6.39,-17.29,,-34.52
2005-05-13,3.0,2.92,-0.68,2.04,584698,1.73,-4.89,-10.15,,,-29.13,38.4,4.05,6.2,-17.13,,-34.97
2005-05-16,2.96,2.86,-2.05,1.37,179111,0.56,-8.33,-11.73,,,-30.58,36.4,4.06,6.3,-18.08,,-36.3
2005-05-17,2.88,2.8,-2.1,0.7,240408,0.78,-6.04,-5.72,,,-32.04,34.5,3.67,6.46,-19.14,,-37.64
2005-05-18,2.87,2.93,4.64,2.5,403304,1.31,0.34,-2.01,,,-28.88,41.7,3.82,6.24,-14.76,,-34.74
2005-05-19,2.92,2.93,0.0,-0.34,282082,0.97,-0.34,-8.15,,,-28.88,41.7,3.5,5.92,-14.18,,-34.74
2005-05-20,2.95,2.91,-0.68,0.68,286446,0.97,-0.34,-13.39,,,-29.37,40.9,3.25,5.81,-14.23,,-35.19
2005-05-23,2.95,2.94,1.03,1.37,352084,1.18,2.8,-6.07,,,-28.64,42.7,2.93,5.55,-12.82,,-34.52
2005-05-24,3.29,3.39,15.31,11.9,1647639,4.54,21.07,11.15,,,-17.72,61.6,4.44,5.51,0.96,,-24.5
2005-05-25,3.55,3.94,16.22,4.72,2338121,5.04,34.47,31.77,,,-4.37,73.2,5.55,5.5,17.45,,-12.25
2005-05-26,4.04,3.62,-8.12,2.54,1596516,3.0,23.55,17.15,-12.14,,-12.14,61.6,5.91,6.53,8.18,,-19.38
2005-05-27,3.67,3.56,-1.66,1.38,684623,1.24,22.34,22.76,-12.32,,-13.59,59.6,5.72,6.81,6.73,,-20.71
