date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2010-05-26,125.0,125.0,,,5,,,,,,0.0,,,0.0,,,
2010-05-27,105.0,102.0,-18.4,-16.0,12,,,,,,-18.4,0.0,,1.68,,,
2010-08-13,124.0,124.0,21.57,21.57,4,,,,,,-0.8,6.9,,2.55,,,
2010-08-16,124.0,124.0,0.0,0.0,15,,,,,,-0.8,6.9,,2.37,,,
2010-08-18,124.0,124.0,0.0,0.0,1,,,,,,-0.8,6.9,,2.2,,,
2010-08-20,123.0,123.0,-0.81,-0.81,13,,-1.6,,,,-1.6,6.8,,2.12,,,
2010-08-31,124.0,124.0,0.81,0.81,1,,21.57,,,,-0.8,7.2,,2.01,,,
2010-09-01,124.0,124.0,0.0,0.0,4,,0.0,,,,-0.8,7.2,,1.86,,,
2010-09-02,124.0,124.0,0.0,0.0,5,,0.0,,,,-0.8,7.2,,1.73,,,
2010-09-10,124.0,124.0,0.0,0.0,7,,0.0,,,,-0.8,7.2,,1.61,,,
2010-09-16,124.0,124.0,0.0,0.0,2,,0.81,,,,-0.8,7.2,,1.49,,,
2010-09-23,106.0,106.0,-14.52,-14.52,1,,-14.52,,,,-15.2,6.5,,2.83,,,
2010-09-24,106.0,111.0,4.72,0.0,6,,-10.48,,,,-11.2,9.2,,2.84,,,
2010-10-11,106.0,106.0,-4.5,-4.5,5,,-14.52,,,,-15.2,8.9,,3.09,,,
2010-10-13,105.0,105.0,-0.94,-0.94,330,,-15.32,,,,-16.0,8.8,,2.97,,,
2010-10-14,105.0,105.0,0.0,0.0,1300,,-15.32,,,,-16.0,8.8,,2.76,,,
2010-10-15,105.1,110.0,4.76,0.1,1030,,3.77,,,,-12.0,12.1,,2.77,,,
2010-10-19,108.0,101.0,-8.18,-1.82,81,,-9.01,,,,-19.2,11.3,,3.44,,,
2010-10-21,101.0,102.0,0.99,0.0,125,,-3.77,,,,-18.4,12.0,,3.23,,,
2010-10-22,109.0,100.0,-1.96,6.86,75,0.5,-4.76,,,,-20.0,11.8,,3.71,,,-20.0
2010-10-28,103.0,105.0,5.0,3.0,75,0.49,0.0,,,,-16.0,15.5,,3.62,,,-16.0
