date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2006-12-12,16.33,16.33,,,0,,,,,,0.0,,,0.0,,,
2006-12-13,24.75,25.34,55.15,51.51,10885825,,,,,,55.15,,,2.67,,,
2006-12-14,25.4,24.89,-1.76,0.24,1011833,,,,,,52.42,99.6,,2.94,,,
2006-12-15,24.98,24.35,-2.19,0.36,1023064,,,,,,49.08,99.1,,3.34,,,
2006-12-18,24.15,23.55,-3.29,-0.81,741931,,,,,,44.18,98.4,,3.63,,,
2006-12-19,23.34,22.87,-2.9,-0.88,1311139,,40.0,,,,40.0,97.7,,3.93,,,
2006-12-20,22.96,24.75,8.22,0.43,501734,,-2.34,,,,51.51,97.7,,4.07,,,
2006-12-21,24.91,24.35,-1.6,0.64,279806,,-2.19,,,,49.08,97.2,,4.32,,,
2006-12-22,24.34,23.78,-2.36,-0.04,224486,,-2.36,,,,45.57,96.5,,4.49,,,
2006-12-26,23.68,23.96,0.79,-0.42,110587,,1.76,,,,46.72,96.6,,4.28,,,
2006-12-27,24.0,23.84,-0.53,0.17,91946,,4.24,,,,45.94,96.4,,4.09,,,
2006-12-28,23.66,23.76,-0.33,-0.75,62705,,-4.0,,,,45.45,96.3,,3.99,,,
2006-12-29,24.1,23.76,0.0,1.46,69552,,-2.44,,,,45.45,96.3,,3.86,,,
2007-01-03,23.59,23.85,0.37,-0.71,195380,,0.29,,,,0.0,96.3,,3.74,,,
2007-01-04,23.61,23.85,0.0,-1.0,255908,,-0.49,,,,0.0,96.3,,3.58,,,
2007-01-05,23.67,24.57,3.03,-0.75,194160,,3.07,,,,3.03,96.3,,3.64,,,
2007-01-08,24.63,24.41,-0.64,0.24,83140,,2.75,,,,2.37,96.0,,3.66,,,
2007-01-09,24.24,25.44,4.22,-0.69,120333,,7.08,,,,6.68,96.1,,3.7,,,
2007-01-10,25.24,26.96,5.99,-0.78,259944,,13.08,,,,13.08,96.2,,3.9,,,
2007-01-11,27.22,26.53,-1.62,0.95,190637,0.22,11.25,,,,11.25,95.1,,3.94,,,-1.62
2007-01-12,26.56,26.06,-1.75,0.11,130396,0.15,6.09,,,,9.3,93.9,,3.86,,,-3.34
2007-01-16,26.0,24.86,-4.6,-0.23,606467,1.62,1.86,52.24,,,4.27,90.7,12.44,4.56,,,-7.78
2007-01-17,24.89,25.76,3.58,0.12,119936,0.36,1.25,1.64,,,8.01,91.0,3.21,4.52,,,-4.48
2007-01-18,25.69,24.88,-3.42,-0.27,64535,0.23,-7.75,-0.08,,,4.32,88.5,3.28,4.69,,,-7.75
2007-01-19,24.7,24.84,-0.16,-0.72,82101,0.33,-6.38,2.0,,,4.15,88.3,3.24,4.48,,,-7.89
2007-01-22,25.74,25.53,2.79,3.62,184658,0.96,-2.05,8.4,,,7.05,88.6,3.19,4.41,,,-5.33
2007-01-23,25.8,25.11,-1.63,1.05,89455,0.52,1.0,9.83,,,5.31,87.3,3.14,4.37,,,-6.86
