date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2013-11-22,52.5,53.5,,,24040,,,,,,0.0,,,6.54,,,
2013-11-25,51.7,69.0,28.97,-3.36,20920,,,,,,28.97,,,6.71,,,
2013-11-26,67.0,69.6,0.87,-2.9,17050,,,,,,30.09,,,7.4,,,
2013-11-27,70.0,69.5,-0.14,0.57,3820,,,,,,29.91,99.9,,7.47,,,
2013-11-29,71.0,70.0,0.72,2.16,6360,,,,,,30.84,99.9,,7.82,,,
2013-12-02,70.0,70.0,0.0,0.0,3280,,30.84,,,,30.84,99.9,,7.93,,,
2013-12-03,65.0,70.5,0.71,-7.14,5170,,2.17,,,,31.78,99.9,,7.99,,,
2013-12-04,70.1,69.8,-0.99,-0.57,812,,0.29,,,,30.47,99.5,,7.95,,,
2013-12-05,70.0,63.5,-9.03,0.29,8165,,-8.63,,,,18.69,94.9,,8.95,,,
2013-12-06,62.1,59.5,-6.3,-2.2,2940,,-15.0,,,,11.21,92.0,,9.41,,,
2013-12-09,60.0,65.8,10.59,0.84,3480,,-6.0,,,,22.99,92.4,,8.75,,,
2013-12-10,65.0,62.7,-4.71,-1.22,1690,,-11.06,,,,17.2,90.1,,9.17,,,
2013-12-11,63.0,61.0,-2.71,0.48,1590,,-12.61,,,,14.02,88.7,,9.1,,,
2013-12-12,60.0,60.0,-1.64,-1.64,4640,,-5.51,,,,12.15,87.9,,9.06,,,
2013-12-13,59.5,59.5,-0.83,-0.83,1520,,0.0,,,,11.21,87.5,,8.67,,,
2013-12-16,62.6,57.7,-3.03,5.21,2340,,-12.31,,,,7.85,85.8,,9.19,,,
2013-12-17,57.9,57.0,-1.21,0.35,4366,,-9.09,,,,6.54,85.2,,9.16,,,
2013-12-18,55.5,55.8,-2.11,-2.63,856,,-8.52,,,,4.3,83.9,,9.05,,,
2013-12-19,55.1,56.4,1.08,-1.25,2450,,-6.0,,,,5.42,84.1,,8.5,,,
2013-12-20,57.0,54.0,-4.26,1.06,2760,0.47,-9.24,,,,0.93,81.4,,8.75,,,-23.4
2013-12-23,57.0,54.5,0.93,5.56,850,0.18,-5.55,,,,1.87,81.5,,8.44,,,-22.7
2013-12-24,57.0,54.5,0.0,4.59,587,0.16,-4.39,1.87,,,1.87,81.5,7.55,8.17,,,-22.7
2013-12-26,55.0,54.8,0.55,0.92,1290,0.44,-1.79,-20.58,,,2.43,81.6,3.76,7.8,,,-22.27
2013-12-27,55.7,53.5,-2.37,1.64,1950,0.68,-5.14,-23.13,,,0.0,79.8,3.74,7.76,,,-24.11
2013-12-30,55.6,52.7,-1.5,3.93,1691,0.65,-2.41,-24.17,,,-1.5,78.6,3.74,7.81,,,-25.25
2013-12-31,55.0,53.1,0.76,4.36,1334,0.53,-2.57,-24.14,,,-0.75,78.8,3.74,7.79,,,-24.68
2014-01-02,52.5,54.9,3.39,-1.13,702,0.31,0.73,-21.57,,,0.0,79.6,3.86,7.44,,,-22.13
2014-01-03,54.0,53.1,-3.28,-1.64,896,0.39,-3.1,-24.68,,,-3.28,76.6,3.87,7.48,,,-24.68
2014-01-06,54.9,56.1,5.65,3.39,4260,2.02,4.86,-19.63,,,2.19,78.0,4.15,7.02,,,-20.43
2014-01-07,56.5,58.4,4.1,0.71,6740,2.93,10.82,-8.03,,,6.38,79.1,3.86,7.4,,,-17.16
2014-01-08,60.0,71.4,22.26,2.74,19180,6.22,34.46,20.0,,,30.06,84.0,6.05,7.22,,,0.0
2014-01-09,71.0,78.8,10.36,-0.56,35900,7.49,43.54,19.76,,,43.54,86.0,6.04,6.92,,,0.0
2014-01-10,79.1,80.0,1.52,0.38,11630,2.2,50.66,27.59,,,45.72,86.3,5.89,6.77,,,0.0
2014-01-13,80.0,70.3,-12.13,0.0,12220,2.15,25.31,15.25,,,28.05,72.8,6.54,8.57,,,-12.13
2014-01-14,70.2,77.7,10.53,-0.14,14860,2.34,33.05,29.5,,,41.53,75.9,6.84,8.3,,,-2.87
2014-01-15,81.6,74.33,-4.34,5.02,10396,1.54,4.1,24.92,,,35.39,71.9,6.94,8.95,,,-7.09
2014-01-16,75.0,74.5,0.23,0.9,2680,0.4,-5.46,29.12,,,35.7,71.9,6.87,8.78,,,-6.87
2014-01-17,77.2,72.7,-2.42,3.62,2840,0.42,-9.12,27.54,,,32.42,69.7,6.9,8.85,,,-9.12
2014-01-21,75.5,70.0,-3.71,3.85,4750,0.69,-0.43,25.45,,,27.51,66.3,6.95,9.1,,,-12.5
2014-01-22,71.9,70.3,0.43,2.71,1460,0.21,-9.52,24.65,,,28.05,66.5,6.95,8.83,,,-12.13
2014-01-23,70.0,70.0,-0.43,-0.43,1024,0.15,-5.83,29.63,,,27.51,66.1,6.85,8.33,,,-12.5
2014-01-24,70.1,71.0,1.43,0.14,1440,0.21,-4.7,30.28,,,29.33,66.8,6.85,7.87,,,-11.25
2014-01-27,72.2,68.2,-3.94,1.69,3427,0.49,-6.19,25.14,,,24.23,62.7,6.94,8.52,,,-14.75
2014-01-28,67.6,68.5,0.44,-0.88,600,0.09,-2.14,25.0,,,24.77,62.9,6.94,8.55,,,-14.38
2014-01-29,69.1,67.3,-1.75,0.88,1940,0.28,-4.27,25.79,,,22.59,61.1,6.93,8.36,,,-15.88
2014-01-30,67.2,67.7,0.59,-0.15,974,0.14,-3.29,28.46,,,23.32,61.5,6.9,7.8,,,-15.37
2014-01-31,67.0,66.0,-2.51,-1.03,3140,0.45,-7.04,24.29,,,20.22,58.7,6.95,7.64,,,-17.5
2014-02-03,69.0,69.1,4.7,4.55,2621,0.37,1.32,25.87,,,25.87,62.1,6.98,7.19,,,-13.63
2014-02-04,70.4,70.1,1.45,1.88,1137,0.16,2.34,32.02,,,27.69,63.1,6.9,7.17,,,-12.38
2014-02-05,70.6,70.9,1.14,0.71,754,0.11,5.35,26.38,,,29.15,64.0,6.84,6.73,9.78,,-11.37
2014-02-06,70.1,68.8,-2.96,-1.13,2687,0.46,1.62,17.81,,,25.32,60.0,6.87,6.68,6.02,,-14.0
2014-02-07,69.4,69.6,1.16,0.87,296,0.07,5.45,-2.52,,,26.78,61.0,4.85,6.22,7.24,,-13.0
2014-02-10,69.79,70.0,0.57,0.28,1040,0.3,1.3,-11.17,,,27.5,61.5,4.23,6.08,7.83,,-12.51
2014-02-11,70.0,69.0,-1.42,0.01,1001,0.34,-1.57,-13.75,,,25.69,59.4,4.21,5.87,6.32,,-13.75
2014-02-12,68.6,68.8,-0.29,-0.58,749,0.33,-2.96,-2.13,,,25.32,59.0,3.28,5.59,6.05,,-14.0
2014-02-13,69.8,69.8,1.45,1.45,891,0.5,1.45,-10.17,,,27.14,60.6,2.25,5.24,7.6,,-12.75
2014-02-14,69.8,69.1,-1.0,0.0,1877,1.08,-0.72,-7.04,,,25.87,58.9,2.08,5.03,6.56,,-13.63
2014-02-18,71.0,69.8,1.01,2.75,897,0.55,-0.28,-6.31,,,27.14,60.1,2.1,4.82,7.64,,-12.75
