date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2025-05-15,12.24,12.48,,,81457,,,,,,0.0,,,11.74,,,
2025-05-16,12.79,12.15,-2.64,2.48,39887,,,,,,-2.64,0.0,,11.78,,,
2025-05-19,11.56,10.65,-12.38,-4.85,29914,,,,,,-14.69,0.0,,13.58,,,
2025-05-20,10.87,11.55,8.49,2.03,81084,,,,,,-7.44,14.4,,12.76,,,
2025-05-21,11.74,11.57,0.17,1.62,47704,,,,,,-7.29,14.7,,12.16,,,
2025-05-22,11.31,10.41,-10.07,-2.29,57457,,-16.62,,,,-16.62,12.1,,13.65,,,
2025-05-23,9.98,9.52,-8.55,-4.11,28909,,-21.68,,,,-23.75,10.6,,14.79,,,
2025-05-27,9.74,9.64,1.24,2.38,26109,,-9.51,,,,-22.8,12.2,,14.25,,,
2025-05-28,9.52,8.96,-7.04,-1.22,33935,,-22.47,,,,-28.24,11.0,,15.15,,,
2025-05-29,9.03,8.26,-7.79,0.77,71663,,-28.63,,,,-33.83,9.9,,16.71,,,
2025-05-30,8.77,9.67,17.02,6.19,293735,,-7.13,,,,-22.57,25.8,,15.07,,,
2025-06-02,9.93,13.08,35.3,2.75,938901,,37.4,,,,4.77,49.3,,12.96,,,
2025-06-03,13.35,12.31,-5.9,2.11,383470,,27.7,,,,-1.42,45.7,,13.76,,,
2025-06-04,11.79,11.35,-7.79,-4.19,253264,,26.67,,,,-9.1,41.7,,14.59,,,
2025-06-05,11.4,12.23,7.8,0.43,453253,,48.1,,,,-2.01,46.4,,13.82,,,
2025-06-06,12.41,12.33,0.8,1.45,202732,,27.57,,,,-1.22,46.9,,13.29,,,
2025-06-09,12.27,11.88,-3.67,-0.52,231678,,-9.17,,,,-4.84,44.8,,13.36,,,
2025-06-10,11.79,11.56,-2.69,-0.75,117662,,-6.07,,,,-7.4,43.3,,13.07,,,
2025-06-11,11.42,11.07,-4.21,-1.23,156961,,-2.43,,,,-11.3,41.1,,13.13,,,
2025-06-12,11.01,10.38,-6.22,-0.53,181938,0.98,-15.11,,,,-16.82,38.1,,13.53,,,-20.6
2025-06-13,10.24,10.77,3.74,-1.42,125834,0.67,-12.64,,,,-13.71,40.7,,12.69,,,-17.63
2025-06-16,11.0,10.42,-3.24,2.14,124866,0.65,-12.25,-16.5,,,-16.5,39.1,10.75,12.88,,,-20.3
2025-06-17,10.42,9.92,-4.81,0.0,107240,0.55,-14.16,-18.37,,,-20.52,36.9,10.78,13.06,,,-24.14
2025-06-18,9.93,9.64,-2.87,0.1,89634,0.46,-12.97,-9.51,,,-22.8,35.7,10.45,12.92,,,-26.32
