date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2017-05-12,21.21,21.06,,,10955351,,,,,,0.0,,,4.88,,,
2017-05-15,20.97,21.98,4.35,-0.43,3494210,,,,,,4.35,,,4.76,,,
2017-05-16,22.15,22.06,0.36,0.77,1291901,,,,,,4.73,,,4.53,,,
2017-05-17,22.11,22.06,0.0,0.23,1586846,,,,,,4.73,,,4.48,,,
2017-05-18,22.15,22.46,1.81,0.41,4083274,,,,,,6.63,,,4.61,,,
2017-05-19,22.52,22.67,0.98,0.27,1251099,,7.67,,,,7.67,,,4.61,,,
2017-05-22,22.75,22.84,0.75,0.35,383832,,3.95,,,,8.48,,,4.43,,,
2017-05-23,22.94,23.4,2.45,0.44,705384,,6.11,,,,11.14,,,4.3,,,
2017-05-24,23.49,23.3,-0.43,0.38,409603,,5.66,,,,10.66,98.9,,4.19,,,
2017-05-25,23.37,22.47,-3.6,0.3,1082891,,0.04,,,,6.68,89.8,,4.52,,,
2017-05-26,22.51,22.98,2.31,0.18,722505,,1.37,,,,9.14,90.4,,4.37,,,
2017-05-30,22.95,22.9,-0.35,-0.13,844800,,0.26,,,,8.76,89.5,,4.29,,,
2017-05-31,22.92,22.88,-0.09,0.09,485391,,-2.22,,,,8.67,89.3,,4.15,,,
2017-06-01,22.86,22.88,0.0,-0.09,487366,,-1.8,,,,8.67,89.3,,4.05,,,
2017-06-02,22.84,22.6,-1.22,-0.17,547678,,0.62,,,,7.34,85.8,,3.96,,,
2017-06-05,22.57,22.59,-0.09,-0.18,422992,,-1.74,,,,7.25,85.5,,4.0,,,
2017-06-06,21.79,22.25,-1.5,-3.54,1091661,,-2.88,,,,5.63,81.0,,4.05,,,
2017-06-07,22.36,21.72,-2.38,0.49,735000,,-5.11,,,,3.12,74.4,,4.25,,,
2017-06-08,21.71,21.61,-0.5,-0.05,433412,,-5.58,,,,2.6,73.1,,4.07,,,
2017-06-09,21.64,22.45,3.88,0.14,566987,0.36,-0.71,,,,6.58,76.5,,4.01,,,-4.1
2017-06-12,22.42,22.98,2.4,-0.13,827810,0.77,1.77,,,,9.14,78.4,,4.16,,,-1.79
2017-06-13,22.94,23.44,2.0,-0.17,929107,0.98,5.39,11.33,,,11.33,79.9,1.96,4.23,,,0.0
2017-06-14,23.52,23.2,-1.02,0.34,1992432,2.03,6.85,5.59,,,10.19,76.9,1.78,4.32,,,-1.02
2017-06-15,23.03,22.94,-1.12,-0.73,1513317,1.55,6.19,4.03,,,8.95,73.7,1.81,4.61,,,-2.13
2017-06-16,22.95,23.87,4.04,0.04,2470528,2.76,6.36,8.24,,,13.36,77.4,1.99,4.42,,,0.0
2017-06-19,24.01,23.87,0.0,0.59,461112,0.54,3.86,6.31,,,13.36,77.4,1.97,4.3,,,0.0
2017-06-20,23.67,22.57,-5.43,-0.84,1045776,1.18,-3.71,-0.44,,,7.2,63.1,2.32,4.77,,,-5.43
2017-06-21,22.5,20.68,-8.4,-0.35,1277912,1.39,-10.88,-9.48,,,-1.8,48.9,2.95,5.56,,,-13.38
2017-06-22,20.68,21.02,1.64,0.0,1267656,1.32,-8.39,-10.19,,,-0.19,51.1,2.91,5.47,,,-11.95
