date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2008-03-20,9.0,9.08,,,880100,,,,,,0.0,,,1.1,,,
2008-03-24,9.08,9.1,0.22,0.0,1511400,,,,,,0.22,,,1.04,,,
2008-03-25,9.08,9.05,-0.55,-0.22,1575000,,,,,,-0.33,83.9,,1.01,,,
2008-03-26,9.08,9.08,0.33,0.33,273500,,,,,,0.0,85.4,,0.96,,,
2008-03-31,9.08,9.1,0.22,0.0,1224400,,,,,,0.22,86.3,,0.9,,,
2008-04-01,9.05,9.08,-0.22,-0.55,530700,,0.0,,,,0.0,80.8,,0.9,,,
2008-04-02,9.05,9.05,-0.33,-0.33,51000,,-0.55,,,,-0.33,73.2,,0.86,,,
2008-04-03,9.06,9.05,0.0,0.11,2200,,0.0,,,,-0.33,73.2,,0.81,,,
2008-04-08,9.08,9.07,0.22,0.33,13300,,-0.11,,,,-0.11,75.0,,0.77,,,
2008-04-10,9.09,9.08,0.11,0.22,55800,,-0.22,,,,0.0,75.9,,0.73,,,
2008-04-11,9.08,9.09,0.11,0.0,27300,,0.11,,,,0.11,76.8,,0.7,,,
2008-04-14,9.08,9.08,-0.11,-0.11,200000,,0.33,,,,0.0,73.9,,0.65,,,
2008-04-15,9.08,9.15,0.77,0.0,101900,,1.1,,,,0.77,79.7,,0.66,,,
2008-04-23,9.1,9.1,-0.55,-0.55,500,,0.33,,,,0.22,68.1,,0.65,,,
2008-04-24,9.11,9.1,0.0,0.11,9000,,0.22,,,,0.22,68.1,,0.65,,,
2008-04-29,9.12,9.12,0.22,0.22,1700,,0.33,,,,0.44,70.1,,0.61,,,
2008-05-01,9.12,9.1,-0.22,0.0,117200,,0.22,,,,0.22,65.6,,0.59,,,
2008-05-02,9.11,9.11,0.11,0.11,150000,,-0.44,,,,0.33,66.8,,0.55,,,
2008-05-09,9.15,9.17,0.66,0.44,122000,,0.77,,,,0.99,72.6,,0.56,,,
2008-05-12,9.13,9.16,-0.11,-0.44,1000,0.0,0.66,,,,0.88,70.4,,0.55,,,-0.11
2008-05-13,9.17,9.17,0.11,0.11,100,0.0,0.55,,,,0.99,71.4,,0.52,,,0.0
2008-05-14,9.15,9.13,-0.44,-0.22,50100,0.22,0.33,0.55,,,0.55,62.7,0.35,0.51,,,-0.44
2008-05-15,9.16,9.16,0.33,0.33,200000,1.28,0.55,0.66,,,0.88,66.0,0.35,0.5,,,-0.11
2008-05-16,9.14,9.15,-0.11,-0.22,700,0.0,-0.22,1.1,,,0.77,64.0,0.32,0.48,,,-0.22
2008-05-19,9.15,9.15,0.0,0.0,102700,1.18,-0.11,0.77,,,0.77,64.0,0.32,0.44,,,-0.22
2008-05-20,9.19,9.15,0.0,0.44,1000,0.02,-0.22,0.55,,,0.77,64.0,0.32,0.45,,,-0.22
2008-05-21,9.14,9.15,0.0,-0.11,500,0.01,0.22,0.77,,,0.77,64.0,0.31,0.43,,,-0.22
2008-05-22,9.15,9.17,0.22,0.0,50500,0.84,0.11,1.33,,,0.99,66.8,0.3,0.41,,,0.0
2008-05-27,9.17,9.2,0.33,0.0,500,0.01,0.55,1.66,,,1.32,70.4,0.31,0.4,,,0.0
2008-05-29,9.15,9.15,-0.54,-0.54,200000,2.99,0.0,0.88,,,0.77,58.8,0.33,0.42,,,-0.54
2008-05-30,9.14,9.17,0.22,-0.11,726500,7.14,0.22,0.99,,,0.99,61.5,0.33,0.41,,,-0.33
2008-06-02,9.19,9.2,0.33,0.22,52500,0.56,0.55,1.21,,,1.32,65.2,0.34,0.4,,,0.0
2008-06-03,9.2,9.2,0.0,0.0,1202000,8.04,0.33,1.32,,,1.32,65.2,0.34,0.4,,,0.0
2008-06-04,9.2,9.24,0.43,0.0,3100,0.02,0.43,0.98,,,1.76,69.8,0.31,0.4,,,0.0
2008-06-05,9.23,9.22,-0.22,-0.11,13700,0.09,0.77,1.32,,,1.54,65.2,0.29,0.39,,,-0.22
2008-06-06,9.22,9.23,0.11,0.0,2000,0.01,0.65,1.43,,,1.65,66.4,0.29,0.37,,,-0.11
2008-06-09,9.21,9.22,-0.11,-0.22,210700,1.36,0.22,1.1,,,1.54,64.0,0.29,0.36,,,-0.22
2008-06-10,9.21,9.21,-0.11,-0.11,40100,0.27,0.11,1.21,,,1.43,61.7,0.28,0.34,,,-0.32
2008-06-11,9.22,9.2,-0.11,0.11,263400,1.69,-0.43,0.99,,,1.32,59.3,0.28,0.33,,,-0.43
2008-06-12,9.2,9.22,0.22,0.0,911700,4.52,0.0,0.55,,,1.54,62.4,0.25,0.32,,,-0.22
2008-06-13,9.22,9.22,0.0,0.0,11500,0.06,-0.11,0.66,,,1.54,62.4,0.25,0.3,,,-0.22
2008-06-16,9.2,9.25,0.33,-0.22,1325,0.01,0.33,0.87,,,1.87,66.8,0.26,0.31,,,0.0
2008-06-19,9.25,9.25,0.0,0.0,1000,0.01,0.43,1.31,,,1.87,66.8,0.23,0.29,,,0.0
2008-06-20,9.29,9.3,0.54,0.43,2100,0.01,1.09,1.53,,,2.42,72.9,0.25,0.31,,,0.0
2008-06-27,9.35,9.35,0.54,0.54,800,0.0,1.41,2.19,,,2.97,77.4,0.26,0.32,,,0.0
2008-06-30,9.3,9.3,-0.53,-0.53,41982,0.22,0.87,1.64,,,2.42,65.7,0.3,0.34,,,-0.53
2008-07-01,9.31,9.3,0.0,0.11,900,0.0,0.54,1.64,,,2.42,65.7,0.3,0.32,,,-0.53
2008-07-09,9.3,9.26,-0.43,0.0,112400,0.59,0.11,1.2,,,1.98,57.6,0.32,0.33,,,-0.96
2008-07-14,9.25,9.15,-1.19,-0.11,3800,0.02,-1.61,-0.22,,,0.77,42.2,0.42,0.4,,,-2.14
2008-07-15,9.2,9.21,0.66,0.55,50200,0.27,-1.5,0.11,,,1.43,50.1,0.43,0.48,0.5,,-1.5
2008-07-16,9.22,9.22,0.11,0.11,7500,0.05,-0.86,0.77,,,1.54,51.2,0.42,0.46,0.58,,-1.39
2008-07-17,9.22,9.25,0.33,0.0,26700,0.18,-0.54,0.87,,,1.87,54.7,0.42,0.45,0.87,,-1.07
