date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,9.91,10.1,,,278072,,,,,,0.0,,,4.27,,,
2005-02-28,10.09,9.91,-1.83,-0.12,280590,,,,,,-1.83,0.0,,4.23,,,
2005-03-01,9.85,9.8,-1.15,-0.62,572241,,,,,,-2.96,0.0,,4.22,,,
2005-03-02,9.68,9.72,-0.8,-1.22,403706,,,,,,-3.73,0.0,,4.14,,,
2005-03-03,9.65,9.6,-1.3,-0.75,367402,,,,,,-4.98,0.0,,4.16,,,
2005-03-04,9.69,10.31,7.43,0.94,503352,,2.08,,,,2.08,24.5,,4.2,,,
2005-03-07,10.3,10.21,-0.99,-0.06,298509,,2.96,,,,1.07,23.6,,4.11,,,
2005-03-08,10.21,10.36,1.53,0.0,356076,,5.74,,,,2.61,27.9,,4.09,,,
2005-03-09,10.32,10.27,-0.93,-0.41,204750,,5.61,,,,1.66,26.9,,3.98,,,
2005-03-10,10.24,9.97,-2.85,-0.29,389678,,3.94,,,,-1.24,24.0,,4.28,,,
2005-03-11,9.96,10.07,1.01,-0.18,383036,,-2.27,,,,-0.24,26.9,,4.1,,,
2005-03-14,10.12,10.09,0.12,0.49,721817,,-1.18,,,,-0.12,27.3,,3.99,,,
2005-03-15,10.19,10.11,0.18,1.01,514869,,-2.49,,,,0.06,27.8,,3.89,,,
2005-03-16,10.03,10.17,0.6,-0.77,446076,,-0.98,,,,0.66,29.8,,3.8,,,
2005-03-17,10.17,10.06,-1.07,0.0,189930,,0.83,,,,-0.42,28.3,,3.76,,,
2005-03-18,10.11,9.92,-1.36,0.48,312399,,-1.54,,,,-1.77,26.5,,3.76,,,
2005-03-21,9.96,9.86,-0.6,0.36,167669,,-2.25,,,,-2.37,25.7,,3.63,,,
2005-03-22,9.8,10.45,6.01,-0.61,909632,,3.44,,,,3.51,43.3,,3.74,,,
2005-03-23,10.45,10.99,5.16,0.0,1012320,,8.13,,,,8.84,54.0,,3.81,,,
2005-03-24,11.01,11.2,1.91,0.16,662779,1.48,11.39,,,,10.92,57.3,,3.72,,,0.0
2005-03-28,11.34,10.89,-2.79,1.23,700008,1.49,9.78,,,,7.83,51.3,,3.92,,,-2.79
2005-03-29,10.77,10.78,-0.99,-1.09,486070,1.01,9.35,6.76,,,6.76,49.4,2.76,4.07,,,-3.75
2005-03-30,10.6,10.81,0.22,-1.73,492951,1.04,3.38,9.0,,,7.0,49.8,2.71,4.12,,,-3.54
2005-03-31,10.91,10.54,-2.49,0.95,393961,0.83,-4.14,7.52,,,4.34,45.0,2.77,4.23,,,-5.94
2005-04-01,10.59,10.49,-0.46,0.46,342741,0.72,-6.36,7.89,,,3.86,44.2,2.76,4.15,,,-6.36
2005-04-04,10.55,11.25,7.25,0.63,654889,1.36,3.3,17.23,,,11.39,57.5,3.11,4.15,,,0.0
2005-04-05,11.34,11.21,-0.31,0.81,1387713,2.59,4.01,8.78,,,11.04,56.8,2.71,4.32,,,-0.31
2005-04-06,11.1,11.32,0.91,-1.01,464393,0.86,4.72,10.87,,,12.05,58.3,2.7,4.26,,,0.0
2005-04-07,11.28,11.12,-1.75,-0.32,230661,0.42,5.51,7.29,,,10.09,54.3,2.73,4.18,,,-1.75
2005-04-08,11.15,11.11,-0.05,0.27,273044,0.51,5.94,8.23,,,10.03,54.2,2.72,4.14,,,-1.8
2005-04-11,11.03,11.23,1.08,-0.7,319252,0.6,-0.15,12.61,,,11.22,56.3,2.61,4.0,,,-0.74
2005-04-12,11.27,10.79,-3.9,0.37,596704,1.13,-3.75,7.14,,,6.88,47.7,2.79,4.32,,,-4.61
2005-04-13,10.64,11.0,1.95,-1.45,243436,0.47,-2.76,9.09,,,8.96,51.5,2.81,4.22,,,-2.76
2005-04-14,10.93,10.43,-5.18,-0.7,620114,1.19,-6.15,3.26,,,3.32,42.4,3.07,4.64,,,-7.79
2005-04-15,10.34,10.3,-1.31,-0.91,421948,0.79,-7.33,1.29,,,1.96,40.6,3.08,4.66,,,-9.0
2005-04-18,10.21,10.55,2.45,-0.87,470512,0.87,-6.08,4.89,,,4.46,45.3,3.11,4.56,,,-6.78
2005-04-19,10.62,10.69,1.37,0.68,197701,0.36,-0.94,7.79,,,5.88,47.9,3.1,4.35,,,-5.51
2005-04-20,10.94,10.22,-4.43,2.35,437383,0.84,-7.13,3.64,,,1.19,41.1,3.27,4.78,,,-9.69
2005-04-21,10.55,10.07,-1.47,3.29,1645967,2.98,-3.5,-3.67,,,-0.3,39.2,3.0,5.49,,,-11.02
2005-04-22,10.13,10.15,0.84,0.6,684702,1.24,-1.39,-7.62,,,0.54,40.8,2.76,5.22,,,-10.27
2005-04-25,10.12,10.46,3.0,-0.3,424365,0.79,-0.85,-6.63,,,3.56,46.5,2.81,4.97,,,-7.57
2005-04-26,10.51,10.54,0.8,0.46,440221,0.82,-1.4,-3.19,,,4.4,48.0,2.76,4.83,,,-6.83
2005-04-27,10.54,10.43,-1.08,-0.06,323257,0.61,2.05,-3.27,,,3.27,46.1,2.76,4.67,,,-7.84
2005-04-28,10.45,10.27,-1.55,0.23,225312,0.43,1.97,-4.99,,,1.66,43.5,2.78,4.68,,,-9.27
2005-04-29,10.27,10.47,1.99,0.06,288747,0.56,3.12,-0.63,,,3.68,47.5,2.77,4.52,,,-7.47
2005-05-02,10.63,10.49,0.17,1.48,192040,0.39,0.29,0.0,,,3.86,47.9,2.76,4.5,,,-7.31
2005-05-03,10.79,10.73,2.35,2.91,919459,1.95,1.82,-4.57,,,6.3,52.5,2.29,4.39,,,-5.13
2005-05-04,10.81,10.93,1.79,0.72,435960,0.93,4.78,-2.56,,,8.2,55.8,2.33,4.16,,,-3.44
2005-05-05,10.95,11.32,3.56,0.22,576861,1.18,10.22,0.0,,,12.05,61.7,2.46,4.18,,,0.0
2005-05-06,11.43,11.5,1.64,1.0,611843,1.21,9.85,3.45,,,13.89,64.1,2.45,4.13,9.49,,0.0
2005-05-09,11.61,11.26,-2.09,0.93,353113,0.7,7.37,1.35,,,11.52,58.9,2.5,4.31,6.97,,-2.09
2005-05-10,11.29,11.73,4.16,0.27,918487,1.76,9.27,4.43,,,16.15,64.9,2.64,4.29,11.03,,0.0
2005-05-11,11.95,12.39,5.66,1.84,1581297,2.69,13.43,14.82,,,22.73,71.3,2.72,4.17,16.74,,0.0
2005-05-12,12.51,11.49,-7.29,0.93,2406539,3.55,1.54,4.42,,,13.77,56.3,3.21,5.45,7.87,,-7.29
2005-05-13,11.5,11.03,-4.02,0.05,1018466,1.44,-4.12,5.69,,,9.2,50.4,3.12,6.11,3.25,,-11.02
2005-05-16,11.03,11.43,3.64,0.05,493064,0.7,1.48,10.99,,,13.17,54.8,3.18,5.78,6.78,,-7.79
2005-05-17,11.43,11.73,2.63,0.0,346770,0.48,0.0,11.2,,,16.15,57.8,3.18,5.56,9.28,,-5.36
2005-05-18,11.7,11.94,1.78,-0.26,544327,0.75,-3.67,11.65,,,18.22,59.8,3.19,5.31,10.9,,-3.67
2005-05-19,12.02,12.27,2.76,0.7,508800,0.77,6.78,20.06,,,21.49,62.8,3.0,5.07,13.55,,-1.01
2005-05-20,12.33,12.28,0.1,0.5,329387,0.51,11.36,21.97,,,21.61,63.0,2.96,4.94,13.18,,-0.91
2005-05-23,12.38,12.05,-1.86,0.77,447253,0.69,5.46,18.7,,,19.35,59.4,3.03,4.91,10.67,,-2.75
2005-05-24,11.88,12.0,-0.45,-1.39,434110,0.67,2.29,14.72,,,18.81,58.6,3.0,4.81,9.79,,-3.19
2005-05-25,12.04,11.95,-0.44,0.35,188322,0.29,0.06,13.31,,,18.29,57.7,3.01,4.71,8.94,,-3.61
2005-05-26,11.96,11.86,-0.7,0.15,324808,0.5,-3.32,13.74,17.46,,17.46,56.3,3.0,4.53,7.84,,-4.29
2005-05-27,11.91,12.08,1.81,0.4,240547,0.37,-1.66,17.63,21.82,,19.59,59.0,2.96,4.43,9.39,,-2.56
2005-05-31,12.08,11.5,-4.81,0.0,881952,1.3,-4.62,9.79,17.31,,13.83,49.8,3.19,4.94,3.83,,-7.25
2005-06-01,11.52,11.19,-2.66,0.21,832545,1.24,-6.74,6.68,15.1,,10.8,45.8,3.27,5.07,0.83,,-9.71
2005-06-02,11.32,11.06,-1.13,1.13,783807,1.13,-7.38,3.06,15.3,,9.56,44.2,3.25,5.01,-0.42,,-10.73
2005-06-03,10.95,10.72,-3.14,-1.02,814746,1.16,-9.65,-1.92,3.96,,6.12,40.1,3.3,5.17,-3.49,,-13.53
2005-06-06,10.72,10.75,0.34,0.0,539047,0.77,-10.96,-4.98,5.35,,6.48,40.7,3.2,5.06,-3.09,,-13.24
2005-06-07,10.75,10.61,-1.29,0.0,678415,0.95,-7.67,-7.72,2.42,,5.1,39.0,3.18,5.01,-4.3,,-14.36
2005-06-08,10.62,10.35,-2.53,0.07,420919,0.61,-7.55,-8.14,0.76,,2.44,35.9,3.2,5.03,-6.65,,-16.53
2005-06-09,10.31,10.64,2.83,-0.35,629582,0.98,-3.85,-9.31,6.66,,5.34,41.4,3.11,4.81,-3.98,,-14.17
2005-06-10,10.61,10.73,0.86,-0.23,825355,1.46,0.11,-13.43,6.49,,6.24,43.0,2.81,4.76,-3.19,,-13.43
2005-06-13,10.78,11.2,4.41,0.45,1010374,1.79,4.18,-2.51,11.05,,10.92,50.6,2.57,4.56,0.95,,-9.62
2005-06-14,11.35,11.6,3.58,1.34,1017894,1.73,9.32,5.21,14.82,,14.89,56.0,2.53,4.34,4.5,,-6.38
2005-06-15,11.81,11.8,1.71,1.81,838506,1.36,14.07,3.25,16.08,,16.85,58.4,2.43,4.12,6.17,,-4.78
2005-06-16,11.87,12.17,3.11,0.62,791431,1.26,14.38,3.73,20.99,,20.49,62.5,2.46,3.96,9.3,,-1.82
2005-06-17,12.21,12.04,-1.09,0.38,868348,1.35,12.17,0.8,21.32,,19.17,60.2,2.44,4.0,7.93,,-2.9
2005-06-20,11.99,11.9,-1.15,-0.4,415959,0.64,6.2,-3.03,20.66,,17.8,57.8,2.38,4.05,6.54,,-4.01
2005-06-21,11.88,12.18,2.41,-0.1,670290,1.02,5.01,-0.79,16.56,,20.65,61.2,2.44,3.9,8.93,,-1.69
2005-06-22,12.22,11.75,-3.53,0.3,537210,0.81,-0.4,-2.48,6.93,,16.39,54.1,2.53,4.07,4.9,,-5.16
2005-06-23,11.73,11.73,-0.2,-0.2,311213,0.46,-3.6,-2.24,4.71,,16.15,53.7,2.53,3.99,4.55,,-5.36
2005-06-24,11.78,11.36,-3.17,0.45,756604,1.09,-5.63,-4.92,4.3,,12.47,48.1,2.62,4.17,1.07,,-8.36
2005-06-27,11.3,10.97,-3.42,-0.53,529420,0.75,-7.8,-7.53,1.73,,8.61,43.1,2.71,4.31,-2.51,,-11.5
2005-06-28,10.95,11.33,3.33,-0.16,439079,0.64,-6.98,-6.15,4.89,,12.23,48.5,2.79,4.2,0.6,,-8.55
2005-06-29,11.35,11.12,-1.85,0.16,274339,0.42,-5.36,-3.24,5.57,,10.15,45.8,2.62,4.17,-1.34,,-10.25
2005-06-30,11.15,11.14,0.17,0.22,207937,0.33,-5.0,-0.42,6.24,,10.34,46.1,2.55,4.01,-1.34,,-10.09
2005-07-01,11.16,10.81,-3.02,0.16,516706,0.84,-4.86,-2.33,-3.94,,7.0,41.8,2.62,4.21,-4.45,,-12.81
2005-07-05,10.78,11.37,5.17,-0.27,668069,1.08,3.61,6.05,1.35,,12.54,50.2,2.76,4.2,0.28,,-8.3
2005-07-06,11.41,11.37,0.0,0.4,342902,0.57,0.27,5.69,0.43,,12.54,50.2,2.76,4.05,0.12,,-8.3
2005-07-07,11.36,11.12,-2.12,-0.06,290125,0.49,0.0,4.8,0.05,,10.15,46.8,2.79,4.21,-2.1,,-10.25
2005-07-08,11.1,11.5,3.34,-0.21,396871,0.68,3.17,11.13,3.46,,13.83,52.1,2.79,4.21,0.98,,-7.25
2005-07-11,11.57,11.53,0.31,0.68,458139,0.81,6.72,8.4,2.67,,14.19,52.6,2.74,4.25,1.08,,-6.95
2005-07-12,11.55,11.38,-1.35,0.16,267821,0.51,0.1,6.03,5.39,,12.64,50.2,2.77,4.26,-0.45,,-8.21
2005-07-13,11.32,11.48,0.9,-0.47,266743,0.54,0.99,2.46,4.31,,13.65,51.8,2.61,4.14,0.27,,-7.39
2005-07-14,11.59,11.42,-0.52,0.93,271912,0.59,2.64,-1.59,9.43,,13.06,50.8,2.49,4.04,-0.37,,-7.87
2005-07-15,11.33,11.5,0.68,-0.74,259025,0.59,0.0,-2.58,11.64,,13.83,52.1,2.47,3.88,0.21,,-7.25
2005-07-18,11.41,11.23,-2.3,-0.74,518485,1.23,-2.6,-7.69,6.47,,11.22,47.5,2.4,4.07,-2.08,,-9.38
2005-07-19,11.26,11.22,-0.11,0.27,262924,0.64,-1.37,-6.77,4.93,,11.1,47.3,2.39,4.0,-2.14,,-9.47
2005-07-20,11.21,11.46,2.14,-0.12,452523,1.13,-0.16,-3.67,12.14,,13.48,51.7,2.44,4.08,-0.08,,-7.54
2005-07-21,11.12,9.06,-20.92,-2.93,3709720,6.62,-20.63,-25.62,-10.0,,-10.27,27.0,5.09,7.13,-20.61,,-26.88
2005-07-22,9.08,8.97,-1.05,0.2,1258693,2.07,-22.0,-23.71,-11.69,,-11.21,26.5,5.06,7.05,-20.98,,-27.65
2005-07-25,8.9,8.97,0.06,-0.74,915220,1.49,-20.12,-23.51,-14.21,,-11.16,26.6,5.07,6.76,-20.57,,-27.61
2005-07-26,8.83,8.91,-0.67,-1.61,1042825,1.63,-20.57,-21.53,-15.46,,-11.75,26.2,5.04,6.46,-20.81,,-28.09
2005-07-27,8.91,9.0,0.94,0.0,645843,0.99,-21.49,-17.98,-13.73,,-10.91,27.8,5.03,6.11,-19.71,,-27.41
2005-07-28,9.0,9.33,3.72,0.0,1308436,1.86,2.97,-17.67,-9.11,,-7.6,33.8,5.05,5.8,-16.36,,-24.71
2005-07-29,9.39,9.12,-2.31,0.65,356298,0.5,1.67,-18.05,-12.93,,-9.73,32.0,5.05,5.74,-17.88,,-26.44
2005-08-01,9.22,9.43,3.41,1.18,916765,1.26,5.07,-15.4,-10.12,,-6.65,37.3,5.13,5.51,-14.64,,-23.94
2005-08-02,9.43,9.32,-1.13,0.07,521284,0.72,4.58,-13.75,-13.18,,-7.71,36.2,5.11,5.37,-15.15,,-24.8
2005-08-03,9.3,9.37,0.51,-0.2,561595,0.77,4.13,-17.57,-14.26,,-7.24,37.1,4.94,5.13,-14.3,,-24.41
2005-08-04,9.27,9.36,-0.13,-1.09,285225,0.39,0.26,-17.68,-17.32,,-7.36,37.0,4.94,4.94,-13.99,,-24.51
2005-08-05,9.34,9.3,-0.58,-0.13,230502,0.32,2.03,-16.38,-19.13,,-7.89,36.3,4.93,4.76,-14.08,,-24.95
2005-08-08,9.28,9.07,-2.44,-0.19,250869,0.35,-3.74,-21.06,-19.42,,-10.14,33.7,4.86,4.74,-15.74,,-26.78
2005-08-09,9.12,9.07,0.0,0.46,202313,0.28,-2.64,-21.31,-22.64,,-10.14,33.7,4.85,4.56,-15.27,,-26.78
2005-08-10,9.1,9.07,-0.07,0.26,348445,0.49,-3.21,-20.29,-26.84,,-10.21,33.6,4.86,4.43,-14.95,,-26.84
2005-08-11,9.06,9.04,-0.33,-0.13,211863,0.3,-3.4,-21.26,-21.34,,-10.51,33.2,4.84,4.49,-14.88,,-27.08
2005-08-12,9.0,8.83,-2.25,-0.39,292059,0.41,-5.03,-22.63,-19.89,,-12.52,30.6,4.85,4.45,-16.45,,-28.72
2005-08-15,8.79,8.93,1.09,-0.47,893994,1.22,-1.59,-22.32,-21.86,,-11.57,33.3,4.85,4.49,-15.26,,-27.95
2005-08-16,8.88,8.77,-1.81,-0.6,227686,0.31,-3.37,-21.93,-25.24,,-13.17,31.1,4.85,4.42,-16.47,,-29.25
2005-08-17,8.77,9.01,2.79,0.0,326614,0.45,-0.6,-19.66,-24.5,,-10.75,37.7,4.92,4.27,-13.88,,-27.27
2005-08-18,9.01,9.09,0.81,-0.05,243708,0.44,0.54,-20.71,-25.94,,-10.02,39.6,4.88,4.09,-12.97,,-26.69
2005-08-19,9.11,9.27,2.04,0.26,390493,0.77,4.95,2.31,-24.5,,-8.19,44.2,1.78,3.94,-10.97,,-25.19
2005-08-22,9.34,9.03,-2.65,0.72,162012,0.34,1.07,0.66,-25.12,,-10.63,39.9,1.86,4.12,-13.04,,-27.18
2005-08-23,9.05,8.93,-1.06,0.27,173752,0.41,1.84,-0.47,-25.57,,-11.57,38.3,1.88,4.11,-13.59,,-27.95
2005-08-24,8.91,9.01,0.93,-0.2,335921,0.82,0.0,1.13,-24.55,,-10.75,40.5,1.88,3.98,-12.34,,-27.27
2005-08-25,8.97,8.95,-0.72,-0.52,154250,0.44,-1.51,-0.53,-24.56,-11.39,-11.39,39.3,1.88,3.84,-12.48,,-27.79
2005-08-26,8.95,8.71,-2.69,0.06,418177,1.17,-6.07,-6.68,-27.89,-12.16,-13.77,35.2,1.76,3.96,-14.25,,-29.73
2005-08-29,8.64,8.61,-1.16,-0.76,520776,1.54,-4.64,-5.59,-25.13,-12.17,-14.77,33.7,1.71,3.96,-14.68,,-30.55
2005-08-30,8.47,8.5,-1.19,-1.54,136911,0.43,-4.76,-9.78,-24.0,-12.52,-15.78,32.1,1.5,3.88,-15.12,,-31.38
2005-08-31,8.46,8.4,-1.26,-0.57,463333,1.48,-6.84,-9.9,-24.1,-12.49,-16.85,30.5,1.5,3.88,-15.55,,-32.25
2005-09-01,8.31,8.42,0.22,-1.08,532236,1.63,-5.96,-10.17,-21.48,-18.37,-16.67,31.1,1.49,3.79,-14.8,,-32.1
2005-09-02,8.42,8.51,1.13,0.0,272612,0.83,-2.27,-9.03,-20.85,-16.62,-15.72,34.5,1.53,3.59,-13.27,,-31.33
2005-09-06,8.5,8.54,0.28,-0.14,416656,1.24,-0.84,-8.24,-19.59,-17.64,-15.49,35.3,1.54,3.48,-12.52,,-31.14
2005-09-07,8.51,8.43,-1.27,-0.28,278718,0.82,-0.92,-7.14,-18.54,-17.93,-16.56,33.2,1.48,3.44,-13.18,,-32.01
2005-09-08,8.36,8.34,-0.99,-0.77,747220,2.08,-0.65,-8.06,-21.57,-16.35,-17.39,31.7,1.49,3.62,-13.51,,-32.68
2005-09-09,8.29,8.22,-1.51,-0.58,654043,1.71,-2.35,-9.38,-23.41,-18.44,-18.63,29.4,1.5,3.7,-14.29,,-33.7
2005-09-12,8.16,8.46,2.98,-0.66,446226,1.14,-0.57,-6.36,-24.45,-16.1,-16.2,38.6,1.68,3.66,-11.24,,-31.72
2005-09-13,8.49,8.22,-2.9,0.36,282735,0.79,-3.72,-6.98,-29.18,-18.68,-18.63,33.8,1.72,3.84,-13.34,,-33.7
2005-09-14,8.22,8.03,-2.27,0.06,100330,0.28,-4.69,-10.07,-31.94,-21.0,-20.47,30.8,1.74,3.87,-14.7,,-35.2
2005-09-15,8.03,7.74,-3.58,0.0,458990,1.28,-7.19,-11.69,-36.36,-23.0,-23.32,26.7,1.85,4.16,-17.12,,-37.52
2005-09-16,7.79,7.86,1.47,0.62,253137,0.7,-4.38,-12.83,-34.71,-20.79,-22.19,30.6,1.75,3.98,-15.31,,-36.6
2005-09-19,7.84,7.71,-1.83,-0.23,290531,0.82,-8.85,-15.11,-35.16,-21.77,-23.62,28.5,1.73,4.05,-16.18,,-37.76
2005-09-20,7.67,7.99,3.57,-0.62,287539,0.8,-2.78,-13.83,-34.43,-23.57,-20.89,37.3,1.88,4.01,-12.51,,-35.54
2005-09-21,8.01,7.76,-2.85,0.3,378421,1.02,-3.36,-14.0,-33.96,-29.39,-23.14,33.6,1.89,4.16,-14.32,,-37.37
2005-09-22,7.68,7.79,0.31,-1.0,244196,0.67,0.54,-12.82,-33.63,-30.5,-22.91,34.3,1.9,4.1,-13.35,,-37.18
2005-09-23,7.82,7.88,1.23,0.46,275627,0.74,0.31,-12.56,-30.61,-27.62,-21.96,37.3,1.92,4.01,-11.59,,-36.41
2005-09-26,7.86,7.86,-0.31,-0.31,319689,0.87,1.86,-12.2,-28.37,-27.12,-22.19,36.9,1.92,3.87,-11.13,,-36.6
2005-09-27,7.84,7.7,-2.06,-0.23,930920,2.4,-3.68,-11.63,-32.1,-28.78,-23.8,33.9,1.89,4.15,-12.26,,-37.91
2005-09-28,7.65,7.62,-0.93,-0.54,451816,1.12,-1.78,-11.43,-31.46,-27.65,-24.51,32.6,1.89,4.07,-12.36,,-38.49
2005-09-29,7.61,7.68,0.71,-0.24,433188,1.08,-1.38,-9.72,-31.1,-26.8,-23.97,34.6,1.9,4.0,-10.97,,-38.05
2005-09-30,7.66,7.73,0.7,-0.23,238773,0.62,-1.9,-7.93,-28.45,-31.27,-23.44,36.6,1.91,3.94,-10.07,,-37.62
2005-10-03,7.71,7.59,-1.78,-0.23,267551,0.69,-3.36,-9.76,-33.18,-32.28,-24.81,33.8,1.93,4.0,-11.39,,-38.73
2005-10-04,7.59,7.47,-1.58,0.0,305198,0.8,-2.88,-12.18,-34.24,-33.95,-25.99,31.5,1.9,3.99,-12.48,,-39.7
