date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2006-05-05,22.49,22.58,,,4610,,,,,,0.0,,,0.4,,,
2006-05-08,22.57,22.49,-0.4,-0.06,19334,,,,,,-0.4,0.0,,0.41,,,
2006-05-09,22.51,22.47,-0.09,0.07,24861,,,,,,-0.49,0.0,,0.4,,,
2006-05-10,22.5,22.58,0.47,0.13,136956,,,,,,-0.02,8.7,,0.42,,,
2006-05-11,22.57,22.33,-1.11,-0.05,26012,,,,,,-1.13,7.1,,0.48,,,
2006-05-12,22.18,21.85,-2.15,-0.66,9898,,-3.26,,,,-3.26,5.2,,0.62,,,
2006-05-15,21.74,21.79,-0.25,-0.47,7133,,-3.12,,,,-3.51,5.0,,0.64,,,
2006-05-16,21.8,21.76,-0.16,0.04,12196,,-3.19,,,,-3.66,4.9,,0.63,,,
2006-05-17,21.43,21.24,-2.36,-1.52,82404,,-5.91,,,,-5.93,3.6,,0.77,,,
2006-05-18,21.33,21.03,-0.99,0.41,5755,,-5.79,,,,-6.86,3.3,,0.83,,,
2006-05-19,21.03,21.14,0.5,-0.03,26936,,-3.24,,,,-6.4,8.3,,0.85,,,
2006-05-22,21.03,21.19,0.23,-0.52,20021,,-2.78,,,,-6.18,10.5,,0.87,,,
2006-05-23,21.29,21.03,-0.75,0.48,12662,,-3.35,,,,-6.88,9.7,,0.91,,,
2006-05-24,20.78,20.86,-0.81,-1.16,1208655,,-1.81,,,,-7.64,8.9,,1.0,,,
2006-05-25,20.95,20.96,0.49,0.42,6671,,-0.35,,,,-7.19,13.6,,0.99,,,
2006-05-26,21.11,21.08,0.57,0.7,2996,,-0.28,,,,-6.65,19.0,,0.97,,,
2006-05-30,21.04,20.81,-1.31,-0.2,81945,,-1.8,,,,-7.87,16.5,,1.0,,,
2006-05-31,20.88,20.91,0.53,0.34,8517,,-0.54,,,,-7.39,21.0,,0.97,,,
2006-06-01,20.92,21.21,1.42,0.02,7133,,1.7,,,,-6.07,31.9,,0.99,,,
2006-06-02,21.32,21.2,-0.07,0.51,4610,0.05,1.14,,,,-6.13,31.6,,0.98,,,-6.13
2006-06-05,21.16,20.91,-1.36,-0.2,8517,0.1,-0.81,,,,-7.41,27.4,,1.04,,,-7.41
2006-06-06,20.58,20.48,-2.04,-1.6,13349,0.16,-1.55,-9.3,,,-9.3,22.7,1.01,1.14,,,-9.3
2006-06-07,20.58,20.54,0.3,0.48,22095,0.26,-1.77,-8.67,,,-9.03,24.7,1.03,1.16,,,-9.03
2006-06-08,20.47,20.5,-0.22,-0.38,11276,0.14,-3.37,-8.79,,,-9.23,24.2,1.03,1.26,,,-9.23
2006-06-09,20.53,20.42,-0.38,0.17,2533,0.03,-3.67,-9.56,,,-9.58,23.3,1.0,1.24,,,-9.58
2006-06-12,20.33,19.88,-2.64,-0.43,78266,0.96,-4.93,-10.96,,,-11.97,18.3,1.1,1.37,,,-11.97
2006-06-13,19.75,19.59,-1.45,-0.64,743468,6.3,-4.35,-10.32,,,-13.24,16.3,1.06,1.42,,,-13.24
2006-06-14,19.64,19.85,1.32,0.23,4369,0.04,-3.37,-8.9,,,-12.1,24.3,1.13,1.39,,,-12.1
2006-06-15,19.96,20.51,3.3,0.53,22788,0.2,0.04,-5.75,,,-9.2,40.0,1.4,1.48,,,-9.2
2006-06-16,20.51,20.47,-0.17,0.0,42817,0.37,0.25,-3.64,,,-9.36,39.5,1.31,1.44,,,-9.36
2006-06-19,20.36,20.17,-1.48,-0.56,5062,0.04,1.44,-4.12,,,-10.7,35.6,1.33,1.47,,,-10.7
2006-06-20,20.16,20.1,-0.34,-0.04,7356,0.06,2.58,-4.92,,,-11.01,34.8,1.32,1.43,,,-11.01
2006-06-21,20.12,20.42,1.58,0.09,12662,0.11,2.84,-3.64,,,-9.6,41.6,1.38,1.44,,,-9.6
2006-06-22,20.29,20.27,-0.72,-0.62,6909,0.13,-1.16,-3.62,,,-10.25,39.5,1.38,1.43,,,-10.25
2006-06-23,20.12,20.27,0.0,-0.71,7826,0.14,-0.99,-2.83,,,-10.25,39.5,1.37,1.41,,,-10.25
2006-06-26,20.18,20.21,-0.3,-0.44,17025,0.31,0.19,-3.6,,,-10.53,38.6,1.36,1.36,,,-10.53
2006-06-27,20.25,19.98,-1.14,0.2,5755,0.11,-0.6,-5.24,,,-11.54,35.3,1.37,1.39,,,-11.54
2006-06-28,19.93,19.9,-0.37,-0.24,4610,0.09,-2.51,-4.33,,,-11.87,34.2,1.35,1.36,,,-11.87
2006-06-29,20.26,20.44,2.68,1.81,9898,0.19,0.84,-2.28,,,-9.5,46.4,1.48,1.42,,,-9.5
