date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-09-27,7.18,7.18,,,0,,,,,,0.0,,,0.0,,,
2005-09-28,7.27,7.44,3.6,1.15,5385952,,,,,,3.6,,,0.42,,,
2005-09-29,7.38,7.24,-2.74,-0.8,1698883,,,,,,0.77,94.3,,0.72,,,
2005-09-30,7.28,7.27,0.38,0.53,311869,,,,,,1.15,94.3,,0.97,,,
2005-10-03,7.27,7.2,-0.92,0.0,470078,,,,,,0.22,92.3,,0.99,,,
2005-10-04,7.22,7.2,0.0,0.23,88532,,0.22,,,,0.22,92.3,,1.0,,,
2005-10-05,7.18,7.07,-1.76,-0.22,411624,,-4.97,,,,-1.55,88.2,,1.13,,,
2005-10-06,6.96,7.12,0.71,-1.56,226306,,-1.6,,,,-0.85,88.5,,1.2,,,
2005-10-07,7.18,7.05,-1.01,0.86,192298,,-2.97,,,,-1.85,86.0,,1.31,,,
2005-10-10,7.07,6.91,-2.04,0.31,106416,,-4.06,,,,-3.85,81.1,,1.48,,,
2005-10-11,6.88,6.82,-1.2,-0.39,471472,,-5.21,,,,-5.0,78.4,,1.73,,,
2005-10-12,7.05,6.79,-0.56,3.24,73024,,-4.06,,,,-5.54,77.1,,1.96,,,
2005-10-13,6.74,6.69,-1.39,-0.66,51973,,-6.06,,,,-6.85,73.8,,2.24,,,
2005-10-14,6.69,6.77,1.15,0.0,36824,,-4.0,,,,-5.78,74.8,,2.22,,,
2005-10-17,6.69,6.54,-3.34,-1.22,133820,,-5.27,,,,-8.92,67.2,,2.7,,,
2005-10-18,6.58,6.63,1.34,0.5,62237,,-2.84,,,,-7.7,68.5,,2.62,,,
2005-10-19,6.44,6.49,-2.17,-2.83,183003,,-4.4,,,,-9.7,63.9,,2.76,,,
2005-10-20,6.55,6.58,1.36,0.94,51290,,-1.73,,,,-8.47,65.5,,2.69,,,
2005-10-21,6.49,6.58,0.08,-1.26,21991,,-2.77,,,,-8.39,65.6,,2.65,,,
2005-10-24,6.58,6.52,-0.92,-0.08,78912,0.16,-0.34,,,,-9.24,63.4,,2.57,,,-12.39
2005-10-25,6.55,6.64,1.78,0.51,106060,0.21,0.09,,,,-7.62,65.7,,2.7,,,-10.84
