date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2000-01-03,4.63,4.65,-0.31,-0.68,1232192,0.83,0.56,-4.76,5.4,-13.54,0.0,46.8,1.37,2.87,-1.33,-6.79,-18.68
2000-01-04,4.61,4.55,-2.06,-0.81,1667048,1.21,-3.68,-8.35,1.61,-14.08,-2.06,41.7,1.34,3.04,-3.38,-8.63,-20.36
2000-01-05,4.53,4.54,-0.25,-0.45,1608474,1.15,-1.94,-6.84,1.75,-17.41,-2.31,41.1,1.3,2.94,-3.54,-8.78,-20.56
2000-01-06,4.55,4.54,0.0,0.25,1132961,0.8,-3.69,-5.66,0.57,-14.01,-2.31,41.1,1.29,2.83,-3.57,-8.7,-20.56
2000-01-07,4.58,4.77,4.98,0.83,1915139,1.33,2.24,-1.27,4.78,-12.33,2.55,55.3,1.72,2.86,1.18,-4.12,-16.61
2000-01-10,4.77,4.85,1.64,0.0,4488416,2.82,4.24,0.35,4.11,-8.7,4.24,59.0,1.76,2.98,2.78,-2.51,-15.24
2000-01-11,4.83,4.68,-3.35,-0.35,3216941,1.97,2.87,-1.65,1.45,-13.46,0.75,49.8,1.89,3.23,-0.65,-5.73,-18.07
2000-01-12,4.72,4.72,0.68,0.68,1123312,0.7,3.83,0.68,2.72,-12.73,1.43,51.4,1.86,3.1,0.04,-5.06,-17.52
2000-01-13,4.75,4.77,1.1,0.81,1440318,0.88,4.98,1.1,6.0,-12.33,2.55,54.0,1.87,3.06,1.13,-3.99,-16.61
2000-01-14,4.74,4.75,-0.29,-0.54,1391386,0.84,-0.29,1.49,6.3,-12.31,2.25,53.2,1.86,2.98,0.82,-4.26,-16.85
2000-01-18,4.69,4.85,1.94,-1.34,1724248,1.04,0.0,3.08,6.77,-11.6,4.24,57.7,1.9,2.98,2.69,-2.4,-15.24
2000-01-19,4.78,4.72,-2.69,-1.43,3409214,1.91,0.68,0.68,4.23,-11.6,1.43,50.3,2.0,3.2,-0.14,-5.0,-17.52
2000-01-20,4.71,4.68,-0.86,-0.12,1239775,0.71,-0.86,0.0,0.87,-15.22,0.56,48.2,2.01,3.18,-1.04,-5.79,-18.23
2000-01-21,4.68,4.57,-2.29,0.0,1468570,0.84,-4.2,0.0,0.19,-14.08,-1.75,43.1,2.01,3.25,-3.33,-7.92,-20.11
2000-01-24,4.55,4.27,-6.48,-0.32,4489794,2.35,-10.14,-6.83,-5.4,-21.58,-8.11,32.9,2.46,3.83,-9.52,-13.82,-25.28
2000-01-25,4.29,4.47,4.68,0.47,3183861,1.59,-7.72,-4.34,-5.46,-14.92,-3.81,42.8,2.65,3.82,-5.19,-9.74,-21.78
2000-01-26,4.44,4.32,-3.3,-0.77,2872367,1.37,-8.3,-6.46,-3.5,-18.8,-6.99,38.3,2.73,4.03,-8.19,-12.67,-24.36
2000-01-27,4.31,4.43,2.48,-0.34,1584347,0.77,-5.21,-6.26,-4.8,-17.19,-4.68,43.0,2.74,3.9,-5.82,-10.44,-22.49
2000-01-28,4.38,4.38,-1.18,-1.18,1137097,0.54,-4.13,-5.45,-6.9,-15.41,-5.8,41.3,2.72,3.78,-6.81,-11.42,-23.4
2000-01-31,4.34,4.41,0.79,-0.87,1369338,0.66,3.32,-6.4,-6.4,-14.65,-5.06,42.9,2.69,3.7,-5.93,-10.63,-22.8
2000-02-01,4.41,4.39,-0.45,0.0,1128819,0.54,-1.75,-5.78,-7.46,-16.4,-5.49,42.2,2.68,3.63,-6.12,-10.93,-23.15
2000-02-02,4.39,4.39,-0.14,0.0,1370028,0.66,1.47,-5.62,-7.07,-13.85,-5.62,42.0,2.68,3.45,-6.04,-10.93,-23.25
2000-02-03,4.38,4.38,-0.19,-0.19,842139,0.42,-1.18,-3.82,-7.65,-14.89,-5.8,41.6,2.65,3.38,-6.05,-11.01,-23.4
2000-02-04,4.34,4.34,-0.87,-0.87,686392,0.34,-0.87,-4.41,-6.33,-14.85,-6.62,40.1,2.65,3.27,-6.7,-11.68,-24.06
2000-02-07,4.32,4.29,-1.13,-0.39,1176374,0.6,-2.76,-5.5,-5.97,-16.16,-7.68,38.2,2.66,3.23,-7.6,-12.58,-24.92
2000-02-08,4.32,4.31,0.4,0.75,922768,0.52,-1.92,-9.61,-5.84,-14.36,-7.3,39.3,2.38,3.15,-7.04,-12.14,-24.62
2000-02-09,4.32,4.22,-2.08,0.34,1669809,0.98,-3.83,-12.92,-6.73,-15.56,-9.24,35.7,2.36,3.17,-8.78,-13.87,-26.19
2000-02-10,4.21,4.25,0.83,-0.21,1054398,0.62,-2.85,-9.16,-4.49,-15.01,-8.48,38.1,2.29,3.09,-7.78,-13.04,-25.58
2000-02-11,4.24,4.25,-0.21,-0.41,1657401,0.96,-2.21,-9.97,-9.97,-15.19,-8.68,37.7,2.28,2.96,-7.72,-13.13,-25.74
2000-02-14,4.24,4.17,-1.85,-0.2,1363133,0.79,-2.92,-12.6,-10.48,-15.59,-10.37,34.4,2.27,3.06,-9.15,-14.64,-27.12
2000-02-15,4.15,4.2,0.84,-0.4,1732521,1.01,-2.5,-11.61,-10.01,-16.36,-9.62,37.0,2.29,3.07,-8.08,-13.86,-26.5
2000-02-16,4.17,4.01,-4.56,-0.83,2729712,1.62,-4.96,-17.24,-14.0,-18.47,-13.74,29.9,2.37,3.39,-11.93,-17.65,-29.85
2000-02-17,4.03,3.98,-0.87,0.44,1660847,0.97,-6.56,-15.69,-16.72,-19.03,-14.48,28.8,2.34,3.42,-12.37,-18.25,-30.46
2000-02-18,3.91,3.82,-3.94,-1.75,3420934,1.9,-10.05,-18.31,-23.63,-21.24,-17.85,24.5,2.44,3.66,-15.45,-21.36,-33.2
2000-02-22,3.82,3.73,-2.28,0.0,3174214,1.83,-10.44,-18.3,-24.05,-23.59,-19.73,22.5,2.44,3.93,-16.98,-23.02,-34.73
2000-02-23,3.67,3.52,-5.6,-1.62,2086050,1.24,-16.16,-17.54,-26.43,-29.63,-24.22,18.6,2.34,4.4,-21.19,-27.19,-38.38
2000-02-24,3.57,3.55,0.75,1.24,3528439,2.06,-11.5,-20.63,-25.47,-27.33,-23.65,20.5,2.01,4.61,-20.19,-26.49,-37.92
2000-02-25,3.54,3.24,-8.59,-0.25,3296879,1.83,-18.39,-24.97,-30.43,-32.53,-30.21,15.9,2.56,5.62,-26.56,-32.64,-43.25
2000-02-28,3.23,3.4,4.83,-0.55,3902640,2.01,-10.94,-23.24,-29.06,-29.94,-26.84,25.2,2.77,5.4,-22.56,-29.24,-40.51
