date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2000-01-03,21.9,23.11,-5.46,-10.44,8258152,3.67,-0.62,-2.96,-12.54,-20.24,0.0,43.4,2.0,3.43,-4.4,-11.83,-21.45
2000-01-04,23.02,22.07,-4.52,-0.39,3699005,1.6,-7.69,-9.22,-16.8,-24.02,-4.52,36.2,2.15,3.73,-8.47,-15.78,-25.0
2000-01-05,22.07,22.34,1.24,0.0,3106021,1.35,-6.34,-9.52,-15.46,-23.26,-3.33,39.1,2.13,3.67,-7.08,-14.71,-24.07
2000-01-06,22.03,22.19,-0.68,-1.39,2693787,1.14,-6.45,-9.5,-16.97,-23.48,-3.99,38.1,2.13,3.58,-7.47,-15.28,-24.59
2000-01-07,22.57,23.62,6.42,1.71,4246269,1.72,-3.41,-2.34,-15.97,-18.7,2.17,50.9,2.59,3.56,-1.41,-9.85,-19.75
2000-01-10,23.65,24.07,1.92,0.14,2453316,0.97,4.13,1.63,-15.04,-15.39,4.13,54.2,2.59,3.4,0.6,-8.15,-18.21
2000-01-11,24.05,23.81,-1.07,-0.09,2243765,0.88,7.88,3.52,-17.08,-12.69,3.01,52.1,2.51,3.46,-0.3,-9.15,-19.09
2000-01-12,23.81,23.52,-1.22,0.0,1787667,0.71,5.26,0.8,-15.38,-12.95,1.75,49.7,2.51,3.42,-1.28,-10.28,-20.08
2000-01-13,23.52,24.72,5.1,0.0,3529882,1.38,11.39,4.67,-9.28,-8.31,6.94,58.1,2.73,3.44,3.92,-5.75,-16.0
2000-01-14,24.81,24.42,-1.19,0.37,1625418,0.63,3.42,2.25,-10.36,-10.13,5.67,55.7,2.74,3.38,2.8,-6.91,-17.0
2000-01-18,23.98,23.36,-4.35,-1.82,1869845,0.76,-2.93,-0.78,-10.55,-13.53,1.08,47.8,2.9,3.61,-1.5,-10.98,-20.61
2000-01-19,23.2,23.3,-0.28,-0.68,1650522,0.68,-2.15,-1.35,-11.2,-13.7,0.79,47.3,2.9,3.52,-1.64,-11.25,-20.83
2000-01-20,23.52,22.77,-2.25,0.95,1168784,0.48,-3.17,-2.56,-12.59,-18.33,-1.48,43.8,2.93,3.64,-3.77,-13.26,-22.61
2000-01-21,23.25,22.6,-0.76,2.1,3066389,1.2,-8.57,-2.9,-12.64,-19.24,-2.22,42.7,2.93,3.67,-4.38,-13.93,-23.2
