date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2020-07-10,15.13,13.42,,,2404913,,,,,,0.0,,,23.77,,,
2020-07-13,12.97,10.85,-19.15,-3.35,1019778,,,,,,-19.15,0.0,,29.55,,,
2020-07-14,11.21,9.87,-9.03,3.32,915017,,,,,,-26.45,0.0,,31.81,,,
2020-07-15,10.37,11.2,13.48,5.07,400224,,,,,,-16.54,4.0,,26.88,,,
2020-07-16,11.01,11.39,1.7,-1.7,165654,,,,,,-15.13,4.6,,25.45,,,
2020-07-17,11.37,11.27,-1.05,-0.18,65625,,-16.02,,,,-16.02,4.6,,24.39,,,
2020-07-20,11.1,11.22,-0.44,-1.51,15511,,3.41,,,,-16.39,4.6,,22.92,,,
2020-07-21,11.01,11.26,0.36,-1.87,25886,,14.08,,,,-16.1,4.7,,21.53,,,
2020-07-22,11.22,10.84,-3.73,-0.36,51745,,-3.21,,,,-19.23,4.6,,21.32,,,
2020-07-23,11.11,11.08,2.21,2.49,25647,,-2.72,,,,-17.44,5.7,,19.6,,,
2020-07-24,10.73,10.52,-5.05,-3.16,5548,,-6.65,,,,-21.61,5.5,,19.55,,,
2020-07-27,10.71,10.75,2.19,1.81,12103,,-4.19,,,,-19.9,6.6,,18.08,,,
2020-07-28,10.6,10.91,1.49,-1.4,58250,,-3.11,,,,-18.7,7.4,,16.84,,,
2020-07-29,10.74,10.74,-1.56,-1.56,49402,,-0.92,,,,-19.97,7.3,,16.21,,,
2020-07-30,10.36,10.15,-5.49,-3.54,28056,,-8.39,,,,-24.37,7.1,,16.55,,,
2020-07-31,10.17,10.19,0.39,0.2,68540,,-3.14,,,,-24.07,7.3,,15.58,,,
2020-08-03,10.08,10.24,0.49,-1.08,57703,,-4.74,,,,-23.7,7.6,,14.95,,,
