date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,25.48,25.94,,,1049441,,,,,,0.0,,,2.24,,,
2005-02-28,25.84,25.83,-0.43,-0.39,1218895,,,,,,-0.43,0.0,,2.15,,,
2005-03-01,25.74,25.8,-0.13,-0.35,721156,,,,,,-0.56,0.0,,2.05,,,
2005-03-02,25.82,25.84,0.17,0.1,531763,,,,,,-0.39,3.1,,1.97,,,
2005-03-03,25.78,25.41,-1.69,-0.25,720933,,,,,,-2.07,2.4,,2.09,,,
2005-03-04,25.49,25.91,1.97,0.34,654193,,-0.14,,,,-0.14,25.3,,2.07,,,
2005-03-07,25.81,26.03,0.46,-0.4,516593,,0.74,,,,0.31,29.5,,2.0,,,
2005-03-08,26.03,25.86,-0.63,0.0,949330,,0.24,,,,-0.32,27.3,,1.98,,,
2005-03-09,25.86,25.24,-2.39,0.0,913791,,-2.32,,,,-2.7,20.7,,2.07,,,
2005-03-10,25.34,24.88,-1.43,0.38,860917,,-2.07,,,,-4.1,18.0,,2.1,,,
2005-03-11,24.97,24.87,-0.04,0.34,240529,,-4.0,,,,-4.13,17.9,,2.04,,,
2005-03-14,24.92,24.87,0.0,0.19,446386,,-4.43,,,,-4.13,17.9,,1.98,,,
2005-03-15,24.87,24.81,-0.25,0.0,1136333,,-4.06,,,,-4.37,17.4,,1.91,,,
2005-03-16,24.71,24.59,-0.9,-0.4,416050,,-2.6,,,,-5.23,15.8,,1.87,,,
2005-03-17,24.62,24.81,0.91,0.15,502294,,-0.28,,,,-4.37,23.6,,1.82,,,
2005-03-18,24.69,25.02,0.84,-0.48,997004,,0.59,,,,-3.57,30.2,,1.8,,,
2005-03-21,24.92,24.91,-0.44,-0.4,727869,,0.15,,,,-3.99,28.8,,1.74,,,
2005-03-22,24.86,25.36,1.82,-0.22,930258,,2.23,,,,-2.24,41.0,,1.74,,,
2005-03-23,25.36,25.4,0.14,0.0,940879,,3.3,,,,-2.11,41.8,,1.74,,,
2005-03-24,25.32,24.73,-2.64,-0.31,1019537,1.32,-0.33,,,,-4.69,32.4,,1.87,,,-4.98
2005-03-28,24.6,24.44,-1.17,-0.53,761024,1.0,-2.32,,,,-5.8,29.4,,1.93,,,-6.09
2005-03-29,24.48,23.77,-2.76,0.15,715731,0.97,-4.59,-8.4,,,-8.4,23.7,1.3,2.08,,,-8.68
2005-03-30,23.7,23.98,0.89,-0.28,679980,0.93,-5.47,-7.19,,,-7.58,28.4,1.33,2.06,,,-7.87
