date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2020-11-11,10.95,10.99,,,29173,,,,,,0.0,,,4.55,,,
2020-11-12,11.4,10.62,-3.37,3.73,13403,,,,,,-3.37,0.0,,5.0,,,
2020-11-13,10.9,10.71,0.85,2.64,3246,,,,,,-2.55,1.8,,4.79,,,
2020-11-16,10.9,10.7,-0.09,1.77,26534,,,,,,-2.64,1.8,,4.84,,,
2020-11-17,10.75,10.6,-0.93,0.47,198245,,,,,,-3.55,1.8,,4.92,,,
2020-11-18,10.74,10.62,0.19,1.32,47725,,-3.37,,,,-3.37,2.3,,4.8,,,
2020-11-19,10.81,10.65,0.28,1.79,456714,,0.28,,,,-3.09,3.1,,4.69,,,
2020-11-20,10.61,10.75,0.94,-0.38,295021,,0.37,,,,-2.18,5.7,,4.54,,,
2020-11-23,11.19,10.75,0.0,4.09,176468,,0.47,,,,-2.18,5.7,,4.64,,,
2020-11-24,11.38,10.89,1.3,5.86,130991,,2.74,,,,-0.91,9.8,,4.67,,,
2020-11-25,11.24,10.93,0.37,3.21,95207,,2.92,,,,-0.55,11.0,,4.56,,,
2020-11-27,11.09,11.25,2.93,1.46,87511,,5.63,,,,2.37,20.0,,4.4,,,
2020-11-30,12.0,11.25,0.0,6.67,216173,,4.65,,,,2.37,20.0,,4.71,,,
2020-12-01,11.42,11.0,-2.22,1.51,103840,,2.33,,,,0.09,18.3,,4.81,,,
2020-12-02,11.26,11.02,0.18,2.36,75619,,1.19,,,,0.27,18.9,,4.75,,,
2020-12-03,11.22,11.0,-0.18,1.81,128683,,0.64,,,,0.09,18.7,,4.57,,,
2020-12-04,11.2,11.09,0.8,1.82,191169,,-1.44,,,,0.9,21.6,,4.53,,,
2020-12-07,11.2,11.07,-0.17,1.01,204387,,-1.6,,,,0.73,21.4,,4.39,,,
2020-12-08,11.2,11.11,0.36,1.17,260394,,1.0,,,,1.09,22.8,,4.33,,,
2020-12-09,11.39,11.29,1.62,2.52,1011105,5.39,2.45,,,,2.73,29.0,,4.19,,,0.0
2020-12-10,11.35,11.21,-0.71,0.53,596705,2.76,1.91,,,,2.0,28.0,,4.08,,,-0.71
2020-12-11,11.3,11.22,0.09,0.8,830510,3.23,1.19,2.09,,,2.09,28.3,1.29,3.95,,,-0.62
2020-12-14,11.24,11.15,-0.62,0.18,654443,2.26,0.72,4.99,,,1.46,27.3,1.03,3.94,,,-1.24
2020-12-15,11.23,11.18,0.27,0.72,335118,1.1,0.63,4.39,,,1.73,28.5,1.02,3.76,,,-0.97
2020-12-16,11.24,11.11,-0.63,0.54,244835,0.8,-1.59,3.83,,,1.09,27.4,1.03,3.64,,,-1.59
2020-12-17,11.06,11.12,0.09,-0.45,283068,0.89,-0.8,4.91,,,1.18,27.8,1.0,3.46,,,-1.51
2020-12-18,11.22,11.3,1.62,0.9,152680,0.5,0.71,6.4,,,2.82,35.4,1.05,3.33,,,0.0
2020-12-21,11.39,11.3,0.0,0.8,807141,2.45,1.35,6.1,,,2.82,35.4,1.05,3.28,,,0.0
2020-12-22,11.55,11.56,2.3,2.21,444048,1.3,3.4,7.53,,,5.19,45.0,1.13,3.23,,,0.0
2020-12-23,11.65,11.7,1.21,0.78,398693,1.12,5.31,8.84,,,6.46,49.4,1.14,3.09,,,0.0
2020-12-24,11.88,11.75,0.43,1.54,295640,0.81,5.67,7.9,,,6.92,50.9,1.12,3.07,,,0.0
2020-12-28,12.14,11.84,0.77,3.32,678221,1.71,4.78,8.33,,,7.73,53.6,1.13,3.15,,,0.0
2020-12-29,11.9,11.53,-2.62,0.51,625193,1.5,2.04,2.49,,,4.91,44.6,1.15,3.37,,,-2.62
2020-12-30,11.3,11.36,-1.47,-1.99,361234,0.84,-1.73,0.98,,,3.37,40.5,1.2,3.37,,,-4.05
2020-12-31,11.44,11.56,1.76,0.7,319816,0.72,-1.2,5.09,,,5.19,46.6,1.14,3.24,,,-2.36
2021-01-04,11.75,11.59,0.26,1.64,361133,0.8,-1.36,5.17,,,0.0,47.5,1.14,3.29,,,-2.11
2021-01-05,11.78,11.47,-1.04,1.64,216267,0.48,-3.12,4.27,,,-1.04,44.4,1.17,3.41,,,-3.12
2021-01-06,11.63,11.17,-2.62,1.39,597096,1.26,-3.12,0.73,,,-3.62,37.7,1.31,3.63,,,-5.66
2021-01-07,11.3,11.47,2.69,1.16,900636,1.78,0.97,3.61,,,-1.04,46.4,1.43,3.49,,,-3.12
2021-01-08,11.52,11.75,2.44,0.44,731684,1.49,1.64,5.76,,,1.38,53.0,1.51,3.42,,,-0.76
2021-01-11,11.75,11.79,0.34,0.0,391598,0.81,1.73,4.43,,,1.73,53.8,1.48,3.31,,,-0.42
2021-01-12,11.66,11.97,1.53,-1.1,909461,1.87,4.36,6.78,,,3.28,57.7,1.49,3.24,,,0.0
2021-01-13,12.13,12.17,1.67,1.34,965698,1.93,8.95,8.47,,,5.0,61.5,1.52,3.32,,,0.0
2021-01-14,12.5,12.22,0.41,2.71,882705,1.67,6.54,9.6,,,5.44,62.4,1.5,3.43,,,0.0
2021-01-15,12.35,11.9,-2.62,1.06,668051,1.22,1.28,6.44,,,2.67,53.6,1.64,3.6,,,-2.62
2021-01-19,12.12,12.1,1.68,1.85,1080005,1.83,2.63,8.91,,,4.4,57.6,1.66,3.49,,,-0.98
2021-01-20,12.24,13.52,11.74,1.16,1514754,2.3,12.95,21.58,,,16.65,74.4,2.97,3.73,,,0.0
2021-01-21,13.3,13.71,1.41,-1.63,1281958,1.88,12.65,21.33,,,18.29,75.8,2.97,3.93,,,0.0
2021-01-22,13.7,13.95,1.75,-0.07,1062500,1.49,14.16,23.45,,,20.36,77.5,2.96,3.84,,,0.0
2021-01-25,13.91,13.45,-3.58,-0.29,1026369,1.38,13.03,16.35,,,16.05,67.2,3.11,4.27,17.28,,-3.58
2021-01-26,13.44,12.74,-5.28,-0.07,1200643,1.52,5.29,8.89,,,9.92,55.8,3.38,4.9,10.75,,-8.67
2021-01-27,12.25,12.12,-4.87,-3.85,1380475,1.68,-10.36,3.15,,,4.57,48.1,3.57,5.46,5.09,,-13.12
2021-01-28,12.21,12.19,0.58,0.74,799201,0.96,-11.09,2.96,,,5.18,49.0,3.57,5.39,5.42,,-12.62
2021-01-29,12.03,12.26,0.57,-1.31,483884,0.58,-12.11,6.33,,,5.78,49.9,3.51,5.3,5.74,,-12.11
2021-02-01,12.4,12.78,4.24,1.14,1499177,1.67,-4.98,12.5,,,10.27,56.0,3.58,5.11,9.82,,-8.39
2021-02-02,13.0,12.81,0.23,1.72,1012985,1.09,0.55,10.81,,,10.53,56.3,3.58,4.95,9.66,,-8.17
2021-02-03,12.96,13.02,1.64,1.17,561438,0.59,7.43,12.34,,,12.34,58.7,3.58,4.7,11.01,,-6.67
2021-02-04,13.03,12.73,-2.23,0.08,814117,0.85,4.43,10.99,,,9.84,54.3,3.62,4.91,8.17,,-8.75
2021-02-05,12.75,13.02,2.28,0.16,2500357,2.41,6.2,16.56,,,12.34,57.7,3.56,4.72,10.21,,-6.67
2021-02-08,14.27,13.94,7.07,9.6,6329922,4.8,9.08,21.53,,,20.28,66.2,3.8,4.8,17.39,,-0.07
2021-02-09,13.9,13.69,-1.79,-0.29,1783254,1.28,6.87,16.51,,,18.12,62.5,3.83,4.89,14.75,,-1.86
2021-02-10,13.7,13.43,-1.9,0.07,1047373,0.75,3.15,13.91,,,15.88,58.9,3.88,5.01,12.16,,-3.73
2021-02-11,13.85,13.64,1.56,3.13,2440516,1.66,7.15,13.95,,,17.69,60.9,3.88,4.87,13.46,,-2.22
2021-02-12,14.86,14.49,6.23,8.94,5636191,3.3,11.29,19.06,31.85,,25.02,67.7,4.06,5.17,19.84,,0.0
2021-02-16,15.78,15.7,8.35,8.9,4004581,2.14,12.63,28.48,47.83,,35.46,74.5,4.37,5.57,28.85,,0.0
2021-02-17,16.1,15.33,-2.36,2.55,1897896,0.99,11.98,28.82,43.14,,32.27,69.7,4.35,5.8,24.92,,-2.36
2021-02-18,15.1,14.93,-2.61,-1.5,1863769,0.97,11.17,23.39,39.53,,28.82,64.8,4.44,5.86,20.91,,-4.9
2021-02-19,15.02,15.12,1.27,0.6,1554311,0.8,10.85,11.83,42.64,,30.46,66.0,3.71,5.74,21.65,,-3.69
2021-02-22,15.26,14.63,-3.24,0.93,1535485,0.78,0.97,6.71,37.76,,26.23,60.2,3.8,6.1,17.04,,-6.82
2021-02-23,13.64,12.94,-11.55,-6.77,3276395,1.57,-17.58,-7.24,21.5,,11.65,45.4,4.58,7.49,3.25,,-17.58
2021-02-24,14.12,13.46,4.02,9.12,25003862,7.64,-12.2,0.07,25.21,,16.13,49.5,4.61,7.44,7.02,,-14.27
2021-02-25,13.45,12.0,-10.85,-0.07,9221993,2.52,-19.62,-5.81,11.63,,3.54,40.3,5.07,8.7,-4.71,,-23.57
2021-02-26,12.4,11.74,-2.17,3.33,6987127,1.76,-22.35,-3.14,7.81,,1.29,38.9,4.98,8.87,-6.86,,-25.22
2021-03-01,12.39,11.9,1.36,5.54,4919790,1.17,-18.66,-2.38,8.87,,2.67,40.3,4.99,8.75,-5.7,,-24.2
2021-03-02,12.0,11.29,-5.13,0.84,3686959,0.86,-12.75,-7.91,0.36,,-2.59,36.9,5.11,9.07,-10.56,,-28.09
2021-03-03,11.35,10.71,-5.14,0.53,5735550,1.26,-20.43,-16.2,-4.8,,-7.59,34.0,5.1,9.34,-15.1,,-31.78
2021-03-04,10.73,10.65,-0.56,0.19,4705103,0.99,-11.25,-16.86,-3.18,,-8.11,33.7,5.1,9.09,-15.49,,-32.17
2021-03-05,10.68,11.02,3.47,0.28,4121685,0.84,-6.13,-15.36,0.0,,-4.92,37.3,5.16,8.55,-12.51,,-29.81
2021-03-08,11.22,10.69,-2.99,1.81,2313444,0.47,-10.17,-16.03,-2.82,,-7.77,35.4,5.17,8.67,-15.02,,-31.91
2021-03-09,10.97,10.85,1.5,2.62,2745023,0.58,-3.9,-16.67,-2.15,,-6.38,37.1,5.15,8.27,-13.63,,-30.89
2021-03-10,10.89,10.98,1.2,0.37,2205030,0.46,2.52,-21.23,-0.81,,-5.26,38.5,4.86,7.88,-12.48,,-30.06
2021-03-11,11.2,11.28,2.73,2.0,1626096,0.34,5.92,-17.6,1.53,,-2.67,41.6,4.92,7.38,-10.01,,-28.15
2021-03-12,10.99,11.01,-2.39,-2.57,829163,0.18,-0.09,-18.02,-2.48,,-5.0,39.6,4.93,7.23,-12.09,,-29.87
