date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2018-10-04,10.0,10.16,,,2409436,,,,,,0.0,,,13.58,,,
2018-10-05,10.35,10.43,2.66,1.87,192292,,,,,,2.66,,,12.76,,,
2018-10-08,10.5,10.02,-3.93,0.67,117958,,,,,,-1.38,89.5,,13.22,,,
2018-10-09,9.9,9.9,-1.2,-1.2,44275,,,,,,-2.56,86.7,,12.72,,,
2018-10-10,9.96,9.7,-2.02,0.61,79973,,,,,,-4.53,82.0,,12.32,,,
2018-10-11,9.95,9.9,2.06,2.58,30689,,-2.56,,,,-2.56,83.0,,11.44,,,
2018-10-12,10.1,10.05,1.52,2.02,52096,,-3.64,,,,-1.08,83.7,,10.61,,,
2018-10-15,10.05,9.98,-0.7,0.0,28175,,-0.4,,,,-1.77,81.9,,10.03,,,
2018-10-16,10.2,9.97,-0.1,2.2,34365,,0.71,,,,-1.87,81.7,,9.54,,,
2018-10-17,9.85,9.89,-0.8,-1.2,22333,,1.96,,,,-2.66,79.5,,9.04,,,
2018-10-18,9.84,9.74,-1.52,-0.51,118871,,-1.62,,,,-4.13,75.4,,8.84,,,
2018-10-19,9.85,9.7,-0.41,1.13,50498,,-3.48,,,,-4.53,74.3,,8.73,,,
2018-10-22,9.76,9.88,1.86,0.62,75516,,-1.0,,,,-2.76,76.0,,8.34,,,
2018-10-23,9.75,9.61,-2.73,-1.32,42626,,-3.61,,,,-5.41,68.6,,8.32,,,
2018-10-24,9.64,9.27,-3.54,0.31,134393,,-6.27,,,,-8.76,60.7,,8.55,,,
2018-10-25,9.25,9.56,3.13,-0.22,42866,,-1.85,,,,-5.91,64.5,,8.21,,,
2018-10-26,9.59,9.98,4.39,0.31,37467,,2.89,,,,-1.77,69.1,,7.79,,,
2018-10-29,9.99,9.75,-2.3,0.1,93875,,-1.32,,,,-4.04,64.2,,8.04,,,
2018-10-30,9.73,9.88,1.33,-0.21,146831,,2.81,,,,-2.76,65.7,,7.85,,,
2018-10-31,9.94,9.91,0.3,0.61,152746,0.78,6.9,,,,-2.46,66.0,,7.44,,,-4.99
2018-11-01,9.9,9.99,0.81,-0.1,172189,2.06,4.5,,,,-1.67,67.0,,7.15,,,-4.22
2018-11-02,10.0,9.79,-2.0,0.1,45062,0.59,-1.9,-3.64,,,-3.64,62.2,2.26,7.15,,,-6.14
2018-11-05,9.82,9.39,-4.09,0.31,59953,0.82,-3.69,-9.97,,,-7.58,53.9,2.32,7.41,,,-9.97
2018-11-06,9.3,9.13,-2.77,-0.96,54302,0.74,-7.59,-8.88,,,-10.14,49.3,2.24,7.76,,,-12.46
2018-11-07,8.96,8.82,-3.4,-1.86,88736,1.2,-11.0,-10.91,,,-13.19,44.4,2.33,8.26,,,-15.44
2018-11-08,8.71,8.85,0.34,-1.25,32974,0.44,-11.41,-8.76,,,-12.89,45.0,2.31,7.88,,,-15.15
2018-11-09,8.36,8.64,-2.37,-5.54,68066,0.91,-11.75,-12.73,,,-14.96,41.8,2.28,8.03,,,-17.16
2018-11-12,8.64,8.0,-7.41,0.0,53387,0.7,-14.8,-20.4,,,-21.26,33.9,2.66,8.78,,,-23.3
2018-11-13,8.0,8.15,1.88,0.0,50963,0.66,-10.73,-18.34,,,-19.78,36.9,2.73,8.24,,,-21.86
2018-11-14,8.17,8.64,6.01,0.25,90720,1.13,-2.04,-13.34,,,-14.96,45.6,3.12,8.25,,,-17.16
2018-11-15,8.59,8.7,0.69,-0.58,37865,0.49,-1.69,-12.03,,,-14.37,46.6,3.14,8.17,,,-16.59
2018-11-16,8.54,9.56,9.89,-1.84,74958,0.96,10.65,-1.85,,,-5.91,58.2,3.87,7.97,,,-8.34
2018-11-19,9.6,8.79,-8.05,0.42,57348,0.75,9.87,-9.38,,,-13.48,48.1,4.25,8.77,,,-15.72
2018-11-20,8.04,7.77,-11.6,-8.53,113176,1.41,-4.66,-21.36,,,-23.52,38.6,4.86,10.29,,,-25.5
2018-11-21,7.8,9.77,25.74,0.39,39209,0.52,13.08,1.66,,,-3.84,56.7,7.57,9.06,,,-6.33
