date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2017-09-20,10.5,10.54,,,454403,,,,,,0.0,,,9.97,,,
2017-09-21,10.55,10.25,-2.71,0.14,70780,,,,,,-2.71,0.0,,9.97,,,
2017-09-22,10.23,10.06,-1.85,-0.2,168764,,,,,,-4.51,0.0,,9.63,,,
2017-09-25,10.18,9.75,-3.08,1.19,76475,,,,,,-7.45,0.0,,9.79,,,
2017-09-26,9.86,9.89,1.44,1.13,18573,,,,,,-6.12,3.7,,9.2,,,
2017-09-27,10.9,10.05,1.61,10.21,9008,,-4.61,,,,-4.61,7.9,,9.13,,,
2017-09-28,10.39,10.0,-0.49,3.39,17525,,-2.44,,,,-5.08,7.8,,8.89,,,
2017-09-29,9.82,9.97,-0.3,-1.8,14348,,-0.89,,,,-5.36,7.7,,8.5,,,
2017-10-02,10.0,9.98,0.1,0.3,18670,,2.36,,,,-5.27,8.0,,7.95,,,
2017-10-03,9.97,9.91,-0.7,-0.1,60938,,0.2,,,,-5.93,7.8,,7.52,,,
2017-10-04,9.89,9.9,-0.1,-0.2,6554,,-1.48,,,,-6.03,7.8,,7.09,,,
2017-10-05,9.82,10.06,1.62,-0.81,17818,,0.6,,,,-4.51,13.3,,6.66,,,
2017-10-06,10.06,9.94,-1.18,0.0,8605,,-0.29,,,,-5.64,12.7,,6.39,,,
2017-10-09,10.02,9.95,0.09,0.82,8746,,-0.3,,,,-5.55,13.0,,5.99,,,
2017-10-10,10.09,10.06,1.11,1.41,34268,,1.51,,,,-4.51,17.1,,5.81,,,
2017-10-11,10.03,10.1,0.4,-0.33,5501,,2.02,,,,-4.13,18.6,,5.43,,,
2017-10-12,10.0,10.01,-0.89,-0.99,2111,,-0.5,,,,-4.98,17.8,,5.17,,,
2017-10-13,10.11,10.0,-0.1,1.0,4255,,0.59,,,,-5.08,17.8,,4.88,,,
2017-10-16,9.96,9.56,-4.4,-0.4,17553,,-3.92,,,,-9.25,14.4,,5.1,,,
2017-10-17,9.55,9.71,1.57,-0.1,27173,0.52,-3.48,,,,-7.83,20.0,,4.99,,,-7.83
2017-10-18,9.83,11.19,15.24,1.24,164381,4.37,10.79,,,,6.22,52.9,,5.47,,,0.0
