date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2015-11-05,8.0,7.84,,,789300,,,,,,0.0,,,9.57,,,
2015-11-06,7.8,8.07,2.93,-0.51,69200,,,,,,2.93,,,9.07,,,
2015-11-09,8.23,8.7,7.81,1.98,81655,,,,,,10.97,,,8.57,,,
2015-11-10,8.71,8.35,-4.02,0.11,35100,,,,,,6.51,90.6,,9.15,,,
2015-11-11,8.2,8.65,3.59,-1.8,33900,,,,,,10.33,91.3,,8.61,,,
2015-11-12,8.54,8.69,0.46,-1.27,19200,,10.84,,,,10.84,91.4,,8.4,,,
2015-11-13,8.79,8.33,-4.14,1.15,29300,,3.22,,,,6.25,82.4,,8.6,,,
2015-11-16,8.4,8.16,-2.04,0.84,32100,,-6.21,,,,4.08,78.4,,8.45,,,
2015-11-17,8.35,7.56,-7.35,2.33,65400,,-9.46,,,,-3.57,66.3,,9.44,,,
2015-11-18,7.6,7.75,2.51,0.53,20000,,-10.4,,,,-1.15,68.0,,9.28,,,
2015-11-19,7.47,7.83,1.03,-3.61,9900,,-9.9,,,,-0.13,68.7,,8.87,,,
2015-11-20,7.72,8.25,5.36,-1.4,11200,,-0.96,,,,5.23,72.2,,8.56,,,
2015-11-23,7.98,8.1,-1.82,-3.27,37500,,-0.74,,,,3.32,69.2,,8.62,,,
2015-11-24,8.0,8.0,-1.23,-1.23,14000,,5.82,,,,2.04,67.2,,8.23,,,
2015-11-25,8.0,8.0,0.0,0.0,27000,,3.23,,,,2.04,67.2,,7.81,,,
2015-11-27,7.96,8.0,0.0,-0.5,4300,,2.17,,,,2.04,67.2,,7.33,,,
2015-11-30,7.99,7.77,-2.88,-0.12,3900,,-5.82,,,,-0.89,62.1,,7.47,,,
2015-12-01,7.5,8.0,2.96,-3.47,36021,,-1.23,,,,2.04,65.0,,7.18,,,
2015-12-02,7.9,7.98,-0.25,-1.25,2459,,-0.25,,,,1.79,64.5,,6.83,,,
2015-12-03,7.75,7.98,-0.0,-2.88,7378,0.11,-0.25,,,,1.78,64.5,,6.58,,,-8.28
2015-12-04,7.95,7.77,-2.63,-0.37,21600,0.77,-2.88,,,,-0.89,59.4,,6.74,,,-10.69
2015-12-07,7.98,7.36,-5.28,2.7,40000,1.5,-5.28,-6.12,,,-6.12,51.0,3.65,7.83,,,-15.4
2015-12-08,7.25,7.3,-0.82,-1.48,27467,1.15,-8.75,-9.54,,,-6.89,49.8,3.57,7.83,,,-16.09
2015-12-09,7.47,7.95,8.9,2.33,15100,0.66,-0.38,-8.62,,,1.4,60.1,3.71,7.49,,,-8.62
2015-12-10,7.63,8.0,0.63,-4.03,18600,0.84,0.25,-4.19,,,2.04,60.7,3.61,7.48,,,-8.05
2015-12-11,7.37,7.93,-0.88,-7.87,19800,0.89,2.06,-8.32,,,1.15,59.3,3.51,7.58,,,-8.85
2015-12-14,7.85,8.25,4.04,-1.01,67542,2.81,12.09,-5.06,,,5.23,63.6,3.64,7.43,,,-5.17
2015-12-15,8.36,8.21,-0.48,1.33,42200,1.72,12.47,-1.44,,,4.72,62.7,3.53,7.57,,,-5.63
2015-12-16,8.7,8.13,-0.97,5.97,64700,2.64,2.26,-0.37,,,3.7,60.9,3.5,8.03,,,-6.55
2015-12-17,8.11,8.01,-1.48,-0.25,42400,1.65,0.12,5.95,,,2.17,58.1,3.09,8.34,,,-7.93
2015-12-18,8.01,7.72,-3.62,0.0,219900,6.08,-2.65,-0.39,,,-1.53,51.9,3.17,9.19,,,-11.26
2015-12-21,7.54,7.33,-5.05,-2.33,15200,0.42,-11.15,-6.39,,,-6.51,44.9,3.34,9.49,,,-15.75
2015-12-22,7.57,7.29,-0.55,3.27,15297,0.43,-11.21,-11.64,,,-7.02,44.3,3.08,9.41,,,-16.21
2015-12-23,7.33,7.19,-1.37,0.55,15200,0.43,-11.56,-11.23,,,-8.29,42.6,3.08,9.25,,,-17.36
2015-12-24,7.22,6.96,-3.18,0.42,7936,0.23,-13.09,-12.99,,,-11.21,39.0,3.13,9.18,,,-19.99
2015-12-28,7.01,6.86,-1.45,0.7,11291,0.33,-11.14,-14.25,,,-12.5,37.5,3.13,9.06,,,-21.15
2015-12-29,6.96,7.01,2.19,1.46,15684,0.44,-4.37,-12.38,,,-10.59,41.1,3.19,8.6,,,-19.43
2015-12-30,7.26,7.28,3.85,3.57,62959,1.72,-0.14,-6.31,,,-7.14,47.1,3.28,8.07,,,-16.32
2015-12-31,7.75,8.4,15.38,6.46,134982,3.12,16.83,5.0,,,7.14,63.7,4.7,7.45,,,-3.45
2016-01-04,8.58,8.6,2.38,2.14,81406,1.73,23.54,7.77,,,0.0,65.7,4.72,7.26,,,-1.15
2016-01-05,8.9,8.15,-5.23,3.49,25149,0.53,18.8,2.13,,,-5.23,57.8,4.88,7.87,,,-6.32
2016-01-06,8.15,7.09,-13.01,0.0,43459,0.92,1.14,-8.75,,,-17.56,44.2,5.65,9.65,,,-18.51
2016-01-07,7.02,6.93,-2.26,-0.99,25532,0.54,-4.81,-5.84,,,-19.42,42.6,5.55,9.61,,,-20.34
2016-01-08,6.89,6.98,0.72,-0.58,29600,0.62,-16.9,-4.38,,,-18.84,43.3,5.56,10.07,,,-19.77
2016-01-11,7.02,6.98,0.0,0.57,74457,1.47,-18.84,-12.2,,,-18.84,43.3,5.16,10.34,,,-19.77
2016-01-12,7.08,7.09,1.58,1.43,15231,0.3,-13.01,-11.38,,,-17.56,45.0,5.18,9.96,,,-18.51
2016-01-13,7.1,6.79,-4.23,0.14,17939,0.37,-4.23,-14.38,,,-21.05,41.3,5.24,10.13,,,-21.95
2016-01-14,6.77,6.47,-4.71,-0.34,27082,0.57,-6.64,-21.58,,,-24.77,37.8,5.2,10.79,,,-25.63
2016-01-15,6.5,5.97,-7.73,0.46,106488,2.16,-14.47,-27.28,,,-30.58,33.0,5.4,11.92,,,-31.38
2016-01-19,6.55,5.6,-6.2,9.72,108800,2.07,-19.77,-31.12,,,-34.88,30.0,5.5,13.39,-27.01,,-35.63
2016-01-20,5.7,4.86,-13.21,1.79,121063,2.54,-31.45,-39.33,,,-43.49,25.1,6.05,16.22,-36.16,,-44.14
2016-01-21,4.66,4.67,-3.91,-4.12,26614,0.55,-31.22,-39.51,,,-45.7,24.0,6.06,16.45,-38.1,,-46.32
2016-01-22,5.35,5.2,11.35,14.56,87341,1.68,-19.63,-29.06,,,-39.53,32.8,6.69,15.15,-30.43,,-40.23
2016-01-25,5.3,5.27,1.35,1.92,21495,0.41,-11.73,-27.71,,,-38.72,33.9,6.72,14.66,-28.91,,-39.43
2016-01-26,5.22,5.37,1.9,-0.95,32783,0.61,-4.11,-25.31,,,-37.56,35.5,6.76,14.47,-26.91,,-38.28
2016-01-27,5.16,4.77,-11.17,-3.91,43925,0.8,-1.85,-31.48,,,-44.53,30.7,7.09,16.28,-34.38,,-45.17
2016-01-28,4.78,4.67,-2.1,0.21,38423,0.68,0.0,-31.92,,,-45.7,29.9,7.09,16.55,-35.1,,-46.32
2016-01-29,4.61,4.8,2.78,-1.28,22785,0.42,-7.69,-31.53,,,-44.19,32.2,7.11,15.85,-32.67,,-44.83
2016-02-01,5.18,4.53,-5.62,7.92,37132,0.75,-14.04,-37.77,,,-47.33,30.0,7.05,16.63,-35.91,,-47.93
