date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2023-05-22,8.5,15.4,,,8200,,,,,,0.0,,,61.69,,,
2023-05-23,28.45,10.86,-29.49,84.74,24473,,,,,,-29.49,0.0,,92.84,,,
2023-05-24,17.82,21.97,102.32,64.11,194900,,,,,,42.66,15.8,,47.53,,,
2023-05-25,18.62,14.49,-34.04,-15.25,91700,,,,,,-5.9,14.2,,71.36,,,
2023-05-26,14.58,14.73,1.65,0.61,26600,,,,,,-4.34,14.5,,66.26,,,
2023-05-30,14.86,14.84,0.71,0.88,47685,,-3.67,,,,-3.67,14.7,,62.46,,,
2023-05-31,13.09,12.0,-19.11,-11.76,39481,,10.51,,,,-22.08,14.0,,74.11,,,
2023-06-01,12.01,12.18,1.5,0.08,69411,,-44.56,,,,-20.91,14.2,,70.87,,,
2023-06-02,11.64,12.33,1.23,-4.43,15655,,-14.92,,,,-19.94,14.5,,66.38,,,
2023-06-05,12.5,10.8,-12.41,1.38,74968,,-26.69,,,,-29.87,14.1,,73.64,,,
2023-06-06,11.0,10.4,-3.7,1.85,28744,,-29.9,,,,-32.47,13.9,,72.19,,,
2023-06-07,10.4,9.95,-4.33,0.0,26247,,-17.08,,,,-35.39,13.8,,71.07,,,
2023-06-08,10.23,9.93,-0.2,2.81,26697,,-18.47,,,,-35.52,13.8,,66.89,,,
2023-06-09,9.97,9.8,-1.34,0.4,10471,,-20.54,,,,-36.38,13.7,,63.48,,,
2023-06-12,9.59,9.8,0.03,-2.11,23253,,-9.26,,,,-36.36,13.7,,59.57,,,
2023-06-13,10.15,10.45,6.63,3.57,19193,,0.48,,,,-32.14,15.4,,53.0,,,
2023-06-14,11.05,17.73,69.67,5.74,2199550,,78.19,,,,15.13,31.2,,35.44,,,
2023-06-15,17.06,16.39,-7.56,-3.78,159690,,65.06,,,,6.43,30.1,,37.7,,,
