date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2010-12-13,250.0,249.8,,,31442,,,,,,0.0,,,4.24,,,
2010-12-14,251.5,243.7,-2.44,0.68,34319,,,,,,-2.44,0.0,,4.31,,,
2010-12-15,241.3,244.0,0.12,-0.98,16113,,,,,,-2.32,0.4,,4.26,,,
2010-12-16,243.0,262.0,7.38,-0.41,21594,,,,,,4.88,19.9,,4.27,,,
2010-12-17,252.0,254.9,-2.71,-3.82,12122,,,,,,2.04,18.4,,4.37,,,
2010-12-20,253.0,261.0,2.39,-0.75,9902,,4.48,,,,4.48,23.8,,4.32,,,
2010-12-21,264.2,304.2,16.55,1.23,42764,,24.83,,,,21.78,49.4,,4.85,,,
2010-12-22,303.1,288.0,-5.33,-0.36,27481,,18.03,,,,15.29,43.5,,5.44,,,
2010-12-23,289.7,295.0,2.43,0.59,12885,,12.6,,,,18.09,46.5,,5.38,,,
2010-12-27,297.3,294.1,-0.31,0.78,13010,,15.38,,,,17.73,46.1,,5.49,,,
2010-12-28,296.6,293.8,-0.1,0.85,8285,,12.57,,,,17.61,46.0,,5.46,,,
2010-12-29,296.6,288.4,-1.84,0.95,4422,,-5.19,,,,15.45,43.8,,5.45,,,
2010-12-30,285.8,290.1,0.59,-0.9,3837,,0.73,,,,16.13,44.7,,5.21,,,
2010-12-31,292.9,290.5,0.14,0.97,4370,,-1.53,,,,16.29,44.9,,5.04,,,
2011-01-03,294.2,277.5,-4.48,1.27,16693,,-5.64,,,,0.0,39.4,,5.68,,,
2011-01-04,283.5,280.6,1.12,2.16,9482,,-4.49,,,,1.12,41.2,,5.54,,,
2011-01-05,281.6,280.9,0.11,0.36,8712,,-2.6,,,,1.23,41.4,,5.34,,,
2011-01-06,287.3,280.0,-0.32,2.28,3848,,-3.48,,,,0.9,41.0,,5.18,,,
2011-01-07,283.8,278.9,-0.39,1.36,8082,,-3.99,,,,0.5,40.5,,5.08,,,
2011-01-10,278.0,282.5,1.29,-0.32,12391,0.82,1.8,,,,1.8,43.1,,4.88,,,-7.13
2011-01-11,287.0,284.0,0.53,1.59,14297,1.0,1.21,,,,2.34,44.2,,4.71,,,-6.64
2011-01-12,286.5,286.3,0.81,0.88,8554,0.66,1.92,14.61,,,3.17,46.0,4.46,4.44,,,-5.88
2011-01-13,189.7,187.6,-34.47,-33.74,693559,14.82,-33.0,-23.02,,,-32.4,18.8,8.89,10.13,,,-38.33
2011-01-14,187.0,177.2,-5.54,-0.32,183800,3.35,-36.46,-27.38,,,-36.14,17.6,8.94,10.45,,,-41.75
2011-01-18,182.3,179.1,1.07,2.88,98956,1.67,-36.6,-31.64,,,-35.46,18.6,8.75,9.84,,,-41.12
2011-01-19,177.5,188.1,5.03,-0.89,166418,2.48,-33.77,-26.21,,,-32.22,23.4,8.85,9.18,,,-38.17
2011-01-20,190.0,190.0,1.01,1.01,61412,0.9,-33.64,-27.2,,,-31.53,24.4,8.83,8.7,,,-37.54
2011-01-21,191.0,184.7,-2.79,0.53,39678,0.58,-1.55,-39.28,,,-33.44,23.4,7.86,8.63,,,-39.28
2011-01-24,186.5,184.8,0.05,0.97,18054,0.26,4.29,-35.83,,,-33.41,23.5,7.83,8.27,,,-39.25
2011-01-25,181.9,178.1,-3.63,-1.57,29546,0.42,-0.56,-39.63,,,-35.82,22.3,7.78,8.29,,,-41.45
2011-01-26,179.4,179.5,0.79,0.73,17562,0.25,-4.57,-38.97,,,-35.32,23.2,7.8,7.78,,,-40.99
2011-01-27,179.5,182.8,1.84,0.0,10603,0.15,-3.79,-37.78,,,-34.13,25.4,7.83,7.28,,,-39.91
2011-01-28,184.3,182.6,-0.11,0.82,20181,0.28,-1.14,-36.69,,,-34.2,25.4,7.84,6.88,,,-39.97
2011-01-31,184.0,180.8,-0.99,0.77,6929,0.1,-2.16,-37.68,,,-34.85,24.9,7.82,6.65,,,-40.57
2011-02-01,180.1,180.2,-0.33,-0.39,35439,0.49,1.18,-37.97,,,-35.06,24.7,7.82,6.27,,,-40.76
2011-02-02,177.5,178.4,-1.0,-1.5,10751,0.15,-0.61,-35.71,,,-35.71,24.2,7.8,6.06,,,-41.35
2011-02-03,179.8,179.3,0.5,0.78,22181,0.3,-1.91,-36.1,,,-35.39,25.1,7.79,5.78,,,-41.06
2011-02-04,178.4,179.4,0.06,-0.5,9098,0.12,-1.75,-36.13,,,-35.35,25.2,7.79,5.46,,,-41.03
2011-02-07,179.0,178.8,-0.33,-0.22,15399,0.21,-1.11,-36.14,,,-35.57,24.9,7.79,5.17,,,-41.22
2011-02-08,179.4,178.7,-0.06,0.34,12704,0.17,-0.83,-35.93,,,-35.6,24.9,7.79,4.88,,,-41.26
2011-02-09,177.5,175.8,-1.62,-0.67,18637,0.25,-1.46,-37.77,,,-36.65,23.8,7.76,4.75,,,-42.21
