date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2000-01-03,1226.53,1214.49,0.89,1.89,6,0.48,0.89,-8.87,-28.0,-39.98,0.0,42.2,2.32,4.05,-10.48,-30.87,-49.82
2000-01-04,1204.62,1182.25,-2.65,-0.81,6,0.51,0.92,-6.78,-29.04,-40.68,-2.65,38.0,2.15,4.05,-12.39,-32.52,-51.15
2000-01-05,1182.25,1182.25,0.0,0.0,4,0.35,0.0,-3.51,-28.14,-41.28,-2.65,38.0,2.03,3.96,-11.98,-32.34,-51.15
2000-01-06,1193.85,1214.49,2.73,0.98,7,0.64,1.8,0.0,-26.18,-39.98,0.0,44.4,2.12,3.84,-9.19,-30.32,-49.82
2000-01-07,1226.1,1203.74,-0.89,0.96,18,1.6,0.0,-1.75,-22.93,-39.6,-0.89,42.8,2.12,3.85,-9.6,-30.76,-50.26
2000-01-10,1214.06,1203.74,0.0,0.86,6,0.54,-0.89,-0.89,-26.36,-39.29,-0.89,42.8,2.11,3.77,-9.19,-30.56,-50.26
2000-01-11,1203.3,1192.99,-0.89,-0.04,8,0.8,0.91,-4.31,-24.12,-39.84,-1.77,41.1,2.02,3.73,-9.53,-30.99,-50.71
2000-01-12,1194.3,1182.25,-0.9,0.11,12,1.21,0.0,-5.17,-24.81,-40.07,-2.65,39.4,2.03,3.76,-9.92,-31.41,-51.15
2000-01-13,1182.25,1182.25,0.0,0.0,7,0.71,-2.65,-0.9,-24.81,-39.76,-2.65,39.4,1.8,3.62,-9.5,-31.21,-51.15
2000-01-14,1194.32,1139.25,-3.64,1.02,8,0.84,-5.36,-5.36,-27.54,-41.65,-6.2,33.1,1.95,3.9,-12.31,-33.53,-52.93
2000-01-18,1138.39,1160.75,1.89,-0.08,5,0.55,-3.57,-2.7,-26.17,-40.55,-4.42,38.4,2.0,3.76,-10.23,-32.09,-52.04
2000-01-19,1170.63,1150.0,-0.93,0.85,8,0.88,-3.6,-2.73,-25.37,-41.1,-5.31,36.8,2.0,3.79,-10.64,-32.53,-52.48
2000-01-20,1138.4,1117.76,-2.8,-1.01,16,1.71,-5.45,-3.7,-28.43,-42.75,-7.96,32.5,2.05,3.96,-12.78,-34.22,-53.81
2000-01-21,1107.44,1117.76,0.0,-0.92,8,0.88,-5.45,-7.14,-25.97,-42.75,-7.96,32.5,1.85,4.01,-12.37,-34.04,-53.81
2000-01-24,1128.55,1042.53,-6.73,0.97,48,4.32,-8.49,-14.91,-32.35,-46.6,-14.16,24.7,2.25,5.47,-17.81,-38.3,-56.92
2000-01-25,1031.78,1031.78,-1.03,-1.03,14,1.22,-11.11,-17.24,-31.19,-46.88,-15.04,23.8,2.18,5.43,-18.19,-38.75,-57.37
2000-01-26,1021.46,1031.78,0.0,-1.0,11,0.95,-10.28,-14.29,-31.19,-46.6,-15.04,23.8,2.1,5.19,-17.62,-38.54,-57.37
2000-01-27,1031.34,1021.03,-1.04,-0.04,10,0.87,-8.65,-12.84,-31.9,-48.77,-15.93,22.9,2.06,5.17,-17.85,-38.98,-57.81
2000-01-28,1031.78,988.79,-3.16,1.05,53,4.02,-11.54,-16.36,-34.05,-49.62,-18.58,20.3,2.1,5.5,-19.78,-40.7,-59.14
2000-01-31,978.02,935.05,-5.43,-1.09,12,0.9,-10.31,-21.62,-39.32,-53.08,-23.01,16.8,2.28,6.06,-23.4,-43.72,-61.36
2000-02-01,913.87,1053.27,12.64,-2.27,13,0.95,2.08,-12.5,-29.26,-46.33,-13.27,40.7,3.76,6.15,-13.03,-36.39,-56.48
2000-02-02,955.3,1010.28,-4.08,-9.3,8,0.58,-2.08,-16.81,-32.15,-48.52,-16.81,36.6,3.82,6.72,-15.9,-38.78,-58.26
2000-02-03,987.94,1010.28,0.0,-2.21,6,0.43,-1.05,-14.55,-32.62,-47.71,-16.81,36.6,3.8,6.78,-15.25,-38.58,-58.26
2000-02-04,859.81,773.83,-23.4,-14.89,104,5.55,-21.74,-34.55,-47.29,-59.95,-36.28,22.2,6.24,11.0,-34.33,-52.76,-68.03
2000-02-07,774.78,709.35,-8.33,0.12,138,5.58,-24.14,-41.59,-51.34,-63.28,-41.59,20.0,6.31,12.01,-39.05,-56.51,-70.69
