date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,45.03,44.9,,,225884,,,,,,0.0,,,2.9,,,
2005-02-28,44.76,44.09,-1.8,-0.31,286993,,,,,,-1.8,0.0,,2.96,,,
2005-03-01,43.95,44.36,0.61,-0.32,522544,,,,,,-1.2,2.5,,2.87,,,
2005-03-02,44.31,43.73,-1.42,-0.11,374408,,,,,,-2.61,2.4,,3.24,,,
2005-03-03,44.04,42.47,-2.88,0.71,302245,,,,,,-5.41,2.1,,3.4,,,
2005-03-04,41.79,40.8,-3.93,-1.6,285200,,-9.13,,,,-9.13,1.8,,3.71,,,
2005-03-07,40.8,41.3,1.23,0.0,331087,,-6.33,,,,-8.02,6.0,,3.66,,,
2005-03-08,41.25,39.86,-3.49,-0.12,488082,,-10.14,,,,-11.22,5.3,,3.8,,,
2005-03-09,39.63,39.81,-0.13,-0.58,223314,,-8.96,,,,-11.34,5.3,,3.71,,,
2005-03-10,39.72,38.73,-2.71,-0.23,267031,,-8.81,,,,-13.74,4.8,,4.0,,,
2005-03-11,39.18,39.41,1.76,1.16,360896,,-3.41,,,,-12.23,10.4,,3.87,,,
2005-03-14,39.77,39.5,0.23,0.91,417512,,-4.36,,,,-12.03,11.1,,3.98,,,
2005-03-15,39.81,39.0,-1.27,0.78,409870,,-2.16,,,,-13.14,10.6,,4.4,,,
2005-03-16,38.78,39.9,2.31,-0.56,435658,,0.23,,,,-11.14,18.1,,4.41,,,
2005-03-17,33.78,34.86,-12.63,-15.34,2577778,,-9.99,,,,-22.36,12.0,,8.17,,,
2005-03-18,35.22,36.62,5.05,1.03,1379917,,-7.08,,,,-18.44,21.9,,7.68,,,
2005-03-21,36.35,35.49,-3.09,-0.74,253592,,-10.15,,,,-20.96,20.3,,7.82,,,
2005-03-22,35.36,35.36,-0.37,-0.37,297035,,-9.33,,,,-21.25,20.2,,7.46,,,
2005-03-23,35.31,34.77,-1.67,-0.14,262825,,-12.86,,,,-22.56,19.3,,7.19,,,
2005-03-24,34.95,37.02,6.47,0.52,492499,0.97,6.2,,,,-17.55,31.1,,6.82,,,-17.55
2005-03-28,29.24,26.45,-28.55,-21.02,3835498,5.56,-27.77,,,,-41.09,17.9,,11.82,,,-41.09
2005-03-29,26.27,22.4,-15.31,-0.68,1330320,1.79,-36.88,-50.11,,,-50.11,15.2,7.64,14.25,,,-50.11
2005-03-30,23.26,24.79,10.67,3.84,880706,1.16,-29.89,-43.77,,,-44.79,22.6,8.2,12.67,,,-44.79
2005-03-31,24.7,25.78,3.99,-0.36,480475,0.63,-25.86,-41.88,,,-42.58,25.4,8.29,11.86,,,-42.58
2005-04-01,25.55,25.55,-0.89,-0.89,570450,0.73,-30.98,-41.57,,,-43.1,25.2,8.3,11.58,,,-43.1
2005-04-04,24.38,24.07,-5.79,-4.58,420906,0.54,-9.0,-43.32,,,-46.39,23.7,8.34,11.96,,,-46.39
2005-04-05,24.16,24.2,0.54,0.37,230805,0.3,8.04,-40.69,,,-46.1,24.1,8.35,11.25,,,-46.1
2005-04-06,24.16,24.16,-0.17,-0.17,445653,0.57,-2.54,-41.5,,,-46.19,24.1,8.33,10.65,,,-46.19
2005-04-07,24.25,25.01,3.52,0.37,245965,0.32,-2.99,-37.26,,,-44.3,27.2,8.41,9.91,,,-44.3
2005-04-08,24.38,24.34,-2.68,-2.52,152797,0.2,-4.74,-38.86,,,-45.79,26.3,8.4,9.82,,,-45.79
2005-04-11,24.11,24.16,-0.74,-0.94,140964,0.18,0.37,-37.62,,,-46.19,26.0,8.4,9.45,,,-46.19
2005-04-12,24.2,24.7,2.24,0.17,139535,0.19,2.07,-37.33,,,-44.99,28.2,8.42,9.02,,,-44.99
2005-04-13,24.7,23.3,-5.67,0.0,120418,0.16,-3.56,-41.01,,,-48.11,26.1,8.44,9.35,,,-48.11
