date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,23.99,24.32,,,823210,,,,,,0.0,,,1.98,,,
2005-02-28,24.5,24.19,-0.54,0.73,1384074,,,,,,-0.54,0.0,,2.01,,,
2005-03-01,24.27,24.83,2.63,0.31,1050367,,,,,,2.08,27.2,,2.03,,,
2005-03-02,24.71,24.97,0.59,-0.46,953985,,,,,,2.68,31.8,,2.0,,,
2005-03-03,24.97,24.93,-0.19,0.0,1288475,,,,,,2.49,31.1,,1.95,,,
2005-03-04,25.01,24.96,0.13,0.31,864626,,2.62,,,,2.62,32.2,,1.91,,,
2005-03-07,24.97,25.17,0.82,0.06,914386,,4.03,,,,3.47,38.8,,1.84,,,
2005-03-08,24.99,24.55,-2.44,-0.7,1280658,,-1.12,,,,0.94,29.6,,1.95,,,
2005-03-09,24.57,24.61,0.25,0.07,1265287,,-1.45,,,,1.19,31.3,,1.94,,,
2005-03-10,24.59,24.43,-0.75,-0.09,1151447,,-2.0,,,,0.43,29.0,,1.98,,,
2005-03-11,24.52,24.68,1.05,0.38,963617,,-1.1,,,,1.49,36.1,,1.91,,,
2005-03-14,24.88,25.23,2.21,0.81,1173066,,0.25,,,,3.73,48.0,,1.9,,,
2005-03-15,25.36,25.1,-0.5,0.53,960753,,2.26,,,,3.22,45.9,,1.87,,,
2005-03-16,25.1,24.63,-1.9,0.0,789342,,0.06,,,,1.25,38.9,,1.94,,,
2005-03-17,24.63,24.99,1.47,0.0,899273,,2.3,,,,2.74,45.7,,1.92,,,
2005-03-18,24.66,23.96,-4.11,-1.31,1966837,,-2.93,,,,-1.48,34.1,,2.17,,,
2005-03-21,24.01,24.01,0.19,0.19,667941,,-4.85,,,,-1.3,34.9,,2.07,,,
2005-03-22,23.99,24.31,1.28,-0.07,1137896,,-3.15,,,,-0.04,40.1,,2.07,,,
2005-03-23,24.33,24.38,0.26,0.06,1088925,,-1.02,,,,0.22,41.1,,2.07,,,
2005-03-24,24.41,24.44,0.25,0.16,648144,0.61,-2.21,,,,0.47,42.1,,2.02,,,-3.14
2005-03-28,24.44,24.25,-0.75,0.0,810695,0.76,1.21,,,,-0.29,39.8,,1.99,,,-3.87
2005-03-29,24.03,23.45,-3.33,-0.92,2065571,1.88,-2.34,-3.61,,,-3.61,31.7,1.68,2.19,,,-7.07
2005-03-30,23.45,23.51,0.28,0.0,1488282,1.33,-3.3,-2.82,,,-3.34,32.9,1.68,2.09,,,-6.82
2005-03-31,23.41,23.69,0.75,-0.41,1200814,1.06,-2.83,-4.6,,,-2.62,36.1,1.58,2.09,,,-6.12
2005-04-01,23.9,23.61,-0.3,0.91,675370,0.61,-3.36,-5.45,,,-2.91,35.4,1.57,2.15,,,-6.4
2005-04-04,23.68,23.41,-0.89,0.26,918289,0.83,-3.49,-6.1,,,-3.77,33.2,1.57,2.13,,,-7.23
2005-04-05,23.58,23.49,0.38,0.73,1082414,0.97,0.21,-5.87,,,-3.4,35.0,1.58,2.08,,,-6.88
2005-04-06,23.6,23.78,1.23,0.45,729946,0.67,1.16,-5.49,,,-2.22,40.7,1.59,2.05,,,-5.73
2005-04-07,23.71,24.04,1.07,-0.31,647103,0.61,1.49,-2.09,,,-1.17,45.2,1.53,2.02,,,-4.73
2005-04-08,24.02,24.03,-0.03,-0.06,664686,0.65,1.76,-2.37,,,-1.2,45.1,1.53,1.99,,,-4.76
2005-04-11,24.13,23.88,-0.64,0.42,758339,0.74,2.01,-2.26,,,-1.84,42.8,1.53,2.02,,,-5.37
2005-04-12,23.97,23.76,-0.47,0.39,962450,0.95,1.14,-3.74,,,-2.3,41.2,1.51,2.0,,,-5.82
2005-04-13,23.84,23.32,-1.85,0.31,863326,0.86,-1.93,-7.56,,,-4.11,35.4,1.45,2.12,,,-7.56
2005-04-14,23.37,23.2,-0.53,0.19,748437,0.75,-3.49,-7.59,,,-4.62,34.0,1.45,2.14,,,-8.05
2005-04-15,23.21,22.54,-2.85,0.04,1212927,1.19,-6.21,-8.49,,,-7.34,27.5,1.51,2.32,,,-10.67
2005-04-18,23.23,22.26,-1.21,3.08,1182577,1.21,-6.75,-10.9,,,-8.46,25.4,1.46,2.6,,,-11.76
2005-04-19,22.52,22.78,2.3,1.17,708064,0.72,-4.15,-4.95,,,-6.36,35.5,1.34,2.54,,,-9.73
2005-04-20,22.7,21.63,-5.04,-0.35,1540647,1.54,-7.27,-9.91,,,-11.08,26.8,1.7,2.89,,,-14.28
2005-04-21,21.87,22.01,1.77,1.1,1382646,1.36,-5.12,-9.47,,,-9.51,32.7,1.72,2.79,,,-12.76
2005-04-22,22.01,21.63,-1.74,0.0,846911,0.83,-4.04,-11.28,,,-11.08,30.1,1.74,2.88,,,-14.28
2005-04-25,21.8,22.05,1.95,0.78,1036561,1.0,-0.97,-9.77,,,-9.35,36.2,1.82,2.77,,,-12.61
