date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2021-03-26,7.0,6.89,,,22239,,,,,,0.0,,,7.8,,,
2021-03-29,7.0,7.0,1.52,1.58,7249,,,,,,1.52,,,7.3,,,
2021-03-30,6.79,6.76,-3.43,-2.99,23719,,,,,,-1.96,85.0,,8.26,,,
2021-03-31,6.57,6.89,1.97,-2.76,12273,,,,,,-0.03,86.2,,7.97,,,
2021-04-01,6.67,6.56,-4.84,-3.23,8428,,,,,,-4.87,70.6,,8.14,,,
2021-04-05,6.71,6.44,-1.69,2.37,23377,,-6.48,,,,-6.48,66.3,,8.09,,,
2021-04-06,6.61,6.45,0.07,2.5,14413,,-7.81,,,,-6.41,66.4,,7.75,,,
2021-04-07,6.48,6.51,0.96,0.55,24167,,-3.62,,,,-5.51,67.6,,7.24,,,
2021-04-08,6.51,6.44,-1.02,0.0,11981,,-6.45,,,,-6.48,64.8,,6.9,,,
2021-04-09,6.47,6.44,0.0,0.34,12636,,-1.69,,,,-6.48,64.8,,6.48,,,
2021-04-12,6.45,5.99,-7.1,0.07,20286,,-7.1,,,,-13.12,48.5,,7.03,,,
2021-04-13,6.0,5.99,0.07,0.22,13155,,-7.1,,,,-13.06,48.7,,6.53,,,
2021-04-14,5.99,5.44,-9.12,0.0,23717,,-16.38,,,,-20.99,36.1,,7.42,,,
2021-04-15,5.45,5.46,0.33,0.08,22479,,-15.24,,,,-20.73,36.7,,7.19,,,
2021-04-16,5.46,5.44,-0.33,0.0,15547,,-15.52,,,,-20.99,36.3,,6.91,,,
2021-04-19,5.56,5.5,1.06,2.04,15880,,-8.09,,,,-20.15,38.4,,6.52,,,
2021-04-20,5.76,5.51,0.16,4.69,13950,,-8.01,,,,-20.02,38.7,,6.38,,,
2021-04-21,5.61,5.67,2.82,1.77,32508,,4.08,,,,-17.77,44.3,,6.08,,,
2021-04-22,5.68,5.64,-0.55,0.31,13601,,3.17,,,,-18.22,43.5,,5.88,,,
2021-04-23,5.86,5.86,4.02,4.02,11090,0.65,7.67,,,,-14.93,50.9,,5.66,,,-16.2
2021-04-26,6.0,5.96,1.67,2.27,37343,2.09,8.32,,,,-13.51,53.7,,5.38,,,-14.8
2021-04-27,6.04,5.64,-5.37,1.42,14706,0.81,2.34,-18.15,,,-18.15,44.7,3.32,5.8,,,-19.38
2021-04-28,5.67,5.47,-3.07,0.47,10084,0.57,-3.53,-21.85,,,-20.67,40.7,3.31,5.81,,,-21.85
2021-04-29,5.48,5.41,-1.06,0.33,8010,0.46,-4.02,-19.93,,,-21.51,39.4,3.26,5.94,,,-22.68
2021-04-30,5.4,5.16,-4.6,-0.25,16668,0.94,-11.98,-25.1,,,-25.12,34.4,3.28,6.14,,,-26.24
2021-05-03,5.13,5.1,-1.12,-0.52,31824,1.75,-14.39,-22.17,,,-25.96,33.4,3.18,6.64,,,-27.06
2021-05-04,5.01,5.11,0.17,-1.74,23566,1.26,-9.38,-20.69,,,-25.83,33.7,3.19,6.6,,,-26.94
2021-05-05,5.3,6.13,20.0,3.65,184914,6.93,12.19,-4.89,,,-10.99,59.2,5.59,6.3,,,-12.33
2021-05-06,6.13,5.53,-9.78,0.0,45717,1.61,2.3,-15.02,,,-19.7,47.6,5.97,7.26,,,-20.9
2021-05-07,5.52,5.64,1.93,-0.16,39449,1.33,9.3,-12.48,,,-18.15,49.5,6.0,7.48,,,-19.38
2021-05-10,5.92,5.92,4.96,4.96,39051,1.27,16.03,-8.14,,,-14.09,54.2,6.11,7.21,,,-15.37
2021-05-11,5.78,5.78,-2.4,-2.4,15518,0.5,13.04,-3.49,,,-16.15,51.6,5.93,7.23,,,-17.41
2021-05-12,5.89,5.82,0.69,2.0,25141,0.81,-5.14,-2.89,,,-15.57,52.3,5.93,7.28,,,-16.84
2021-05-13,6.17,6.0,3.13,6.11,55122,1.7,8.43,10.2,,,-12.93,55.4,5.58,6.98,,,-14.23
2021-05-14,6.0,5.78,-3.7,0.0,35304,1.05,2.44,5.78,,,-16.15,51.0,5.66,7.27,,,-17.41
2021-05-17,5.72,5.61,-2.92,-0.92,12145,0.36,-5.26,3.02,,,-18.6,47.9,5.7,7.37,,,-19.82
2021-05-18,5.56,5.2,-7.37,-0.79,35345,1.03,-10.08,-5.57,,,-24.6,41.2,5.94,8.07,,,-25.73
2021-05-19,5.12,5.17,-0.43,-1.54,14046,0.42,-11.08,-6.13,,,-24.92,40.9,5.94,7.79,,,-26.05
2021-05-20,5.22,4.94,-4.47,0.95,13034,0.39,-17.63,-12.78,,,-28.28,37.5,5.97,8.41,,,-29.35
2021-05-21,4.96,4.82,-2.43,0.27,10192,0.31,-16.54,-14.44,,,-30.02,35.9,5.99,8.49,,,-31.07
2021-05-24,4.97,5.12,6.27,3.14,28030,0.85,-8.64,-12.59,,,-25.63,42.7,6.09,7.97,,,-26.75
2021-05-25,5.28,5.28,3.04,3.04,11808,0.36,1.63,-11.41,,,-23.38,45.9,6.12,7.48,,,-24.52
2021-05-26,5.22,5.1,-3.37,-1.09,14987,0.45,-1.37,-9.54,,,-25.96,43.0,6.06,7.71,,,-27.06
2021-05-27,5.01,4.79,-6.12,-1.83,17061,0.51,-3.08,-12.38,,,-30.49,38.3,6.16,8.37,,,-31.53
2021-05-28,4.87,4.64,-3.04,1.6,23334,0.69,-3.68,-14.13,,,-32.6,36.3,6.19,8.51,,,-33.61
2021-06-01,4.76,4.89,5.36,2.49,13432,0.41,-4.51,-5.17,,,-28.99,41.9,6.24,8.17,,,-30.05
2021-06-02,4.97,4.95,1.09,1.63,17622,0.54,-6.31,-3.05,,,-28.21,43.0,6.24,8.13,,,-29.29
2021-06-03,5.11,4.76,-3.86,3.32,16794,0.7,-6.79,-6.96,,,-30.99,40.0,6.3,8.59,,,-32.02
2021-06-04,4.7,4.89,2.8,-1.12,14861,0.66,2.07,-20.29,,,-29.05,43.0,4.37,8.71,,,-30.11
2021-06-07,4.89,4.74,-3.0,0.0,20263,0.94,2.11,-14.3,,,-31.18,40.6,3.91,8.64,-15.99,,-32.21
2021-06-08,4.71,4.96,4.5,-0.66,23256,1.11,1.27,-12.14,,,-28.09,45.4,4.04,8.34,-11.61,,-29.16
2021-06-09,4.96,4.91,-0.99,0.0,8957,0.44,-0.81,-17.12,,,-28.79,44.5,3.83,8.42,-11.82,,-29.86
2021-06-10,4.93,4.81,-1.9,0.54,7249,0.37,1.22,-16.69,,,-30.15,42.8,3.83,8.43,-12.89,,-31.19
2021-06-11,4.91,5.06,5.08,2.03,14388,0.82,3.45,-13.06,,,-26.6,48.4,4.03,7.95,-7.86,,-27.7
2021-06-14,5.31,4.75,-6.11,4.92,48676,2.66,0.14,-20.85,,,-31.08,42.7,4.1,8.76,-12.91,,-32.12
2021-06-15,4.99,4.82,1.54,5.1,13509,0.74,-2.69,-16.54,,,-30.02,44.4,4.09,8.71,-11.04,,-31.07
2021-06-16,4.82,4.4,-8.76,0.0,25778,1.44,-10.33,-21.55,,,-36.15,37.5,4.43,9.62,-18.21,,-37.1
2021-06-17,4.45,4.09,-7.07,1.21,22178,1.21,-15.05,-21.3,,,-40.66,33.5,4.41,10.51,-23.3,,-41.55
2021-06-18,4.14,3.44,-15.76,1.2,64626,3.1,-31.9,-33.42,,,-50.01,26.9,5.45,13.16,-34.65,,-50.76
2021-06-21,3.52,4.0,16.0,2.19,104706,4.09,-15.86,-19.15,,,-42.02,38.1,6.64,12.58,-23.49,,-42.88
2021-06-22,4.03,4.0,0.11,0.89,23604,0.93,-17.05,-17.05,,,-41.95,38.1,6.63,12.27,-22.81,,-42.82
2021-06-23,4.04,3.99,-0.22,1.0,17439,0.68,-9.29,-22.12,,,-42.08,38.0,6.44,11.64,-22.39,,-42.95
2021-06-24,3.98,4.17,4.45,-0.33,15689,0.61,1.96,-21.04,,,-39.5,41.6,6.49,10.67,-18.52,,-40.41
2021-06-25,3.81,4.0,-4.05,-8.53,17095,0.67,16.13,-21.6,-41.95,,-41.95,39.3,6.51,11.08,-21.38,,-42.82
2021-06-28,3.79,3.87,-3.33,-5.33,20504,0.8,-3.23,-19.27,-44.73,,-43.89,37.5,6.43,11.36,-23.52,,-44.73
2021-06-29,3.88,3.78,-2.23,0.46,10777,0.42,-5.49,-18.61,-44.04,,-45.14,36.4,6.41,11.19,-24.72,,-45.96
2021-06-30,3.92,3.87,2.28,3.81,25913,1.0,-3.12,-20.98,-43.87,,-43.89,38.4,6.3,10.46,-22.49,,-44.73
2021-07-01,3.84,3.81,-1.53,-0.69,7758,0.31,-8.67,-23.03,-41.92,,-44.74,37.5,6.28,10.18,-23.1,,-45.57
2021-07-02,3.88,3.85,1.09,1.9,11556,0.46,-3.77,-19.06,-40.27,,-44.14,38.6,6.27,9.54,-21.69,,-44.98
2021-07-06,3.88,3.91,1.61,0.91,25508,1.0,1.15,-20.0,-39.35,,-43.24,40.2,6.24,9.13,-19.8,,-44.09
2021-07-07,3.93,4.01,2.61,0.45,9956,0.4,6.16,-15.37,-38.36,,-41.76,42.9,6.26,8.66,-17.04,,-42.63
2021-07-08,4.11,4.04,0.66,2.44,6567,0.27,4.48,-18.48,-37.31,,-41.37,43.6,6.16,8.38,-15.93,,-42.25
2021-07-09,4.11,4.14,2.59,1.65,29769,1.15,8.85,-15.53,-35.69,,-39.86,46.5,6.2,8.05,-13.28,,-40.76
2021-07-12,4.15,4.25,2.52,0.05,15786,0.61,10.38,-11.73,-29.03,,-38.34,49.2,6.23,7.68,-10.66,,-39.26
2021-07-13,4.25,4.42,4.08,0.1,7740,0.32,13.07,-12.57,-26.19,,-35.82,53.5,6.19,7.16,-6.73,,-36.79
2021-07-14,4.42,4.18,-5.53,0.0,12764,0.54,4.1,-12.03,-23.26,,-39.37,47.4,6.17,7.48,-11.54,,-40.28
2021-07-15,4.18,4.15,-0.57,-0.0,5775,0.25,2.83,-13.85,-23.95,,-39.71,46.9,6.15,7.34,-11.68,,-40.62
2021-07-16,4.0,4.11,-1.04,-3.71,15732,0.7,-0.8,-6.57,-24.49,,-40.34,45.8,5.86,7.3,-11.84,,-41.23
2021-07-19,3.81,3.69,-10.16,-7.24,12732,0.64,-13.08,-9.67,-32.88,,-46.4,37.2,6.08,8.38,-20.17,,-47.2
2021-07-20,3.69,3.72,0.72,0.0,7769,0.52,-15.88,8.0,-32.5,,-46.02,38.0,4.94,7.9,-18.92,,-46.82
2021-07-21,4.01,4.01,7.89,7.89,11052,0.77,-3.94,0.44,-29.18,,-41.76,46.2,3.86,7.37,-11.79,,-42.63
2021-07-22,4.0,4.0,-0.33,-0.33,9733,0.69,-3.71,0.0,-29.02,,-41.95,45.9,3.86,7.09,-11.39,,-42.82
2021-07-23,4.0,3.97,-0.86,-0.05,2983,0.22,-3.54,-0.64,-32.35,,-42.45,45.1,3.87,6.7,-11.43,,-43.31
2021-07-26,4.08,4.79,20.82,3.0,176274,8.26,29.72,14.93,-19.61,,-30.47,62.2,5.91,6.38,7.59,,-31.51
2021-07-27,4.79,5.02,4.73,0.0,88521,3.58,34.89,25.44,-11.03,,-27.18,65.4,5.86,6.34,13.07,,-28.27
2021-07-28,5.11,4.82,-3.89,1.86,28989,1.13,20.16,24.72,-11.78,,-30.02,60.6,5.88,6.78,9.05,,-31.06
2021-07-29,4.74,4.65,-3.6,-1.76,23422,0.92,16.23,22.98,-14.05,,-32.53,56.7,5.93,7.13,5.39,,-33.54
2021-07-30,4.47,4.57,-1.63,-3.78,6646,0.26,15.33,18.28,-11.37,,-33.63,55.0,5.95,7.03,3.96,,-34.62
2021-08-02,4.52,4.46,-2.44,-1.07,149233,4.61,-6.87,17.18,-12.55,,-35.25,52.5,5.98,7.58,1.64,,-36.22
2021-08-03,4.37,4.35,-2.58,-1.98,170329,4.3,-13.37,12.92,-14.96,,-36.92,50.0,6.02,8.35,-0.77,,-37.87
2021-08-04,4.44,4.48,3.07,2.25,96255,2.19,-7.1,14.55,-26.96,,-34.99,52.8,6.04,8.35,2.58,,-35.96
2021-08-05,4.39,4.85,8.23,-2.08,56468,1.22,4.3,20.82,-12.37,,-29.63,59.6,6.25,7.84,11.25,,-30.69
2021-08-06,4.66,4.8,-1.1,-3.85,16596,0.36,4.86,18.7,-14.97,,-30.41,58.3,6.27,7.97,10.18,,-31.45
2021-08-09,4.73,4.63,-3.52,-1.3,10278,0.23,3.7,11.64,-21.85,,-32.86,54.3,6.33,8.05,6.38,,-33.86
2021-08-10,4.74,4.59,-0.77,2.4,18742,0.41,5.62,8.05,-20.54,,-33.37,53.4,6.32,8.14,5.59,,-34.37
