date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2015-08-05,21.0,20.56,,,692700,,,,,,0.0,,,5.98,,,
2015-08-06,20.5,18.6,-9.53,-0.29,326714,,,,,,-9.53,0.0,,7.43,,,
2015-08-07,18.34,19.3,3.76,-1.4,598900,,,,,,-6.13,2.7,,7.36,,,
2015-08-10,19.43,19.01,-1.5,0.67,259000,,,,,,-7.54,2.6,,7.26,,,
2015-08-11,18.79,19.56,2.89,-1.16,741767,,,,,,-4.86,4.9,,6.98,,,
2015-08-12,19.47,19.37,-0.97,-0.46,452700,,-5.79,,,,-5.79,4.9,,6.86,,,
2015-08-13,19.8,20.6,6.35,2.22,491700,,10.75,,,,0.19,10.3,,6.48,,,
2015-08-14,19.95,20.33,-1.31,-3.16,526500,,5.34,,,,-1.12,10.2,,6.68,,,
2015-08-17,19.93,21.07,3.64,-1.97,562600,,10.84,,,,2.48,13.6,,6.59,,,
2015-08-18,21.28,21.44,1.76,1.0,380000,,9.61,,,,4.28,15.3,,6.18,,,
2015-08-19,21.08,21.39,-0.23,-1.68,299700,,10.43,,,,4.04,15.2,,6.26,,,
2015-08-20,21.14,21.2,-0.89,-1.17,716700,,2.91,,,,3.11,15.1,,6.36,,,
2015-08-21,20.95,21.25,0.24,-1.18,384600,,4.53,,,,3.36,15.3,,6.14,,,
2015-08-24,19.99,21.01,-1.13,-5.93,407175,,-0.28,,,,2.19,15.1,,6.34,,,
2015-08-25,21.01,20.4,-2.9,0.0,534300,,-4.85,,,,-0.78,14.4,,6.62,,,
2015-08-26,20.0,20.41,0.05,-1.96,376900,,-4.58,,,,-0.73,14.5,,6.48,,,
2015-08-27,20.26,20.4,-0.05,-0.73,269200,,-3.77,,,,-0.78,14.5,,6.23,,,
2015-08-28,20.2,19.92,-2.35,-0.98,202400,,-6.26,,,,-3.11,13.9,,6.49,,,
2015-08-31,19.52,19.74,-0.9,-2.01,165000,,-6.04,,,,-3.99,13.7,,6.26,,,
2015-09-01,19.22,19.08,-3.34,-2.63,201900,0.47,-6.47,,,,-7.2,12.8,,6.34,,,-11.01
2015-09-02,18.98,18.71,-1.94,-0.52,485700,1.16,-8.33,,,,-9.0,12.4,,6.79,,,-12.73
2015-09-03,18.49,19.31,3.21,-1.18,305200,0.73,-5.34,-6.08,,,-6.08,17.5,3.29,6.54,,,-9.93
2015-09-04,19.07,19.07,-1.24,-1.24,359400,0.88,-4.27,2.53,,,-7.25,17.0,2.52,6.45,,,-11.05
2015-09-08,18.96,17.77,-6.82,-0.58,559600,1.33,-9.98,-7.93,,,-13.57,14.9,2.81,7.34,,,-17.12
2015-09-09,17.5,18.79,5.74,-1.52,468000,1.15,-1.52,-1.16,,,-8.61,23.0,3.09,7.06,,,-12.36
2015-09-10,18.53,18.35,-2.34,-1.38,177045,0.45,-1.92,-6.19,,,-10.75,22.1,3.05,6.96,,,-14.41
2015-09-11,17.9,17.71,-3.49,-2.45,597400,1.5,-8.29,-8.57,,,-13.86,20.7,3.13,7.07,,,-17.4
2015-09-14,17.72,17.57,-0.79,0.06,392300,1.0,-7.87,-14.71,,,-14.54,20.4,2.73,6.81,,,-18.05
2015-09-15,17.66,17.38,-1.08,0.51,433700,1.12,-2.19,-14.51,,,-15.47,20.0,2.72,6.59,,,-18.94
2015-09-16,17.32,16.97,-2.36,-0.35,325200,0.85,-9.69,-19.46,,,-17.46,19.0,2.55,6.51,,,-20.85
2015-09-17,16.97,17.25,1.65,0.0,348100,0.9,-5.99,-19.54,,,-16.1,21.7,2.55,6.16,,,-19.54
2015-09-18,17.14,17.08,-0.99,-0.64,361500,0.98,-3.56,-20.15,,,-16.93,21.2,2.54,5.91,,,-20.34
2015-09-21,17.08,17.05,-0.18,0.0,329000,0.9,-2.96,-19.58,,,-17.07,21.2,2.55,5.59,,,-20.48
2015-09-22,16.89,16.81,-1.41,-0.94,241700,0.68,-3.28,-20.89,,,-18.24,20.5,2.53,5.4,,,-21.6
2015-09-23,16.77,16.78,-0.18,-0.24,338800,0.98,-1.12,-20.13,,,-18.39,20.4,2.54,5.14,,,-21.74
2015-09-24,16.95,16.94,0.95,1.01,353200,1.02,-1.8,-16.96,,,-17.61,22.3,2.54,4.83,,,-20.99
2015-09-25,16.89,16.98,0.24,-0.3,482000,1.35,-0.59,-16.81,,,-17.41,22.9,2.54,4.63,,,-20.8
2015-09-28,16.87,16.92,-0.35,-0.65,387115,1.06,-0.76,-17.06,,,-17.7,22.6,2.54,4.46,,,-21.08
2015-09-29,16.83,16.84,-0.47,-0.53,117900,0.32,0.18,-15.46,,,-18.09,22.3,2.52,4.3,,,-21.46
2015-09-30,16.82,16.95,0.65,-0.12,345500,0.93,1.01,-14.13,,,-17.56,24.0,2.54,4.07,,,-20.94
2015-10-01,16.88,16.54,-2.42,-0.41,265400,0.74,-2.36,-13.31,,,-19.55,22.0,2.5,4.07,,,-22.85
2015-10-02,16.48,15.76,-4.72,-0.36,378300,1.04,-7.18,-15.77,,,-23.35,18.9,2.64,4.44,,,-26.49
2015-10-05,15.68,15.59,-1.08,-0.51,268384,0.75,-7.86,-19.26,,,-24.17,18.3,2.47,4.39,,,-27.29
2015-10-06,15.51,15.28,-1.99,-0.51,440300,1.25,-9.26,-19.87,,,-25.68,17.2,2.48,4.31,,,-28.73
2015-10-07,15.4,15.23,-0.33,0.79,438000,1.25,-10.15,-14.29,,,-25.92,17.1,2.1,4.2,,,-28.96
2015-10-08,15.36,15.18,-0.33,0.85,695400,1.84,-8.22,-19.21,,,-26.17,16.9,1.5,4.3,,,-29.2
2015-10-09,14.91,15.14,-0.26,-1.78,419300,1.14,-3.93,-17.49,,,-26.36,16.7,1.47,4.26,,,-29.38
2015-10-12,15.16,14.75,-2.58,0.13,120662,0.34,-5.39,-16.71,,,-28.26,15.2,1.41,4.37,,,-31.2
2015-10-13,14.65,14.69,-0.41,-0.68,173000,0.51,-3.86,-16.39,,,-28.55,15.0,1.41,4.21,,,-31.48
2015-10-14,14.76,14.45,-1.63,0.48,150400,0.45,-5.12,-16.86,,,-29.72,14.1,1.42,4.19,-20.47,,-32.6
