date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2016-12-02,14.33,14.1,,,1004,,,,,,0.0,,,1.62,,,
2016-12-05,13.69,13.59,-3.62,-2.91,2585,,,,,,-3.62,0.0,,1.83,,,
2016-12-06,14.44,14.2,4.49,6.25,1450,,,,,,0.71,8.4,,2.06,,,
2016-12-07,14.98,14.79,4.15,5.48,3250,,,,,,4.89,15.8,,2.22,,,
2016-12-08,14.77,14.79,0.0,-0.14,1091,,,,,,4.89,15.8,,2.29,,,
2016-12-09,14.29,14.26,-3.6,-3.38,850,,1.12,,,,1.12,14.6,,2.47,,,
2016-12-12,14.11,13.52,-5.18,-1.04,2005,,-0.52,,,,-4.11,13.1,,3.0,,,
2016-12-13,13.72,13.9,2.81,1.49,1111,,-2.11,,,,-1.41,17.8,,2.9,,,
2016-12-14,14.79,14.37,3.38,6.4,929,,-2.84,,,,1.91,23.4,,3.05,,,
2016-12-15,14.21,13.8,-3.97,-1.11,3637,,-6.69,,,,-2.13,21.5,,3.24,,,
2016-12-16,13.5,13.5,-2.17,-2.17,168986,,-5.32,,,,-4.26,20.5,,3.37,,,
2016-12-19,13.41,13.61,0.81,-0.67,15924,,0.67,,,,-3.48,21.9,,3.6,,,
2016-12-20,13.52,13.65,0.29,-0.66,22022,,-1.8,,,,-3.19,22.4,,3.62,,,
2016-12-21,13.79,13.92,2.0,1.03,4851,,-3.11,,,,-1.25,26.0,,3.47,,,
2016-12-22,14.14,13.71,-1.53,1.55,1750,,-0.65,,,,-2.77,25.1,,3.54,,,
2016-12-23,14.03,14.1,2.84,2.3,2550,,4.44,,,,0.0,30.2,,3.39,,,
2016-12-27,14.01,13.9,-1.4,-0.64,9890,,2.15,,,,-1.4,29.1,,3.3,,,
2016-12-28,14.08,14.0,0.7,1.28,14156,,2.56,,,,-0.71,30.5,,3.18,,,
2016-12-29,14.1,13.91,-0.64,0.71,5158,,-0.1,,,,-1.35,29.9,,3.18,,,
2016-12-30,13.95,14.1,1.37,0.29,17206,1.23,2.84,,,,0.0,32.7,,3.06,,,-4.67
2017-01-03,14.34,13.97,-0.92,1.73,23070,1.53,-0.92,,,,0.0,31.8,,3.07,,,-5.54
2017-01-04,14.0,14.05,0.57,0.21,21909,1.36,1.06,-0.35,,,0.57,33.1,2.75,3.25,,,-5.0
2017-01-05,14.25,13.94,-0.78,1.42,1145,0.07,-0.43,2.58,,,-0.21,32.2,2.63,3.21,,,-5.75
2017-01-06,13.89,13.7,-1.72,-0.36,5654,0.35,-1.51,-3.52,,,-1.93,30.3,2.46,3.16,,,-7.37
2017-01-09,13.71,14.19,3.58,0.09,30328,1.72,0.64,-4.06,,,1.57,38.4,2.41,3.11,,,-4.06
2017-01-10,14.14,14.45,1.83,-0.35,11000,0.61,3.44,-2.3,,,3.44,42.2,2.45,3.06,,,-2.3
2017-01-11,14.46,14.38,-0.48,0.07,12827,0.69,2.35,0.85,,,2.93,41.5,2.32,3.13,,,-2.77
2017-01-12,14.4,14.3,-0.56,0.11,9072,0.47,2.58,5.77,,,2.36,40.6,1.99,3.12,,,-3.31
2017-01-13,14.49,14.32,0.14,1.33,2670,0.14,4.53,3.02,,,2.51,40.9,1.91,2.98,,,-3.18
2017-01-17,14.36,14.0,-2.23,0.28,5489,0.28,-1.34,-2.57,,,0.21,37.2,1.83,3.02,,,-5.34
2017-01-18,13.71,14.08,0.57,-2.07,6261,0.56,-2.56,2.03,,,0.79,38.7,1.6,3.02,,,-4.8
2017-01-19,13.9,13.88,-1.43,-1.28,3154,0.3,-3.48,2.81,,,-0.65,36.4,1.55,3.02,,,-6.16
2017-01-20,13.93,13.99,0.78,0.39,12730,1.27,-2.18,2.78,,,0.13,38.5,1.55,2.87,,,-5.42
2017-01-23,13.99,13.98,-0.09,0.01,9106,0.89,-2.41,2.39,,,0.04,38.4,1.55,2.79,,,-5.51
2017-01-24,14.16,13.9,-0.54,1.32,16420,1.49,-0.71,-0.17,,,-0.5,37.4,1.5,2.8,,,-6.02
2017-01-25,14.11,13.99,0.65,1.51,16938,1.45,-0.64,2.04,,,0.14,39.4,1.46,2.74,,,-5.41
2017-01-26,14.18,13.94,-0.36,1.36,3991,0.35,0.44,-1.13,,,-0.21,38.7,1.32,2.67,,,-5.75
2017-01-27,13.87,13.86,-0.57,-0.5,6200,0.56,-0.92,-0.3,,,-0.79,37.4,1.29,2.66,,,-6.29
2017-01-30,14.04,13.62,-1.73,1.3,10906,0.96,-2.54,-2.71,,,-2.51,33.9,1.33,2.74,,,-7.91
2017-01-31,13.6,13.81,1.4,-0.15,8402,0.77,-0.65,-0.72,,,-1.15,38.8,1.37,2.68,,,-6.63
2017-02-01,13.97,13.72,-0.65,1.19,3500,0.35,-1.93,-2.7,,,-1.79,37.4,1.34,2.65,,,-7.23
2017-02-02,14.04,13.9,1.31,2.33,16412,1.71,-0.29,-0.5,,,-0.5,41.9,1.36,2.6,,,-6.02
2017-02-03,13.86,14.03,0.94,-0.29,22663,2.12,1.23,-0.13,,,0.44,45.1,1.37,2.48,,,-5.13
2017-02-06,14.02,14.05,0.13,-0.08,7167,0.67,3.16,0.79,,,0.57,45.5,1.36,2.36,,,-5.0
2017-02-07,14.07,14.03,-0.14,0.14,3082,0.33,1.59,2.41,,,0.43,45.1,1.3,2.23,,,-5.14
2017-02-08,13.78,13.95,-0.57,-1.78,2018,0.23,1.68,-1.69,,,-0.14,43.4,1.03,2.24,,,-5.68
2017-02-09,13.98,13.98,0.22,0.22,100,0.01,0.58,-3.25,,,0.07,44.2,0.94,2.09,,,-5.48
2017-02-10,14.13,14.13,1.05,1.05,4828,0.6,0.68,-1.77,,,1.12,48.4,0.97,2.1,,,-4.49
2017-02-13,14.12,14.03,-0.69,-0.04,3418,0.42,-0.15,-1.89,,,0.42,45.9,0.97,2.05,,,-5.14
2017-02-14,14.0,14.0,-0.2,-0.22,4665,0.58,-0.21,-2.23,,,0.22,45.2,0.97,2.0,0.02,,-5.33
2017-02-15,14.0,14.18,1.28,-0.01,30150,3.24,1.65,1.29,,,1.51,50.5,0.89,1.93,1.29,,-4.12
2017-02-16,14.1,14.16,-0.15,-0.57,2771,0.3,1.28,0.56,,,1.35,49.9,0.88,1.9,1.06,,-4.27
2017-02-17,14.14,14.15,-0.06,-0.13,1502,0.17,0.17,1.95,,,1.29,49.6,0.81,1.8,1.0,,-4.33
2017-02-21,14.06,14.18,0.21,-0.64,9150,1.05,1.07,1.37,,,1.5,50.6,0.8,1.77,1.3,,-4.12
2017-02-22,14.21,13.98,-1.41,0.21,13942,1.62,-0.15,0.03,,,0.07,44.4,0.86,1.84,-0.01,,-5.48
2017-02-23,14.03,13.75,-1.65,0.36,20252,2.31,-3.04,-1.08,,,-1.57,38.5,0.93,1.96,-1.58,,-7.03
2017-02-24,13.71,13.75,-0.01,-0.29,5064,0.57,-2.89,-1.72,,,-1.58,38.5,0.91,1.97,-1.62,,-7.04
2017-02-27,13.88,14.04,2.12,0.96,5822,0.66,-0.78,0.72,,,0.5,48.5,1.03,1.94,0.44,,-5.07
2017-02-28,14.05,13.71,-2.35,0.07,9490,1.09,-3.31,-1.08,,,-1.86,40.5,1.15,2.02,-1.83,,-7.3
2017-03-01,13.98,14.0,2.12,1.97,13166,1.47,0.14,2.79,,,0.21,48.5,1.17,1.99,0.22,,-5.34
2017-03-02,13.99,14.0,0.0,-0.07,22530,2.27,1.82,1.38,,,0.21,48.5,1.14,1.96,0.15,,-5.34
2017-03-03,13.99,14.1,0.71,-0.07,860,0.09,2.55,2.77,,,0.93,51.2,1.13,1.96,0.79,,-4.67
2017-03-06,14.12,14.27,1.21,0.14,29330,3.1,1.64,2.66,,,2.15,55.4,1.13,1.95,1.92,,-3.52
2017-03-07,14.12,13.95,-2.24,-1.05,13192,1.35,1.75,-0.58,-1.06,,-0.14,47.2,1.22,2.01,-0.37,,-5.68
2017-03-08,14.02,14.0,0.36,0.5,10359,1.02,0.0,-0.36,3.02,,0.21,48.4,1.22,1.99,-0.06,,-5.34
2017-03-09,14.05,13.97,-0.21,0.36,3312,0.32,-0.21,-0.43,-1.62,,0.0,47.7,1.23,1.94,-0.25,,-5.54
2017-03-10,14.07,14.38,2.93,0.72,11533,1.07,1.99,3.08,-2.77,,2.93,57.4,1.38,2.01,2.61,,-2.77
