date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2024-04-25,45.0,48.8,,,6965154,,,,,,0.0,,,21.07,,,
2024-04-26,48.25,49.71,1.86,-1.13,870622,,,,,,1.86,,,19.95,,,
2024-04-29,49.0,49.85,0.28,-1.43,482971,,,,,,2.15,,,18.95,,,
2024-04-30,50.58,52.32,4.95,1.46,669121,,,,,,7.21,,,17.29,,,
2024-05-01,52.09,49.03,-6.29,-0.44,1270682,,,,,,0.47,79.3,,18.09,,,
2024-05-02,49.25,46.4,-5.36,0.45,267323,,-4.92,,,,-4.92,67.3,,18.36,,,
2024-05-03,46.81,48.16,3.79,0.88,418679,,-3.12,,,,-1.31,70.5,,17.13,,,
2024-05-06,47.24,51.1,6.1,-1.91,292409,,2.51,,,,4.71,75.0,,15.68,,,
2024-05-07,51.1,49.83,-2.49,0.0,130604,,-4.76,,,,2.11,70.1,,15.43,,,
2024-05-08,49.9,48.68,-2.31,0.14,120403,,-0.71,,,,-0.25,65.9,,14.89,,,
2024-05-09,48.1,46.47,-4.54,-1.19,450008,,0.15,,,,-4.77,58.6,,15.1,,,
2024-05-10,46.53,46.0,-1.01,0.13,305635,,-4.49,,,,-5.74,57.2,,14.48,,,
2024-05-13,45.5,46.9,1.96,-1.09,380943,,-8.22,,,,-3.89,59.2,,13.42,,,
2024-05-14,47.17,47.15,0.53,0.58,373914,,-5.38,,,,-3.38,59.8,,13.09,,,
2024-05-15,47.65,50.0,6.04,1.06,243684,,2.71,,,,2.46,65.8,,12.01,,,
2024-05-16,50.0,50.75,1.5,0.0,101991,,9.21,,,,4.0,67.2,,11.33,,,
2024-05-17,50.99,51.53,1.54,0.47,130095,,12.02,,,,5.59,68.6,,10.61,,,
2024-05-20,51.35,51.55,0.04,-0.35,183923,,9.91,,,,5.64,68.6,,10.2,,,
2024-05-21,52.21,55.95,8.54,1.28,287698,,18.66,,,,14.65,75.6,,9.32,,,
2024-05-22,57.82,59.71,6.72,3.34,470584,0.65,19.42,,,,22.36,79.7,,8.69,,,0.0
2024-05-23,60.99,54.97,-7.94,2.14,373594,0.95,8.32,,,,12.64,64.8,,9.62,,,-7.94
2024-05-24,55.34,55.21,0.44,0.67,475752,1.28,7.14,13.14,,,13.14,65.2,4.46,9.51,,,-7.54
2024-05-28,55.49,51.5,-6.72,0.51,396995,1.08,-0.1,3.6,,,5.53,55.8,4.73,10.23,,,-13.75
2024-05-29,50.45,56.64,9.98,-2.04,219592,0.64,1.23,13.62,,,16.07,63.6,5.18,9.46,,,-5.14
2024-05-30,56.8,55.55,-1.92,0.28,114866,0.4,-6.97,6.17,,,13.83,61.2,5.12,9.23,,,-6.97
2024-05-31,55.11,56.97,2.56,-0.79,253986,0.89,3.64,16.19,,,16.74,63.2,4.9,8.71,,,-4.59
2024-06-03,57.14,57.15,0.32,0.3,423918,1.48,3.51,23.17,,,17.11,63.4,4.7,8.51,,,-4.29
2024-06-04,56.47,57.68,0.93,-1.19,134833,0.48,12.0,19.77,,,18.2,64.2,4.65,8.08,,,-3.4
2024-06-05,57.72,58.04,0.62,0.07,112312,0.4,2.47,13.58,,,18.93,64.8,4.5,7.69,,,-2.8
2024-06-06,58.11,58.62,1.0,0.12,86882,0.31,5.53,17.64,,,20.12,65.7,4.44,7.26,,,-1.83
2024-06-07,58.49,59.06,0.75,-0.22,208775,0.79,3.67,21.32,,,21.02,66.4,4.38,6.9,,,-1.09
2024-06-10,58.99,60.5,2.44,-0.12,312586,1.18,5.86,30.19,,,23.98,68.7,4.2,6.87,,,0.0
2024-06-11,60.13,60.63,0.21,-0.61,217885,0.85,5.11,31.8,,,24.24,68.9,4.18,6.59,,,0.0
2024-06-12,60.84,64.12,5.76,0.35,253057,1.01,10.48,36.72,,,31.39,74.0,4.28,6.27,,,0.0
2024-06-13,64.34,59.56,-7.11,0.34,290984,1.15,1.6,26.32,,,22.05,60.3,4.68,7.06,,,-7.11
