date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2000-01-03,3.24,3.22,0.72,1.29,37003665,0.98,3.58,28.25,73.42,152.23,0.0,69.5,5.34,5.47,26.52,99.35,0.0
2000-01-04,3.13,3.08,-4.36,-2.8,38304190,1.07,2.19,23.21,60.33,140.15,-4.36,61.9,5.47,5.72,20.19,89.39,-4.36
2000-01-05,3.07,3.04,-1.45,-0.43,35968111,1.03,2.98,12.24,56.04,147.47,-5.74,59.6,5.25,5.81,17.64,85.42,-5.74
2000-01-06,3.01,3.02,-0.71,-1.04,30706833,0.9,2.25,11.75,51.06,130.52,-6.41,58.5,5.26,5.84,16.01,82.89,-6.41
2000-01-07,3.03,3.06,1.48,0.32,42822845,1.29,-4.34,18.07,59.63,137.21,-5.03,60.2,5.15,5.86,16.99,84.36,-5.03
2000-01-10,3.07,3.22,5.18,0.37,65517391,1.9,-0.11,26.77,66.16,148.15,-0.11,65.4,5.18,5.7,22.08,92.54,-0.11
2000-01-11,3.18,3.18,-1.23,-1.34,49862350,1.4,3.16,26.93,59.53,147.74,-1.34,63.2,5.18,5.93,19.78,88.85,-1.34
2000-01-12,3.21,3.27,2.82,0.79,59715608,1.64,7.62,26.93,60.01,128.5,1.44,66.0,5.18,5.88,22.37,92.81,0.0
2000-01-13,3.29,3.26,-0.21,0.6,31717922,0.9,8.16,35.24,57.99,130.4,1.22,65.6,4.9,5.75,21.29,91.06,-0.21
2000-01-14,3.33,3.72,14.06,2.03,99452794,2.55,21.57,52.3,75.83,153.51,15.46,76.3,5.6,5.66,36.94,116.1,0.0
2000-01-18,3.66,3.72,-0.05,-1.56,66301866,1.62,15.53,47.14,75.37,164.43,15.4,76.2,5.62,5.62,35.63,114.28,-0.05
2000-01-19,3.74,3.91,5.16,0.48,61943559,1.54,23.0,52.28,93.1,180.44,21.35,79.3,5.66,5.66,41.12,123.44,0.0
2000-01-20,3.97,4.1,4.91,1.41,72532483,1.76,25.5,34.34,99.81,198.82,27.31,81.9,4.23,5.55,46.4,132.29,0.0
2000-01-21,4.29,3.98,-2.89,4.49,87270496,1.98,22.13,27.48,87.26,203.67,23.62,75.7,4.33,6.06,40.72,123.63,-2.89
