date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2014-06-19,240.0,237.0,,,274124,,,,,,0.0,,,9.01,,,
2014-06-20,240.6,237.6,0.25,1.52,63665,,,,,,0.25,,,8.54,,,
2014-06-23,242.88,239.4,0.76,2.22,30638,,,,,,1.01,,,8.03,,,
2014-06-24,239.4,237.96,-0.6,0.0,21962,,,,,,0.41,86.1,,7.72,,,
2014-06-25,237.0,237.0,-0.4,-0.4,12663,,,,,,0.0,78.3,,7.28,,,
2014-06-26,236.52,237.0,0.0,-0.2,9953,,0.0,,,,0.0,78.3,,6.8,,,
2014-06-27,237.72,237.0,0.0,0.3,11056,,-0.25,,,,0.0,78.3,,6.53,,,
2014-06-30,238.56,237.36,0.15,0.66,16405,,-0.85,,,,0.15,79.2,,6.16,,,
2014-07-01,236.76,237.84,0.2,-0.25,6188,,-0.05,,,,0.35,80.3,,5.83,,,
2014-07-02,237.6,236.76,-0.45,-0.1,3217,,-0.1,,,,-0.1,70.8,,5.57,,,
2014-07-03,238.2,237.84,0.46,0.61,691,,0.35,,,,0.35,74.1,,5.22,,,
2014-07-07,231.0,234.0,-1.61,-2.88,5281,,-1.27,,,,-1.27,51.7,,5.14,,,
2014-07-08,234.0,228.12,-2.51,0.0,6886,,-3.89,,,,-3.75,34.5,,5.3,,,
2014-07-09,226.92,225.96,-0.95,-0.53,3847,,-4.99,,,,-4.66,30.5,,5.39,,,
2014-07-10,220.8,223.56,-1.06,-2.28,2080,,-5.58,,,,-5.67,26.8,,5.43,,,
2014-07-11,222.24,224.76,0.54,-0.59,2021,,-5.5,,,,-5.16,31.3,,5.15,,,
2014-07-14,225.0,221.28,-1.55,0.11,4502,,-5.44,,,,-6.63,26.3,,5.1,,,
2014-07-15,222.6,219.84,-0.65,0.6,1731,,-3.63,,,,-7.24,24.5,,4.86,,,
2014-07-16,221.16,219.6,-0.11,0.6,2082,,-2.81,,,,-7.34,24.2,,4.67,,,
2014-07-17,219.48,215.76,-1.75,-0.05,6734,0.28,-3.49,,,,-8.96,20.1,,4.69,,,-9.87
2014-07-18,216.48,214.32,-0.67,0.33,3439,0.32,-4.64,,,,-9.57,18.8,,4.6,,,-10.48
2014-07-21,215.28,216.0,0.78,0.45,1654,0.22,-2.39,-8.86,,,-8.86,24.9,0.89,4.52,,,-9.77
