date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,5.15,5.3,,,597583,,,,,,0.0,,,3.21,,,
2005-02-28,5.32,5.28,-0.38,0.38,430299,,,,,,-0.38,0.0,,3.23,,,
2005-03-01,5.28,5.45,3.22,0.0,467587,,,,,,2.83,39.5,,3.24,,,
2005-03-02,5.3,5.18,-4.95,-2.75,924678,,,,,,-2.26,23.6,,3.55,,,
2005-03-03,5.25,5.17,-0.19,1.35,520394,,,,,,-2.45,23.2,,3.69,,,
2005-03-04,5.12,5.1,-1.35,-0.97,459714,,-3.77,,,,-3.77,20.7,,3.75,,,
2005-03-07,5.2,5.33,4.51,1.96,592365,,0.95,,,,0.57,42.5,,3.71,,,
2005-03-08,5.5,5.25,-1.5,3.19,520966,,-3.67,,,,-0.94,38.5,,3.86,,,
2005-03-09,5.18,5.09,-3.05,-1.33,887488,,-1.74,,,,-3.96,32.1,,4.08,,,
2005-03-10,5.15,5.05,-0.79,1.18,382771,,-2.32,,,,-4.72,30.7,,4.03,,,
2005-03-11,5.08,4.96,-1.78,0.59,518830,,-2.75,,,,-6.42,27.8,,4.14,,,
2005-03-14,4.94,5.05,1.81,-0.4,457073,,-5.25,,,,-4.72,34.5,,4.0,,,
2005-03-15,5.05,4.96,-1.78,0.0,485615,,-5.52,,,,-6.42,31.3,,4.17,,,
2005-03-16,5.02,4.82,-2.82,1.21,1001751,,-5.3,,,,-9.06,27.2,,4.43,,,
2005-03-17,4.82,5.08,5.39,0.0,922178,,0.59,,,,-4.15,42.4,,4.3,,,
2005-03-18,4.98,5.02,-1.18,-1.97,1545216,,1.21,,,,-5.28,40.3,,4.24,,,
2005-03-21,4.99,5.01,-0.2,-0.6,950478,,-0.79,,,,-5.47,39.9,,4.21,,,
2005-03-22,4.96,5.09,1.6,-1.0,883424,,2.62,,,,-3.96,44.2,,4.32,,,
2005-03-23,5.11,5.22,2.55,0.39,927238,,8.3,,,,-1.51,50.3,,4.24,,,
2005-03-24,5.34,5.3,1.53,2.3,568669,0.81,4.33,,,,0.0,53.6,,4.06,,,-2.75
2005-03-28,5.31,5.3,0.0,0.19,772881,1.09,5.58,,,,0.0,53.6,,4.0,,,-2.75
2005-03-29,5.28,5.18,-2.26,-0.38,602261,0.84,3.39,-2.26,,,-2.26,48.0,2.59,4.15,,,-4.95
2005-03-30,5.21,5.4,4.25,0.58,442585,0.62,6.09,2.27,,,1.89,56.9,2.75,3.98,,,-0.92
2005-03-31,5.4,5.37,-0.56,0.0,597640,0.85,2.87,-1.47,,,1.32,55.5,2.66,3.93,,,-1.47
2005-04-01,5.4,5.13,-4.47,0.56,1050560,1.44,-3.21,-0.97,,,-3.21,45.8,2.62,4.3,,,-5.87
2005-04-04,5.17,5.12,-0.19,0.78,640172,0.87,-3.4,-0.97,,,-3.4,45.4,2.62,4.29,,,-6.06
2005-04-05,5.1,5.12,0.0,-0.39,403417,0.55,-1.16,0.39,,,-3.4,45.4,2.6,4.25,,,-6.06
2005-04-06,5.19,5.24,2.34,1.37,635573,0.87,-2.96,-1.69,,,-1.13,50.8,2.46,4.03,,,-3.85
2005-04-07,5.21,5.34,1.91,-0.57,478939,0.67,-0.56,1.71,,,0.75,54.8,2.47,3.97,,,-2.02
2005-04-08,5.37,5.27,-1.31,0.56,510604,0.71,2.73,3.54,,,-0.57,51.6,2.38,4.01,,,-3.3
2005-04-11,5.28,5.09,-3.42,0.19,741932,1.02,-0.59,0.79,,,-3.96,44.5,2.5,4.2,,,-6.61
