date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2021-11-22,9.66,9.67,,,24960,,,,,,0.0,,,0.31,,,
2021-11-23,9.66,9.66,-0.1,-0.1,85970,,,,,,-0.1,0.0,,0.3,,,
2021-11-24,9.68,9.68,0.2,0.21,13563,,,,,,0.09,12.8,,0.29,,,
2021-11-26,9.66,9.67,-0.09,-0.2,542578,,,,,,0.0,12.0,,0.31,,,
2021-11-29,9.76,9.68,0.1,0.93,616,,,,,,0.1,18.0,,0.36,,,
2021-11-30,9.7,9.71,0.31,0.21,6705,,0.41,,,,0.41,32.8,,0.36,,,
2021-12-01,9.7,9.71,0.0,-0.1,1753,,0.52,,,,0.41,32.8,,0.35,,,
2021-12-02,9.7,9.7,-0.11,-0.1,501,,0.21,,,,0.3,30.5,,0.34,,,
2021-12-03,9.7,9.7,0.0,0.01,1019,,0.31,,,,0.31,30.7,,0.31,,,
2021-12-06,9.69,9.68,-0.2,-0.1,2711,,0.0,,,,0.1,26.8,,0.31,,,
2021-12-08,9.63,9.66,-0.21,-0.52,3235,,-0.51,,,,-0.1,23.5,,0.34,,,
2021-12-09,9.69,9.69,0.31,0.31,2612,,-0.21,,,,0.21,36.2,,0.34,,,
2021-12-10,9.68,9.66,-0.31,-0.1,202464,,-0.4,,,,-0.1,30.7,,0.34,,,
2021-12-13,9.69,9.66,-0.0,0.31,600,,-0.41,,,,-0.11,30.6,,0.34,,,
2021-12-14,9.69,9.69,0.31,0.31,1202,,0.1,,,,0.21,41.1,,0.37,,,
2021-12-17,9.64,9.69,0.0,-0.52,1008,,0.31,,,,0.21,41.1,,0.38,,,
2021-12-20,9.65,9.65,-0.41,-0.41,5200,,-0.41,,,,-0.21,33.4,,0.39,,,
2021-12-21,9.65,9.66,0.1,0.0,6002,,0.0,,,,-0.1,36.6,,0.36,,,
2021-12-22,9.67,9.66,0.0,0.1,17908,,0.0,,,,-0.1,36.6,,0.35,,,
2021-12-23,9.69,9.69,0.31,0.31,150,0.0,0.0,,,,0.21,45.7,,0.35,,,-0.21
2021-12-31,9.64,9.64,-0.52,-0.52,533,0.01,-0.52,,,,-0.31,36.3,,0.36,,,-0.72
2022-01-03,9.66,9.69,0.52,0.21,1655,0.04,0.41,0.21,,,0.0,47.8,0.26,0.37,,,-0.21
2022-01-07,9.66,9.66,-0.31,-0.31,133,0.0,0.0,0.0,,,-0.31,42.8,0.27,0.37,,,-0.51
2022-01-13,9.69,9.69,0.31,0.26,8860,0.67,0.31,0.11,,,0.0,48.6,0.27,0.37,,,-0.21
2022-01-20,9.69,9.67,-0.21,0.0,41808,2.73,-0.21,0.0,,,-0.21,45.3,0.28,0.36,,,-0.41
2022-01-21,9.69,9.69,0.21,0.21,151,0.01,0.52,0.1,,,0.0,49.0,0.28,0.35,,,-0.21
2022-01-27,9.65,9.65,-0.41,-0.41,2200,0.15,-0.41,-0.62,,,-0.41,42.8,0.29,0.38,,,-0.62
2022-01-28,9.65,9.65,0.0,0.0,1000,0.07,-0.1,-0.62,,,-0.41,42.8,0.29,0.36,,,-0.62
2022-02-02,9.65,9.65,0.0,0.0,209,0.01,-0.41,-0.51,,,-0.41,42.8,0.28,0.33,,,-0.62
2022-02-04,9.62,9.62,-0.36,-0.31,662035,13.81,-0.57,-0.87,,,-0.77,37.5,0.29,0.38,,,-0.98
2022-02-07,9.62,9.62,0.05,0.05,450,0.01,-0.72,-0.62,,,-0.72,38.7,0.29,0.39,,,-0.93
2022-02-10,9.62,9.62,0.0,0.0,5003,0.1,-0.31,-0.41,,,-0.72,38.7,0.29,0.36,,,-0.93
2022-02-17,9.7,9.7,0.83,0.83,1000,0.03,0.52,0.1,,,0.1,54.4,0.34,0.39,,,-0.1
2022-02-23,9.62,9.64,-0.62,-0.82,2647,0.07,-0.1,-0.21,,,-0.52,45.1,0.36,0.42,,,-0.72
2022-02-24,9.57,9.63,-0.1,-0.73,113600,2.61,0.16,-0.31,,,-0.62,43.7,0.36,0.45,,,-0.82
2022-02-28,9.63,9.63,-0.02,-0.02,5000,0.11,0.09,-0.64,,,-0.64,43.5,0.35,0.42,,,-0.84
2022-03-02,9.64,9.64,0.12,0.12,500,0.01,0.21,-0.52,,,-0.52,45.7,0.35,0.39,,,-0.72
2022-03-03,9.64,9.65,0.1,0.0,10889,0.25,-0.52,0.0,,,-0.41,47.5,0.34,0.39,,,-0.62
2022-03-07,9.65,9.65,0.0,0.0,1110,0.03,0.1,-0.1,,,-0.41,47.5,0.34,0.36,,,-0.62
2022-03-08,9.65,9.67,0.21,0.0,6008,0.14,0.42,0.1,,,-0.21,51.4,0.34,0.35,,,-0.41
2022-03-09,9.68,9.69,0.21,0.1,1060,0.02,0.64,0.0,,,0.0,55.0,0.34,0.34,,,-0.21
2022-03-17,9.59,9.65,-0.41,-1.08,1542,0.04,0.1,0.1,,,-0.41,47.5,0.33,0.39,,,-0.62
2022-03-21,9.66,9.69,0.41,0.1,600,0.01,0.41,0.0,,,0.0,54.2,0.33,0.4,,,-0.21
2022-03-24,9.73,9.66,-0.31,0.41,623,0.01,0.1,0.0,,,-0.31,49.1,0.33,0.42,,,-0.51
2022-03-25,9.68,9.68,0.21,0.21,385,0.01,0.1,-0.1,,,-0.1,52.3,0.32,0.42,,,-0.31
2022-03-28,9.69,9.69,0.1,0.1,126,0.0,0.0,0.21,,,0.0,53.9,0.32,0.39,,,-0.21
2022-03-29,9.69,9.66,-0.26,0.0,7325,0.18,0.16,-0.26,,,-0.26,49.5,0.32,0.41,,,-0.46
2022-03-30,9.67,9.67,0.05,0.05,10012,0.24,-0.21,0.21,,,-0.21,50.4,0.31,0.38,,,-0.41
2022-03-31,9.67,9.67,0.0,0.0,10001,0.24,0.1,0.21,,,-0.21,50.4,0.31,0.36,,,-0.41
2022-04-04,9.68,9.66,-0.1,0.05,2047,0.23,-0.21,0.1,,,-0.31,48.4,0.31,0.35,-0.07,,-0.51
2022-04-05,9.66,9.65,-0.1,0.0,2380,0.26,-0.41,0.36,,,-0.41,46.5,0.3,0.35,-0.17,,-0.62
2022-04-06,9.64,9.64,-0.1,-0.1,200,0.02,-0.26,0.21,,,-0.52,44.6,0.3,0.33,-0.27,,-0.72
2022-04-08,9.64,9.65,0.1,0.0,19569,2.0,-0.21,0.31,,,-0.41,47.0,0.3,0.32,-0.16,,-0.62
2022-04-18,9.68,9.68,0.31,0.31,304,0.03,0.1,-0.21,,,-0.1,53.3,0.25,0.32,0.15,,-0.31
2022-04-20,9.69,9.69,0.1,0.1,948,0.24,0.31,0.52,,,0.0,55.3,0.2,0.3,0.25,,-0.21
2022-04-21,9.69,9.69,0.0,0.0,254953,15.42,0.41,0.62,,,0.0,55.3,0.2,0.28,0.25,,-0.21
2022-04-25,9.69,9.7,0.1,0.0,111022,5.03,0.62,0.74,,,0.1,57.3,0.2,0.27,0.36,,-0.1
2022-04-26,9.7,9.72,0.21,0.0,3124,0.14,0.73,0.83,,,0.31,61.1,0.2,0.26,0.56,,0.0
2022-04-27,9.7,9.71,-0.1,-0.21,16600,0.74,0.31,0.62,,,0.21,58.3,0.21,0.26,0.46,,-0.1
2022-05-02,9.71,9.7,-0.1,-0.02,1502,0.07,0.1,0.52,,,0.1,55.6,0.21,0.25,0.35,,-0.21
2022-05-03,9.7,9.7,0.0,0.0,724,0.03,0.1,0.31,,,0.1,55.6,0.2,0.23,0.34,,-0.21
2022-05-04,9.73,9.71,0.1,0.31,34790,1.46,0.1,0.21,,,0.21,57.9,0.2,0.23,0.44,,-0.1
2022-05-05,9.7,9.7,-0.1,-0.1,148553,4.75,-0.21,0.52,,,0.1,54.8,0.18,0.24,0.33,,-0.21
2022-05-06,9.74,9.7,0.0,0.41,28963,0.89,-0.1,0.1,0.31,,0.1,54.8,0.15,0.27,0.32,,-0.21
2022-05-10,9.67,9.73,0.31,-0.31,201,0.01,0.31,0.72,0.72,,0.41,61.9,0.15,0.29,0.62,,0.0
2022-05-11,9.67,9.67,-0.62,-0.62,20697,0.61,-0.31,-0.1,-0.09,,-0.21,46.3,0.2,0.32,0.0,,-0.62
2022-05-12,9.65,9.63,-0.41,-0.21,22259,0.65,-0.82,-0.62,-0.41,,-0.62,39.2,0.22,0.34,-0.41,,-1.03
2022-05-17,9.64,9.64,0.1,0.1,80000,2.11,-0.62,-0.26,-0.41,,-0.52,41.6,0.21,0.32,-0.3,,-0.92
2022-05-25,9.63,9.63,-0.1,-0.1,500000,8.01,-0.72,-0.41,-0.82,,-0.62,39.9,0.21,0.31,-0.39,,-1.03
2022-05-31,9.7,9.66,0.31,0.73,235463,3.18,-0.72,-0.1,-0.51,,-0.31,46.9,0.22,0.34,-0.08,,-0.72
2022-06-02,9.66,9.66,0.0,0.0,323,0.0,-0.1,0.0,-0.4,,-0.31,46.9,0.22,0.31,-0.08,,-0.72
2022-06-03,9.66,9.66,0.0,0.0,747,0.01,0.31,0.1,-0.41,,-0.31,46.9,0.22,0.29,-0.08,,-0.72
2022-06-06,9.71,9.72,0.62,0.52,601,0.01,0.83,0.83,0.41,,0.31,58.9,0.26,0.31,0.53,,-0.1
2022-06-10,9.72,9.72,0.0,0.0,508,0.01,0.93,0.73,0.62,,0.31,58.9,0.26,0.29,0.53,,-0.1
2022-06-14,9.7,9.69,-0.28,-0.21,1837,0.03,0.34,0.13,0.03,,0.03,52.6,0.26,0.29,0.24,,-0.38
2022-06-15,9.71,9.71,0.18,0.18,501,0.01,0.52,0.21,0.52,,0.21,55.8,0.26,0.28,0.41,,-0.21
2022-06-16,9.64,9.64,-0.72,-0.72,305,0.01,-0.21,-0.52,-0.2,,-0.52,43.1,0.31,0.31,-0.31,,-0.92
2022-06-17,9.68,9.69,0.52,0.41,32067,0.57,-0.31,-0.1,0.0,,0.0,51.6,0.33,0.33,0.2,,-0.41
2022-06-21,9.8,9.63,-0.62,1.14,1130,0.02,-0.93,-0.93,-0.62,,-0.62,43.3,0.35,0.43,-0.42,,-1.03
2022-06-22,9.66,9.69,0.62,0.31,5402,0.1,-0.03,-0.21,0.41,,0.0,51.7,0.38,0.44,0.19,,-0.41
2022-07-08,9.69,9.65,-0.41,0.0,601,0.01,-0.62,-0.52,-0.1,,-0.41,46.7,0.39,0.44,-0.23,,-0.82
2022-07-11,9.69,9.69,0.41,0.41,1141,0.02,0.52,-0.1,0.31,,0.0,51.7,0.4,0.44,0.17,,-0.41
2022-07-20,9.68,9.66,-0.31,-0.1,405,0.01,-0.31,-0.51,-0.31,,-0.31,48.1,0.4,0.43,-0.13,,-0.72
2022-07-21,9.7,9.7,0.41,0.41,1500,0.03,0.73,0.0,0.62,,0.1,52.8,0.41,0.43,0.27,,-0.31
