date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2007-02-05,350.0,350.0,,,0,,,,,,0.0,,,0.0,,,
2007-02-06,350.0,318.15,-9.1,0.0,74884,,,,,,-9.1,0.0,,0.86,,,
2007-02-07,320.95,337.75,6.16,0.88,12222,,,,,,-3.5,4.5,,1.32,,,
2007-02-08,338.45,344.4,1.97,0.21,7886,,,,,,-1.6,6.1,,1.37,,,
2007-02-09,346.5,344.75,0.1,0.61,2377,,,,,,-1.5,6.2,,1.38,,,
2007-02-12,344.75,336.0,-2.54,0.0,1987,,-4.0,,,,-4.0,6.0,,1.64,,,
2007-02-13,333.2,328.65,-2.19,-0.83,1277,,3.3,,,,-6.1,5.9,,1.78,,,
2007-02-14,323.4,324.45,-1.28,-1.6,1679,,-3.94,,,,-7.3,5.8,,1.94,,,
2007-02-15,324.45,332.5,2.48,0.0,747,,-3.46,,,,-5.0,8.3,,1.97,,,
2007-02-16,332.85,324.1,-2.53,0.11,1215,,-5.99,,,,-7.4,8.0,,2.18,,,
2007-02-20,321.65,318.5,-1.73,-0.76,1982,,-5.21,,,,-9.0,7.9,,2.3,,,
2007-02-21,320.25,317.1,-0.44,0.55,316,,-3.51,,,,-9.4,7.8,,2.25,,,
2007-02-22,322.0,319.9,0.88,1.55,522,,-1.4,,,,-8.6,8.9,,2.2,,,
2007-02-23,318.5,308.0,-3.72,-0.44,1772,,-7.37,,,,-12.0,8.4,,2.47,,,
2007-02-26,305.9,306.25,-0.57,-0.68,1862,,-5.51,,,,-12.5,8.4,,2.47,,,
2007-02-27,297.85,297.85,-2.74,-2.74,1639,,-6.48,,,,-14.9,8.0,,2.56,,,
2007-02-28,298.55,298.55,0.24,0.24,2429,,-5.85,,,,-14.7,8.4,,2.73,,,
2007-03-01,299.25,292.25,-2.11,0.23,943,,-8.64,,,,-16.5,8.1,,2.78,,,
2007-03-02,290.5,289.45,-0.96,-0.6,885,,-6.02,,,,-17.3,8.0,,2.77,,,
2007-03-05,304.85,287.0,-0.85,5.32,1380,0.23,-6.29,,,,-18.0,7.9,,3.05,,,-18.0
2007-03-06,304.5,306.25,6.71,6.1,1862,0.31,2.82,,,,-12.5,17.8,,3.17,,,-12.5
2007-03-07,306.95,305.9,-0.11,0.23,1401,0.6,2.46,-12.6,,,-12.6,17.7,3.31,3.18,,,-12.6
2007-03-08,314.3,304.15,-0.57,2.75,491,0.28,4.07,-4.4,,,-13.1,17.5,2.68,3.22,,,-13.1
2007-03-09,310.8,308.7,1.5,2.19,2514,1.72,6.65,-8.6,,,-11.8,20.0,2.29,3.19,,,-11.8
2007-03-12,314.3,314.65,1.93,1.81,48,0.04,9.63,-8.64,,,-10.1,23.3,2.29,3.04,,,-10.1
2007-03-13,314.65,308.0,-2.11,0.0,1217,0.93,0.57,-10.66,,,-12.0,22.2,2.32,3.07,,,-12.0
2007-03-14,308.0,315.0,2.27,0.0,3483,2.45,2.97,-6.25,,,-10.0,26.2,2.35,3.37,,,-10.0
2007-03-15,311.85,313.25,-0.56,-1.0,506,0.37,2.99,-4.69,,,-10.5,25.8,2.31,3.38,,,-10.5
2007-03-16,316.05,320.25,2.23,0.89,899,0.66,3.74,-1.29,,,-8.5,29.9,2.35,3.3,,,-8.5
2007-03-19,344.75,325.5,1.64,7.65,3381,2.29,3.45,-2.11,,,-7.0,32.9,2.31,3.66,,,-7.0
2007-03-20,329.7,322.7,-0.86,1.29,1215,0.84,4.77,-0.43,,,-7.8,32.1,2.25,3.64,,,-7.8
2007-03-21,323.75,314.3,-2.6,0.33,927,0.63,-0.22,-1.32,,,-10.2,29.8,2.29,3.76,,,-10.2
2007-03-22,309.4,312.55,-0.56,-1.56,499,0.34,-0.22,-1.43,,,-10.7,29.3,2.29,3.84,,,-10.7
2007-03-23,317.8,312.55,0.0,1.68,296,0.21,-2.4,-2.3,,,-10.7,29.3,2.28,3.71,,,-10.7
2007-03-26,310.1,297.85,-4.7,-0.78,1030,0.76,-8.49,-3.3,,,-14.9,25.4,2.37,3.98,,,-14.9
2007-03-27,312.9,302.4,1.53,5.05,497,0.38,-6.29,-1.26,,,-13.6,28.6,2.4,4.0,,,-13.6
2007-03-28,301.0,298.55,-1.27,-0.46,348,0.29,-5.01,0.24,,,-14.7,27.5,2.33,3.89,,,-14.7
2007-03-29,305.9,303.8,1.76,2.46,633,0.54,-2.8,1.76,,,-13.2,31.3,2.36,3.72,,,-13.2
2007-03-30,314.3,282.45,-7.03,3.46,10710,6.43,-9.63,-3.35,,,-19.3,25.5,2.8,4.53,,,-19.3
2007-04-02,287.0,292.95,3.72,1.61,1802,1.07,-1.65,1.21,,,-16.3,32.1,2.91,4.5,,,-16.3
2007-04-03,292.25,287.35,-1.91,-0.24,731,0.45,-4.98,0.12,,,-17.9,30.6,2.94,4.49,,,-17.9
2007-04-04,285.6,293.3,2.07,-0.61,1336,0.82,-1.76,-4.23,,,-16.2,34.2,2.56,4.34,,,-16.2
2007-04-05,297.5,297.85,1.55,1.43,969,0.59,-1.96,-2.63,,,-14.9,37.0,2.59,4.18,,,-14.9
2007-04-09,301.0,294.7,-1.06,1.06,543,0.35,4.34,-3.11,,,-15.8,35.9,2.6,4.25,,,-15.8
2007-04-10,292.6,279.65,-5.11,-0.71,1469,0.9,-4.54,-9.41,,,-20.1,31.1,2.79,4.61,,,-20.1
2007-04-11,277.9,287.35,2.75,-0.63,897,0.56,0.0,-8.68,,,-17.9,35.8,2.83,4.53,,,-17.9
2007-04-12,287.35,292.6,1.83,0.0,563,0.38,-0.24,-5.0,,,-16.4,38.9,2.84,4.4,,,-16.4
2007-04-13,290.5,294.35,0.6,-0.72,699,0.47,-1.18,-6.56,,,-15.9,39.9,2.79,4.4,,,-15.9
2007-04-16,294.35,301.0,2.26,0.0,624,0.43,2.14,-3.91,,,-14.0,43.8,2.84,4.19,,,-14.0
