date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2020-10-20,10.16,10.49,,,614700,,,,,,0.0,,,5.62,,,
2020-10-21,10.4,10.52,0.29,-0.86,347237,,,,,,0.29,,,5.34,,,
2020-10-22,10.52,10.8,2.66,0.0,64428,,,,,,2.96,,,5.09,,,
2020-10-23,10.97,10.56,-2.22,1.57,24370,,,,,,0.67,72.2,,5.19,,,
2020-10-26,10.58,10.49,-0.66,0.19,172865,,,,,,0.0,66.4,,5.13,,,
2020-10-27,10.25,10.26,-2.19,-2.29,123902,,-2.19,,,,-2.19,51.7,,5.37,,,
2020-10-28,10.25,10.17,-0.88,-0.1,15574,,-3.33,,,,-3.05,47.3,,5.14,,,
2020-10-29,10.37,10.26,0.87,1.97,1342,,-5.02,,,,-2.21,51.6,,4.91,,,
2020-10-30,10.23,10.26,0.02,-0.28,5937,,-2.84,,,,-2.19,51.7,,4.58,,,
2020-11-02,10.29,10.3,0.39,0.29,1872,,-1.81,,,,-1.81,53.7,,4.28,,,
2020-11-03,10.34,10.31,0.15,0.39,4122,,0.54,,,,-1.67,54.5,,4.1,,,
2020-11-04,10.26,10.25,-0.63,-0.5,14525,,0.79,,,,-2.29,50.6,,3.91,,,
2020-11-05,10.22,10.29,0.39,-0.29,29272,,0.31,,,,-1.91,52.8,,3.79,,,
2020-11-09,10.38,10.25,-0.39,0.87,5365,,-0.1,,,,-2.29,50.4,,3.7,,,
2020-11-11,10.37,10.37,1.17,1.17,1161,,0.68,,,,-1.14,56.8,,3.48,,,
2020-11-16,10.56,10.45,0.77,1.83,1005,,1.31,,,,-0.38,60.5,,3.35,,,
2020-11-17,10.57,10.31,-1.34,1.15,1807,,0.59,,,,-1.72,52.1,,3.34,,,
2020-11-18,10.58,10.45,1.36,2.62,3516,,1.55,,,,-0.38,58.4,,3.26,,,
2020-11-19,10.51,10.51,0.57,0.57,641,,2.54,,,,0.19,60.7,,3.06,,,
2020-11-20,10.31,10.6,0.86,-1.9,5377,0.07,2.22,,,,1.05,64.0,,3.1,,,-1.85
2020-11-23,10.57,10.5,-0.94,-0.28,4011,0.1,0.48,,,,0.1,58.2,,3.01,,,-2.78
2020-11-24,10.41,10.56,0.57,-0.86,612,0.03,2.42,0.67,,,0.67,60.5,1.17,2.88,,,-2.22
2020-11-25,10.76,10.51,-0.47,1.89,231,0.01,0.57,-0.1,,,0.19,57.6,1.18,2.86,,,-2.69
2020-11-27,10.74,10.66,1.47,2.2,1327,0.07,1.47,-1.25,,,1.67,63.4,1.07,2.89,,,-1.25
2020-11-30,10.5,10.4,-2.48,-1.55,4609,0.41,-1.89,-1.52,,,-0.86,50.6,1.1,2.94,,,-3.7
2020-12-01,10.5,10.83,4.13,0.97,637,0.12,3.14,3.24,,,3.24,63.5,1.42,2.9,,,0.0
2020-12-02,10.5,10.45,-3.51,-3.05,2114,0.47,-1.04,1.85,,,-0.38,50.9,1.55,3.08,,,-3.51
2020-12-03,10.72,10.5,0.48,2.62,3361,0.73,-0.1,3.24,,,0.1,52.2,1.54,3.03,,,-3.05
2020-12-04,10.55,10.58,0.76,0.52,1179,0.27,-0.8,3.14,,,0.86,54.4,1.53,2.85,,,-2.31
2020-12-07,10.88,10.52,-0.57,2.84,7618,1.65,1.15,2.53,,,0.29,52.5,1.54,2.91,,,-2.86
2020-12-08,10.81,10.6,0.76,2.76,2782,0.61,-2.12,2.91,,,1.05,54.8,1.55,2.87,,,-2.12
2020-12-09,10.74,10.6,0.0,1.32,7790,1.85,1.44,2.76,,,1.05,54.8,1.55,2.8,,,-2.12
2020-12-10,10.65,10.7,0.94,0.47,30850,7.18,1.9,4.39,,,2.0,57.7,1.55,2.77,,,-1.2
