date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2000-01-03,33.45,32.87,-3.54,-1.84,3043698,1.05,0.7,-2.87,0.6,7.42,0.0,48.0,1.92,2.69,-0.93,5.07,-8.18
2000-01-04,32.33,31.55,-4.01,-1.63,3800496,1.26,-6.46,-8.77,-1.97,1.28,-4.01,39.9,2.02,2.93,-4.9,0.75,-11.86
2000-01-05,31.73,32.47,2.9,0.58,5180760,1.66,-4.35,-4.66,0.34,4.35,-1.22,46.7,2.12,3.08,-2.16,3.55,-9.3
2000-01-06,32.85,35.08,8.06,1.17,8368706,2.47,4.56,8.35,7.79,12.31,6.74,60.3,2.53,3.3,5.53,11.7,-1.99
2000-01-07,35.21,35.77,1.95,0.36,5743454,1.61,4.97,9.3,8.46,16.01,8.83,63.0,2.55,3.27,7.43,13.68,-0.07
2000-01-10,34.97,35.59,-0.5,-2.25,5410998,1.45,8.28,9.11,7.91,17.05,8.28,61.8,2.55,3.3,6.77,12.91,-0.57
2000-01-11,35.08,34.99,-1.69,-1.42,3301660,0.87,10.89,6.97,6.36,13.63,6.45,57.9,2.6,3.26,4.87,10.8,-2.25
2000-01-12,35.5,35.08,0.27,1.48,4017000,1.06,8.06,7.49,9.69,15.8,6.74,58.4,2.59,3.24,5.03,10.92,-1.99
2000-01-13,35.28,35.08,0.0,0.57,3143133,0.84,0.0,6.97,11.57,16.04,6.74,58.4,2.6,3.12,4.87,10.73,-1.99
2000-01-14,35.08,34.59,-1.41,0.0,3559621,0.94,-3.3,4.31,8.73,14.24,5.24,54.9,2.62,3.08,3.28,8.99,-3.37
2000-01-18,33.85,33.8,-2.27,-2.13,2961635,0.81,-5.02,3.63,9.24,11.17,2.84,49.7,2.64,3.09,0.87,6.36,-5.56
2000-01-19,34.03,34.41,1.81,0.68,3680616,1.0,-1.64,3.92,12.07,11.76,4.7,53.4,2.65,3.03,2.59,8.12,-3.86
2000-01-20,34.5,33.12,-3.77,0.24,4347787,1.18,-5.61,1.75,6.42,6.87,0.75,45.8,2.76,3.29,-1.28,3.9,-7.49
2000-01-21,33.16,33.05,-0.2,0.14,6290467,1.64,-5.8,3.18,5.61,5.86,0.55,45.4,2.73,3.21,-1.49,3.55,-7.67
2000-01-24,33.36,32.29,-2.29,0.95,4160687,1.06,-6.65,0.47,2.46,4.8,-1.76,41.5,2.79,3.37,-3.73,1.05,-9.79
2000-01-25,33.02,31.82,-1.46,2.27,5169281,1.27,-5.87,-1.81,-0.72,3.92,-3.2,39.2,2.8,3.54,-5.08,-0.54,-11.11
2000-01-26,33.38,33.54,5.41,4.92,9832159,2.22,-2.54,2.75,4.36,9.61,2.04,50.0,3.04,3.57,-0.01,4.69,-6.3
2000-01-27,33.83,33.52,-0.07,0.87,4081979,0.91,1.21,-0.64,1.02,9.23,1.97,49.9,2.95,3.48,-0.1,4.47,-6.37
2000-01-28,33.34,32.11,-4.19,-0.52,5247983,1.13,-2.83,-5.4,-4.95,2.72,-2.3,42.7,3.09,3.69,-4.19,-0.0,-10.29
2000-01-31,32.11,32.6,1.53,0.0,4597342,0.96,0.97,-2.83,-2.81,7.68,-0.81,45.6,3.1,3.78,-2.57,1.44,-8.92
2000-02-01,32.87,32.78,0.55,0.81,3700223,0.77,3.03,-3.8,-0.42,6.75,-0.26,46.7,3.08,3.68,-1.86,1.91,-8.42
2000-02-02,32.45,32.2,-1.78,-1.02,4095147,0.85,-4.0,-2.04,-1.07,3.77,-2.04,43.7,3.01,3.65,-3.41,0.04,-10.05
2000-02-03,32.02,31.93,-0.82,-0.56,4930365,1.02,-4.72,1.21,-2.8,1.08,-2.85,42.3,2.88,3.61,-4.06,-0.84,-10.79
2000-02-04,32.02,31.02,-2.87,0.26,4612184,0.99,-3.41,-4.47,-5.2,-4.59,-5.63,38.0,2.87,3.72,-6.66,-3.72,-13.35
2000-02-07,31.09,30.5,-1.65,0.22,5511262,1.19,-6.43,-13.05,-7.01,-7.57,-7.19,35.8,2.18,3.73,-8.04,-5.36,-14.78
2000-02-08,30.5,30.53,0.07,0.0,4038848,0.88,-6.88,-14.66,-7.86,-6.41,-7.13,35.9,2.1,3.69,-7.82,-5.34,-14.72
2000-02-09,30.86,30.5,-0.07,1.1,3641688,0.79,-5.26,-14.29,-7.27,-6.97,-7.19,35.8,2.11,3.55,-7.74,-5.44,-14.78
2000-02-10,30.37,29.95,-1.83,-0.45,5629739,1.21,-6.22,-14.41,-8.05,-10.22,-8.89,33.2,2.11,3.55,-9.25,-7.2,-16.34
2000-02-11,29.73,28.88,-3.57,-0.74,6290187,1.31,-6.9,-17.69,-11.97,-13.31,-12.14,28.8,2.18,3.87,-12.28,-10.52,-19.33
2000-02-14,28.98,28.86,-0.07,0.37,4700414,0.96,-5.4,-17.75,-11.34,-14.2,-12.21,28.8,2.18,3.8,-12.07,-10.58,-19.38
2000-02-15,29.16,31.04,7.57,1.06,5232015,1.05,1.68,-10.26,-6.31,-8.0,-5.56,45.6,2.85,3.89,-5.22,-3.82,-13.28
2000-02-16,30.77,30.75,-0.94,-0.87,3615638,0.73,0.79,-9.04,-8.87,-8.81,-6.45,44.1,2.83,3.88,-5.92,-4.71,-14.1
2000-02-17,31.0,31.2,1.47,0.82,4769035,0.95,4.18,-9.34,-11.71,-5.72,-5.08,47.0,2.81,3.83,-4.47,-3.29,-12.84
2000-02-18,31.28,30.48,-2.3,0.27,4011114,0.82,5.56,-7.95,-14.84,-8.59,-7.26,43.2,2.75,3.99,-6.54,-5.5,-14.84
2000-02-22,30.55,31.38,2.94,0.21,4039690,0.83,8.73,-5.06,-11.92,-6.03,-4.54,48.8,2.84,3.91,-3.72,-2.72,-12.34
2000-02-23,32.02,32.36,3.12,2.04,6247053,1.26,4.24,0.2,-6.07,-5.56,-1.56,54.2,2.88,3.86,-0.69,0.31,-9.61
2000-02-24,32.2,31.89,-1.44,-0.49,5321926,1.13,3.72,0.23,-5.28,-6.6,-2.98,51.4,2.88,3.85,-2.08,-1.13,-10.91
2000-02-25,30.88,30.05,-5.76,-3.15,5079651,1.07,-3.67,-10.39,-10.15,-12.61,-8.56,42.3,2.88,4.28,-7.56,-6.79,-16.04
2000-02-28,30.46,30.29,0.77,1.36,4308571,0.91,-0.64,-9.64,-8.93,-11.2,-7.86,43.6,2.89,4.26,-6.68,-6.05,-15.39
2000-02-29,29.91,30.91,2.05,-1.25,3872759,0.83,-1.5,-3.76,-6.5,-8.63,-5.97,47.2,2.8,4.25,-4.67,-4.12,-13.66
2000-03-01,30.55,30.19,-2.31,-1.17,4049498,0.86,-6.69,-7.39,-9.27,-8.22,-8.14,43.8,2.81,4.3,-6.7,-6.32,-15.65
2000-03-02,30.19,30.17,-0.08,0.0,3061342,0.66,-5.4,-7.97,-8.25,-7.79,-8.22,43.7,2.81,4.17,-6.64,-6.39,-15.72
2000-03-03,30.75,31.38,4.01,1.92,6415390,1.36,4.4,-2.55,-7.28,-4.28,-4.54,50.7,2.94,4.4,-2.86,-2.66,-12.34
